takt;q1;q2;q2p
0;213.000000;-9.000000;0.000000
1;417.000000;-17.000000;0.000000
2;610.000000;-25.000000;0.000000
3;795.000000;-32.000000;0.000000
4;971.000000;-39.000000;0.000000
5;1139.000000;-46.000000;0.000000
6;1299.000000;-52.000000;0.000000
7;1444.000000;-58.000000;0.000000
8;1599.000000;-60.000000;0.000000
9;1744.000000;-61.000000;0.000000
10;1874.000000;-61.000000;0.000000
11;1994.000000;-68.000000;0.000000
12;2097.000000;-70.000000;0.000000
13;2164.000000;-73.000000;0.000000
14;2218.000000;-75.000000;0.000000
15;2219.000000;-76.000000;0.000000
16;2207.000000;-76.000000;0.000000
17;2172.000000;-75.000000;0.000000
18;2115.000000;-73.000000;0.000000
19;2057.000000;-70.000000;0.000000
20;1995.000000;-68.000000;0.000000
21;1930.000000;-65.000000;0.000000
22;1885.000000;-64.000000;0.000000
23;1833.000000;-61.000000;0.000000
24;1800.000000;-60.000000;0.000000
25;1775.000000;-59.000000;0.000000
26;1753.000000;-58.000000;0.000000
27;1754.000000;-58.000000;0.000000
28;1760.000000;-58.000000;0.000000
29;1771.000000;-58.000000;0.000000
30;1796.000000;-59.000000;0.000000
31;1807.000000;-60.000000;0.000000
32;1820.000000;-60.000000;0.000000
33;1833.000000;-61.000000;0.000000
34;1834.000000;-61.000000;0.000000
35;1841.000000;-61.000000;0.000000
36;1841.000000;-61.000000;0.000000
37;1837.000000;-61.000000;0.000000
38;1841.000000;-61.000000;0.000000
39;1837.000000;-61.000000;0.000000
40;1838.000000;-61.000000;0.000000
41;1838.000000;-61.000000;0.000000
42;1833.000000;-61.000000;0.000000
43;1834.000000;-61.000000;0.000000
44;1832.000000;-61.000000;0.000000
45;1832.000000;-61.000000;0.000000
46;1837.000000;-61.000000;0.000000
47;1837.000000;-61.000000;0.000000
48;1842.000000;-61.000000;0.000000
49;1845.000000;-61.000000;0.000000
50;1847.000000;-61.000000;0.000000
51;1853.000000;-62.000000;0.000000
52;1852.000000;-62.000000;0.000000
53;1854.000000;-62.000000;0.000000
54;1855.000000;-62.000000;0.000000
55;1851.000000;-62.000000;0.000000
56;1851.000000;-62.000000;0.000000
57;1847.000000;-62.000000;0.000000
58;1843.000000;-62.000000;0.000000
59;1841.000000;-62.000000;0.000000
60;1834.000000;-62.000000;0.000000
61;1833.000000;-61.000000;0.000000
62;1834.000000;-61.000000;0.000000
63;1835.000000;-61.000000;0.000000
64;1842.000000;-61.000000;0.000000
65;1845.000000;-61.000000;0.000000
66;1851.000000;-61.000000;0.000000
67;1855.000000;-62.000000;0.000000
68;1854.000000;-62.000000;0.000000
69;1855.000000;-62.000000;0.000000
70;1849.000000;-62.000000;0.000000
71;1846.000000;-62.000000;0.000000
72;1844.000000;-62.000000;0.000000
73;1840.000000;-62.000000;0.000000
74;1841.000000;-62.000000;0.000000
75;1839.000000;-62.000000;0.000000
76;1838.000000;-62.000000;0.000000
77;1838.000000;-62.000000;0.000000
78;1835.000000;-62.000000;0.000000
79;1834.000000;-61.000000;0.000000
80;1836.000000;-61.000000;0.000000
81;1838.000000;-61.000000;0.000000
82;1843.000000;-61.000000;0.000000
83;1845.000000;-61.000000;0.000000
84;1848.000000;-61.000000;0.000000
85;1850.000000;-61.000000;0.000000
86;1849.000000;-61.000000;0.000000
87;1850.000000;-61.000000;0.000000
88;1848.000000;-61.000000;0.000000
89;1847.000000;-61.000000;0.000000
90;1849.000000;-61.000000;0.000000
91;1850.000000;-61.000000;0.000000
92;1853.000000;-62.000000;0.000000
93;1853.000000;-62.000000;0.000000
94;1851.000000;-62.000000;0.000000
95;1851.000000;-62.000000;0.000000
96;1847.000000;-62.000000;0.000000
97;1845.000000;-62.000000;0.000000
98;1843.000000;-62.000000;0.000000
99;1841.000000;-62.000000;0.000000
100;1842.000000;-62.000000;0.000000
101;1842.000000;-62.000000;0.000000
102;1843.000000;-62.000000;0.000000
103;1844.000000;-62.000000;0.000000
104;1842.000000;-62.000000;0.000000
105;1842.000000;-62.000000;0.000000
106;1840.000000;-62.000000;0.000000
107;1837.000000;-62.000000;0.000000
108;1836.000000;-62.000000;0.000000
109;1835.000000;-62.000000;0.000000
110;1835.000000;-61.000000;0.000000
111;1838.000000;-61.000000;0.000000
112;1842.000000;-61.000000;0.000000
113;1846.000000;-61.000000;0.000000
114;1847.000000;-61.000000;0.000000
115;1849.000000;-61.000000;0.000000
116;1849.000000;-61.000000;0.000000
117;1847.000000;-61.000000;0.000000
118;1847.000000;-61.000000;0.000000
119;1846.000000;-61.000000;0.000000
120;1846.000000;-61.000000;0.000000
121;1849.000000;-61.000000;0.000000
122;1850.000000;-61.000000;0.000000
123;1853.000000;-61.000000;0.000000
124;1854.000000;-62.000000;0.000000
125;1852.000000;-62.000000;0.000000
126;1852.000000;-62.000000;0.000000
127;1849.000000;-62.000000;0.000000
128;1847.000000;-62.000000;0.000000
129;1847.000000;-62.000000;0.000000
130;1845.000000;-62.000000;0.000000
131;1846.000000;-62.000000;0.000000
132;1847.000000;-62.000000;0.000000
133;1846.000000;-62.000000;0.000000
134;1846.000000;-62.000000;0.000000
135;1843.000000;-62.000000;0.000000
136;1843.000000;-62.000000;0.000000
137;1841.000000;-62.000000;0.000000
138;1840.000000;-62.000000;0.000000
139;1840.000000;-62.000000;0.000000
140;1839.000000;-62.000000;0.000000
141;1840.000000;-62.000000;0.000000
142;1839.000000;-62.000000;0.000000
143;1837.000000;-62.000000;0.000000
144;1837.000000;-62.000000;0.000000
145;1834.000000;-62.000000;0.000000
146;1834.000000;-61.000000;0.000000
147;1837.000000;-61.000000;0.000000
148;1839.000000;-61.000000;0.000000
149;1844.000000;-61.000000;0.000000
150;1846.000000;-61.000000;0.000000
151;1848.000000;-61.000000;0.000000
152;1849.000000;-61.000000;0.000000
153;1848.000000;-61.000000;0.000000
154;1847.000000;-61.000000;0.000000
155;1846.000000;-61.000000;0.000000
156;1846.000000;-61.000000;0.000000
157;1848.000000;-61.000000;0.000000
158;1849.000000;-61.000000;0.000000
159;1852.000000;-61.000000;0.000000
160;1852.000000;-62.000000;0.000000
161;1851.000000;-62.000000;0.000000
162;1850.000000;-62.000000;0.000000
163;1847.000000;-62.000000;0.000000
164;1846.000000;-62.000000;0.000000
165;1843.000000;-62.000000;0.000000
166;1842.000000;-62.000000;0.000000
167;1842.000000;-62.000000;0.000000
168;1842.000000;-62.000000;0.000000
169;1841.000000;-62.000000;0.000000
170;1841.000000;-62.000000;0.000000
171;1840.000000;-62.000000;0.000000
172;1840.000000;-62.000000;0.000000
173;1839.000000;-62.000000;0.000000
174;1837.000000;-62.000000;0.000000
175;1836.000000;-61.000000;0.000000
176;1837.000000;-61.000000;0.000000
177;1840.000000;-61.000000;0.000000
178;1844.000000;-61.000000;0.000000
179;1848.000000;-61.000000;0.000000
180;1850.000000;-61.000000;0.000000
181;1850.000000;-61.000000;0.000000
182;1850.000000;-61.000000;0.000000
183;1849.000000;-61.000000;0.000000
184;1847.000000;-61.000000;0.000000
185;1846.000000;-61.000000;0.000000
186;1847.000000;-61.000000;0.000000
187;1849.000000;-61.000000;0.000000
188;1852.000000;-62.000000;0.000000
189;1853.000000;-62.000000;0.000000
190;1852.000000;-62.000000;0.000000
191;1849.000000;-62.000000;0.000000
192;1846.000000;-62.000000;0.000000
193;1843.000000;-62.000000;0.000000
194;1841.000000;-62.000000;0.000000
195;1840.000000;-62.000000;0.000000
196;1840.000000;-62.000000;0.000000
197;1841.000000;-62.000000;0.000000
198;1842.000000;-62.000000;0.000000
199;1842.000000;-62.000000;0.000000
200;1840.000000;-62.000000;0.000000
201;1838.000000;-62.000000;0.000000
202;1836.000000;-62.000000;0.000000
203;1834.000000;-61.000000;0.000000
204;1835.000000;-61.000000;0.000000
205;1838.000000;-61.000000;0.000000
206;1843.000000;-61.000000;0.000000
207;1848.000000;-61.000000;0.000000
208;1850.000000;-61.000000;0.000000
209;1852.000000;-61.000000;0.000000
210;1850.000000;-61.000000;0.000000
211;1849.000000;-61.000000;0.000000
212;1846.000000;-61.000000;0.000000
213;1845.000000;-61.000000;0.000000
214;1847.000000;-61.000000;0.000000
215;1850.000000;-61.000000;0.000000
216;1853.000000;-61.000000;0.000000
217;1855.000000;-62.000000;0.000000
218;1854.000000;-62.000000;0.000000
219;1853.000000;-62.000000;0.000000
220;1850.000000;-62.000000;0.000000
221;1847.000000;-62.000000;0.000000
222;1846.000000;-62.000000;0.000000
223;1845.000000;-62.000000;0.000000
224;1845.000000;-62.000000;0.000000
225;1847.000000;-62.000000;0.000000
226;1847.000000;-62.000000;0.000000
227;1848.000000;-62.000000;0.000000
228;1846.000000;-62.000000;0.000000
229;1844.000000;-62.000000;0.000000
230;1842.000000;-62.000000;0.000000
231;1839.000000;-62.000000;0.000000
232;1838.000000;-62.000000;0.000000
233;1837.000000;-62.000000;0.000000
234;1836.000000;-62.000000;0.000000
235;1837.000000;-62.000000;0.000000
236;1837.000000;-62.000000;0.000000
237;1836.000000;-62.000000;0.000000
238;1835.000000;-61.000000;0.000000
239;1836.000000;-61.000000;0.000000
240;1839.000000;-61.000000;0.000000
241;1843.000000;-61.000000;0.000000
