takt;q1;q2;q2p
0;247.000000;-11.000000;2.240197
1;486.000000;-20.000000;4.480368
2;723.000000;-29.000000;6.720486
3;941.000000;-37.000000;8.960525
4;1148.000000;-45.000000;11.200457
5;1347.000000;-50.000000;13.440256
6;1535.000000;-52.000000;15.679898
7;1697.000000;-55.000000;17.919353
8;1817.000000;-60.000000;20.158598
9;1883.000000;-62.000000;22.397606
10;1896.000000;-63.000000;24.636349
11;1865.000000;-63.000000;26.874802
12;1781.000000;-60.000000;29.112936
13;1677.000000;-56.000000;31.350727
14;1549.000000;-51.000000;33.588150
15;1412.000000;-45.000000;35.825172
16;1269.000000;-39.000000;38.061775
17;1129.000000;-34.000000;40.297924
18;994.000000;-28.000000;42.533600
19;860.000000;-23.000000;44.768772
20;730.000000;-18.000000;47.003414
21;607.000000;-14.000000;49.237499
22;484.000000;-11.000000;51.471008
23;371.000000;-11.000000;53.703903
24;266.000000;-12.000000;55.936169
25;194.000000;-8.000000;58.167770
26;116.000000;-6.000000;60.398689
27;60.000000;-4.000000;62.628891
28;12.000000;-2.000000;64.858353
29;-17.000000;-1.000000;67.087051
30;-21.000000;0.000000;69.314957
31;-22.000000;0.000000;71.542046
32;-2.000000;0.000000;73.768288
33;16.000000;-1.000000;75.993660
34;31.000000;-1.000000;78.218132
35;47.000000;-2.000000;80.441681
36;49.000000;-2.000000;82.664284
37;47.000000;-1.000000;84.885910
38;44.000000;3.000000;87.106537
39;32.000000;8.000000;89.326134
40;23.000000;13.000000;91.544678
41;-9.000000;14.000000;93.762138
42;-27.000000;14.000000;95.978493
43;-45.000000;15.000000;98.193718
44;-71.000000;16.000000;100.407776
45;-108.000000;18.000000;102.620651
46;-164.000000;20.000000;104.832314
47;-225.000000;23.000000;107.042740
48;-295.000000;25.000000;109.251900
49;-379.000000;29.000000;111.459778
50;-468.000000;32.000000;113.666328
51;-570.000000;37.000000;115.871544
52;-673.000000;41.000000;118.075386
53;-772.000000;45.000000;120.277840
54;-875.000000;49.000000;122.478867
55;-966.000000;52.000000;124.678452
56;-1054.000000;55.000000;126.876564
57;-1139.000000;57.000000;129.073181
58;-1208.000000;58.000000;131.268265
59;-1276.000000;58.000000;133.461807
60;-1337.000000;58.000000;135.653763
61;-1385.000000;58.000000;137.844131
62;-1435.000000;60.000000;140.032867
63;-1465.000000;63.000000;142.219940
64;-1491.000000;67.000000;144.405334
65;-1512.000000;71.000000;146.589035
66;-1523.000000;75.000000;148.770996
67;-1537.000000;75.000000;150.951202
68;-1536.000000;75.000000;153.129623
69;-1533.000000;75.000000;155.306244
70;-1529.000000;75.000000;157.481018
71;-1532.000000;75.000000;159.653946
72;-1552.000000;76.000000;161.824982
73;-1583.000000;78.000000;163.994095
74;-1636.000000;80.000000;166.161285
75;-1698.000000;82.000000;168.326492
76;-1775.000000;85.000000;170.489731
77;-1870.000000;89.000000;172.650940
