takt;q1;q2;q2p
0;259.000000;-10.000000;78.218155
1;512.000000;-20.000000;155.306152
2;752.000000;-17.000000;230.150208
3;772.000000;-16.000000;301.668884
4;613.000000;-6.000000;368.828888
5;166.000000;14.000000;430.659790
6;-544.000000;44.000000;486.268280
7;-1511.000000;85.000000;534.850830
8;-2803.000000;138.000000;575.705566
9;-4260.000000;194.000000;608.242126
10;-5904.000000;257.000000;631.990417
11;-7687.000000;329.000000;646.607361
12;-9442.000000;395.000000;651.881653
13;-11252.000000;463.000000;647.737183
14;-12941.000000;526.000000;634.233765
15;-14407.000000;582.000000;611.566528
16;-15695.000000;633.000000;580.062988
17;-16552.000000;668.000000;540.178345
18;-17137.000000;692.000000;492.488922
19;-17385.000000;705.000000;437.683716
20;-17283.000000;700.000000;376.554596
21;-16862.000000;682.000000;309.984772
22;-16088.000000;652.000000;238.936127
23;-15000.000000;606.000000;164.435165
24;-13600.000000;549.000000;87.558350
25;-11875.000000;478.000000;9.416437
26;-9859.000000;397.000000;-68.861526
27;-7614.000000;306.000000;-146.144547
28;-5185.000000;208.000000;-221.315964
29;-2649.000000;106.000000;-293.289703
30;-28.000000;2.000000;-361.025787
31;2597.000000;-104.000000;-423.545563
32;5239.000000;-207.000000;-479.945679
33;7787.000000;-302.000000;-529.411255
34;10145.000000;-394.000000;-571.227600
35;12261.000000;-478.000000;-604.790466
36;14078.000000;-552.000000;-629.614990
37;15578.000000;-613.000000;-645.342468
38;16783.000000;-661.000000;-651.745605
39;17661.000000;-697.000000;-648.731873
40;18248.000000;-722.000000;-636.344849
41;18488.000000;-733.000000;-614.763489
42;18399.000000;-729.000000;-584.299622
43;18081.000000;-718.000000;-545.393372
44;17516.000000;-697.000000;-498.606934
45;16767.000000;-666.000000;-444.616302
46;15865.000000;-631.000000;-384.201538
47;14796.000000;-590.000000;-318.235596
48;13597.000000;-541.000000;-247.671539
49;12283.000000;-489.000000;-173.528976
50;10875.000000;-432.000000;-96.879150
51;9409.000000;-373.000000;-18.829550
52;7867.000000;-309.000000;59.492115
53;6262.000000;-244.000000;136.954193
54;4655.000000;-180.000000;212.437469
55;3006.000000;-112.000000;284.851318
56;1347.000000;-45.000000;353.149414
57;-304.000000;22.000000;416.345001
58;-1977.000000;87.000000;473.524933
59;-3611.000000;152.000000;523.863098
60;-5269.000000;217.000000;566.632080
61;-6903.000000;280.000000;601.214050
62;-8416.000000;340.000000;627.109253
63;-9821.000000;397.000000;643.943542
64;-11073.000000;447.000000;651.473694
65;-12163.000000;490.000000;649.590942
66;-13074.000000;529.000000;638.322510
67;-13748.000000;557.000000;617.831116
68;-14182.000000;576.000000;588.412903
69;-14396.000000;585.000000;550.492859
70;-14345.000000;583.000000;504.618988
71;-14072.000000;572.000000;451.454041
72;-13583.000000;551.000000;391.766144
73;-12834.000000;519.000000;326.418060
74;-11919.000000;481.000000;256.353729
75;-10757.000000;433.000000;182.585449
76;-9437.000000;379.000000;106.179070
77;-7933.000000;318.000000;28.238564
78;-6269.000000;252.000000;-50.109951
79;-4448.000000;182.000000;-127.734451
80;-2553.000000;105.000000;-203.513367
81;-572.000000;23.000000;-276.351807
82;1441.000000;-60.000000;-345.197388
83;3473.000000;-141.000000;-409.055359
84;5520.000000;-220.000000;-467.003082
