takt;q1;q2;q2p
0;252.000000;-10.000000;155.306152
1;504.000000;-17.000000;301.668884
2;567.000000;-7.000000;430.659821
3;362.000000;8.000000;534.850830
4;-169.000000;29.000000;608.242126
5;-1035.000000;64.000000;646.607300
6;-2163.000000;113.000000;647.737183
7;-3600.000000;170.000000;611.566589
8;-5209.000000;229.000000;540.178528
9;-6876.000000;289.000000;437.683838
10;-8570.000000;348.000000;309.984772
11;-9924.000000;401.000000;164.434998
12;-10958.000000;442.000000;9.416097
13;-11617.000000;467.000000;-146.145035
14;-11877.000000;479.000000;-293.290283
15;-11865.000000;479.000000;-423.546204
16;-11501.000000;464.000000;-529.411865
17;-10792.000000;434.000000;-604.790955
18;-9728.000000;393.000000;-645.342651
19;-8269.000000;330.000000;-648.731812
20;-6453.000000;257.000000;-614.763367
21;-4247.000000;167.000000;-545.393372
22;-1732.000000;68.000000;-444.616547
23;930.000000;-33.000000;-318.236176
24;3553.000000;-132.000000;-173.529953
25;5867.000000;-219.000000;-18.830910
26;7820.000000;-298.000000;136.952530
27;9331.000000;-354.000000;284.849487
28;10441.000000;-402.000000;416.343170
29;11230.000000;-432.000000;523.861450
30;11632.000000;-448.000000;601.212830
31;11681.000000;-451.000000;643.942993
32;11353.000000;-441.000000;649.591309
33;10652.000000;-409.000000;617.832397
34;9617.000000;-368.000000;550.495239
35;8182.000000;-308.000000;451.457458
36;6403.000000;-240.000000;326.422180
37;4427.000000;-169.000000;182.589371
38;2375.000000;-93.000000;28.241961
39;579.000000;-32.000000;-127.731781
40;-877.000000;25.000000;-276.349976
41;-1964.000000;71.000000;-409.054291
42;-2612.000000;97.000000;-518.202881
43;-2928.000000;110.000000;-597.510254
44;-2910.000000;111.000000;-642.409485
45;-2516.000000;94.000000;-650.314941
46;-1786.000000;66.000000;-620.771423
47;-673.000000;19.000000;-555.480286
48;766.000000;-37.000000;-458.201233
49;2433.000000;-101.000000;-334.536285
50;4243.000000;-169.000000;-191.606766
51;5929.000000;-228.000000;-37.643387
52;7316.000000;-275.000000;118.487724
53;8316.000000;-315.000000;267.795593
54;8885.000000;-337.000000;401.682220
55;9091.000000;-346.000000;512.437622
56;8929.000000;-338.000000;593.683838
57;8422.000000;-319.000000;640.742249
58;7536.000000;-280.000000;650.902893
59;6281.000000;-233.000000;623.580688
60;4699.000000;-167.000000;560.349060
61;2793.000000;-94.000000;464.849243
62;716.000000;-15.000000;342.580627
63;-1391.000000;62.000000;200.584213
64;-3330.000000;129.000000;47.036961
65;-4906.000000;190.000000;-109.218956
66;-6122.000000;242.000000;-259.185394
67;-6943.000000;277.000000;-394.226410
68;-7408.000000;294.000000;-506.565552
69;-7557.000000;300.000000;-589.733643
70;-7343.000000;293.000000;-638.941406
71;-6757.000000;270.000000;-651.355103
72;-5811.000000;230.000000;-626.259949
73;-4482.000000;176.000000;-565.101379
74;-2761.000000;105.000000;-471.401245
75;-744.000000;28.000000;-350.555267
76;1442.000000;-56.000000;-209.522415
77;3582.000000;-134.000000;-56.424118
78;5418.000000;-200.000000;99.923378
79;6870.000000;-258.000000;250.516754
80;7916.000000;-299.000000;386.684021
81;8547.000000;-323.000000;500.583893
82;8812.000000;-331.000000;585.657471
83;8703.000000;-328.000000;637.005737
84;8219.000000;-308.000000;651.671753
85;7366.000000;-274.000000;628.810974
86;6145.000000;-225.000000;569.739868
87;4585.000000;-162.000000;477.860016
88;2754.000000;-93.000000;358.462433
89;779.000000;-21.000000;218.422653
90;-1178.000000;47.000000;65.804909
91;-2830.000000;107.000000;-90.602242
92;-4128.000000;162.000000;-241.792023
93;-5021.000000;196.000000;-379.058105
94;-5510.000000;218.000000;-494.495972
95;-5691.000000;224.000000;-581.458130
96;-5522.000000;219.000000;-634.936707
97;-5012.000000;197.000000;-651.852234
98;-4135.000000;164.000000;-631.230591
99;-2867.000000;108.000000;-574.259277
100;-1232.000000;44.000000;-484.218964
101;700.000000;-31.000000;-366.294739
102;2785.000000;-110.000000;-227.277283
103;4814.000000;-185.000000;-75.171959
104;6593.000000;-248.000000;81.262169
105;7964.000000;-303.000000;233.016785
106;8906.000000;-340.000000;371.353027
107;9453.000000;-363.000000;488.304749
108;9634.000000;-366.000000;577.137268
109;9471.000000;-362.000000;632.735046
110;8922.000000;-338.000000;651.896545
111;8001.000000;-302.000000;633.518372
112;6712.000000;-246.000000;578.658691
113;5040.000000;-181.000000;490.476776
114;3126.000000;-108.000000;374.050507
115;1053.000000;-30.000000;236.084412
116;-1023.000000;41.000000;84.523300
117;-2751.000000;104.000000;-71.905128
118;-4152.000000;162.000000;-224.192871
119;-5138.000000;200.000000;-363.570374
120;-5702.000000;225.000000;-482.011536
121;-5975.000000;236.000000;-572.695862
122;-5892.000000;233.000000;-630.401245
123;-5469.000000;216.000000;-651.804749
124;-4711.000000;187.000000;-635.673767
125;-3540.000000;136.000000;-582.937256
126;-2005.000000;73.000000;-496.632080
127;-152.000000;4.000000;-381.728149
128;1887.000000;-74.000000;-244.842239
129;3910.000000;-153.000000;-93.856987
130;5721.000000;-214.000000;62.533062
131;7130.000000;-269.000000;215.322113
132;8157.000000;-309.000000;355.711761
133;8733.000000;-333.000000;475.617584
134;8958.000000;-338.000000;568.134766
135;8816.000000;-335.000000;627.935730
136;8274.000000;-311.000000;651.576721
137;7373.000000;-274.000000;637.696350
138;6096.000000;-224.000000;587.094055
139;4475.000000;-157.000000;502.683655
140;2601.000000;-86.000000;389.326050
141;575.000000;-13.000000;253.548904
142;-1450.000000;60.000000;103.171059
143;-3149.000000;121.000000;-53.147934
144;-4522.000000;177.000000;-206.406387
145;-5503.000000;216.000000;-347.779999
146;-6065.000000;240.000000;-469.126190
147;-6328.000000;249.000000;-563.457092
148;-6250.000000;248.000000;-625.340515
149;-5824.000000;230.000000;-651.212891
150;-5049.000000;201.000000;-639.584229
151;-3881.000000;150.000000;-591.124146
152;-2335.000000;88.000000;-508.623413
153;-473.000000;17.000000;-396.832886
154;1575.000000;-61.000000;-262.190155
155;3641.000000;-143.000000;-112.448853
156;5482.000000;-205.000000;43.767982
157;6931.000000;-261.000000;197.464371
158;8017.000000;-303.000000;339.789520
159;8643.000000;-330.000000;462.547394
160;8919.000000;-336.000000;558.668823
161;8824.000000;-335.000000;622.618530
162;8330.000000;-313.000000;650.713867
163;7471.000000;-279.000000;641.336914
164;6241.000000;-230.000000;595.027710
165;4660.000000;-164.000000;514.453003
166;2798.000000;-93.000000;404.252777
167;776.000000;-19.000000;270.773071
168;-1261.000000;57.000000;121.700546
169;-3022.000000;115.000000;-34.380280
170;-4455.000000;173.000000;-188.481277
171;-5513.000000;216.000000;-331.728302
172;-6137.000000;243.000000;-455.872314
173;-6443.000000;254.000000;-553.764221
174;-6430.000000;256.000000;-619.766907
175;-6066.000000;241.000000;-650.079407
176;-5356.000000;213.000000;-642.956177
