takt;q1;q2;q2p
0;305.000000;-13.000000;176.967178
1;605.000000;-20.000000;340.643616
2;754.000000;-1.000000;478.736694
3;590.000000;4.000000;580.875244
4;121.000000;23.000000;639.388306
5;-755.000000;58.000000;649.881470
6;-1903.000000;107.000000;611.566589
7;-3285.000000;162.000000;527.321289
8;-4799.000000;215.000000;403.472626
9;-6330.000000;270.000000;249.321869
10;-7756.000000;305.000000;76.446297
11;-8805.000000;351.000000;-102.170631
12;-9453.000000;377.000000;-273.114227
13;-9702.000000;386.000000;-423.546143
14;-9592.000000;380.000000;-542.168457
15;-9204.000000;368.000000;-620.072266
16;-8472.000000;336.000000;-651.406799
17;-7403.000000;293.000000;-633.818665
18;-6023.000000;237.000000;-568.628967
19;-4247.000000;166.000000;-460.733643
20;-2212.000000;88.000000;-318.235870
21;-41.000000;7.000000;-151.837692
22;2161.000000;-67.000000;25.963943
23;3984.000000;-134.000000;201.815613
24;5420.000000;-189.000000;362.510345
25;6503.000000;-236.000000;495.979523
26;7116.000000;-261.000000;592.199219
27;7456.000000;-273.000000;643.943054
28;7375.000000;-273.000000;647.324951
29;6881.000000;-252.000000;602.090881
30;6115.000000;-221.000000;511.638062
31;4974.000000;-176.000000;382.759766
32;3556.000000;-121.000000;225.135132
33;2095.000000;-70.000000;50.602188
34;537.000000;-24.000000;-127.731117
35;-649.000000;18.000000;-296.471436
36;-1372.000000;45.000000;-442.945923
37;-1776.000000;63.000000;-556.154114
38;-1733.000000;64.000000;-627.593323
39;-1423.000000;47.000000;-651.898315
40;-830.000000;26.000000;-627.243652
41;212.000000;-18.000000;-555.481018
42;1486.000000;-67.000000;-442.000000
43;2982.000000;-123.000000;-295.323334
44;4572.000000;-186.000000;-126.466980
45;6070.000000;-221.000000;51.887459
46;7235.000000;-264.000000;226.344986
47;8020.000000;-295.000000;383.803284
48;8400.000000;-313.000000;512.436707
49;8400.000000;-315.000000;602.584534
50;8112.000000;-303.000000;647.476379
51;7453.000000;-275.000000;643.740662
52;6445.000000;-235.000000;591.657959
53;5097.000000;-180.000000;495.139862
54;3436.000000;-117.000000;361.435181
55;1654.000000;-50.000000;200.585602
56;-154.000000;17.000000;24.671387
57;-1757.000000;63.000000;-153.095718
58;-2938.000000;107.000000;-319.364868
59;-3781.000000;147.000000;-461.648682
60;-4151.000000;162.000000;-569.261230
61;-4182.000000;160.000000;-634.120422
62;-3906.000000;151.000000;-651.355164
63;-3213.000000;123.000000;-619.671082
64;-2218.000000;81.000000;-541.447693
65;-897.000000;28.000000;-422.559906
66;740.000000;-34.000000;-271.936493
67;2406.000000;-92.000000;-100.889809
68;4088.000000;-141.000000;77.734032
69;5445.000000;-193.000000;250.519791
70;6378.000000;-231.000000;404.490723
71;6998.000000;-255.000000;528.083130
72;7185.000000;-265.000000;612.014832
73;7054.000000;-257.000000;649.982178
74;6576.000000;-241.000000;639.134216
75;5725.000000;-205.000000;580.285645
76;4572.000000;-160.000000;477.856201
77;3132.000000;-105.000000;339.538513
78;1523.000000;-44.000000;175.720642
79;-54.000000;13.000000;-1.294309
80;-1444.000000;48.000000;-178.212051
81;-2475.000000;89.000000;-341.745605
82;-3135.000000;120.000000;-479.613220
83;-3384.000000;130.000000;-581.460632
84;-3287.000000;123.000000;-639.638916
85;-2884.000000;108.000000;-649.778687
86;-2119.000000;80.000000;-611.118408
87;-1061.000000;34.000000;-526.561646
88;346.000000;-21.000000;-402.458710
89;1961.000000;-81.000000;-248.130142
90;3618.000000;-144.000000;-75.166359
91;5212.000000;-181.000000;103.442604
92;6411.000000;-233.000000;274.282776
93;7276.000000;-266.000000;424.523590
94;7728.000000;-285.000000;542.881653
95;7755.000000;-288.000000;620.467896
96;7466.000000;-279.000000;651.455444
97;6785.000000;-247.000000;633.517029
98;5778.000000;-208.000000;567.999878
99;4454.000000;-155.000000;459.824493
100;2832.000000;-94.000000;317.115143
101;1114.000000;-26.000000;150.589645
102;-608.000000;26.000000;-27.245527
103;-2036.000000;75.000000;-203.034485
104;-3049.000000;113.000000;-363.575043
105;-3724.000000;144.000000;-496.810211
106;-3947.000000;153.000000;-592.733643
107;-3848.000000;147.000000;-644.141296
108;-3419.000000;130.000000;-647.172302
109;-2599.000000;98.000000;-601.599060
110;-1500.000000;52.000000;-510.844147
111;-63.000000;-3.000000;-381.723572
112;1577.000000;-65.000000;-223.934601
113;3258.000000;-129.000000;-49.327572
114;4867.000000;-165.000000;128.984085
115;6073.000000;-220.000000;297.608704
116;6950.000000;-252.000000;443.882172
117;7439.000000;-273.000000;556.818970
118;7502.000000;-276.000000;627.937256
