takt;q1;q2;q2p
0;270.000000;-11.000000;67.087067
1;541.000000;-21.000000;133.461746
2;792.000000;-20.000000;198.419250
3;865.000000;-19.000000;261.269775
4;783.000000;-14.000000;321.345978
5;431.000000;3.000000;378.009857
6;-148.000000;27.000000;430.659790
7;-977.000000;61.000000;478.736664
8;-2071.000000;106.000000;521.729980
9;-3370.000000;158.000000;559.183167
10;-4865.000000;215.000000;590.698608
11;-6469.000000;278.000000;615.941589
12;-8153.000000;345.000000;634.643982
13;-9819.000000;410.000000;646.607361
14;-11483.000000;472.000000;651.704529
15;-13046.000000;531.000000;649.881470
16;-14422.000000;584.000000;641.157471
17;-15556.000000;629.000000;625.625183
18;-16342.000000;660.000000;603.449646
19;-16839.000000;679.000000;574.866211
20;-17011.000000;688.000000;540.178467
21;-16821.000000;680.000000;499.754700
22;-16349.000000;661.000000;454.024231
23;-15594.000000;632.000000;403.472595
24;-14582.000000;591.000000;348.636597
25;-13371.000000;541.000000;290.098541
26;-11928.000000;484.000000;228.480011
27;-10329.000000;421.000000;164.435333
28;-8579.000000;350.000000;98.644554
29;-6732.000000;276.000000;31.806303
30;-4853.000000;198.000000;-35.369690
31;-2948.000000;123.000000;-102.170105
32;-1033.000000;46.000000;-167.885605
33;896.000000;-28.000000;-231.818375
34;2765.000000;-99.000000;-293.289551
35;4527.000000;-170.000000;-351.646362
36;6158.000000;-236.000000;-406.269135
37;7632.000000;-296.000000;-456.577972
38;8970.000000;-352.000000;-502.038513
39;10150.000000;-401.000000;-542.168030
40;11199.000000;-442.000000;-576.540466
41;12138.000000;-482.000000;-604.790710
42;12929.000000;-514.000000;-626.618835
43;13604.000000;-544.000000;-641.793091
44;14184.000000;-568.000000;-650.152283
45;14672.000000;-589.000000;-651.607666
46;15088.000000;-606.000000;-646.143799
47;15421.000000;-620.000000;-633.818726
48;15675.000000;-630.000000;-614.763245
49;15857.000000;-637.000000;-589.179810
50;15953.000000;-641.000000;-557.339966
51;15956.000000;-641.000000;-519.581909
52;15855.000000;-636.000000;-476.306519
53;15633.000000;-627.000000;-427.973389
54;15284.000000;-612.000000;-375.095673
55;14799.000000;-592.000000;-318.234955
56;14167.000000;-566.000000;-257.994965
57;13381.000000;-533.000000;-195.015381
58;12436.000000;-494.000000;-129.964981
59;11316.000000;-448.000000;-63.534523
60;10069.000000;-398.000000;3.570591
61;8678.000000;-342.000000;70.637794
62;7162.000000;-279.000000;136.954910
63;5544.000000;-214.000000;201.817734
64;3862.000000;-147.000000;264.537506
65;2133.000000;-76.000000;324.448242
66;366.000000;-5.000000;380.913727
67;-1404.000000;66.000000;433.334381
68;-3174.000000;134.000000;481.153564
69;-4934.000000;200.000000;523.863525
70;-6587.000000;267.000000;561.010681
71;-8152.000000;331.000000;592.200623
72;-9506.000000;386.000000;617.102173
73;-10719.000000;435.000000;635.450745
74;-11751.000000;477.000000;647.051758
75;-12587.000000;510.000000;651.781921
76;-13265.000000;537.000000;649.591003
77;-13725.000000;556.000000;640.502319
78;-14032.000000;568.000000;624.612366
79;-14139.000000;575.000000;602.089905
80;-14089.000000;574.000000;573.174072
81;-13854.000000;566.000000;538.171814
82;-13493.000000;551.000000;497.454987
83;-12986.000000;530.000000;451.455811
84;-12353.000000;503.000000;400.662811
85;-11608.000000;471.000000;345.615295
86;-10724.000000;435.000000;286.897797
87;-9762.000000;396.000000;225.133850
88;-8665.000000;352.000000;160.979279
89;-7501.000000;306.000000;95.115326
90;-6233.000000;255.000000;28.241379
91;-4877.000000;200.000000;-38.932457
92;-3452.000000;142.000000;-105.692879
93;-1973.000000;80.000000;-171.330994
94;-458.000000;17.000000;-235.149796
95;1092.000000;-46.000000;-296.471619
96;2665.000000;-108.000000;-354.645325
97;4242.000000;-174.000000;-409.053162
98;5799.000000;-238.000000;-459.117432
99;7341.000000;-299.000000;-504.306458
100;8891.000000;-352.000000;-544.140442
101;10325.000000;-410.000000;-578.196411
102;11682.000000;-465.000000;-606.112671
103;12914.000000;-513.000000;-627.592896
104;13994.000000;-558.000000;-642.408875
105;14958.000000;-597.000000;-650.403320
106;15743.000000;-628.000000;-651.491394
107;16403.000000;-654.000000;-645.661499
108;16881.000000;-674.000000;-632.975586
109;17187.000000;-687.000000;-613.568298
110;17337.000000;-693.000000;-587.645752
111;17312.000000;-694.000000;-555.483154
112;17117.000000;-685.000000;-517.422119
113;16778.000000;-672.000000;-473.866730
114;16278.000000;-652.000000;-425.279541
115;15635.000000;-626.000000;-372.176453
116;14863.000000;-595.000000;-315.121338
117;13940.000000;-557.000000;-254.720062
118;12904.000000;-514.000000;-191.614014
119;11741.000000;-466.000000;-126.473267
120;10466.000000;-416.000000;-59.989555
121;9113.000000;-361.000000;7.131167
122;7660.000000;-302.000000;74.176163
123;6152.000000;-240.000000;140.433517
124;4603.000000;-178.000000;205.199646
125;3034.000000;-114.000000;267.786835
126;1440.000000;-49.000000;327.530487
127;-175.000000;16.000000;383.796204
128;-1744.000000;79.000000;435.986542
129;-3363.000000;140.000000;483.547272
130;-4927.000000;199.000000;525.973389
131;-6424.000000;260.000000;562.814392
132;-7844.000000;318.000000;593.679016
133;-9100.000000;369.000000;618.239624
134;-10266.000000;417.000000;636.235291
135;-11255.000000;458.000000;647.475098
136;-12100.000000;491.000000;651.839539
137;-12807.000000;520.000000;649.282288
138;-13327.000000;541.000000;639.830566
139;-13710.000000;556.000000;623.584717
140;-13920.000000;564.000000;600.717224
141;-13964.000000;567.000000;571.470947
142;-13842.000000;563.000000;536.156372
143;-13571.000000;552.000000;495.148560
144;-13141.000000;534.000000;448.882965
145;-12584.000000;512.000000;397.850342
146;-11865.000000;483.000000;342.593018
147;-11012.000000;449.000000;283.697784
148;-10025.000000;408.000000;221.789978
149;-8907.000000;363.000000;157.527039
150;-7704.000000;313.000000;91.591331
151;-6377.000000;259.000000;24.683035
152;-4973.000000;201.000000;-42.487366
153;-3488.000000;140.000000;-109.206596
154;-1953.000000;78.000000;-174.766190
155;-373.000000;15.000000;-238.469955
156;1233.000000;-50.000000;-299.641449
157;2843.000000;-118.000000;-357.631104
158;4456.000000;-182.000000;-411.823151
159;6062.000000;-244.000000;-461.642090
160;7660.000000;-304.000000;-506.558929
161;9167.000000;-364.000000;-546.096741
162;10605.000000;-421.000000;-579.835571
163;11943.000000;-473.000000;-607.417297
164;13136.000000;-521.000000;-628.548889
165;14197.000000;-565.000000;-643.006042
166;15088.000000;-602.000000;-650.635254
167;15840.000000;-632.000000;-651.355469
168;16447.000000;-657.000000;-645.158997
169;16879.000000;-675.000000;-632.111755
170;17147.000000;-686.000000;-612.352173
171;17258.000000;-691.000000;-586.090149
172;17195.000000;-689.000000;-553.604492
173;16981.000000;-681.000000;-515.240234
174;16618.000000;-666.000000;-471.404755
175;16104.000000;-645.000000;-422.563446
176;15468.000000;-619.000000;-369.235046
177;14691.000000;-589.000000;-311.985779
178;13787.000000;-551.000000;-251.423584
179;12769.000000;-509.000000;-188.191574
180;11623.000000;-462.000000;-122.961182
181;10373.000000;-412.000000;-56.425083
182;9043.000000;-358.000000;10.710179
183;7618.000000;-300.000000;77.731712
184;6140.000000;-239.000000;143.927826
185;4604.000000;-178.000000;208.595596
186;3049.000000;-115.000000;271.048309
187;1469.000000;-50.000000;330.622833
188;-139.000000;15.000000;386.686523
189;-1701.000000;78.000000;438.644012
190;-3312.000000;141.000000;485.943665
191;-4878.000000;201.000000;528.083130
192;-6384.000000;260.000000;564.614990
193;-7834.000000;318.000000;595.151245
194;-9113.000000;370.000000;619.367737
195;-10301.000000;418.000000;637.007263
196;-11322.000000;459.000000;647.882507
197;-12198.000000;494.000000;651.877991
198;-12936.000000;524.000000;648.951233
199;-13468.000000;546.000000;639.133423
200;-13850.000000;562.000000;622.528748
201;-14061.000000;572.000000;599.313599
202;-14082.000000;573.000000;569.734375
203;-13946.000000;568.000000;534.105225
204;-13650.000000;556.000000;492.804535
205;-13202.000000;536.000000;446.270813
206;-12617.000000;512.000000;394.998230
207;-11861.000000;481.000000;339.531219
208;-10990.000000;446.000000;280.458771
209;-9988.000000;405.000000;218.408203
210;-8846.000000;358.000000;154.038376
211;-7626.000000;310.000000;88.032837
212;-6280.000000;256.000000;21.092497
213;-4863.000000;199.000000;-46.071819
214;-3366.000000;139.000000;-112.746910
215;-1814.000000;74.000000;-178.224762
216;-239.000000;8.000000;-241.810059
217;1359.000000;-56.000000;-302.827637
218;2972.000000;-122.000000;-360.629517
219;4583.000000;-187.000000;-414.601959
220;6181.000000;-249.000000;-464.171783
221;7772.000000;-307.000000;-508.812653
222;9260.000000;-368.000000;-548.050537
223;10674.000000;-424.000000;-581.468750
224;11983.000000;-476.000000;-608.712402
225;13154.000000;-522.000000;-629.492310
226;14194.000000;-566.000000;-643.587708
227;15071.000000;-602.000000;-650.848938
228;15802.000000;-631.000000;-651.198914
229;16399.000000;-655.000000;-644.633972
230;16820.000000;-672.000000;-631.223694
231;17096.000000;-684.000000;-611.110596
232;17207.000000;-689.000000;-584.508179
233;17150.000000;-687.000000;-551.698975
234;16949.000000;-679.000000;-513.031433
235;16585.000000;-665.000000;-468.916016
236;16087.000000;-644.000000;-419.821289
237;15458.000000;-619.000000;-366.268555
238;14685.000000;-588.000000;-308.826447
239;13785.000000;-551.000000;-248.104996
240;12762.000000;-508.000000;-184.748932
241;11603.000000;-461.000000;-119.431061
242;10352.000000;-411.000000;-52.844971
243;9004.000000;-357.000000;14.302271
244;7566.000000;-298.000000;81.297638
245;6075.000000;-236.000000;147.429718
246;4526.000000;-175.000000;211.996277
247;2960.000000;-111.000000;274.311676
248;1361.000000;-46.000000;333.714203
249;-255.000000;19.000000;389.573059
250;-1828.000000;83.000000;441.295135
251;-3451.000000;145.000000;488.331146
252;-5024.000000;205.000000;530.181641
253;-6533.000000;265.000000;566.402222
254;-7960.000000;323.000000;596.608337
255;-9230.000000;375.000000;620.479065
256;-10401.000000;423.000000;637.761108
257;-11398.000000;463.000000;648.270813
258;-12244.000000;497.000000;651.896667
259;-12949.000000;526.000000;648.600159
260;-13457.000000;545.000000;638.416260
261;-13821.000000;559.000000;621.453064
262;-14017.000000;569.000000;597.890808
263;-14028.000000;570.000000;567.979675
264;-13884.000000;565.000000;532.037231
265;-13581.000000;554.000000;490.445160
266;-13119.000000;535.000000;443.645142
267;-12526.000000;511.000000;392.134125
268;-11781.000000;479.000000;336.459106
269;-10900.000000;443.000000;277.211273
270;-9895.000000;402.000000;215.019775
271;-8759.000000;355.000000;150.545029
272;-7542.000000;304.000000;84.471672
273;-6208.000000;252.000000;17.501320
274;-4791.000000;195.000000;-49.654877
275;-3276.000000;136.000000;-116.283791
276;-1744.000000;72.000000;-181.677917
277;-163.000000;5.000000;-245.142822
278;1430.000000;-59.000000;-306.004608
279;3037.000000;-125.000000;-363.616974
280;4650.000000;-189.000000;-417.368164
281;6250.000000;-252.000000;-466.687378
282;7843.000000;-310.000000;-511.050903
283;9333.000000;-371.000000;-549.987671
284;10744.000000;-426.000000;-583.084229
285;12053.000000;-478.000000;-609.989075
286;13228.000000;-525.000000;-630.416565
287;14260.000000;-569.000000;-644.149780
288;15138.000000;-604.000000;-651.042847
289;15864.000000;-633.000000;-651.022644
290;16454.000000;-657.000000;-644.089294
291;16864.000000;-674.000000;-630.316467
292;17128.000000;-685.000000;-609.850403
293;17223.000000;-689.000000;-582.908447
294;17150.000000;-687.000000;-549.776733
295;16930.000000;-679.000000;-510.806976
296;16552.000000;-663.000000;-466.413055
297;16034.000000;-642.000000;-417.066376
298;15388.000000;-616.000000;-363.290924
299;14599.000000;-585.000000;-305.657745
300;13691.000000;-547.000000;-244.778854
301;12659.000000;-504.000000;-181.300690
302;11496.000000;-456.000000;-115.897316
303;10245.000000;-407.000000;-49.263256
304;8896.000000;-352.000000;17.893929
305;7464.000000;-293.000000;84.861099
306;5978.000000;-232.000000;150.927139
307;4441.000000;-171.000000;215.390518
308;2880.000000;-107.000000;277.566681
309;1298.000000;-42.000000;336.795441
310;-312.000000;21.000000;392.447784
311;-1875.000000;85.000000;443.932831
312;-3483.000000;148.000000;490.703796
313;-5050.000000;207.000000;532.264099
314;-6554.000000;266.000000;568.172302
315;-7989.000000;324.000000;598.047241
316;-9260.000000;376.000000;621.571594
317;-10439.000000;424.000000;638.495605
318;-11446.000000;465.000000;648.639465
319;-12305.000000;498.000000;651.895630
