takt;q1;q2;q2p
0;0.000000;0.000000;325.949310
1;0.000000;0.000000;325.949310
2;0.000000;0.000000;325.949310
3;0.000000;0.000000;325.949310
4;-1.000000;0.000000;325.949310
5;-1.000000;0.000000;325.949310
6;-2.000000;0.000000;325.949310
7;-3.000000;0.000000;325.949310
8;-3.000000;0.000000;325.949310
9;-4.000000;0.000000;325.949310
10;-4.000000;0.000000;325.949310
11;-4.000000;0.000000;325.949310
12;-3.000000;0.000000;325.949310
13;-3.000000;0.000000;325.949310
14;-2.000000;0.000000;325.949310
15;-1.000000;0.000000;325.949310
16;-1.000000;0.000000;325.949310
17;0.000000;0.000000;325.949310
18;0.000000;0.000000;325.949310
19;0.000000;0.000000;325.949310
20;0.000000;0.000000;325.949310
21;-1.000000;0.000000;325.949310
22;-1.000000;0.000000;325.949310
23;-2.000000;0.000000;325.949310
24;-2.000000;0.000000;325.949310
25;-3.000000;0.000000;325.949310
26;-3.000000;0.000000;325.949310
27;-3.000000;0.000000;325.949310
28;-3.000000;0.000000;325.949310
29;-3.000000;0.000000;325.949310
30;-2.000000;0.000000;325.949310
31;-2.000000;0.000000;325.949310
32;-2.000000;0.000000;325.949310
33;-2.000000;0.000000;325.949310
34;-2.000000;0.000000;325.949310
35;-2.000000;0.000000;325.949310
36;4.000000;0.000000;325.949310
37;12.000000;0.000000;325.949310
38;26.000000;-1.000000;325.949310
39;46.000000;-2.000000;325.949310
40;66.000000;-3.000000;325.949310
41;96.000000;-4.000000;325.949310
42;137.000000;-5.000000;325.949310
43;168.000000;-7.000000;325.949310
44;212.000000;-9.000000;325.949310
45;261.000000;-10.000000;325.949310
46;305.000000;-12.000000;325.949310
47;360.000000;-15.000000;325.949310
48;416.000000;-17.000000;325.949310
49;470.000000;-19.000000;325.949310
50;525.000000;-21.000000;325.949310
51;583.000000;-24.000000;325.949310
52;640.000000;-26.000000;325.949310
53;691.000000;-28.000000;325.949310
54;749.000000;-30.000000;325.949310
55;798.000000;-33.000000;325.949310
56;851.000000;-35.000000;325.949310
57;898.000000;-37.000000;325.949310
58;948.000000;-39.000000;325.949310
59;994.000000;-41.000000;325.949310
60;1041.000000;-42.000000;325.949310
61;1085.000000;-44.000000;325.949310
62;1137.000000;-46.000000;325.949310
63;1180.000000;-48.000000;325.949310
64;1228.000000;-50.000000;325.949310
65;1279.000000;-52.000000;325.949310
66;1329.000000;-54.000000;325.949310
67;1375.000000;-56.000000;325.949310
68;1433.000000;-59.000000;325.949310
69;1483.000000;-61.000000;325.949310
70;1537.000000;-63.000000;325.949310
71;1592.000000;-65.000000;325.949310
72;1651.000000;-68.000000;325.949310
73;1705.000000;-70.000000;325.949310
74;1767.000000;-72.000000;325.949310
75;1827.000000;-75.000000;325.949310
76;1885.000000;-77.000000;325.949310
77;1950.000000;-80.000000;325.949310
78;2008.000000;-82.000000;325.949310
79;2071.000000;-85.000000;325.949310
80;2135.000000;-87.000000;325.949310
81;2191.000000;-90.000000;325.949310
82;2256.000000;-92.000000;325.949310
83;2318.000000;-95.000000;325.949310
84;2373.000000;-97.000000;325.949310
85;2435.000000;-99.000000;325.949310
86;2492.000000;-102.000000;325.949310
87;2546.000000;-104.000000;325.949310
88;2598.000000;-106.000000;325.949310
89;2654.000000;-108.000000;325.949310
90;2699.000000;-110.000000;325.949310
91;2750.000000;-112.000000;325.949310
92;2793.000000;-114.000000;325.949310
93;2838.000000;-116.000000;325.949310
94;2880.000000;-118.000000;325.949310
95;2923.000000;-119.000000;325.949310
96;2961.000000;-121.000000;325.949310
97;3002.000000;-123.000000;325.949310
98;3043.000000;-124.000000;325.949310
99;3080.000000;-126.000000;325.949310
100;3125.000000;-128.000000;325.949310
101;3163.000000;-129.000000;325.949310
102;3201.000000;-131.000000;325.949310
103;3250.000000;-133.000000;325.949310
104;3287.000000;-134.000000;325.949310
105;3333.000000;-136.000000;325.949310
106;3379.000000;-138.000000;325.949310
107;3424.000000;-140.000000;325.949310
108;3470.000000;-142.000000;325.949310
109;3523.000000;-144.000000;325.949310
110;3569.000000;-146.000000;325.949310
111;3621.000000;-148.000000;325.949310
112;3676.000000;-150.000000;325.949310
113;3727.000000;-152.000000;325.949310
114;3781.000000;-155.000000;325.949310
115;3843.000000;-157.000000;325.949310
116;3897.000000;-159.000000;325.949310
117;3962.000000;-162.000000;325.949310
118;4027.000000;-164.000000;325.949310
119;4086.000000;-167.000000;325.949310
120;4157.000000;-170.000000;325.949310
121;4227.000000;-173.000000;325.949310
122;4292.000000;-176.000000;325.949310
123;4368.000000;-178.000000;325.949310
124;4444.000000;-182.000000;325.949310
125;4517.000000;-185.000000;325.949310
126;4595.000000;-188.000000;325.949310
127;4677.000000;-191.000000;325.949310
128;4756.000000;-194.000000;325.949310
129;4840.000000;-198.000000;325.949310
130;4923.000000;-201.000000;325.949310
131;5003.000000;-205.000000;325.949310
132;5089.000000;-208.000000;325.949310
133;5172.000000;-212.000000;325.949310
134;5255.000000;-215.000000;325.949310
135;5336.000000;-218.000000;325.949310
136;5413.000000;-221.000000;325.949310
137;5486.000000;-224.000000;325.949310
138;5561.000000;-228.000000;325.949310
139;5629.000000;-230.000000;325.949310
140;5691.000000;-233.000000;325.949310
141;5755.000000;-235.000000;325.949310
142;5810.000000;-238.000000;325.949310
143;5862.000000;-240.000000;325.949310
144;5910.000000;-242.000000;325.949310
145;5953.000000;-243.000000;325.949310
146;5990.000000;-245.000000;325.949310
147;6030.000000;-247.000000;325.949310
148;6060.000000;-248.000000;325.949310
149;6087.000000;-249.000000;325.949310
150;6116.000000;-250.000000;325.949310
151;6142.000000;-251.000000;325.949310
152;6171.000000;-253.000000;325.949310
153;6202.000000;-254.000000;325.949310
154;6239.000000;-255.000000;325.949310
155;6277.000000;-257.000000;325.949310
156;6320.000000;-259.000000;325.949310
157;6364.000000;-260.000000;325.949310
158;6414.000000;-263.000000;325.949310
159;6465.000000;-265.000000;325.949310
160;6517.000000;-267.000000;325.949310
161;6573.000000;-269.000000;325.949310
162;6632.000000;-271.000000;325.949310
163;6688.000000;-274.000000;325.949310
164;6754.000000;-276.000000;325.949310
