takt;q1;q2;q2p
0;406.000000;-16.000000;325.949310
1;765.000000;-29.000000;325.949310
2;1051.000000;-41.000000;325.949310
3;1294.000000;-51.000000;325.949310
4;1474.000000;-58.000000;325.949310
5;1589.000000;-63.000000;325.949310
6;1676.000000;-67.000000;325.949310
7;1722.000000;-69.000000;325.949310
8;1710.000000;-69.000000;325.949310
9;1684.000000;-68.000000;325.949310
10;1660.000000;-67.000000;325.949310
11;1607.000000;-66.000000;325.949310
12;1544.000000;-63.000000;325.949310
13;1481.000000;-61.000000;325.949310
14;1411.000000;-58.000000;325.949310
15;1334.000000;-55.000000;325.949310
16;1268.000000;-52.000000;325.949310
17;1206.000000;-49.000000;325.949310
18;1140.000000;-47.000000;325.949310
19;1077.000000;-44.000000;325.949310
20;1032.000000;-42.000000;325.949310
21;988.000000;-41.000000;325.949310
22;955.000000;-39.000000;325.949310
23;937.000000;-38.000000;325.949310
24;925.000000;-38.000000;325.949310
25;911.000000;-37.000000;325.949310
26;915.000000;-37.000000;325.949310
27;927.000000;-37.000000;325.949310
28;932.000000;-37.000000;325.949310
29;938.000000;-37.000000;325.949310
30;942.000000;-38.000000;325.949310
31;936.000000;-38.000000;325.949310
32;934.000000;-38.000000;325.949310
33;936.000000;-38.000000;325.949310
34;933.000000;-38.000000;325.949310
35;932.000000;-38.000000;325.949310
36;935.000000;-38.000000;325.949310
37;933.000000;-38.000000;325.949310
38;937.000000;-38.000000;325.949310
39;940.000000;-38.000000;325.949310
40;939.000000;-38.000000;325.949310
41;941.000000;-38.000000;325.949310
42;940.000000;-38.000000;325.949310
43;941.000000;-38.000000;325.949310
44;941.000000;-38.000000;325.949310
45;940.000000;-38.000000;325.949310
46;941.000000;-38.000000;325.949310
47;941.000000;-38.000000;325.949310
48;940.000000;-38.000000;325.949310
49;941.000000;-38.000000;325.949310
50;942.000000;-38.000000;325.949310
51;938.000000;-38.000000;325.949310
52;939.000000;-38.000000;325.949310
53;940.000000;-38.000000;325.949310
54;936.000000;-38.000000;325.949310
55;937.000000;-38.000000;325.949310
56;939.000000;-38.000000;325.949310
57;937.000000;-38.000000;325.949310
58;939.000000;-38.000000;325.949310
59;941.000000;-38.000000;325.949310
60;939.000000;-38.000000;325.949310
61;941.000000;-38.000000;325.949310
62;943.000000;-38.000000;325.949310
63;942.000000;-38.000000;325.949310
64;944.000000;-38.000000;325.949310
65;945.000000;-38.000000;325.949310
66;941.000000;-38.000000;325.949310
67;943.000000;-38.000000;325.949310
68;943.000000;-38.000000;325.949310
69;939.000000;-38.000000;325.949310
70;942.000000;-38.000000;325.949310
71;942.000000;-38.000000;325.949310
72;941.000000;-38.000000;325.949310
73;945.000000;-38.000000;325.949310
74;946.000000;-38.000000;325.949310
75;946.000000;-38.000000;325.949310
76;949.000000;-38.000000;325.949310
77;950.000000;-38.000000;325.949310
78;949.000000;-38.000000;325.949310
79;952.000000;-38.000000;325.949310
80;953.000000;-38.000000;325.949310
81;951.000000;-38.000000;325.949310
82;955.000000;-38.000000;325.949310
83;955.000000;-38.000000;325.949310
84;954.000000;-38.000000;325.949310
85;958.000000;-38.000000;325.949310
86;957.000000;-38.000000;325.949310
87;956.000000;-38.000000;325.949310
88;958.000000;-38.000000;325.949310
89;957.000000;-38.000000;325.949310
90;956.000000;-38.000000;325.949310
91;959.000000;-38.000000;325.949310
92;958.000000;-38.000000;325.949310
93;957.000000;-38.000000;325.949310
94;958.000000;-38.000000;325.949310
95;957.000000;-38.000000;325.949310
96;957.000000;-38.000000;325.949310
97;958.000000;-38.000000;325.949310
98;956.000000;-38.000000;325.949310
99;957.000000;-38.000000;325.949310
100;960.000000;-38.000000;325.949310
101;958.000000;-38.000000;325.949310
102;959.000000;-38.000000;325.949310
103;960.000000;-38.000000;325.949310
104;958.000000;-38.000000;325.949310
105;959.000000;-38.000000;325.949310
106;961.000000;-38.000000;325.949310
107;958.000000;-38.000000;325.949310
108;959.000000;-38.000000;325.949310
109;960.000000;-38.000000;325.949310
110;958.000000;-38.000000;325.949310
111;958.000000;-38.000000;325.949310
112;959.000000;-38.000000;325.949310
113;958.000000;-38.000000;325.949310
114;959.000000;-38.000000;325.949310
115;962.000000;-38.000000;325.949310
116;960.000000;-38.000000;325.949310
117;961.000000;-38.000000;325.949310
118;959.000000;-39.000000;325.949310
119;955.000000;-39.000000;325.949310
120;956.000000;-39.000000;325.949310
121;954.000000;-39.000000;325.949310
122;956.000000;-39.000000;325.949310
123;958.000000;-39.000000;325.949310
124;957.000000;-39.000000;325.949310
125;958.000000;-39.000000;325.949310
126;959.000000;-39.000000;325.949310
127;957.000000;-39.000000;325.949310
128;958.000000;-39.000000;325.949310
129;956.000000;-39.000000;325.949310
130;956.000000;-39.000000;325.949310
131;959.000000;-39.000000;325.949310
132;958.000000;-39.000000;325.949310
133;958.000000;-39.000000;325.949310
134;959.000000;-39.000000;325.949310
135;958.000000;-39.000000;325.949310
136;957.000000;-39.000000;325.949310
