takt;q1;q2;q2p
0;394.000000;-16.000000;325.949310
1;674.000000;-22.000000;325.949310
2;712.000000;-20.000000;325.949310
3;596.000000;-9.000000;325.949310
4;223.000000;10.000000;325.949310
5;-434.000000;31.000000;325.949310
6;-1210.000000;56.000000;325.949310
7;-2161.000000;90.000000;325.949310
8;-3375.000000;141.000000;325.949310
9;-4630.000000;191.000000;325.949310
10;-5827.000000;238.000000;325.949310
11;-7073.000000;287.000000;325.949310
12;-8260.000000;338.000000;325.949310
13;-9286.000000;378.000000;325.949310
14;-10218.000000;414.000000;325.949310
15;-11049.000000;449.000000;325.949310
16;-11627.000000;473.000000;325.949310
17;-11999.000000;487.000000;325.949310
18;-12259.000000;498.000000;325.949310
19;-12338.000000;502.000000;325.949310
20;-12192.000000;497.000000;325.949310
21;-11935.000000;486.000000;325.949310
22;-11577.000000;472.000000;325.949310
23;-11064.000000;451.000000;325.949310
24;-10481.000000;427.000000;325.949310
25;-9884.000000;404.000000;325.949310
26;-9233.000000;378.000000;325.949310
27;-8537.000000;349.000000;325.949310
28;-7896.000000;324.000000;325.949310
29;-7286.000000;300.000000;325.949310
30;-6679.000000;275.000000;325.949310
31;-6152.000000;254.000000;325.949310
32;-5713.000000;237.000000;325.949310
33;-5339.000000;221.000000;325.949310
34;-5069.000000;210.000000;325.949310
35;-4956.000000;206.000000;325.949310
36;-4950.000000;205.000000;325.949310
37;-5033.000000;208.000000;325.949310
38;-5226.000000;215.000000;325.949310
39;-5499.000000;226.000000;325.949310
40;-5811.000000;239.000000;325.949310
41;-6171.000000;253.000000;325.949310
42;-6576.000000;270.000000;325.949310
43;-6981.000000;286.000000;325.949310
44;-7378.000000;302.000000;325.949310
45;-7786.000000;318.000000;325.949310
46;-8188.000000;335.000000;325.949310
47;-8548.000000;349.000000;325.949310
48;-8876.000000;362.000000;325.949310
49;-9170.000000;374.000000;325.949310
50;-9388.000000;383.000000;325.949310
51;-9542.000000;389.000000;325.949310
52;-9639.000000;393.000000;325.949310
53;-9663.000000;394.000000;325.949310
54;-9611.000000;393.000000;325.949310
55;-9521.000000;389.000000;325.949310
56;-9389.000000;384.000000;325.949310
57;-9215.000000;377.000000;325.949310
58;-9021.000000;369.000000;325.949310
59;-8814.000000;361.000000;325.949310
60;-8595.000000;352.000000;325.949310
61;-8375.000000;343.000000;325.949310
62;-8165.000000;335.000000;325.949310
63;-7963.000000;327.000000;325.949310
64;-7770.000000;319.000000;325.949310
65;-7593.000000;312.000000;325.949310
66;-7443.000000;306.000000;325.949310
67;-7314.000000;301.000000;325.949310
68;-7209.000000;297.000000;325.949310
69;-7137.000000;294.000000;325.949310
70;-7092.000000;292.000000;325.949310
71;-7073.000000;291.000000;325.949310
72;-7082.000000;291.000000;325.949310
73;-7121.000000;292.000000;325.949310
74;-7179.000000;294.000000;325.949310
75;-7252.000000;297.000000;325.949310
76;-7340.000000;300.000000;325.949310
77;-7434.000000;304.000000;325.949310
78;-7536.000000;308.000000;325.949310
79;-7645.000000;313.000000;325.949310
80;-7756.000000;317.000000;325.949310
81;-7860.000000;321.000000;325.949310
82;-7959.000000;325.000000;325.949310
83;-8050.000000;329.000000;325.949310
84;-8130.000000;332.000000;325.949310
85;-8194.000000;335.000000;325.949310
86;-8247.000000;337.000000;325.949310
87;-8283.000000;338.000000;325.949310
88;-8299.000000;339.000000;325.949310
89;-8304.000000;339.000000;325.949310
90;-8299.000000;339.000000;325.949310
91;-8283.000000;339.000000;325.949310
92;-8259.000000;338.000000;325.949310
93;-8230.000000;337.000000;325.949310
94;-8197.000000;336.000000;325.949310
95;-8165.000000;335.000000;325.949310
96;-8132.000000;333.000000;325.949310
97;-8102.000000;333.000000;325.949310
98;-8073.000000;331.000000;325.949310
99;-8044.000000;330.000000;325.949310
100;-8019.000000;329.000000;325.949310
101;-7996.000000;328.000000;325.949310
102;-7978.000000;328.000000;325.949310
103;-7966.000000;327.000000;325.949310
104;-7952.000000;326.000000;325.949310
105;-7939.000000;326.000000;325.949310
106;-7930.000000;326.000000;325.949310
107;-7927.000000;325.000000;325.949310
108;-7923.000000;325.000000;325.949310
109;-7919.000000;325.000000;325.949310
110;-7920.000000;325.000000;325.949310
111;-7919.000000;325.000000;325.949310
112;-7917.000000;325.000000;325.949310
113;-7919.000000;325.000000;325.949310
114;-7921.000000;325.000000;325.949310
115;-7920.000000;325.000000;325.949310
116;-7921.000000;325.000000;325.949310
117;-7924.000000;325.000000;325.949310
118;-7924.000000;325.000000;325.949310
119;-7924.000000;325.000000;325.949310
120;-7924.000000;325.000000;325.949310
121;-7923.000000;325.000000;325.949310
122;-7921.000000;325.000000;325.949310
123;-7919.000000;325.000000;325.949310
124;-7918.000000;325.000000;325.949310
125;-7914.000000;325.000000;325.949310
126;-7910.000000;325.000000;325.949310
127;-7909.000000;325.000000;325.949310
128;-7904.000000;324.000000;325.949310
129;-7903.000000;324.000000;325.949310
130;-7901.000000;324.000000;325.949310
131;-7897.000000;324.000000;325.949310
132;-7895.000000;324.000000;325.949310
