takt;q1;q2;q2p
0;398.000000;-16.000000;325.949310
1;677.000000;-15.000000;325.949310
2;569.000000;3.000000;325.949310
3;172.000000;18.000000;325.949310
4;-484.000000;43.000000;325.949310
5;-1501.000000;79.000000;325.949310
6;-2662.000000;120.000000;325.949310
7;-3901.000000;162.000000;325.949310
8;-5218.000000;213.000000;325.949310
9;-6518.000000;266.000000;325.949310
10;-7653.000000;312.000000;325.949310
11;-8631.000000;350.000000;325.949310
12;-9495.000000;386.000000;325.949310
13;-10179.000000;413.000000;325.949310
14;-10623.000000;432.000000;325.949310
15;-10885.000000;442.000000;325.949310
16;-10987.000000;447.000000;325.949310
17;-10917.000000;446.000000;325.949310
18;-10733.000000;439.000000;325.949310
19;-10488.000000;429.000000;325.949310
20;-10157.000000;416.000000;325.949310
21;-9769.000000;401.000000;325.949310
22;-9372.000000;385.000000;325.949310
23;-8966.000000;369.000000;325.949310
24;-8572.000000;353.000000;325.949310
25;-8234.000000;339.000000;325.949310
26;-7964.000000;328.000000;325.949310
27;-7733.000000;319.000000;325.949310
28;-7568.000000;312.000000;325.949310
29;-7462.000000;308.000000;325.949310
30;-7394.000000;305.000000;325.949310
31;-7378.000000;304.000000;325.949310
32;-7415.000000;305.000000;325.949310
33;-7483.000000;307.000000;325.949310
34;-7560.000000;311.000000;325.949310
35;-7658.000000;314.000000;325.949310
36;-7754.000000;318.000000;325.949310
37;-7846.000000;322.000000;325.949310
38;-7935.000000;325.000000;325.949310
39;-8016.000000;329.000000;325.949310
40;-8080.000000;331.000000;325.949310
41;-8119.000000;333.000000;325.949310
42;-8153.000000;334.000000;325.949310
43;-8168.000000;335.000000;325.949310
44;-8166.000000;335.000000;325.949310
45;-8157.000000;335.000000;325.949310
46;-8142.000000;335.000000;325.949310
47;-8125.000000;334.000000;325.949310
48;-8115.000000;334.000000;325.949310
49;-8112.000000;333.000000;325.949310
50;-8110.000000;333.000000;325.949310
51;-8109.000000;333.000000;325.949310
52;-8110.000000;333.000000;325.949310
53;-8109.000000;333.000000;325.949310
54;-8109.000000;333.000000;325.949310
55;-8112.000000;333.000000;325.949310
56;-8114.000000;333.000000;325.949310
57;-8113.000000;333.000000;325.949310
58;-8113.000000;333.000000;325.949310
59;-8111.000000;333.000000;325.949310
60;-8110.000000;333.000000;325.949310
61;-8108.000000;333.000000;325.949310
62;-8105.000000;333.000000;325.949310
63;-8103.000000;333.000000;325.949310
64;-8098.000000;333.000000;325.949310
65;-8093.000000;333.000000;325.949310
66;-8085.000000;332.000000;325.949310
67;-8079.000000;332.000000;325.949310
68;-8068.000000;332.000000;325.949310
69;-8059.000000;331.000000;325.949310
70;-8050.000000;331.000000;325.949310
71;-8041.000000;331.000000;325.949310
72;-8037.000000;331.000000;325.949310
73;-8037.000000;330.000000;325.949310
74;-8036.000000;330.000000;325.949310
75;-8036.000000;330.000000;325.949310
76;-8037.000000;330.000000;325.949310
77;-8037.000000;330.000000;325.949310
78;-8036.000000;330.000000;325.949310
79;-8035.000000;330.000000;325.949310
80;-8031.000000;330.000000;325.949310
81;-8027.000000;330.000000;325.949310
82;-8024.000000;330.000000;325.949310
83;-8021.000000;330.000000;325.949310
84;-8016.000000;329.000000;325.949310
85;-8014.000000;329.000000;325.949310
86;-8009.000000;329.000000;325.949310
87;-8005.000000;329.000000;325.949310
88;-8004.000000;329.000000;325.949310
89;-8000.000000;329.000000;325.949310
90;-7999.000000;329.000000;325.949310
91;-7998.000000;329.000000;325.949310
92;-7995.000000;329.000000;325.949310
93;-7994.000000;329.000000;325.949310
94;-7993.000000;329.000000;325.949310
95;-7989.000000;328.000000;325.949310
96;-7989.000000;328.000000;325.949310
