takt;q1;q2;q2p
0;375.000000;-16.000000;325.949310
1;632.000000;-17.000000;325.949310
2;646.000000;-4.000000;325.949310
3;432.000000;3.000000;325.949310
4;-27.000000;21.000000;325.949310
5;-787.000000;43.000000;325.949310
6;-1675.000000;71.000000;325.949310
7;-2670.000000;111.000000;325.949310
8;-3781.000000;155.000000;325.949310
9;-4864.000000;198.000000;325.949310
10;-5829.000000;237.000000;325.949310
11;-6747.000000;275.000000;325.949310
12;-7610.000000;310.000000;325.949310
13;-8315.000000;338.000000;325.949310
14;-8897.000000;361.000000;325.949310
15;-9362.000000;381.000000;325.949310
16;-9662.000000;393.000000;325.949310
17;-9824.000000;400.000000;325.949310
18;-9898.000000;403.000000;325.949310
19;-9883.000000;403.000000;325.949310
20;-9757.000000;399.000000;325.949310
21;-9586.000000;392.000000;325.949310
22;-9379.000000;384.000000;325.949310
23;-9132.000000;374.000000;325.949310
24;-8876.000000;363.000000;325.949310
25;-8631.000000;353.000000;325.949310
26;-8396.000000;344.000000;325.949310
27;-8163.000000;335.000000;325.949310
28;-7963.000000;327.000000;325.949310
29;-7785.000000;320.000000;325.949310
30;-7631.000000;314.000000;325.949310
31;-7513.000000;309.000000;325.949310
32;-7436.000000;306.000000;325.949310
33;-7387.000000;304.000000;325.949310
34;-7361.000000;303.000000;325.949310
35;-7375.000000;302.000000;325.949310
36;-7409.000000;303.000000;325.949310
37;-7465.000000;305.000000;325.949310
38;-7535.000000;308.000000;325.949310
39;-7618.000000;312.000000;325.949310
40;-7692.000000;315.000000;325.949310
41;-7763.000000;317.000000;325.949310
42;-7829.000000;320.000000;325.949310
43;-7879.000000;322.000000;325.949310
44;-7915.000000;324.000000;325.949310
45;-7943.000000;325.000000;325.949310
46;-7958.000000;325.000000;325.949310
47;-7959.000000;325.000000;325.949310
48;-7950.000000;325.000000;325.949310
49;-7935.000000;325.000000;325.949310
50;-7908.000000;324.000000;325.949310
51;-7889.000000;323.000000;325.949310
52;-7872.000000;323.000000;325.949310
53;-7855.000000;322.000000;325.949310
54;-7847.000000;322.000000;325.949310
55;-7845.000000;322.000000;325.949310
56;-7848.000000;322.000000;325.949310
57;-7853.000000;322.000000;325.949310
58;-7865.000000;322.000000;325.949310
59;-7872.000000;322.000000;325.949310
60;-7877.000000;322.000000;325.949310
61;-7878.000000;322.000000;325.949310
62;-7879.000000;322.000000;325.949310
63;-7878.000000;322.000000;325.949310
64;-7875.000000;322.000000;325.949310
