takt;q1;q2;q2p
0;237.000000;-10.000000;0.000000
1;402.000000;-13.000000;0.000000
2;428.000000;-15.000000;0.000000
3;400.000000;-15.000000;0.000000
4;281.000000;-11.000000;0.000000
5;77.000000;-2.000000;0.000000
6;-93.000000;4.000000;0.000000
7;-277.000000;10.000000;0.000000
8;-495.000000;19.000000;0.000000
9;-643.000000;26.000000;0.000000
10;-712.000000;28.000000;0.000000
11;-776.000000;31.000000;0.000000
12;-816.000000;33.000000;0.000000
13;-809.000000;33.000000;0.000000
14;-817.000000;33.000000;0.000000
15;-818.000000;33.000000;0.000000
16;-779.000000;32.000000;0.000000
17;-739.000000;31.000000;0.000000
18;-710.000000;30.000000;0.000000
19;-668.000000;28.000000;0.000000
20;-608.000000;25.000000;0.000000
21;-566.000000;24.000000;0.000000
22;-508.000000;22.000000;0.000000
23;-437.000000;19.000000;0.000000
24;-381.000000;16.000000;0.000000
25;-327.000000;14.000000;0.000000
26;-270.000000;12.000000;0.000000
27;-217.000000;9.000000;0.000000
28;-186.000000;8.000000;0.000000
29;-155.000000;7.000000;0.000000
30;-127.000000;6.000000;0.000000
31;-117.000000;5.000000;0.000000
32;-108.000000;5.000000;0.000000
33;-92.000000;4.000000;0.000000
34;-78.000000;3.000000;0.000000
35;-68.000000;3.000000;0.000000
36;-40.000000;2.000000;0.000000
37;-19.000000;1.000000;0.000000
38;-3.000000;1.000000;0.000000
39;26.000000;-1.000000;0.000000
40;54.000000;-2.000000;0.000000
41;73.000000;-2.000000;0.000000
42;88.000000;-3.000000;0.000000
43;103.000000;-4.000000;0.000000
44;102.000000;-4.000000;0.000000
45;103.000000;-4.000000;0.000000
46;104.000000;-4.000000;0.000000
47;96.000000;-4.000000;0.000000
48;91.000000;-4.000000;0.000000
49;88.000000;-4.000000;0.000000
50;86.000000;-4.000000;0.000000
51;83.000000;-4.000000;0.000000
52;84.000000;-4.000000;0.000000
53;83.000000;-4.000000;0.000000
54;84.000000;-4.000000;0.000000
55;87.000000;-4.000000;0.000000
56;84.000000;-4.000000;0.000000
57;84.000000;-4.000000;0.000000
58;83.000000;-4.000000;0.000000
59;80.000000;-4.000000;0.000000
60;78.000000;-4.000000;0.000000
