takt;q1;q2;q2p
0;281.000000;-12.000000;0.000000
1;457.000000;-16.000000;0.000000
2;470.000000;-17.000000;0.000000
3;404.000000;-16.000000;0.000000
4;233.000000;-10.000000;0.000000
5;-21.000000;0.000000;0.000000
6;-204.000000;6.000000;0.000000
7;-389.000000;14.000000;0.000000
8;-603.000000;23.000000;0.000000
9;-708.000000;27.000000;0.000000
10;-714.000000;27.000000;0.000000
11;-720.000000;28.000000;0.000000
12;-696.000000;28.000000;0.000000
13;-619.000000;25.000000;0.000000
14;-582.000000;23.000000;0.000000
15;-554.000000;22.000000;0.000000
16;-470.000000;19.000000;0.000000
17;-406.000000;17.000000;0.000000
18;-370.000000;15.000000;0.000000
19;-302.000000;12.000000;0.000000
20;-231.000000;9.000000;0.000000
21;-191.000000;7.000000;0.000000
22;-129.000000;5.000000;0.000000
23;-54.000000;2.000000;0.000000
24;-12.000000;0.000000;0.000000
25;17.000000;-1.000000;0.000000
26;55.000000;-3.000000;0.000000
27;72.000000;-3.000000;0.000000
28;66.000000;-3.000000;0.000000
29;80.000000;-4.000000;0.000000
30;76.000000;-4.000000;0.000000
31;59.000000;-4.000000;0.000000
32;57.000000;-4.000000;0.000000
33;56.000000;-4.000000;0.000000
34;52.000000;-4.000000;0.000000
35;51.000000;-4.000000;0.000000
36;54.000000;-4.000000;0.000000
37;52.000000;-4.000000;0.000000
38;55.000000;-4.000000;0.000000
39;58.000000;-4.000000;0.000000
40;58.000000;-4.000000;0.000000
41;58.000000;-4.000000;0.000000
42;55.000000;-4.000000;0.000000
43;55.000000;-4.000000;0.000000
44;54.000000;-4.000000;0.000000
45;53.000000;-4.000000;0.000000
46;51.000000;-4.000000;0.000000
47;47.000000;-3.000000;0.000000
48;44.000000;-3.000000;0.000000
49;34.000000;-3.000000;0.000000
50;27.000000;-3.000000;0.000000
51;23.000000;-2.000000;0.000000
52;17.000000;-2.000000;0.000000
53;15.000000;-2.000000;0.000000
54;15.000000;-2.000000;0.000000
55;11.000000;-2.000000;0.000000
56;10.000000;-2.000000;0.000000
57;11.000000;-2.000000;0.000000
58;10.000000;-2.000000;0.000000
59;7.000000;-2.000000;0.000000
60;3.000000;-2.000000;0.000000
61;0.000000;-1.000000;0.000000
62;1.000000;-1.000000;0.000000
63;-9.000000;-1.000000;0.000000
64;-18.000000;-1.000000;0.000000
65;-24.000000;0.000000;0.000000
66;-37.000000;0.000000;0.000000
67;-44.000000;0.000000;0.000000
68;-44.000000;0.000000;0.000000
69;-48.000000;0.000000;0.000000
70;-49.000000;1.000000;0.000000
71;-35.000000;1.000000;0.000000
72;-30.000000;1.000000;0.000000
73;-27.000000;1.000000;0.000000
74;-20.000000;0.000000;0.000000
75;-30.000000;0.000000;0.000000
76;-31.000000;0.000000;0.000000
77;-28.000000;0.000000;0.000000
78;-32.000000;0.000000;0.000000
79;-26.000000;0.000000;0.000000
80;-23.000000;0.000000;0.000000
81;-21.000000;0.000000;0.000000
82;-16.000000;0.000000;0.000000
83;-14.000000;0.000000;0.000000
84;-14.000000;0.000000;0.000000
85;-9.000000;0.000000;0.000000
86;-5.000000;0.000000;0.000000
87;-1.000000;-1.000000;0.000000
88;1.000000;-1.000000;0.000000
89;3.000000;-1.000000;0.000000
90;5.000000;-1.000000;0.000000
91;4.000000;-1.000000;0.000000
92;6.000000;-1.000000;0.000000
93;6.000000;-1.000000;0.000000
94;7.000000;-1.000000;0.000000
95;8.000000;-1.000000;0.000000
96;8.000000;-1.000000;0.000000
97;10.000000;-1.000000;0.000000
98;10.000000;-1.000000;0.000000
99;11.000000;-1.000000;0.000000
100;15.000000;-1.000000;0.000000
101;15.000000;-1.000000;0.000000
102;19.000000;-1.000000;0.000000
103;22.000000;-1.000000;0.000000
104;20.000000;-1.000000;0.000000
105;23.000000;-1.000000;0.000000
106;20.000000;-2.000000;0.000000
107;17.000000;-2.000000;0.000000
108;19.000000;-2.000000;0.000000
109;17.000000;-2.000000;0.000000
110;17.000000;-2.000000;0.000000
111;19.000000;-2.000000;0.000000
112;18.000000;-2.000000;0.000000
113;17.000000;-2.000000;0.000000
114;18.000000;-2.000000;0.000000
115;17.000000;-2.000000;0.000000
116;17.000000;-2.000000;0.000000
117;18.000000;-2.000000;0.000000
118;17.000000;-2.000000;0.000000
119;17.000000;-2.000000;0.000000
120;17.000000;-2.000000;0.000000
121;16.000000;-2.000000;0.000000
122;16.000000;-2.000000;0.000000
123;15.000000;-2.000000;0.000000
124;14.000000;-2.000000;0.000000
125;14.000000;-2.000000;0.000000
126;13.000000;-2.000000;0.000000
127;11.000000;-2.000000;0.000000
128;9.000000;-2.000000;0.000000
129;6.000000;-2.000000;0.000000
130;2.000000;-1.000000;0.000000
131;4.000000;-1.000000;0.000000
132;1.000000;-1.000000;0.000000
133;-1.000000;-1.000000;0.000000
134;-1.000000;-1.000000;0.000000
135;-4.000000;-1.000000;0.000000
136;-5.000000;-1.000000;0.000000
137;-6.000000;-1.000000;0.000000
138;-7.000000;-1.000000;0.000000
139;-10.000000;-1.000000;0.000000
140;-13.000000;-1.000000;0.000000
141;-14.000000;-1.000000;0.000000
142;-19.000000;-1.000000;0.000000
143;-21.000000;0.000000;0.000000
144;-27.000000;0.000000;0.000000
145;-30.000000;0.000000;0.000000
146;-28.000000;0.000000;0.000000
147;-30.000000;0.000000;0.000000
148;-29.000000;0.000000;0.000000
149;-28.000000;0.000000;0.000000
150;-30.000000;0.000000;0.000000
151;-27.000000;0.000000;0.000000
152;-28.000000;0.000000;0.000000
153;-27.000000;0.000000;0.000000
154;-26.000000;0.000000;0.000000
155;-26.000000;0.000000;0.000000
156;-23.000000;0.000000;0.000000
157;-23.000000;0.000000;0.000000
158;-23.000000;0.000000;0.000000
159;-22.000000;0.000000;0.000000
160;-20.000000;0.000000;0.000000
161;-18.000000;0.000000;0.000000
162;-16.000000;0.000000;0.000000
163;-12.000000;0.000000;0.000000
164;-7.000000;0.000000;0.000000
165;0.000000;-1.000000;0.000000
166;2.000000;-1.000000;0.000000
167;5.000000;-1.000000;0.000000
168;8.000000;-1.000000;0.000000
169;8.000000;-1.000000;0.000000
170;10.000000;-1.000000;0.000000
171;12.000000;-1.000000;0.000000
172;12.000000;-1.000000;0.000000
173;12.000000;-1.000000;0.000000
174;14.000000;-1.000000;0.000000
175;14.000000;-1.000000;0.000000
176;15.000000;-1.000000;0.000000
177;15.000000;-1.000000;0.000000
178;15.000000;-1.000000;0.000000
179;17.000000;-1.000000;0.000000
180;18.000000;-1.000000;0.000000
181;20.000000;-1.000000;0.000000
182;19.000000;-1.000000;0.000000
183;20.000000;-1.000000;0.000000
184;20.000000;-1.000000;0.000000
185;19.000000;-1.000000;0.000000
186;20.000000;-1.000000;0.000000
187;19.000000;-1.000000;0.000000
188;18.000000;-1.000000;0.000000
189;19.000000;-1.000000;0.000000
190;16.000000;-1.000000;0.000000
191;17.000000;-1.000000;0.000000
192;18.000000;-1.000000;0.000000
193;16.000000;-1.000000;0.000000
194;16.000000;-1.000000;0.000000
195;17.000000;-1.000000;0.000000
196;15.000000;-1.000000;0.000000
197;15.000000;-1.000000;0.000000
198;16.000000;-1.000000;0.000000
199;14.000000;-1.000000;0.000000
200;14.000000;-1.000000;0.000000
201;14.000000;-1.000000;0.000000
202;13.000000;-1.000000;0.000000
203;13.000000;-1.000000;0.000000
204;13.000000;-1.000000;0.000000
205;11.000000;-1.000000;0.000000
206;8.000000;-1.000000;0.000000
207;8.000000;-1.000000;0.000000
208;6.000000;-1.000000;0.000000
209;3.000000;-1.000000;0.000000
210;2.000000;-1.000000;0.000000
211;0.000000;-1.000000;0.000000
212;-2.000000;-1.000000;0.000000
213;-2.000000;-1.000000;0.000000
214;-4.000000;-1.000000;0.000000
215;-8.000000;-1.000000;0.000000
216;-9.000000;-1.000000;0.000000
217;-12.000000;-1.000000;0.000000
218;-19.000000;-1.000000;0.000000
219;-21.000000;-1.000000;0.000000
220;-25.000000;0.000000;0.000000
221;-26.000000;0.000000;0.000000
222;-24.000000;0.000000;0.000000
223;-26.000000;0.000000;0.000000
224;-27.000000;0.000000;0.000000
225;-27.000000;0.000000;0.000000
226;-26.000000;0.000000;0.000000
227;-26.000000;0.000000;0.000000
228;-26.000000;0.000000;0.000000
229;-26.000000;0.000000;0.000000
230;-25.000000;0.000000;0.000000
231;-22.000000;0.000000;0.000000
232;-23.000000;0.000000;0.000000
233;-23.000000;0.000000;0.000000
234;-22.000000;0.000000;0.000000
235;-21.000000;0.000000;0.000000
236;-18.000000;0.000000;0.000000
237;-17.000000;0.000000;0.000000
238;-17.000000;0.000000;0.000000
239;-14.000000;0.000000;0.000000
240;-12.000000;0.000000;0.000000
241;-11.000000;0.000000;0.000000
242;-10.000000;0.000000;0.000000
243;-6.000000;0.000000;0.000000
244;-4.000000;0.000000;0.000000
245;-2.000000;-1.000000;0.000000
246;0.000000;-1.000000;0.000000
247;1.000000;-1.000000;0.000000
248;2.000000;-1.000000;0.000000
249;5.000000;-1.000000;0.000000
250;6.000000;-1.000000;0.000000
251;7.000000;-1.000000;0.000000
252;9.000000;-1.000000;0.000000
253;10.000000;-1.000000;0.000000
254;11.000000;-1.000000;0.000000
255;12.000000;-1.000000;0.000000
256;12.000000;-1.000000;0.000000
257;13.000000;-1.000000;0.000000
258;16.000000;-1.000000;0.000000
259;14.000000;-1.000000;0.000000
260;16.000000;-1.000000;0.000000
261;16.000000;-1.000000;0.000000
262;16.000000;-1.000000;0.000000
263;18.000000;-1.000000;0.000000
264;18.000000;-1.000000;0.000000
265;18.000000;-1.000000;0.000000
266;18.000000;-1.000000;0.000000
267;17.000000;-1.000000;0.000000
268;17.000000;-1.000000;0.000000
269;17.000000;-1.000000;0.000000
270;17.000000;-1.000000;0.000000
271;17.000000;-1.000000;0.000000
272;17.000000;-1.000000;0.000000
273;17.000000;-1.000000;0.000000
274;15.000000;-1.000000;0.000000
275;15.000000;-1.000000;0.000000
276;15.000000;-1.000000;0.000000
277;12.000000;-1.000000;0.000000
278;13.000000;-1.000000;0.000000
279;12.000000;-1.000000;0.000000
280;11.000000;-1.000000;0.000000
281;12.000000;-1.000000;0.000000
282;10.000000;-1.000000;0.000000
283;9.000000;-1.000000;0.000000
284;9.000000;-1.000000;0.000000
285;8.000000;-1.000000;0.000000
286;7.000000;-1.000000;0.000000
287;6.000000;-1.000000;0.000000
288;5.000000;-1.000000;0.000000
289;3.000000;-1.000000;0.000000
290;2.000000;-1.000000;0.398428
291;2.000000;-1.000000;574.672180
292;-5.000000;-1.000000;1148.945923
293;-18.000000;0.000000;1723.219727
294;-45.000000;1.000000;2297.493408
295;-92.000000;3.000000;2871.767334
296;-177.000000;7.000000;3446.041016
297;-301.000000;12.000000;4020.314941
298;-478.000000;19.000000;4594.588379
299;-712.000000;29.000000;5168.862305
300;-1000.000000;41.000000;5743.136230
301;-1350.000000;55.000000;6317.409668
302;-1759.000000;72.000000;6891.683594
303;-2209.000000;90.000000;7465.957520
304;-2700.000000;110.000000;8040.231445
305;-3231.000000;132.000000;8614.504883
306;-3785.000000;154.000000;9188.778320
307;-4354.000000;178.000000;9763.051758
308;-4939.000000;202.000000;10337.326172
309;-5529.000000;226.000000;10911.599609
310;-6117.000000;250.000000;11485.874023
311;-6728.000000;275.000000;12060.148438
312;-7346.000000;300.000000;12634.420898
313;-7965.000000;325.000000;13208.695312
314;-8596.000000;351.000000;13782.968750
315;-9236.000000;377.000000;14357.242188
316;-9862.000000;403.000000;14931.516602
317;-10484.000000;428.000000;15505.790039
318;-11099.000000;454.000000;15915.494141
319;-11701.000000;478.000000;15915.494141
320;-12296.000000;502.000000;15915.494141
321;-12887.000000;526.000000;15915.494141
322;-13466.000000;550.000000;15915.494141
323;-14004.000000;572.000000;15915.494141
324;-14510.000000;592.000000;15915.494141
325;-14983.000000;612.000000;15915.494141
326;-15385.000000;628.000000;15915.494141
327;-15727.000000;642.000000;15915.494141
328;-16019.000000;654.000000;15915.494141
329;-16249.000000;663.000000;15915.494141
330;-16422.000000;670.000000;15915.494141
331;-16572.000000;677.000000;15915.494141
332;-16681.000000;681.000000;15915.494141
333;-16751.000000;684.000000;15915.494141
334;-16799.000000;686.000000;15915.494141
335;-16828.000000;687.000000;15915.494141
336;-16826.000000;687.000000;15915.494141
337;-16811.000000;687.000000;15915.494141
338;-16793.000000;687.000000;15915.494141
339;-16755.000000;685.000000;15915.494141
340;-16707.000000;683.000000;15915.494141
341;-16670.000000;682.000000;15915.494141
342;-16627.000000;680.000000;15915.494141
343;-16585.000000;679.000000;15915.494141
344;-16552.000000;677.000000;15915.494141
345;-16511.000000;675.000000;15915.494141
346;-16470.000000;674.000000;15915.494141
347;-16432.000000;672.000000;15915.494141
348;-16389.000000;671.000000;15915.494141
349;-16340.000000;668.000000;15915.494141
350;-16284.000000;666.000000;15915.494141
351;-16232.000000;664.000000;15915.494141
352;-16176.000000;662.000000;15915.494141
353;-16117.000000;659.000000;15915.494141
354;-16065.000000;657.000000;15915.494141
355;-16019.000000;656.000000;15915.494141
356;-15972.000000;654.000000;15915.494141
357;-15934.000000;652.000000;15915.494141
358;-15902.000000;651.000000;15915.494141
359;-15876.000000;650.000000;15915.494141
360;-15858.000000;649.000000;15915.494141
361;-15846.000000;648.000000;15915.494141
362;-15839.000000;648.000000;15915.494141
363;-15831.000000;648.000000;15915.494141
364;-15828.000000;648.000000;15915.494141
365;-15831.000000;648.000000;15915.494141
366;-15826.000000;648.000000;15915.494141
367;-15824.000000;648.000000;15915.494141
368;-15832.000000;647.000000;15915.494141
369;-15836.000000;647.000000;15915.494141
370;-15837.000000;647.000000;15915.494141
371;-15845.000000;647.000000;15915.494141
372;-15849.000000;648.000000;15915.494141
373;-15845.000000;648.000000;15915.494141
374;-15849.000000;648.000000;15915.494141
375;-15852.000000;648.000000;15915.494141
376;-15850.000000;648.000000;15915.494141
377;-15854.000000;648.000000;15915.494141
378;-15860.000000;648.000000;15915.494141
379;-15864.000000;648.000000;15915.494141
380;-15870.000000;648.000000;15915.494141
381;-15873.000000;649.000000;15915.494141
382;-15877.000000;649.000000;15915.494141
383;-15880.000000;649.000000;15915.494141
384;-15883.000000;649.000000;15915.494141
385;-15889.000000;649.000000;15915.494141
386;-15894.000000;650.000000;15915.494141
387;-15895.000000;650.000000;15915.494141
388;-15900.000000;650.000000;15915.494141
389;-15909.000000;650.000000;15915.494141
390;-15914.000000;651.000000;15915.494141
391;-15920.000000;651.000000;15915.494141
392;-15928.000000;651.000000;15915.494141
393;-15933.000000;651.000000;15915.494141
394;-15942.000000;652.000000;15915.494141
395;-15947.000000;652.000000;15915.494141
396;-15952.000000;652.000000;15915.494141
397;-15953.000000;652.000000;15915.494141
398;-15953.000000;652.000000;15915.494141
399;-15957.000000;652.000000;15915.494141
400;-15957.000000;652.000000;15915.494141
401;-15956.000000;652.000000;15915.494141
402;-15957.000000;652.000000;15915.494141
403;-15959.000000;652.000000;15915.494141
404;-15958.000000;652.000000;15915.494141
405;-15958.000000;652.000000;15915.494141
406;-15960.000000;652.000000;15915.494141
407;-15957.000000;652.000000;15915.494141
408;-15955.000000;652.000000;15915.494141
409;-15954.000000;652.000000;15915.494141
410;-15950.000000;652.000000;15915.494141
411;-15945.000000;652.000000;15915.494141
412;-15942.000000;652.000000;15915.494141
413;-15937.000000;652.000000;15915.494141
414;-15931.000000;652.000000;15915.494141
415;-15928.000000;652.000000;15915.494141
416;-15925.000000;652.000000;15915.494141
417;-15918.000000;652.000000;15915.494141
418;-15919.000000;651.000000;15915.494141
419;-15920.000000;651.000000;15915.494141
420;-15918.000000;651.000000;15915.494141
421;-15919.000000;651.000000;15915.494141
422;-15919.000000;651.000000;15915.494141
423;-15915.000000;651.000000;15915.494141
424;-15914.000000;651.000000;15915.494141
425;-15912.000000;651.000000;15915.494141
426;-15908.000000;651.000000;15915.494141
427;-15908.000000;651.000000;15915.494141
428;-15906.000000;651.000000;15915.494141
429;-15904.000000;651.000000;15915.494141
430;-15904.000000;651.000000;15915.494141
431;-15900.000000;651.000000;15915.494141
432;-15900.000000;651.000000;15915.494141
433;-15897.000000;651.000000;15915.494141
434;-15897.000000;650.000000;15915.494141
435;-15899.000000;650.000000;15915.494141
436;-15898.000000;650.000000;15915.494141
437;-15898.000000;650.000000;15915.494141
438;-15900.000000;650.000000;15915.494141
439;-15899.000000;650.000000;15915.494141
440;-15898.000000;650.000000;15915.494141
441;-15899.000000;650.000000;15915.494141
442;-15897.000000;650.000000;15915.494141
443;-15897.000000;650.000000;15915.494141
444;-15897.000000;650.000000;15915.494141
445;-15898.000000;650.000000;15915.494141
446;-15898.000000;650.000000;15915.494141
447;-15898.000000;650.000000;15915.494141
448;-15898.000000;650.000000;15915.494141
449;-15899.000000;650.000000;15915.494141
450;-15901.000000;650.000000;15915.494141
451;-15901.000000;650.000000;15915.494141
452;-15902.000000;650.000000;15915.494141
453;-15902.000000;650.000000;15915.494141
454;-15904.000000;650.000000;15915.494141
455;-15906.000000;650.000000;15915.494141
456;-15908.000000;650.000000;15915.494141
457;-15911.000000;650.000000;15915.494141
458;-15912.000000;650.000000;15915.494141
459;-15915.000000;650.000000;15915.494141
460;-15918.000000;651.000000;15915.494141
461;-15914.000000;651.000000;15915.494141
462;-15914.000000;651.000000;15915.494141
463;-15917.000000;651.000000;15915.494141
464;-15915.000000;651.000000;15915.494141
465;-15919.000000;651.000000;15915.494141
466;-15923.000000;651.000000;15915.494141
467;-15922.000000;651.000000;15915.494141
468;-15926.000000;651.000000;15915.494141
469;-15930.000000;651.000000;15915.494141
470;-15929.000000;651.000000;15915.494141
471;-15929.000000;651.000000;15915.494141
472;-15930.000000;651.000000;15915.494141
473;-15928.000000;651.000000;15915.494141
474;-15931.000000;651.000000;15915.494141
475;-15932.000000;651.000000;15915.494141
476;-15930.000000;651.000000;15915.494141
477;-15933.000000;651.000000;15915.494141
478;-15933.000000;651.000000;15915.494141
479;-15934.000000;651.000000;15915.494141
480;-15939.000000;651.000000;15915.494141
481;-15939.000000;651.000000;15915.494141
482;-15938.000000;651.000000;15915.494141
483;-15941.000000;651.000000;15915.494141
484;-15939.000000;651.000000;15915.494141
485;-15938.000000;651.000000;15915.494141
486;-15942.000000;651.000000;15915.494141
487;-15933.000000;652.000000;15915.494141
488;-15928.000000;652.000000;15915.494141
489;-15932.000000;652.000000;15915.494141
490;-15924.000000;652.000000;15915.494141
491;-15915.000000;651.000000;15915.494141
492;-15922.000000;651.000000;15915.494141
493;-15918.000000;651.000000;15915.494141
494;-15913.000000;651.000000;15915.494141
495;-15924.000000;651.000000;15915.494141
496;-15924.000000;651.000000;15915.494141
497;-15914.000000;651.000000;15915.494141
498;-15917.000000;651.000000;15915.494141
499;-15917.000000;651.000000;15915.494141
500;-15905.000000;651.000000;15915.494141
501;-15905.000000;651.000000;15915.494141
502;-15906.000000;651.000000;15915.494141
503;-15897.000000;651.000000;15915.494141
504;-15903.000000;650.000000;15915.494141
505;-15910.000000;650.000000;15915.494141
506;-15905.000000;650.000000;15915.494141
507;-15906.000000;650.000000;15915.494141
508;-15911.000000;650.000000;15915.494141
509;-15908.000000;650.000000;15915.494141
510;-15910.000000;650.000000;15915.494141
511;-15913.000000;650.000000;15915.494141
512;-15910.000000;650.000000;15915.494141
513;-15909.000000;650.000000;15915.494141
514;-15913.000000;650.000000;15915.494141
515;-15913.000000;650.000000;15915.494141
516;-15912.000000;650.000000;15915.494141
517;-15911.000000;650.000000;15915.494141
518;-15911.000000;650.000000;15915.494141
519;-15912.000000;650.000000;15915.494141
520;-15912.000000;650.000000;15915.494141
521;-15912.000000;650.000000;15915.494141
522;-15913.000000;650.000000;15915.494141
523;-15912.000000;650.000000;15915.494141
524;-15912.000000;650.000000;15915.494141
525;-15913.000000;650.000000;15915.494141
526;-15912.000000;650.000000;15915.494141
527;-15911.000000;650.000000;15915.494141
528;-15912.000000;650.000000;15915.494141
529;-15911.000000;650.000000;15915.494141
530;-15911.000000;650.000000;15915.494141
531;-15913.000000;650.000000;15915.494141
532;-15912.000000;650.000000;15915.494141
533;-15912.000000;650.000000;15915.494141
534;-15913.000000;650.000000;15915.494141
535;-15912.000000;650.000000;15915.494141
536;-15911.000000;650.000000;15915.494141
537;-15912.000000;650.000000;15915.494141
538;-15911.000000;650.000000;15915.494141
539;-15911.000000;650.000000;15915.494141
