takt;q1;q2;q2p
0;247.000000;-10.000000;0.000000
1;406.000000;-13.000000;0.000000
2;420.000000;-15.000000;0.000000
3;365.000000;-14.000000;0.000000
4;213.000000;-8.000000;0.000000
5;-22.000000;1.000000;0.000000
6;-215.000000;8.000000;0.000000
7;-409.000000;15.000000;0.000000
8;-625.000000;24.000000;0.000000
9;-749.000000;29.000000;0.000000
10;-773.000000;30.000000;0.000000
11;-775.000000;30.000000;0.000000
12;-747.000000;30.000000;0.000000
13;-661.000000;27.000000;0.000000
14;-596.000000;24.000000;0.000000
15;-550.000000;23.000000;0.000000
16;-459.000000;19.000000;0.000000
17;-387.000000;16.000000;0.000000
18;-350.000000;15.000000;0.000000
19;-297.000000;12.000000;0.000000
20;-239.000000;10.000000;0.000000
21;-218.000000;9.000000;0.000000
22;-181.000000;8.000000;0.000000
23;-119.000000;5.000000;0.000000
24;-90.000000;4.000000;0.000000
25;-70.000000;3.000000;0.000000
26;-29.000000;1.000000;0.000000
27;-14.000000;1.000000;0.000000
28;-17.000000;1.000000;0.000000
29;-5.000000;1.000000;0.000000
30;-5.000000;0.000000;0.000000
31;-25.000000;1.000000;0.000000
32;-25.000000;1.000000;0.000000
33;-19.000000;1.000000;0.000000
34;-21.000000;1.000000;0.000000
35;-11.000000;1.000000;0.000000
36;6.000000;0.000000;0.000000
37;11.000000;0.000000;0.000000
38;21.000000;0.000000;0.000000
39;39.000000;-1.000000;0.000000
40;53.000000;-2.000000;0.000000
41;60.000000;-2.000000;0.000000
42;71.000000;-3.000000;0.000000
43;72.000000;-3.000000;0.000000
44;66.000000;-3.000000;0.000000
45;65.000000;-3.000000;0.000000
46;60.000000;-3.000000;0.000000
47;48.000000;-3.000000;0.000000
48;37.000000;-2.000000;0.000000
49;36.000000;-2.000000;0.000000
50;31.000000;-2.000000;0.000000
51;28.000000;-2.000000;0.000000
52;28.000000;-2.000000;0.000000
53;23.000000;-1.000000;0.000000
54;24.000000;-1.000000;0.000000
55;25.000000;-1.000000;0.000000
56;25.000000;-1.000000;0.000000
57;25.000000;-1.000000;0.000000
58;26.000000;-1.000000;0.000000
59;25.000000;-1.000000;0.000000
60;25.000000;-1.000000;0.000000
61;22.000000;-1.000000;0.000000
62;16.000000;-1.000000;0.000000
63;10.000000;-1.000000;0.000000
64;1.000000;-1.000000;0.000000
65;-7.000000;0.000000;0.000000
66;-9.000000;0.000000;0.000000
67;-14.000000;0.000000;0.000000
68;-17.000000;0.000000;0.000000
69;-16.000000;0.000000;0.000000
70;-15.000000;0.000000;0.000000
71;-13.000000;0.000000;0.000000
72;-9.000000;0.000000;0.000000
73;-8.000000;0.000000;0.000000
74;-11.000000;0.000000;0.000000
75;-9.000000;0.000000;0.000000
76;-8.000000;0.000000;0.000000
77;-10.000000;0.000000;0.000000
78;-9.000000;0.000000;0.000000
79;-11.000000;0.000000;0.000000
80;-13.000000;0.000000;0.000000
81;-12.000000;0.000000;0.000000
82;-12.000000;0.000000;0.000000
83;-13.000000;0.000000;0.000000
84;-11.000000;0.000000;0.000000
85;-10.000000;0.000000;0.000000
86;-10.000000;0.000000;0.000000
87;-8.000000;0.000000;0.000000
88;-8.000000;0.000000;0.000000
89;-9.000000;0.000000;0.000000
90;-9.000000;0.000000;0.000000
91;-9.000000;0.000000;0.000000
92;-9.000000;0.000000;0.000000
93;-9.000000;0.000000;0.000000
94;-10.000000;0.000000;0.000000
95;-11.000000;0.000000;0.000000
96;-11.000000;0.000000;0.000000
97;-10.000000;0.000000;0.000000
98;-10.000000;0.000000;0.000000
99;-10.000000;0.000000;0.000000
100;-8.000000;0.000000;0.000000
101;-9.000000;0.000000;0.000000
102;-9.000000;0.000000;0.000000
103;-9.000000;0.000000;0.000000
104;-10.000000;0.000000;0.000000
105;-10.000000;0.000000;0.000000
106;-10.000000;0.000000;0.000000
107;-11.000000;0.000000;0.000000
108;-11.000000;0.000000;0.000000
109;-10.000000;0.000000;0.000000
110;-11.000000;0.000000;0.000000
111;-10.000000;0.000000;0.000000
112;-9.000000;0.000000;0.000000
113;-10.000000;0.000000;0.000000
114;-7.000000;0.000000;0.000000
115;-6.000000;0.000000;0.000000
116;-6.000000;0.000000;0.000000
117;-6.000000;0.000000;0.000000
118;-6.000000;0.000000;0.000000
119;-7.000000;0.000000;0.000000
120;-6.000000;0.000000;0.000000
121;-5.000000;0.000000;0.000000
122;-5.000000;0.000000;0.000000
123;-2.000000;0.000000;0.000000
124;0.000000;0.000000;0.000000
125;-1.000000;0.000000;0.000000
126;1.000000;0.000000;0.000000
127;3.000000;0.000000;0.000000
128;0.000000;0.000000;0.000000
129;3.000000;0.000000;0.000000
130;5.000000;0.000000;0.000000
131;3.000000;0.000000;0.000000
132;6.000000;0.000000;0.000000
133;9.000000;0.000000;0.000000
134;7.000000;0.000000;0.000000
135;11.000000;0.000000;0.000000
136;15.000000;0.000000;0.000000
137;14.000000;0.000000;0.000000
138;16.000000;0.000000;0.000000
139;18.000000;0.000000;0.000000
140;15.000000;0.000000;0.000000
141;16.000000;0.000000;0.000000
142;18.000000;0.000000;0.000000
143;15.000000;0.000000;0.000000
144;17.000000;0.000000;0.000000
145;19.000000;-1.000000;0.000000
146;13.000000;-1.000000;0.000000
147;14.000000;-1.000000;0.000000
148;14.000000;-1.000000;0.000000
149;11.000000;-1.000000;0.000000
