takt;q1;q2;q2p
0;270.000000;-11.000000;0.000000
1;444.000000;-15.000000;0.000000
2;470.000000;-17.000000;0.000000
3;412.000000;-16.000000;0.000000
4;257.000000;-10.000000;0.000000
5;12.000000;0.000000;0.000000
6;-186.000000;6.000000;0.000000
7;-386.000000;14.000000;0.000000
8;-606.000000;23.000000;0.000000
9;-729.000000;28.000000;0.000000
10;-760.000000;30.000000;0.000000
11;-771.000000;31.000000;0.000000
12;-746.000000;30.000000;0.000000
13;-670.000000;27.000000;0.000000
14;-614.000000;25.000000;0.000000
15;-569.000000;23.000000;0.000000
16;-479.000000;19.000000;0.000000
17;-402.000000;17.000000;0.000000
18;-350.000000;14.000000;0.000000
19;-287.000000;12.000000;0.000000
20;-214.000000;8.000000;0.000000
21;-174.000000;7.000000;0.000000
22;-121.000000;5.000000;0.000000
23;-59.000000;3.000000;0.000000
24;-23.000000;1.000000;0.000000
25;0.000000;0.000000;0.000000
26;32.000000;-2.000000;0.000000
27;46.000000;-2.000000;0.000000
28;38.000000;-2.000000;0.000000
29;38.000000;-2.000000;0.000000
30;32.000000;-2.000000;0.000000
31;14.000000;-2.000000;0.000000
32;8.000000;-1.000000;0.000000
33;7.000000;-1.000000;0.000000
34;4.000000;-1.000000;0.000000
35;7.000000;-1.000000;0.000000
36;18.000000;-1.000000;0.000000
37;28.000000;-1.000000;0.000000
38;38.000000;-2.000000;0.000000
39;44.000000;-2.000000;0.000000
40;52.000000;-2.000000;0.000000
41;55.000000;-2.000000;0.000000
42;54.000000;-2.000000;0.000000
43;59.000000;-2.000000;0.000000
44;54.000000;-2.000000;0.000000
45;49.000000;-2.000000;0.000000
46;50.000000;-2.000000;0.000000
47;42.000000;-2.000000;0.000000
48;33.000000;-2.000000;0.000000
49;30.000000;-2.000000;0.000000
50;21.000000;-2.000000;0.000000
51;11.000000;-1.000000;0.000000
52;18.000000;-1.000000;0.000000
53;17.000000;-1.000000;0.000000
54;15.000000;-1.000000;0.000000
55;25.000000;-1.000000;0.000000
56;27.000000;-1.000000;0.000000
57;27.000000;-1.000000;0.000000
