takt;q1;q2;q2p
0;266.000000;-11.000000;0.000000
1;435.000000;-15.000000;0.000000
2;469.000000;-16.000000;0.000000
3;431.000000;-16.000000;0.000000
4;300.000000;-11.000000;0.000000
5;81.000000;-2.000000;0.000000
6;-89.000000;3.000000;0.000000
7;-271.000000;10.000000;0.000000
8;-491.000000;19.000000;0.000000
9;-623.000000;24.000000;0.000000
10;-674.000000;26.000000;0.000000
11;-722.000000;28.000000;0.000000
12;-739.000000;30.000000;0.000000
13;-697.000000;28.000000;0.000000
14;-688.000000;27.000000;0.000000
15;-678.000000;27.000000;0.000000
16;-598.000000;24.000000;0.000000
17;-542.000000;22.000000;0.000000
18;-500.000000;20.000000;0.000000
19;-421.000000;17.000000;0.000000
20;-347.000000;14.000000;0.000000
21;-298.000000;12.000000;0.000000
22;-213.000000;8.000000;0.000000
23;-123.000000;5.000000;0.000000
24;-77.000000;3.000000;0.000000
25;-16.000000;1.000000;0.000000
26;46.000000;-2.000000;0.000000
27;74.000000;-3.000000;0.000000
28;84.000000;-3.000000;0.000000
29;101.000000;-4.000000;0.000000
30;95.000000;-4.000000;0.000000
31;87.000000;-4.000000;0.000000
32;96.000000;-4.000000;0.000000
33;92.000000;-4.000000;0.000000
34;89.000000;-4.000000;0.000000
35;95.000000;-4.000000;0.000000
36;89.000000;-4.000000;0.000000
37;92.000000;-4.000000;0.000000
38;93.000000;-4.000000;0.000000
39;90.000000;-4.000000;0.000000
40;95.000000;-4.000000;0.000000
41;89.000000;-4.000000;0.000000
42;86.000000;-4.000000;0.000000
43;86.000000;-4.000000;0.000000
44;82.000000;-4.000000;0.000000
45;82.000000;-4.000000;0.000000
46;79.000000;-4.000000;0.000000
47;71.000000;-3.000000;0.000000
48;66.000000;-3.000000;0.000000
49;56.000000;-3.000000;0.000000
50;45.000000;-2.000000;0.000000
51;37.000000;-2.000000;0.000000
52;23.000000;-1.000000;0.000000
53;21.000000;-1.000000;0.000000
54;10.000000;-1.000000;0.000000
55;1.000000;0.000000;0.000000
56;5.000000;0.000000;0.000000
57;-3.000000;0.000000;0.000000
58;-5.000000;0.000000;0.000000
59;-5.000000;0.000000;0.000000
60;-12.000000;0.000000;0.000000
61;-18.000000;0.000000;0.000000
62;-23.000000;1.000000;0.000000
63;-30.000000;1.000000;0.000000
64;-44.000000;1.000000;0.000000
65;-48.000000;2.000000;0.000000
66;-59.000000;2.000000;0.000000
67;-71.000000;2.000000;0.000000
68;-72.000000;3.000000;0.000000
69;-74.000000;3.000000;0.000000
70;-77.000000;3.000000;0.000000
71;-71.000000;3.000000;0.000000
72;-75.000000;3.000000;0.000000
73;-74.000000;3.000000;0.000000
74;-71.000000;3.000000;0.000000
75;-76.000000;3.000000;0.000000
76;-70.000000;3.000000;0.000000
77;-74.000000;3.000000;0.000000
78;-71.000000;3.000000;0.000000
79;-64.000000;3.000000;0.000000
80;-69.000000;3.000000;0.000000
81;-62.000000;2.000000;0.000000
82;-65.000000;2.000000;0.000000
83;-60.000000;2.000000;0.000000
84;-52.000000;2.000000;0.000000
85;-49.000000;2.000000;0.000000
86;-38.000000;2.000000;0.000000
87;-33.000000;1.000000;0.000000
88;-21.000000;1.000000;0.000000
89;-9.000000;0.000000;0.000000
90;-5.000000;0.000000;0.000000
91;2.000000;0.000000;0.000000
92;11.000000;-1.000000;0.000000
93;9.000000;-1.000000;0.000000
94;17.000000;-1.000000;0.000000
95;22.000000;-1.000000;0.000000
96;20.000000;-1.000000;0.000000
97;30.000000;-1.000000;0.000000
98;35.000000;-1.000000;0.000000
99;35.000000;-2.000000;0.000000
100;40.000000;-2.000000;0.000000
101;43.000000;-2.000000;0.000000
102;42.000000;-2.000000;0.000000
103;47.000000;-2.000000;0.000000
104;47.000000;-2.000000;0.000000
105;46.000000;-2.000000;0.000000
106;48.000000;-2.000000;0.000000
107;46.000000;-2.000000;0.000000
108;47.000000;-2.000000;0.000000
109;46.000000;-2.000000;0.000000
110;45.000000;-2.000000;0.000000
111;49.000000;-2.000000;0.000000
112;45.000000;-2.000000;0.000000
113;44.000000;-2.000000;0.000000
114;45.000000;-2.000000;0.000000
