takt;q1;q2;q2p
0;273.000000;-11.000000;0.000000
1;466.000000;-16.000000;0.000000
2;531.000000;-20.000000;0.000000
3;521.000000;-20.000000;0.000000
4;401.000000;-16.000000;0.000000
5;176.000000;-7.000000;0.000000
6;-51.000000;1.000000;0.000000
7;-308.000000;11.000000;0.000000
8;-610.000000;23.000000;0.000000
9;-853.000000;33.000000;0.000000
10;-1014.000000;39.000000;0.000000
11;-1138.000000;44.000000;0.000000
12;-1202.000000;47.000000;0.000000
13;-1180.000000;46.000000;0.000000
14;-1127.000000;44.000000;0.000000
15;-1048.000000;41.000000;0.000000
16;-902.000000;36.000000;0.000000
17;-739.000000;29.000000;0.000000
18;-576.000000;23.000000;0.000000
19;-396.000000;15.000000;0.000000
20;-214.000000;9.000000;0.000000
21;-63.000000;3.000000;0.000000
22;85.000000;-3.000000;0.000000
23;221.000000;-9.000000;0.000000
24;318.000000;-12.000000;0.000000
25;382.000000;-15.000000;0.000000
26;422.000000;-17.000000;0.000000
27;432.000000;-18.000000;0.000000
28;401.000000;-17.000000;0.000000
29;351.000000;-15.000000;0.000000
30;292.000000;-13.000000;0.000000
31;206.000000;-10.000000;0.000000
32;119.000000;-6.000000;0.000000
33;40.000000;-3.000000;0.000000
34;-31.000000;0.000000;0.000000
35;-97.000000;2.000000;0.000000
36;-139.000000;4.000000;0.000000
37;-166.000000;5.000000;0.000000
38;-177.000000;5.000000;0.000000
39;-158.000000;5.000000;0.000000
40;-122.000000;4.000000;0.000000
41;-88.000000;3.000000;0.000000
42;-43.000000;1.000000;0.000000
43;8.000000;-1.000000;0.000000
44;43.000000;-2.000000;0.000000
45;72.000000;-3.000000;0.000000
46;102.000000;-4.000000;0.000000
47;115.000000;-5.000000;0.000000
48;105.000000;-5.000000;0.000000
49;95.000000;-5.000000;0.000000
50;79.000000;-5.000000;0.000000
51;52.000000;-4.000000;0.000000
52;28.000000;-2.000000;0.000000
53;13.000000;-2.000000;0.000000
54;-9.000000;-1.000000;0.000000
55;-23.000000;0.000000;0.000000
56;-22.000000;0.000000;0.000000
57;-18.000000;0.000000;0.000000
58;-11.000000;0.000000;0.000000
59;3.000000;0.000000;0.000000
60;15.000000;-1.000000;0.000000
61;24.000000;-1.000000;0.000000
62;35.000000;-2.000000;0.000000
63;41.000000;-2.000000;0.000000
64;43.000000;-2.000000;0.000000
65;39.000000;-2.000000;0.000000
66;31.000000;-2.000000;0.000000
67;21.000000;-2.000000;0.000000
68;6.000000;-2.000000;0.000000
69;-6.000000;-1.000000;0.000000
70;-18.000000;-1.000000;0.000000
71;-25.000000;0.000000;0.000000
72;-27.000000;0.000000;0.000000
73;-26.000000;0.000000;0.000000
74;-22.000000;0.000000;0.000000
75;-17.000000;0.000000;0.000000
76;-12.000000;0.000000;0.000000
77;-7.000000;0.000000;0.000000
78;-3.000000;0.000000;0.000000
79;-1.000000;0.000000;0.000000
80;0.000000;0.000000;0.000000
81;0.000000;0.000000;0.000000
82;0.000000;0.000000;0.000000
83;0.000000;0.000000;0.000000
84;0.000000;0.000000;0.000000
85;2.000000;0.000000;0.000000
86;0.000000;-1.000000;0.000000
87;-2.000000;-1.000000;0.000000
88;-2.000000;-1.000000;0.000000
89;-4.000000;-1.000000;0.000000
90;-7.000000;-1.000000;0.000000
91;-7.000000;-1.000000;0.000000
92;-9.000000;-1.000000;0.000000
93;-12.000000;-1.000000;0.000000
94;-13.000000;-1.000000;0.000000
95;-13.000000;-1.000000;0.000000
96;-16.000000;-1.000000;0.000000
97;-18.000000;-1.000000;0.000000
98;-15.000000;-1.000000;0.000000
99;-15.000000;-1.000000;0.000000
100;-13.000000;-1.000000;0.000000
101;-8.000000;-1.000000;0.000000
102;-7.000000;-1.000000;0.000000
103;-5.000000;-1.000000;0.000000
104;1.000000;-1.000000;0.000000
105;5.000000;-1.000000;0.000000
106;5.000000;-1.000000;0.000000
107;7.000000;-1.000000;0.000000
108;9.000000;-1.000000;0.000000
109;6.000000;-1.000000;0.000000
110;5.000000;-1.000000;0.000000
111;6.000000;-1.000000;0.000000
112;3.000000;-1.000000;0.000000
113;1.000000;-1.000000;0.000000
114;5.000000;-1.000000;0.000000
115;5.000000;-1.000000;0.000000
116;5.000000;-1.000000;0.000000
117;8.000000;-1.000000;0.000000
118;9.000000;-1.000000;0.000000
119;7.000000;-1.000000;0.000000
120;6.000000;-1.000000;0.000000
121;5.000000;-1.000000;0.000000
122;1.000000;-1.000000;0.000000
123;1.000000;-1.000000;0.000000
124;1.000000;-1.000000;0.000000
125;0.000000;-1.000000;0.000000
126;-1.000000;-1.000000;0.000000
127;-1.000000;-1.000000;0.000000
128;-2.000000;-1.000000;0.000000
129;-4.000000;-1.000000;0.000000
130;-4.000000;-1.000000;0.000000
131;-8.000000;-1.000000;0.000000
132;-11.000000;-1.000000;0.000000
133;-10.000000;-1.000000;0.000000
134;-11.000000;-1.000000;0.000000
135;-10.000000;-1.000000;0.000000
136;-8.000000;-1.000000;0.000000
137;-7.000000;-1.000000;0.000000
138;-7.000000;-1.000000;0.000000
139;-5.000000;-1.000000;0.000000
140;-4.000000;-1.000000;0.000000
141;-5.000000;-1.000000;0.000000
142;-3.000000;-1.000000;0.000000
143;-3.000000;-1.000000;0.000000
144;1.000000;-1.000000;0.000000
145;3.000000;-1.000000;0.000000
146;5.000000;-1.000000;0.000000
147;7.000000;-1.000000;0.000000
148;8.000000;-1.000000;0.000000
149;9.000000;-1.000000;0.000000
150;12.000000;-1.000000;0.000000
151;12.000000;-1.000000;0.000000
152;10.000000;-1.000000;0.000000
153;11.000000;-1.000000;0.000000
154;10.000000;-1.000000;0.000000
155;7.000000;-1.000000;0.000000
156;6.000000;-1.000000;0.000000
157;4.000000;-1.000000;0.000000
158;0.000000;-1.000000;0.000000
159;-2.000000;-1.000000;0.000000
160;-4.000000;-1.000000;0.000000
161;-7.000000;-1.000000;0.000000
162;-10.000000;-1.000000;0.000000
163;-10.000000;-1.000000;0.000000
164;-11.000000;-1.000000;0.000000
165;-12.000000;-1.000000;0.000000
166;-10.000000;-1.000000;0.000000
167;-7.000000;-1.000000;0.000000
168;-8.000000;-1.000000;0.000000
169;-7.000000;-1.000000;0.000000
170;-3.000000;-1.000000;0.000000
171;-3.000000;-1.000000;0.000000
172;-1.000000;-1.000000;0.000000
173;3.000000;-1.000000;0.000000
174;2.000000;-1.000000;0.000000
175;1.000000;-1.000000;0.000000
176;3.000000;-1.000000;0.000000
177;4.000000;-1.000000;0.000000
178;3.000000;-1.000000;0.000000
