takt;q1;q2;q2p
0;292.000000;-12.000000;0.000000
1;503.000000;-17.000000;0.000000
2;577.000000;-21.000000;0.000000
3;572.000000;-22.000000;0.000000
4;438.000000;-17.000000;0.000000
5;202.000000;-8.000000;0.000000
6;-16.000000;0.000000;0.000000
7;-268.000000;9.000000;0.000000
8;-557.000000;22.000000;0.000000
9;-776.000000;30.000000;0.000000
10;-903.000000;35.000000;0.000000
11;-1003.000000;39.000000;0.000000
12;-1040.000000;41.000000;0.000000
13;-1005.000000;40.000000;0.000000
14;-961.000000;38.000000;0.000000
15;-902.000000;36.000000;0.000000
16;-786.000000;32.000000;0.000000
17;-660.000000;27.000000;0.000000
18;-546.000000;22.000000;0.000000
19;-419.000000;17.000000;0.000000
20;-293.000000;12.000000;0.000000
21;-194.000000;8.000000;0.000000
22;-94.000000;4.000000;0.000000
23;8.000000;0.000000;0.000000
24;78.000000;-3.000000;0.000000
25;119.000000;-4.000000;0.000000
26;159.000000;-6.000000;0.000000
27;173.000000;-7.000000;0.000000
28;157.000000;-7.000000;0.000000
29;135.000000;-6.000000;0.000000
30;109.000000;-5.000000;0.000000
31;57.000000;-3.000000;0.000000
32;8.000000;-2.000000;0.000000
33;-24.000000;0.000000;0.000000
34;-63.000000;1.000000;0.000000
35;-91.000000;2.000000;0.000000
36;-98.000000;3.000000;0.000000
37;-99.000000;3.000000;0.000000
38;-93.000000;3.000000;0.000000
39;-67.000000;2.000000;0.000000
40;-35.000000;1.000000;0.000000
41;-13.000000;1.000000;0.000000
42;10.000000;0.000000;0.000000
43;38.000000;-1.000000;0.000000
44;53.000000;-2.000000;0.000000
45;62.000000;-2.000000;0.000000
46;67.000000;-3.000000;0.000000
47;62.000000;-3.000000;0.000000
48;49.000000;-3.000000;0.000000
49;33.000000;-3.000000;0.000000
50;22.000000;-2.000000;0.000000
51;9.000000;-2.000000;0.000000
52;0.000000;-1.000000;0.000000
53;-2.000000;-1.000000;0.000000
54;-8.000000;-1.000000;0.000000
55;-11.000000;-1.000000;0.000000
56;-5.000000;-1.000000;0.000000
57;-4.000000;-1.000000;0.000000
58;-3.000000;-1.000000;0.000000
59;2.000000;-1.000000;0.000000
60;5.000000;-1.000000;0.000000
61;9.000000;-1.000000;0.000000
62;14.000000;-1.000000;0.000000
63;15.000000;-1.000000;0.000000
64;15.000000;-1.000000;0.000000
65;12.000000;-1.000000;0.000000
66;11.000000;-1.000000;0.000000
67;9.000000;-1.000000;0.000000
68;5.000000;-1.000000;0.000000
69;1.000000;-1.000000;0.000000
70;1.000000;-1.000000;0.000000
71;1.000000;-1.000000;0.000000
72;2.000000;-1.000000;0.000000
73;6.000000;-1.000000;0.000000
74;6.000000;-1.000000;0.000000
75;6.000000;-1.000000;0.000000
76;8.000000;-1.000000;0.000000
77;6.000000;-1.000000;0.000000
78;3.000000;-1.000000;0.000000
79;3.000000;-1.000000;0.000000
80;-2.000000;-1.000000;0.000000
81;-7.000000;-1.000000;0.000000
82;-9.000000;-1.000000;0.000000
83;-12.000000;-1.000000;0.000000
84;-17.000000;0.000000;0.000000
85;-12.000000;0.000000;0.000000
86;-11.000000;0.000000;0.000000
87;-12.000000;0.000000;0.000000
88;-7.000000;0.000000;0.000000
89;-6.000000;0.000000;0.000000
90;-6.000000;0.000000;0.000000
91;-4.000000;0.000000;0.000000
92;-4.000000;0.000000;0.000000
93;-6.000000;0.000000;0.000000
94;-4.000000;0.000000;0.000000
95;-5.000000;0.000000;0.000000
96;-5.000000;0.000000;0.000000
97;-5.000000;0.000000;0.000000
98;-6.000000;0.000000;0.000000
99;-6.000000;0.000000;0.000000
