takt;q1;q2;q2p
0;246.000000;-10.000000;0.000000
1;402.000000;-14.000000;0.000000
2;426.000000;-15.000000;0.000000
3;375.000000;-15.000000;0.000000
4;224.000000;-9.000000;0.000000
5;-7.000000;0.000000;0.000000
6;-188.000000;6.000000;0.000000
7;-378.000000;13.000000;0.000000
8;-591.000000;22.000000;0.000000
9;-705.000000;27.000000;0.000000
10;-734.000000;28.000000;0.000000
11;-751.000000;29.000000;0.000000
12;-733.000000;29.000000;0.000000
13;-669.000000;27.000000;0.000000
14;-640.000000;25.000000;0.000000
15;-623.000000;25.000000;0.000000
16;-553.000000;22.000000;0.000000
17;-513.000000;21.000000;0.000000
18;-499.000000;20.000000;0.000000
19;-450.000000;18.000000;0.000000
20;-411.000000;16.000000;0.000000
21;-403.000000;16.000000;0.000000
22;-365.000000;15.000000;0.000000
23;-320.000000;13.000000;0.000000
24;-309.000000;12.000000;0.000000
25;-294.000000;12.000000;0.000000
26;-263.000000;10.000000;0.000000
27;-258.000000;10.000000;0.000000
28;-269.000000;10.000000;0.000000
29;-260.000000;10.000000;0.000000
30;-259.000000;10.000000;0.000000
31;-285.000000;10.000000;0.000000
32;-281.000000;11.000000;0.000000
33;-265.000000;10.000000;0.000000
34;-268.000000;10.000000;0.000000
35;-252.000000;10.000000;0.000000
36;-214.000000;8.000000;0.000000
37;-198.000000;8.000000;0.000000
38;-177.000000;7.000000;0.000000
39;-136.000000;5.000000;0.000000
40;-118.000000;4.000000;0.000000
41;-113.000000;4.000000;0.000000
42;-88.000000;3.000000;0.000000
43;-72.000000;3.000000;0.000000
44;-76.000000;3.000000;0.000000
45;-69.000000;3.000000;0.000000
46;-63.000000;2.000000;0.000000
47;-75.000000;2.000000;0.000000
48;-87.000000;2.000000;0.000000
49;-88.000000;2.000000;0.000000
50;-96.000000;2.000000;0.000000
51;-102.000000;3.000000;0.000000
52;-95.000000;3.000000;0.000000
53;-86.000000;3.000000;0.000000
54;-82.000000;3.000000;0.000000
55;-69.000000;2.000000;0.000000
56;-55.000000;2.000000;0.000000
57;-44.000000;1.000000;0.000000
58;-34.000000;1.000000;0.000000
59;-21.000000;1.000000;0.000000
60;-18.000000;0.000000;0.000000
61;-19.000000;0.000000;0.000000
62;-15.000000;0.000000;0.000000
63;-17.000000;0.000000;0.000000
64;-22.000000;0.000000;0.000000
65;-23.000000;0.000000;0.000000
66;-25.000000;0.000000;0.000000
67;-31.000000;0.000000;0.000000
68;-33.000000;0.000000;0.000000
69;-33.000000;0.000000;0.000000
70;-33.000000;0.000000;0.000000
71;-29.000000;0.000000;0.000000
72;-23.000000;0.000000;0.000000
73;-17.000000;0.000000;0.000000
74;-12.000000;0.000000;0.000000
75;-7.000000;0.000000;0.000000
76;-3.000000;0.000000;0.000000
77;0.000000;0.000000;0.000000
78;2.000000;-1.000000;0.000000
79;-2.000000;-1.000000;0.000000
80;-6.000000;-1.000000;0.000000
81;-8.000000;-1.000000;0.000000
82;-13.000000;-1.000000;0.000000
83;-15.000000;-1.000000;0.000000
84;-15.000000;-1.000000;0.000000
85;-15.000000;-1.000000;0.000000
86;-15.000000;-1.000000;0.000000
87;-10.000000;-1.000000;0.000000
88;-7.000000;-1.000000;0.000000
89;-8.000000;-1.000000;0.000000
90;-7.000000;-1.000000;0.000000
91;-7.000000;-1.000000;0.000000
92;-10.000000;-1.000000;0.000000
93;-12.000000;-1.000000;0.000000
94;-10.000000;-1.000000;0.000000
95;-13.000000;-1.000000;0.000000
96;-15.000000;-1.000000;0.000000
97;-11.000000;-1.000000;0.000000
98;-12.000000;-1.000000;0.000000
99;-11.000000;-1.000000;0.000000
100;-7.000000;-1.000000;0.000000
101;-6.000000;-1.000000;0.000000
102;-6.000000;-1.000000;0.000000
103;-2.000000;-1.000000;0.000000
104;0.000000;-1.000000;0.000000
105;-3.000000;-1.000000;0.000000
106;-1.000000;-1.000000;0.000000
107;-2.000000;-1.000000;0.000000
108;-3.000000;-1.000000;0.000000
109;-1.000000;-1.000000;0.000000
110;-1.000000;-1.000000;0.000000
111;-2.000000;-1.000000;0.000000
112;0.000000;-1.000000;0.000000
113;1.000000;-1.000000;0.000000
114;0.000000;-1.000000;0.000000
115;1.000000;-1.000000;0.000000
116;2.000000;-1.000000;0.000000
117;1.000000;-1.000000;0.000000
118;2.000000;-1.000000;0.000000
119;3.000000;-1.000000;0.000000
120;2.000000;-1.000000;0.000000
121;2.000000;-1.000000;0.000000
122;5.000000;-1.000000;0.000000
123;7.000000;-1.000000;0.000000
124;7.000000;-1.000000;0.000000
125;7.000000;-1.000000;0.000000
126;8.000000;-1.000000;0.000000
127;3.000000;-1.000000;0.000000
128;2.000000;-1.000000;0.000000
129;5.000000;-1.000000;0.000000
130;1.000000;-1.000000;0.000000
131;1.000000;-1.000000;0.000000
132;5.000000;-1.000000;0.000000
133;1.000000;-1.000000;0.000000
134;0.000000;-1.000000;0.000000
135;6.000000;-1.000000;0.000000
136;4.000000;-1.000000;0.000000
137;4.000000;-1.000000;0.000000
138;10.000000;-1.000000;0.000000
139;8.000000;-1.000000;0.000000
140;8.000000;-1.000000;0.000000
141;13.000000;-1.000000;0.000000
142;10.000000;-1.000000;0.000000
143;10.000000;-1.000000;0.000000
144;12.000000;-1.000000;0.000000
145;9.000000;-1.000000;0.000000
146;9.000000;-1.000000;0.000000
147;10.000000;-1.000000;0.000000
148;6.000000;-1.000000;0.000000
149;6.000000;-1.000000;0.000000
150;7.000000;-1.000000;0.000000
151;3.000000;-1.000000;0.000000
152;5.000000;-1.000000;0.000000
153;6.000000;-1.000000;0.000000
154;1.000000;-1.000000;0.000000
155;3.000000;-1.000000;0.000000
156;3.000000;-1.000000;0.000000
157;-1.000000;-1.000000;0.000000
158;1.000000;-1.000000;0.000000
159;2.000000;-1.000000;0.000000
160;-2.000000;-1.000000;0.000000
161;1.000000;-1.000000;0.000000
162;2.000000;-1.000000;0.000000
163;0.000000;-1.000000;0.000000
164;4.000000;-1.000000;0.000000
165;4.000000;-1.000000;0.000000
166;1.000000;-1.000000;0.000000
167;2.000000;-1.000000;0.000000
168;2.000000;-1.000000;0.000000
169;-2.000000;-1.000000;0.000000
170;0.000000;-1.000000;0.000000
171;-2.000000;-1.000000;0.000000
172;-7.000000;-1.000000;0.000000
173;-7.000000;-1.000000;0.000000
174;-8.000000;-1.000000;0.000000
175;-12.000000;-1.000000;0.000000
176;-11.000000;-1.000000;0.000000
177;-10.000000;-1.000000;0.000000
178;-12.000000;-1.000000;0.000000
179;-10.000000;-1.000000;0.000000
180;-8.000000;-1.000000;0.000000
181;-9.000000;-1.000000;0.000000
182;-8.000000;-1.000000;0.000000
183;-8.000000;-1.000000;0.000000
184;-10.000000;-1.000000;0.000000
185;-10.000000;-1.000000;0.000000
186;-9.000000;-1.000000;0.000000
187;-11.000000;-1.000000;0.000000
188;-10.000000;-1.000000;0.000000
189;-9.000000;-1.000000;0.000000
190;-11.000000;-1.000000;0.000000
191;-9.000000;-1.000000;0.000000
192;-10.000000;-1.000000;0.000000
193;-11.000000;-1.000000;0.000000
194;-9.000000;-1.000000;0.000000
195;-10.000000;-1.000000;0.000000
196;-10.000000;-1.000000;0.000000
197;-8.000000;-1.000000;0.000000
198;-8.000000;-1.000000;0.000000
199;-7.000000;-1.000000;0.000000
200;-5.000000;-1.000000;0.000000
201;-5.000000;-1.000000;0.000000
202;-4.000000;-1.000000;0.000000
203;-2.000000;-1.000000;0.000000
204;-4.000000;-1.000000;0.000000
205;-3.000000;-1.000000;0.000000
206;-1.000000;-1.000000;0.000000
207;-2.000000;-1.000000;0.000000
208;-2.000000;-1.000000;0.000000
209;0.000000;-1.000000;0.000000
210;-1.000000;-1.000000;0.000000
211;-1.000000;-1.000000;0.000000
212;1.000000;-1.000000;0.000000
213;0.000000;-1.000000;0.000000
214;-1.000000;-1.000000;0.000000
215;1.000000;-1.000000;0.000000
216;2.000000;-1.000000;0.000000
217;0.000000;-1.000000;0.000000
218;3.000000;-1.000000;0.000000
219;3.000000;-1.000000;0.000000
220;2.000000;-1.000000;0.000000
221;7.000000;-1.000000;0.000000
222;9.000000;-1.000000;0.000000
223;7.000000;-1.000000;0.000000
224;9.000000;-1.000000;0.000000
225;11.000000;-1.000000;0.000000
226;7.000000;-1.000000;0.000000
227;8.000000;-1.000000;0.000000
228;10.000000;-1.000000;0.000000
229;5.000000;-1.000000;0.000000
230;5.000000;-1.000000;0.000000
231;8.000000;-1.000000;0.000000
232;4.000000;-1.000000;0.000000
233;4.000000;-1.000000;0.000000
234;7.000000;-1.000000;0.000000
235;3.000000;-1.000000;0.000000
236;2.000000;-1.000000;0.000000
237;5.000000;-1.000000;0.000000
238;1.000000;-1.000000;0.000000
239;0.000000;-1.000000;0.000000
240;4.000000;-1.000000;0.000000
241;2.000000;-1.000000;0.000000
242;3.000000;-1.000000;0.000000
243;8.000000;-1.000000;0.000000
244;6.000000;-1.000000;0.000000
245;7.000000;-1.000000;0.000000
246;10.000000;-1.000000;0.000000
247;7.000000;-1.000000;0.000000
248;6.000000;-1.000000;0.000000
249;7.000000;-1.000000;0.000000
250;3.000000;-1.000000;0.000000
251;3.000000;-1.000000;0.000000
252;4.000000;-1.000000;0.000000
253;1.000000;-1.000000;0.000000
254;1.000000;-1.000000;0.000000
255;1.000000;-1.000000;0.000000
256;-1.000000;-1.000000;0.000000
257;1.000000;-1.000000;0.000000
258;1.000000;-1.000000;0.000000
259;-2.000000;-1.000000;0.000000
260;-2.000000;-1.000000;0.000000
261;-2.000000;-1.000000;0.000000
262;-4.000000;-1.000000;0.000000
263;-2.000000;-1.000000;0.000000
264;-3.000000;-1.000000;0.000000
265;-6.000000;-1.000000;0.000000
266;-4.000000;-1.000000;0.000000
267;-4.000000;-1.000000;0.000000
268;-6.000000;-1.000000;0.000000
269;-5.000000;-1.000000;0.000000
270;-7.000000;-1.000000;0.000000
271;-9.000000;-1.000000;0.000000
272;-6.000000;-1.000000;0.000000
273;-7.000000;-1.000000;0.000000
274;-8.000000;-1.000000;0.000000
275;-5.000000;-1.000000;0.000000
276;-5.000000;-1.000000;0.000000
277;-5.000000;-1.000000;0.000000
278;-4.000000;-1.000000;0.000000
279;-7.000000;-1.000000;0.000000
280;-7.000000;-1.000000;0.000000
281;-6.000000;-1.000000;0.000000
282;-7.000000;-1.000000;0.000000
283;-5.000000;-1.000000;0.000000
284;-2.000000;-1.000000;0.000000
285;-3.000000;-1.000000;0.000000
286;-1.000000;-1.000000;0.000000
287;2.000000;-1.000000;0.000000
288;0.000000;-1.000000;0.000000
289;2.000000;-1.000000;0.000000
290;3.000000;-1.000000;0.398428
291;1.000000;-1.000000;574.672180
292;2.000000;-1.000000;1148.945923
293;0.000000;-1.000000;1723.219727
294;-12.000000;-1.000000;2297.493408
295;-26.000000;0.000000;2871.767334
296;-53.000000;1.000000;3446.041016
297;-101.000000;3.000000;4020.314941
298;-153.000000;5.000000;4594.588379
299;-230.000000;8.000000;5168.862305
