takt;q1;q2;q2p
0;261.000000;-11.000000;0.000000
1;429.000000;-15.000000;0.000000
2;448.000000;-16.000000;0.000000
3;392.000000;-15.000000;0.000000
4;229.000000;-9.000000;0.000000
5;-18.000000;1.000000;0.000000
6;-212.000000;7.000000;0.000000
7;-413.000000;15.000000;0.000000
8;-635.000000;24.000000;0.000000
9;-749.000000;29.000000;0.000000
10;-767.000000;30.000000;0.000000
11;-767.000000;30.000000;0.000000
12;-735.000000;30.000000;0.000000
13;-643.000000;26.000000;0.000000
14;-575.000000;23.000000;0.000000
15;-520.000000;21.000000;0.000000
16;-414.000000;17.000000;0.000000
17;-329.000000;13.000000;0.000000
18;-274.000000;11.000000;0.000000
19;-203.000000;8.000000;0.000000
20;-129.000000;5.000000;0.000000
21;-88.000000;3.000000;0.000000
22;-43.000000;1.000000;0.000000
23;23.000000;-1.000000;0.000000
24;45.000000;-2.000000;0.000000
25;62.000000;-3.000000;0.000000
26;89.000000;-4.000000;0.000000
27;96.000000;-4.000000;0.000000
28;77.000000;-4.000000;0.000000
29;73.000000;-4.000000;0.000000
30;67.000000;-4.000000;0.000000
31;38.000000;-3.000000;0.000000
32;27.000000;-2.000000;0.000000
33;34.000000;-2.000000;0.000000
34;26.000000;-2.000000;0.000000
35;23.000000;-2.000000;0.000000
36;42.000000;-2.000000;0.000000
37;48.000000;-2.000000;0.000000
38;50.000000;-2.000000;0.000000
39;69.000000;-3.000000;0.000000
40;79.000000;-4.000000;0.000000
41;67.000000;-4.000000;0.000000
42;65.000000;-4.000000;0.000000
43;64.000000;-4.000000;0.000000
44;45.000000;-3.000000;0.000000
45;34.000000;-3.000000;0.000000
46;35.000000;-2.000000;0.000000
47;19.000000;-2.000000;0.000000
48;3.000000;-1.000000;0.000000
49;8.000000;-1.000000;0.000000
50;2.000000;-1.000000;0.000000
51;-16.000000;-1.000000;0.000000
52;-4.000000;0.000000;0.000000
53;1.000000;0.000000;0.000000
54;-6.000000;0.000000;0.000000
55;7.000000;0.000000;0.000000
56;17.000000;-1.000000;0.000000
57;11.000000;-1.000000;0.000000
58;13.000000;-1.000000;0.000000
59;25.000000;-1.000000;0.000000
60;23.000000;-1.000000;0.000000
61;18.000000;-1.000000;0.000000
62;19.000000;-1.000000;0.000000
63;8.000000;-1.000000;0.000000
64;-9.000000;-1.000000;0.000000
65;-14.000000;0.000000;0.000000
66;-15.000000;0.000000;0.000000
67;-29.000000;0.000000;0.000000
68;-34.000000;0.000000;0.000000
69;-32.000000;0.000000;0.000000
70;-36.000000;0.000000;0.000000
71;-35.000000;0.000000;0.000000
72;-20.000000;0.000000;0.000000
73;-11.000000;0.000000;0.000000
74;-10.000000;0.000000;0.000000
75;3.000000;0.000000;0.000000
76;9.000000;-1.000000;0.000000
77;0.000000;-1.000000;0.000000
78;-3.000000;-1.000000;0.000000
79;-6.000000;-1.000000;0.000000
80;-24.000000;0.000000;0.000000
81;-23.000000;0.000000;0.000000
82;-17.000000;0.000000;0.000000
83;-21.000000;0.000000;0.000000
84;-14.000000;0.000000;0.000000
85;-3.000000;0.000000;0.000000
86;0.000000;0.000000;0.000000
87;5.000000;0.000000;0.000000
88;11.000000;-1.000000;0.000000
89;11.000000;-1.000000;0.000000
90;7.000000;-1.000000;0.000000
91;8.000000;-1.000000;0.000000
92;9.000000;-1.000000;0.000000
93;3.000000;-1.000000;0.000000
94;2.000000;-1.000000;0.000000
95;2.000000;-1.000000;0.000000
96;-2.000000;-1.000000;0.000000
97;-5.000000;-1.000000;0.000000
98;-2.000000;-1.000000;0.000000
99;-4.000000;-1.000000;0.000000
100;-4.000000;-1.000000;0.000000
101;0.000000;-1.000000;0.000000
102;1.000000;-1.000000;0.000000
103;0.000000;-1.000000;0.000000
104;2.000000;-1.000000;0.000000
105;3.000000;-1.000000;0.000000
106;1.000000;-1.000000;0.000000
107;4.000000;-1.000000;0.000000
108;5.000000;-1.000000;0.000000
