takt;q1;q2;q2p
0;276.000000;-11.000000;0.000000
1;453.000000;-15.000000;0.000000
2;476.000000;-17.000000;0.000000
3;425.000000;-16.000000;0.000000
4;270.000000;-11.000000;0.000000
5;40.000000;-1.000000;0.000000
6;-108.000000;3.000000;0.000000
7;-268.000000;10.000000;0.000000
8;-466.000000;18.000000;0.000000
9;-559.000000;22.000000;0.000000
10;-573.000000;23.000000;0.000000
11;-602.000000;25.000000;0.000000
12;-605.000000;25.000000;0.000000
13;-569.000000;23.000000;0.000000
14;-588.000000;23.000000;0.000000
15;-598.000000;24.000000;0.000000
16;-556.000000;23.000000;0.000000
17;-538.000000;23.000000;0.000000
18;-527.000000;22.000000;0.000000
19;-491.000000;21.000000;0.000000
20;-465.000000;19.000000;0.000000
21;-458.000000;19.000000;0.000000
22;-423.000000;18.000000;0.000000
23;-384.000000;16.000000;0.000000
24;-374.000000;16.000000;0.000000
25;-355.000000;15.000000;0.000000
26;-335.000000;14.000000;0.000000
27;-330.000000;14.000000;0.000000
28;-329.000000;14.000000;0.000000
29;-315.000000;13.000000;0.000000
30;-318.000000;13.000000;0.000000
31;-321.000000;13.000000;0.000000
32;-306.000000;13.000000;0.000000
33;-298.000000;12.000000;0.000000
34;-287.000000;12.000000;0.000000
35;-267.000000;11.000000;0.000000
36;-251.000000;11.000000;0.000000
37;-237.000000;10.000000;0.000000
38;-204.000000;9.000000;0.000000
39;-178.000000;8.000000;0.000000
40;-162.000000;7.000000;0.000000
41;-139.000000;6.000000;0.000000
42;-121.000000;5.000000;0.000000
43;-114.000000;5.000000;0.000000
44;-105.000000;5.000000;0.000000
45;-100.000000;4.000000;0.000000
46;-103.000000;4.000000;0.000000
47;-101.000000;4.000000;0.000000
48;-98.000000;4.000000;0.000000
49;-99.000000;4.000000;0.000000
50;-95.000000;4.000000;0.000000
51;-93.000000;4.000000;0.000000
52;-91.000000;4.000000;0.000000
53;-86.000000;4.000000;0.000000
54;-81.000000;4.000000;0.000000
55;-75.000000;3.000000;0.000000
56;-69.000000;3.000000;0.000000
57;-59.000000;3.000000;0.000000
58;-51.000000;2.000000;0.000000
59;-44.000000;2.000000;0.000000
60;-33.000000;1.000000;0.000000
61;-30.000000;1.000000;0.000000
62;-27.000000;1.000000;0.000000
63;-24.000000;1.000000;0.000000
64;-27.000000;1.000000;0.000000
65;-27.000000;1.000000;0.000000
66;-26.000000;1.000000;0.000000
67;-27.000000;1.000000;0.000000
68;-26.000000;1.000000;0.000000
69;-25.000000;1.000000;0.000000
70;-23.000000;1.000000;0.000000
71;-21.000000;1.000000;0.000000
72;-21.000000;1.000000;0.000000
73;-20.000000;1.000000;0.000000
74;-20.000000;1.000000;0.000000
75;-20.000000;1.000000;0.000000
76;-19.000000;1.000000;0.000000
77;-20.000000;1.000000;0.000000
78;-20.000000;1.000000;0.000000
79;-20.000000;1.000000;0.000000
80;-21.000000;1.000000;0.000000
81;-19.000000;1.000000;0.000000
82;-18.000000;1.000000;0.000000
83;-18.000000;1.000000;0.000000
84;-15.000000;1.000000;0.000000
85;-14.000000;1.000000;0.000000
86;-13.000000;1.000000;0.000000
87;-11.000000;1.000000;0.000000
88;-11.000000;1.000000;0.000000
89;-11.000000;1.000000;0.000000
90;-7.000000;1.000000;0.000000
91;-9.000000;0.000000;0.000000
92;-7.000000;0.000000;0.000000
93;-5.000000;0.000000;0.000000
94;-7.000000;0.000000;0.000000
95;-4.000000;0.000000;0.000000
96;-4.000000;0.000000;0.000000
97;-5.000000;0.000000;0.000000
98;-3.000000;0.000000;0.000000
99;-3.000000;0.000000;0.000000
100;-2.000000;0.000000;0.000000
101;-2.000000;0.000000;0.000000
102;-2.000000;0.000000;0.000000
103;-1.000000;0.000000;0.000000
104;0.000000;0.000000;0.000000
105;0.000000;0.000000;0.000000
106;0.000000;0.000000;0.000000
107;0.000000;0.000000;0.000000
108;0.000000;0.000000;0.000000
109;0.000000;0.000000;0.000000
110;1.000000;0.000000;0.000000
111;1.000000;0.000000;0.000000
112;0.000000;0.000000;0.000000
113;1.000000;0.000000;0.000000
114;1.000000;0.000000;0.000000
115;2.000000;0.000000;0.000000
116;2.000000;0.000000;0.000000
117;2.000000;0.000000;0.000000
118;2.000000;0.000000;0.000000
119;2.000000;0.000000;0.000000
120;3.000000;0.000000;0.000000
121;2.000000;0.000000;0.000000
122;2.000000;0.000000;0.000000
123;3.000000;0.000000;0.000000
124;3.000000;0.000000;0.000000
125;3.000000;0.000000;0.000000
126;3.000000;0.000000;0.000000
127;3.000000;0.000000;0.000000
128;3.000000;0.000000;0.000000
129;3.000000;0.000000;0.000000
130;3.000000;0.000000;0.000000
131;3.000000;0.000000;0.000000
132;3.000000;0.000000;0.000000
133;4.000000;0.000000;0.000000
134;4.000000;0.000000;0.000000
135;4.000000;0.000000;0.000000
136;4.000000;0.000000;0.000000
137;4.000000;0.000000;0.000000
138;4.000000;0.000000;0.000000
139;4.000000;0.000000;0.000000
140;4.000000;0.000000;0.000000
141;4.000000;0.000000;0.000000
142;4.000000;0.000000;0.000000
143;4.000000;0.000000;0.000000
144;4.000000;0.000000;0.000000
145;4.000000;0.000000;0.000000
146;4.000000;0.000000;0.000000
147;4.000000;0.000000;0.000000
148;5.000000;0.000000;0.000000
149;5.000000;0.000000;0.000000
150;5.000000;0.000000;0.000000
151;5.000000;0.000000;0.000000
152;5.000000;0.000000;0.000000
153;5.000000;0.000000;0.000000
154;6.000000;0.000000;0.000000
155;6.000000;0.000000;0.000000
156;5.000000;0.000000;0.000000
157;5.000000;0.000000;0.000000
