takt;q1;q2;q2p
0;268.000000;-11.000000;0.000000
1;434.000000;-14.000000;0.000000
2;446.000000;-15.000000;0.000000
3;382.000000;-14.000000;0.000000
4;216.000000;-8.000000;0.000000
5;-20.000000;1.000000;0.000000
6;-191.000000;6.000000;0.000000
7;-364.000000;14.000000;0.000000
8;-565.000000;22.000000;0.000000
9;-652.000000;26.000000;0.000000
10;-659.000000;26.000000;0.000000
11;-664.000000;27.000000;0.000000
12;-635.000000;27.000000;0.000000
13;-564.000000;23.000000;0.000000
14;-533.000000;22.000000;0.000000
15;-508.000000;21.000000;0.000000
16;-433.000000;18.000000;0.000000
17;-386.000000;16.000000;0.000000
18;-351.000000;15.000000;0.000000
19;-296.000000;12.000000;0.000000
20;-237.000000;10.000000;0.000000
21;-204.000000;9.000000;0.000000
22;-145.000000;6.000000;0.000000
23;-78.000000;4.000000;0.000000
24;-43.000000;2.000000;0.000000
25;-13.000000;1.000000;0.000000
26;21.000000;0.000000;0.000000
27;33.000000;-1.000000;0.000000
28;25.000000;-1.000000;0.000000
29;33.000000;-1.000000;0.000000
30;31.000000;-1.000000;0.000000
31;9.000000;-1.000000;0.000000
32;12.000000;-1.000000;0.000000
33;22.000000;-1.000000;0.000000
34;16.000000;-1.000000;0.000000
35;22.000000;-1.000000;0.000000
36;41.000000;-2.000000;0.000000
37;35.000000;-2.000000;0.000000
38;39.000000;-2.000000;0.000000
39;61.000000;-2.000000;0.000000
40;65.000000;-3.000000;0.000000
41;62.000000;-3.000000;0.000000
42;72.000000;-3.000000;0.000000
43;72.000000;-3.000000;0.000000
44;60.000000;-3.000000;0.000000
45;64.000000;-3.000000;0.000000
46;64.000000;-3.000000;0.000000
47;46.000000;-2.000000;0.000000
48;43.000000;-2.000000;0.000000
49;42.000000;-2.000000;0.000000
50;29.000000;-2.000000;0.000000
51;26.000000;-1.000000;0.000000
52;37.000000;-1.000000;0.000000
53;32.000000;-1.000000;0.000000
54;31.000000;-1.000000;0.000000
55;43.000000;-1.000000;0.000000
56;38.000000;-1.000000;0.000000
57;36.000000;-1.000000;0.000000
58;44.000000;-2.000000;0.000000
59;33.000000;-2.000000;0.000000
60;19.000000;-1.000000;0.000000
61;26.000000;-1.000000;0.000000
62;16.000000;-1.000000;0.000000
63;0.000000;0.000000;0.000000
64;5.000000;0.000000;0.000000
65;-2.000000;0.000000;0.000000
66;-13.000000;0.000000;0.000000
67;-11.000000;0.000000;0.000000
68;-14.000000;0.000000;0.000000
69;-26.000000;1.000000;0.000000
70;-24.000000;1.000000;0.000000
71;-18.000000;1.000000;0.000000
72;-20.000000;1.000000;0.000000
73;-15.000000;1.000000;0.000000
74;-8.000000;1.000000;0.000000
75;-9.000000;1.000000;0.000000
76;-9.000000;1.000000;0.000000
77;-6.000000;1.000000;0.000000
78;-9.000000;1.000000;0.000000
79;-9.000000;1.000000;0.000000
80;-7.000000;1.000000;0.000000
81;-15.000000;0.000000;0.000000
82;-20.000000;0.000000;0.000000
83;-19.000000;0.000000;0.000000
84;-23.000000;0.000000;0.000000
85;-24.000000;1.000000;0.000000
86;-13.000000;1.000000;0.000000
87;-10.000000;1.000000;0.000000
88;-9.000000;1.000000;0.000000
89;2.000000;0.000000;0.000000
90;-1.000000;0.000000;0.000000
91;-5.000000;0.000000;0.000000
92;-3.000000;0.000000;0.000000
93;-7.000000;0.000000;0.000000
94;-11.000000;0.000000;0.000000
95;-8.000000;0.000000;0.000000
96;-7.000000;0.000000;0.000000
97;-12.000000;0.000000;0.000000
98;-9.000000;0.000000;0.000000
99;-10.000000;0.000000;0.000000
100;-13.000000;0.000000;0.000000
101;-8.000000;0.000000;0.000000
102;-7.000000;0.000000;0.000000
103;-9.000000;0.000000;0.000000
104;-3.000000;0.000000;0.000000
105;-1.000000;0.000000;0.000000
106;-6.000000;0.000000;0.000000
107;-4.000000;0.000000;0.000000
108;-5.000000;0.000000;0.000000
109;-11.000000;0.000000;0.000000
110;-8.000000;0.000000;0.000000
111;-10.000000;0.000000;0.000000
112;-13.000000;0.000000;0.000000
113;-9.000000;0.000000;0.000000
114;-10.000000;0.000000;0.000000
115;-9.000000;0.000000;0.000000
116;-6.000000;0.000000;0.000000
117;-7.000000;0.000000;0.000000
118;-6.000000;0.000000;0.000000
119;-4.000000;0.000000;0.000000
120;-5.000000;0.000000;0.000000
121;-4.000000;0.000000;0.000000
122;-1.000000;0.000000;0.000000
123;-2.000000;0.000000;0.000000
124;-1.000000;0.000000;0.000000
125;1.000000;0.000000;0.000000
126;1.000000;0.000000;0.000000
127;0.000000;0.000000;0.000000
128;3.000000;0.000000;0.000000
129;2.000000;0.000000;0.000000
130;3.000000;0.000000;0.000000
131;8.000000;0.000000;0.000000
132;7.000000;0.000000;0.000000
133;8.000000;0.000000;0.000000
134;9.000000;0.000000;0.000000
135;9.000000;0.000000;0.000000
136;9.000000;0.000000;0.000000
137;11.000000;0.000000;0.000000
138;10.000000;0.000000;0.000000
139;11.000000;0.000000;0.000000
140;15.000000;0.000000;0.000000
141;13.000000;0.000000;0.000000
142;14.000000;0.000000;0.000000
143;17.000000;-1.000000;0.000000
144;10.000000;-1.000000;0.000000
145;11.000000;-1.000000;0.000000
146;11.000000;-1.000000;0.000000
147;6.000000;-1.000000;0.000000
148;9.000000;-1.000000;0.000000
149;9.000000;-1.000000;0.000000
150;5.000000;-1.000000;0.000000
151;8.000000;-1.000000;0.000000
152;7.000000;-1.000000;0.000000
153;3.000000;-1.000000;0.000000
154;2.000000;-1.000000;0.000000
155;1.000000;-1.000000;0.000000
156;-1.000000;0.000000;0.000000
157;1.000000;0.000000;0.000000
158;1.000000;0.000000;0.000000
159;0.000000;0.000000;0.000000
160;0.000000;0.000000;0.000000
161;-2.000000;0.000000;0.000000
162;-2.000000;0.000000;0.000000
163;0.000000;0.000000;0.000000
164;-3.000000;0.000000;0.000000
165;-1.000000;0.000000;0.000000
166;1.000000;0.000000;0.000000
167;-2.000000;0.000000;0.000000
168;-1.000000;0.000000;0.000000
169;-1.000000;0.000000;0.000000
170;-3.000000;0.000000;0.000000
171;-3.000000;0.000000;0.000000
172;-1.000000;0.000000;0.000000
173;-4.000000;0.000000;0.000000
174;-3.000000;0.000000;0.000000
175;-3.000000;0.000000;0.000000
176;-6.000000;0.000000;0.000000
177;-5.000000;0.000000;0.000000
178;-5.000000;0.000000;0.000000
179;-8.000000;0.000000;0.000000
