takt;q1;q2;q2p
0;265.000000;-11.000000;0.000000
1;422.000000;-14.000000;0.000000
2;429.000000;-15.000000;0.000000
3;370.000000;-13.000000;0.000000
4;206.000000;-7.000000;0.000000
5;-32.000000;2.000000;0.000000
6;-192.000000;6.000000;0.000000
7;-365.000000;14.000000;0.000000
8;-570.000000;22.000000;0.000000
9;-657.000000;26.000000;0.000000
10;-671.000000;26.000000;0.000000
11;-686.000000;27.000000;0.000000
12;-660.000000;27.000000;0.000000
13;-585.000000;24.000000;0.000000
14;-555.000000;23.000000;0.000000
15;-527.000000;22.000000;0.000000
16;-440.000000;19.000000;0.000000
17;-387.000000;16.000000;0.000000
18;-347.000000;15.000000;0.000000
19;-279.000000;11.000000;0.000000
20;-212.000000;9.000000;0.000000
21;-178.000000;8.000000;0.000000
22;-110.000000;4.000000;0.000000
23;-39.000000;2.000000;0.000000
24;-13.000000;1.000000;0.000000
25;21.000000;0.000000;0.000000
26;61.000000;-2.000000;0.000000
27;68.000000;-3.000000;0.000000
28;66.000000;-3.000000;0.000000
29;74.000000;-3.000000;0.000000
30;69.000000;-3.000000;0.000000
31;52.000000;-3.000000;0.000000
32;58.000000;-2.000000;0.000000
33;60.000000;-2.000000;0.000000
34;52.000000;-2.000000;0.000000
35;63.000000;-2.000000;0.000000
36;72.000000;-3.000000;0.000000
37;71.000000;-3.000000;0.000000
38;79.000000;-3.000000;0.000000
39;95.000000;-4.000000;0.000000
40;88.000000;-4.000000;0.000000
41;85.000000;-4.000000;0.000000
42;85.000000;-4.000000;0.000000
43;72.000000;-4.000000;0.000000
44;65.000000;-3.000000;0.000000
45;62.000000;-3.000000;0.000000
46;56.000000;-3.000000;0.000000
47;45.000000;-3.000000;0.000000
48;44.000000;-3.000000;0.000000
49;43.000000;-2.000000;0.000000
50;34.000000;-2.000000;0.000000
51;28.000000;-2.000000;0.000000
52;29.000000;-2.000000;0.000000
53;24.000000;-2.000000;0.000000
54;18.000000;-1.000000;0.000000
55;25.000000;-1.000000;0.000000
56;23.000000;-1.000000;0.000000
57;20.000000;-1.000000;0.000000
58;25.000000;-1.000000;0.000000
