takt;q1;q2;q2p
0;272.000000;-11.000000;273.461578
1;473.000000;-16.000000;546.919922
2;553.000000;-20.000000;820.371826
3;563.000000;-21.000000;1093.813965
4;460.000000;-18.000000;1367.243164
5;256.000000;-10.000000;1640.656250
6;45.000000;-2.000000;1914.050049
7;-203.000000;7.000000;2187.421143
8;-507.000000;20.000000;2460.766357
9;-776.000000;31.000000;2734.082764
10;-993.000000;39.000000;3007.366943
11;-1202.000000;48.000000;3280.615479
12;-1384.000000;56.000000;3553.825195
13;-1507.000000;60.000000;3826.993164
14;-1617.000000;65.000000;4100.115723
15;-1717.000000;69.000000;4373.189941
16;-1773.000000;72.000000;4646.212891
17;-1814.000000;74.000000;4919.180176
18;-1868.000000;76.000000;5192.089844
19;-1918.000000;78.000000;5464.937988
20;-1964.000000;80.000000;5737.721191
21;-2029.000000;83.000000;6010.437012
22;-2109.000000;86.000000;6283.082031
23;-2192.000000;89.000000;6555.652344
24;-2296.000000;94.000000;6828.145508
25;-2424.000000;99.000000;7100.558105
26;-2571.000000;105.000000;7372.886719
27;-2732.000000;112.000000;7645.128418
28;-2919.000000;120.000000;7917.279785
29;-3123.000000;128.000000;8189.337402
30;-3338.000000;137.000000;8461.298828
31;-3568.000000;146.000000;8733.160156
32;-3808.000000;155.000000;9004.917969
33;-4051.000000;165.000000;9276.569336
34;-4290.000000;175.000000;9548.112305
35;-4531.000000;185.000000;9819.541016
36;-4757.000000;194.000000;10090.854492
37;-4969.000000;202.000000;10362.049805
38;-5178.000000;211.000000;10633.122070
39;-5377.000000;219.000000;10904.069336
40;-5569.000000;227.000000;11174.887695
41;-5762.000000;235.000000;11445.573242
42;-5959.000000;243.000000;11716.125000
43;-6154.000000;251.000000;11986.537109
44;-6354.000000;259.000000;12256.808594
45;-6564.000000;268.000000;12526.934570
46;-6780.000000;277.000000;12796.913086
47;-7006.000000;286.000000;13066.741211
48;-7247.000000;296.000000;13336.414062
49;-7495.000000;306.000000;13605.929688
50;-7754.000000;317.000000;13875.284180
51;-8016.000000;327.000000;14144.475586
52;-8291.000000;338.000000;14413.500000
53;-8569.000000;350.000000;14682.353516
54;-8851.000000;361.000000;14951.034180
55;-9126.000000;372.000000;15219.538086
56;-9400.000000;383.000000;15487.861328
57;-9658.000000;394.000000;15756.002930
58;-9903.000000;404.000000;16023.958008
59;-10143.000000;414.000000;16291.724609
60;-10372.000000;424.000000;16559.296875
61;-10600.000000;433.000000;16826.675781
62;-10832.000000;442.000000;17093.855469
63;-11068.000000;452.000000;17360.832031
64;-11311.000000;462.000000;17627.605469
65;-11564.000000;472.000000;17894.169922
66;-11815.000000;482.000000;18160.521484
67;-12076.000000;493.000000;18426.660156
68;-12342.000000;504.000000;18692.582031
69;-12605.000000;515.000000;18958.281250
70;-12872.000000;526.000000;19223.757812
71;-13141.000000;537.000000;19489.007812
72;-13412.000000;548.000000;19754.025391
73;-13693.000000;559.000000;20018.810547
74;-13975.000000;571.000000;20283.359375
75;-14265.000000;583.000000;20547.667969
76;-14551.000000;594.000000;20811.734375
77;-14826.000000;606.000000;21075.554688
78;-15101.000000;617.000000;21339.126953
79;-15368.000000;628.000000;21602.445312
80;-15617.000000;638.000000;21865.509766
81;-15868.000000;648.000000;22128.316406
82;-16114.000000;658.000000;22390.861328
83;-16358.000000;669.000000;22653.140625
84;-16601.000000;678.000000;22915.154297
85;-16845.000000;689.000000;23176.896484
86;-17085.000000;698.000000;23438.365234
87;-17330.000000;709.000000;23699.556641
88;-17578.000000;719.000000;23960.468750
89;-17826.000000;729.000000;24221.097656
90;-18080.000000;739.000000;24481.441406
91;-18342.000000;750.000000;24741.494141
92;-18606.000000;761.000000;25001.255859
93;-18881.000000;772.000000;25260.722656
94;-19169.000000;784.000000;25519.890625
95;-19461.000000;796.000000;25778.757812
96;-19756.000000;808.000000;26037.320312
97;-20051.000000;820.000000;26295.576172
98;-20344.000000;832.000000;26553.519531
99;-20629.000000;843.000000;26811.150391
100;-20909.000000;855.000000;27068.464844
101;-21178.000000;865.000000;27325.458984
102;-21436.000000;876.000000;27582.130859
103;-21686.000000;886.000000;27838.478516
104;-21928.000000;897.000000;28094.496094
105;-22164.000000;906.000000;28350.181641
106;-22396.000000;916.000000;28605.531250
107;-22630.000000;925.000000;28860.544922
108;-22864.000000;935.000000;29115.216797
109;-23103.000000;945.000000;29369.544922
110;-23352.000000;955.000000;29623.527344
111;-23603.000000;966.000000;29877.158203
112;-23865.000000;976.000000;30130.437500
113;-24139.000000;987.000000;30383.361328
114;-24416.000000;999.000000;30635.925781
115;-24694.000000;1010.000000;30888.128906
116;-24980.000000;1022.000000;31139.966797
117;-25266.000000;1034.000000;31391.435547
118;-25547.000000;1045.000000;31642.535156
119;-25826.000000;1057.000000;31893.261719
120;-26102.000000;1068.000000;32143.611328
121;-26366.000000;1079.000000;32393.580078
122;-26618.000000;1089.000000;32643.167969
123;-26866.000000;1099.000000;32892.367188
124;-27103.000000;1109.000000;33141.183594
125;-27341.000000;1119.000000;33389.605469
126;-27576.000000;1128.000000;33637.632812
127;-27813.000000;1138.000000;33885.261719
128;-28053.000000;1148.000000;34132.492188
129;-28295.000000;1158.000000;34379.320312
130;-28543.000000;1168.000000;34625.738281
131;-28791.000000;1178.000000;34871.750000
132;-29049.000000;1189.000000;35117.351562
133;-29307.000000;1200.000000;35362.539062
134;-29569.000000;1210.000000;35607.304688
135;-29833.000000;1221.000000;35851.652344
136;-30104.000000;1232.000000;36095.578125
137;-30377.000000;1243.000000;36339.074219
138;-30654.000000;1254.000000;36582.144531
139;-30932.000000;1265.000000;36824.781250
140;-31202.000000;1277.000000;37066.984375
141;-31469.000000;1287.000000;37308.746094
142;-31725.000000;1298.000000;37550.070312
143;-31970.000000;1308.000000;37790.949219
144;-32199.000000;1317.000000;38031.386719
145;-32422.000000;1327.000000;38271.371094
146;-32645.000000;1336.000000;38510.906250
147;-32862.000000;1345.000000;38749.988281
148;-33086.000000;1354.000000;38988.609375
149;-33313.000000;1363.000000;39226.773438
150;-33551.000000;1373.000000;39464.468750
151;-33793.000000;1383.000000;39701.703125
152;-34043.000000;1393.000000;39938.468750
153;-34294.000000;1403.000000;40174.761719
154;-34551.000000;1414.000000;40410.578125
155;-34808.000000;1425.000000;40645.917969
156;-35070.000000;1436.000000;40880.781250
157;-35331.000000;1446.000000;41115.156250
158;-35594.000000;1457.000000;41349.050781
159;-35863.000000;1468.000000;41582.453125
160;-36132.000000;1479.000000;41815.367188
161;-36401.000000;1490.000000;42047.785156
162;-36668.000000;1501.000000;42279.710938
163;-36922.000000;1511.000000;42511.132812
164;-37166.000000;1521.000000;42742.054688
165;-37397.000000;1531.000000;42972.472656
166;-37619.000000;1540.000000;43202.378906
167;-37832.000000;1549.000000;43431.777344
168;-38040.000000;1557.000000;43660.664062
169;-38251.000000;1566.000000;43889.035156
170;-38456.000000;1574.000000;44116.886719
171;-38670.000000;1583.000000;44344.218750
172;-38889.000000;1592.000000;44571.027344
173;-39110.000000;1601.000000;44797.308594
174;-39343.000000;1610.000000;45023.062500
175;-39583.000000;1620.000000;45248.281250
176;-39830.000000;1630.000000;45472.968750
177;-40084.000000;1641.000000;45697.117188
178;-40345.000000;1651.000000;45920.726562
179;-40604.000000;1662.000000;46143.792969
180;-40863.000000;1672.000000;46366.316406
181;-41122.000000;1683.000000;46588.289062
182;-41385.000000;1693.000000;46809.714844
183;-41642.000000;1704.000000;47030.585938
184;-41891.000000;1714.000000;47250.902344
185;-42138.000000;1725.000000;47470.664062
186;-42371.000000;1734.000000;47689.859375
187;-42591.000000;1743.000000;47908.496094
188;-42807.000000;1752.000000;48126.562500
189;-43012.000000;1761.000000;48344.066406
190;-43205.000000;1769.000000;48560.996094
191;-43398.000000;1777.000000;48777.351562
192;-43591.000000;1785.000000;48993.132812
193;-43783.000000;1793.000000;49208.332031
194;-43978.000000;1801.000000;49422.953125
195;-44182.000000;1809.000000;49636.992188
196;-44389.000000;1817.000000;49850.441406
197;-44607.000000;1826.000000;50063.304688
198;-44845.000000;1836.000000;50275.574219
199;-45088.000000;1846.000000;50487.250000
200;-45339.000000;1856.000000;50698.332031
201;-45600.000000;1866.000000;50908.812500
202;-45871.000000;1877.000000;51118.695312
203;-46144.000000;1889.000000;51327.972656
204;-46408.000000;1899.000000;51536.644531
205;-46672.000000;1910.000000;51744.707031
206;-46923.000000;1920.000000;51952.160156
207;-47165.000000;1930.000000;52158.996094
208;-47396.000000;1939.000000;52365.218750
209;-47617.000000;1949.000000;52570.820312
210;-47822.000000;1957.000000;52775.804688
211;-48017.000000;1965.000000;52980.164062
