takt;q1;q2;q2p
0;248.000000;-10.000000;4100.115234
1;425.000000;-14.000000;8189.338867
2;453.000000;-16.000000;12256.808594
3;353.000000;-12.000000;16291.717773
4;72.000000;0.000000;20283.349609
5;-422.000000;21.000000;24221.097656
6;-1077.000000;53.000000;28094.505859
7;-1948.000000;103.000000;31893.281250
8;-3173.000000;153.000000;35607.335938
9;-4693.000000;215.000000;39226.800781
10;-6466.000000;288.000000;42742.066406
11;-8539.000000;373.000000;46143.785156
12;-10835.000000;467.000000;49422.929688
13;-13267.000000;567.000000;52570.781250
14;-15901.000000;672.000000;55578.984375
15;-18639.000000;787.000000;58439.542969
16;-21438.000000;900.000000;61144.859375
17;-24357.000000;1019.000000;63687.750000
18;-27321.000000;1142.000000;66061.453125
19;-30352.000000;1264.000000;68259.671875
20;-33447.000000;1391.000000;70276.562500
21;-36520.000000;1516.000000;72106.765625
22;-39597.000000;1643.000000;73745.421875
23;-42666.000000;1767.000000;75188.179688
24;-45686.000000;1889.000000;76431.203125
25;-48694.000000;2014.000000;77471.187500
26;-51669.000000;2131.000000;78305.382812
27;-54613.000000;2249.000000;78931.554688
28;-57491.000000;2364.000000;79348.054688
29;-60272.000000;2470.000000;79553.773438
30;-62929.000000;2578.000000;79548.164062
31;-65407.000000;2677.000000;79331.234375
32;-67750.000000;2774.000000;78903.570312
33;-69922.000000;2861.000000;78266.304688
34;-71957.000000;2942.000000;77421.125000
35;-73819.000000;3019.000000;76370.281250
36;-75469.000000;3087.000000;75116.562500
37;-76911.000000;3145.000000;73663.304688
38;-78154.000000;3196.000000;72014.359375
39;-79230.000000;3240.000000;70174.117188
40;-80083.000000;3274.000000;68147.453125
41;-80709.000000;3300.000000;65939.765625
42;-81141.000000;3318.000000;63556.906250
43;-81357.000000;3327.000000;61005.214844
44;-81356.000000;3327.000000;58291.464844
45;-81183.000000;3320.000000;55422.867188
46;-80835.000000;3306.000000;52407.039062
47;-80268.000000;3283.000000;49251.996094
48;-79525.000000;3253.000000;45966.117188
49;-78628.000000;3216.000000;42558.132812
50;-77558.000000;3171.000000;39037.093750
51;-76278.000000;3119.000000;35412.355469
52;-74841.000000;3061.000000;31693.544922
53;-73244.000000;2995.000000;27890.542969
54;-71451.000000;2921.000000;24013.451172
55;-69469.000000;2841.000000;20072.568359
56;-67378.000000;2755.000000;16078.364258
57;-65092.000000;2662.000000;12041.448242
58;-62586.000000;2558.000000;7972.544922
59;-59965.000000;2450.000000;3882.463135
60;-57186.000000;2339.000000;-217.932404
61;-54183.000000;2214.000000;-4317.749023
62;-51040.000000;2085.000000;-8406.095703
63;-47772.000000;1952.000000;-12472.112305
64;-44293.000000;1810.000000;-16504.996094
65;-40633.000000;1658.000000;-20494.037109
66;-36859.000000;1503.000000;-24428.634766
67;-32914.000000;1345.000000;-28298.341797
68;-28766.000000;1174.000000;-32092.873047
69;-24453.000000;996.000000;-35802.152344
70;-20028.000000;818.000000;-39416.324219
71;-15406.000000;627.000000;-42925.789062
72;-10606.000000;430.000000;-46321.222656
73;-5686.000000;229.000000;-49593.593750
74;-585.000000;19.000000;-52734.222656
75;4711.000000;-199.000000;-55734.769531
76;10162.000000;-422.000000;-58587.257812
77;15730.000000;-648.000000;-61284.113281
78;21487.000000;-883.000000;-63818.171875
79;27401.000000;-1124.000000;-66182.703125
80;33419.000000;-1371.000000;-68371.421875
81;39527.000000;-1617.000000;-70378.523438
82;45630.000000;-1863.000000;-72198.664062
83;51610.000000;-2109.000000;-73827.015625
84;57377.000000;-2330.000000;-75259.250000
85;62733.000000;-2536.000000;-76491.570312
86;67763.000000;-2726.000000;-77520.687500
87;72333.000000;-2886.000000;-78343.882812
88;76466.000000;-3023.000000;-78958.960938
89;80253.000000;-3129.000000;-79364.289062
90;83552.000000;-3210.000000;-79558.789062
91;86505.000000;-3268.000000;-79541.953125
92;89029.000000;-3301.000000;-79313.820312
93;91132.000000;-3316.000000;-78874.992188
94;92889.000000;-3320.000000;-78226.640625
95;94134.000000;-3311.000000;-77370.484375
96;95011.000000;-3296.000000;-76308.796875
97;95413.000000;-3276.000000;-75044.398438
98;95390.000000;-3254.000000;-73580.656250
99;94992.000000;-3230.000000;-71921.453125
100;94285.000000;-3202.000000;-70071.195312
101;93319.000000;-3169.000000;-68034.796875
102;92107.000000;-3130.000000;-65817.664062
103;90742.000000;-3070.000000;-63425.695312
104;89198.000000;-3010.000000;-60865.242188
105;87542.000000;-2945.000000;-58143.105469
106;85811.000000;-2872.000000;-55266.515625
107;84008.000000;-2799.000000;-52243.113281
108;82148.000000;-2723.000000;-49080.929688
109;80194.000000;-2643.000000;-45788.367188
110;78171.000000;-2560.000000;-42374.171875
111;76089.000000;-2474.000000;-38847.410156
112;73904.000000;-2385.000000;-35217.457031
113;71650.000000;-2293.000000;-31493.949219
114;69292.000000;-2193.000000;-27686.779297
115;66844.000000;-2095.000000;-23806.062500
116;64344.000000;-1984.000000;-19862.107422
117;61721.000000;-1863.000000;-15865.388672
118;58957.000000;-1748.000000;-11826.525391
119;55998.000000;-1625.000000;-7756.245605
120;52893.000000;-1500.000000;-3665.362061
121;49603.000000;-1362.000000;435.258423
122;46232.000000;-1221.000000;4534.722656
123;42734.000000;-1077.000000;8622.140625
124;39090.000000;-929.000000;12686.654297
125;35359.000000;-774.000000;16717.466797
126;31456.000000;-613.000000;20703.871094
127;27490.000000;-454.000000;24635.277344
128;23453.000000;-287.000000;28501.242188
129;19264.000000;-113.000000;32291.494141
130;15016.000000;59.000000;35995.964844
131;10703.000000;236.000000;39604.816406
132;6359.000000;415.000000;43108.460938
133;1975.000000;590.000000;46497.593750
134;-2423.000000;768.000000;49763.203125
135;-6861.000000;953.000000;52896.625000
136;-11243.000000;1131.000000;55889.527344
137;-15603.000000;1307.000000;58733.968750
138;-19903.000000;1480.000000;61422.382812
