takt;q1;q2;q2p
0;229.000000;-9.000000;2734.082764
1;377.000000;-12.000000;5464.937500
2;387.000000;-13.000000;8189.339355
3;289.000000;-10.000000;10904.070312
4;36.000000;1.000000;13605.926758
5;-397.000000;19.000000;16291.716797
6;-922.000000;40.000000;18958.269531
7;-1582.000000;67.000000;21602.437500
8;-2430.000000;103.000000;24221.097656
9;-3374.000000;141.000000;26811.158203
10;-4417.000000;184.000000;29369.562500
11;-5640.000000;235.000000;31893.285156
12;-7008.000000;290.000000;34379.351562
13;-8464.000000;349.000000;36824.820312
14;-10093.000000;416.000000;39226.808594
15;-11879.000000;490.000000;41582.476562
16;-13713.000000;565.000000;43889.046875
17;-15643.000000;644.000000;46143.789062
18;-17707.000000;729.000000;48344.046875
19;-19782.000000;814.000000;50487.222656
20;-21892.000000;899.000000;52570.781250
21;-24098.000000;990.000000;54592.261719
22;-26280.000000;1079.000000;56549.285156
23;-28477.000000;1170.000000;58439.535156
24;-30747.000000;1263.000000;60260.781250
25;-33000.000000;1356.000000;62010.871094
26;-35273.000000;1450.000000;63687.738281
27;-37591.000000;1544.000000;65289.406250
28;-39865.000000;1639.000000;66813.976562
29;-42175.000000;1731.000000;68259.664062
30;-44452.000000;1825.000000;69624.742188
31;-46751.000000;1918.000000;70907.609375
32;-48999.000000;2011.000000;72106.757812
33;-51244.000000;2104.000000;73220.757812
34;-53463.000000;2195.000000;74248.296875
35;-55591.000000;2284.000000;75188.171875
36;-57733.000000;2369.000000;76039.257812
37;-59763.000000;2451.000000;76800.562500
38;-61731.000000;2531.000000;77471.187500
39;-63680.000000;2611.000000;78050.328125
40;-65526.000000;2687.000000;78537.312500
41;-67302.000000;2760.000000;78931.554688
42;-69005.000000;2831.000000;79232.601562
43;-70549.000000;2891.000000;79440.093750
44;-71962.000000;2949.000000;79553.773438
45;-73308.000000;3005.000000;79573.523438
46;-74493.000000;3053.000000;79499.312500
47;-75539.000000;3095.000000;79331.234375
48;-76490.000000;3135.000000;79069.476562
49;-77320.000000;3169.000000;78714.359375
50;-78022.000000;3197.000000;78266.289062
51;-78662.000000;3223.000000;77725.812500
52;-79216.000000;3246.000000;77093.546875
53;-79646.000000;3264.000000;76370.257812
54;-80001.000000;3279.000000;75556.789062
55;-80289.000000;3290.000000;74654.109375
56;-80477.000000;3298.000000;73663.273438
57;-80577.000000;3302.000000;72585.453125
58;-80602.000000;3303.000000;71421.929688
59;-80529.000000;3301.000000;70174.070312
60;-80355.000000;3294.000000;68843.351562
61;-80121.000000;3284.000000;67431.343750
62;-79799.000000;3271.000000;65939.710938
63;-79379.000000;3254.000000;64370.218750
64;-78873.000000;3233.000000;62724.722656
65;-78277.000000;3209.000000;61005.156250
66;-77576.000000;3180.000000;59213.558594
67;-76757.000000;3145.000000;57352.039062
68;-75821.000000;3107.000000;55422.800781
69;-74760.000000;3065.000000;53428.121094
70;-73598.000000;3017.000000;51370.351562
71;-72353.000000;2966.000000;49251.925781
72;-71022.000000;2911.000000;47075.343750
73;-69557.000000;2852.000000;44843.187500
74;-68027.000000;2789.000000;42558.078125
75;-66446.000000;2725.000000;40222.718750
76;-64762.000000;2656.000000;37839.863281
77;-63018.000000;2585.000000;35412.328125
78;-61247.000000;2513.000000;32942.980469
79;-59331.000000;2433.000000;30434.732422
80;-57374.000000;2352.000000;27890.548828
81;-55432.000000;2273.000000;25313.431641
82;-53366.000000;2189.000000;22706.425781
83;-51219.000000;2101.000000;20072.609375
84;-49096.000000;2015.000000;17415.089844
85;-46865.000000;1921.000000;14737.007812
86;-44543.000000;1825.000000;12041.524414
87;-42247.000000;1730.000000;9331.823242
88;-39860.000000;1632.000000;6611.102539
89;-37429.000000;1532.000000;3882.575684
90;-34939.000000;1432.000000;1149.464478
91;-32448.000000;1331.000000;-1585.004028
92;-29870.000000;1226.000000;-4317.601074
93;-27255.000000;1118.000000;-7045.099609
94;-24628.000000;1010.000000;-9764.280273
95;-21934.000000;899.000000;-12471.930664
96;-19214.000000;787.000000;-15164.854492
97;-16487.000000;676.000000;-17839.873047
98;-13755.000000;564.000000;-20493.824219
99;-10973.000000;451.000000;-23123.578125
100;-8219.000000;337.000000;-25726.029297
101;-5454.000000;224.000000;-28298.103516
102;-2667.000000;109.000000;-30836.761719
103;109.000000;-4.000000;-33339.011719
104;2849.000000;-117.000000;-35801.890625
105;5631.000000;-230.000000;-38222.500000
106;8383.000000;-343.000000;-40597.976562
107;11134.000000;-455.000000;-42925.515625
108;13866.000000;-568.000000;-45202.367188
109;16605.000000;-680.000000;-47425.847656
110;19311.000000;-790.000000;-49593.324219
111;22010.000000;-900.000000;-51702.246094
112;24691.000000;-1010.000000;-53750.117188
113;27344.000000;-1118.000000;-55734.523438
114;29957.000000;-1225.000000;-57653.117188
115;32544.000000;-1331.000000;-59503.636719
116;35081.000000;-1435.000000;-61283.894531
117;37572.000000;-1536.000000;-62991.789062
118;40020.000000;-1637.000000;-64625.304688
119;42400.000000;-1735.000000;-66182.515625
120;44727.000000;-1830.000000;-67661.570312
121;46994.000000;-1923.000000;-69060.742188
122;49238.000000;-2015.000000;-70378.359375
123;51383.000000;-2102.000000;-71612.882812
124;53506.000000;-2191.000000;-72762.843750
125;55574.000000;-2276.000000;-73826.890625
126;57540.000000;-2358.000000;-74803.757812
127;59517.000000;-2439.000000;-75692.304688
128;61352.000000;-2513.000000;-76491.476562
129;63108.000000;-2585.000000;-77200.320312
130;64853.000000;-2657.000000;-77818.015625
131;66454.000000;-2721.000000;-78343.820312
132;67971.000000;-2783.000000;-78777.117188
133;69499.000000;-2847.000000;-79117.398438
134;70887.000000;-2903.000000;-79364.265625
135;72149.000000;-2955.000000;-79517.414062
136;73398.000000;-3007.000000;-79576.671875
137;74544.000000;-3053.000000;-79541.960938
138;75554.000000;-3094.000000;-79413.335938
139;76524.000000;-3133.000000;-79190.937500
140;77412.000000;-3170.000000;-78875.039062
141;78128.000000;-3199.000000;-78466.000000
142;78783.000000;-3227.000000;-77964.312500
143;79420.000000;-3253.000000;-77370.562500
144;79923.000000;-3273.000000;-76685.453125
145;80316.000000;-3289.000000;-75909.796875
146;80655.000000;-3302.000000;-75044.500000
147;80881.000000;-3312.000000;-74090.593750
148;80972.000000;-3316.000000;-73049.195312
149;81007.000000;-3317.000000;-71921.546875
150;80950.000000;-3316.000000;-70708.976562
151;80751.000000;-3308.000000;-69412.906250
152;80483.000000;-3297.000000;-68034.875000
153;80159.000000;-3283.000000;-66576.507812
154;79722.000000;-3265.000000;-65039.527344
155;79193.000000;-3243.000000;-63425.746094
156;78599.000000;-3219.000000;-61737.074219
157;77876.000000;-3189.000000;-59975.503906
158;77026.000000;-3154.000000;-58143.113281
159;76109.000000;-3117.000000;-56242.066406
160;75093.000000;-3076.000000;-54274.609375
161;73959.000000;-3029.000000;-52243.066406
162;72763.000000;-2981.000000;-50149.835938
163;71468.000000;-2927.000000;-47997.386719
164;70069.000000;-2870.000000;-45788.261719
165;68618.000000;-2811.000000;-43525.070312
166;67094.000000;-2748.000000;-41210.484375
167;65453.000000;-2681.000000;-38847.234375
168;63746.000000;-2613.000000;-36438.117188
169;62017.000000;-2540.000000;-33985.972656
170;60165.000000;-2463.000000;-31493.699219
171;58255.000000;-2386.000000;-28964.236328
172;56353.000000;-2307.000000;-26400.572266
173;54294.000000;-2223.000000;-23805.734375
174;52195.000000;-2137.000000;-21182.787109
175;50125.000000;-2052.000000;-18534.828125
176;47921.000000;-1962.000000;-15864.982422
177;45718.000000;-1871.000000;-13176.403320
178;43481.000000;-1779.000000;-10472.265625
179;41158.000000;-1683.000000;-7755.761719
180;38823.000000;-1584.000000;-5030.100586
181;36436.000000;-1488.000000;-2298.499268
182;34001.000000;-1388.000000;435.815735
183;31507.000000;-1286.000000;3169.616211
184;28974.000000;-1182.000000;5899.673828
185;26407.000000;-1077.000000;8622.765625
186;23794.000000;-968.000000;11335.674805
187;21148.000000;-861.000000;14035.200195
188;18499.000000;-751.000000;16718.152344
189;15804.000000;-637.000000;19381.363281
190;13081.000000;-517.000000;22021.687500
191;10298.000000;-403.000000;24636.009766
192;7517.000000;-288.000000;27221.242188
193;4670.000000;-172.000000;29774.332031
194;1791.000000;-53.000000;32292.263672
195;-1081.000000;64.000000;34772.062500
196;-3971.000000;183.000000;37210.804688
197;-6846.000000;300.000000;39605.609375
198;-9737.000000;419.000000;41953.648438
199;-12617.000000;537.000000;44252.144531
200;-15469.000000;654.000000;46498.390625
201;-18357.000000;767.000000;48689.730469
202;-21181.000000;879.000000;50823.578125
203;-23983.000000;988.000000;52897.414062
204;-26762.000000;1101.000000;54908.785156
205;-29477.000000;1214.000000;56855.324219
206;-32124.000000;1322.000000;58734.726562
207;-34741.000000;1430.000000;60544.777344
208;-37363.000000;1537.000000;62283.332031
209;-39879.000000;1641.000000;63948.347656
210;-42400.000000;1741.000000;65537.851562
211;-44832.000000;1840.000000;67049.960938
212;-47198.000000;1936.000000;68482.906250
213;-49492.000000;2030.000000;69834.984375
214;-51730.000000;2121.000000;71104.601562
215;-53902.000000;2211.000000;72290.257812
216;-55970.000000;2296.000000;73390.554688
217;-58023.000000;2379.000000;74404.195312
218;-59941.000000;2457.000000;75329.976562
219;-61793.000000;2533.000000;76166.804688
220;-63592.000000;2608.000000;76913.703125
221;-65270.000000;2677.000000;77569.773438
222;-66854.000000;2741.000000;78134.250000
223;-68372.000000;2805.000000;78606.468750
224;-69754.000000;2861.000000;78985.875000
225;-71024.000000;2911.000000;79272.007812
226;-72238.000000;2962.000000;79464.531250
227;-73335.000000;3007.000000;79563.234375
228;-74322.000000;3047.000000;79567.976562
229;-75242.000000;3084.000000;79478.773438
230;-76088.000000;3119.000000;79295.718750
231;-76822.000000;3148.000000;79019.031250
232;-77511.000000;3176.000000;78649.046875
233;-78166.000000;3204.000000;78186.179688
234;-78722.000000;3227.000000;77631.000000
235;-79200.000000;3246.000000;76984.148438
236;-79631.000000;3264.000000;76246.398438
237;-79966.000000;3278.000000;75418.617188
238;-80211.000000;3287.000000;74501.773438
239;-80395.000000;3295.000000;73496.968750
240;-80493.000000;3299.000000;72405.375000
241;-80468.000000;3298.000000;71228.281250
242;-80372.000000;3294.000000;69967.085938
243;-80208.000000;3288.000000;68623.265625
244;-79938.000000;3277.000000;67198.421875
245;-79579.000000;3262.000000;65694.226562
246;-79147.000000;3244.000000;64112.464844
247;-78604.000000;3222.000000;62454.996094
248;-77953.000000;3195.000000;60723.781250
249;-77225.000000;3165.000000;58920.859375
250;-76363.000000;3129.000000;57048.367188
251;-75364.000000;3089.000000;55108.515625
252;-74277.000000;3045.000000;53103.585938
253;-73107.000000;2997.000000;51035.957031
254;-71841.000000;2945.000000;48908.058594
255;-70481.000000;2890.000000;46722.414062
256;-69036.000000;2831.000000;44481.597656
257;-67525.000000;2769.000000;42188.257812
258;-65933.000000;2704.000000;39845.105469
259;-64274.000000;2636.000000;37454.898438
260;-62569.000000;2566.000000;35020.468750
261;-60776.000000;2494.000000;32544.685547
262;-58888.000000;2416.000000;30030.472656
263;-56993.000000;2336.000000;27480.800781
264;-55026.000000;2255.000000;24898.679688
265;-52941.000000;2170.000000;22287.158203
266;-50820.000000;2083.000000;19649.320312
267;-48687.000000;1997.000000;16988.279297
268;-46431.000000;1903.000000;14307.179688
269;-44134.000000;1810.000000;11609.185547
270;-41844.000000;1715.000000;8897.483398
271;-39416.000000;1615.000000;6175.275391
272;-36968.000000;1513.000000;3445.775391
273;-34492.000000;1413.000000;712.206543
274;-31997.000000;1310.000000;-2022.203247
275;-29388.000000;1205.000000;-4754.225098
276;-26815.000000;1100.000000;-7480.633301
277;-24180.000000;992.000000;-10198.208008
278;-21470.000000;881.000000;-12903.741211
279;-18764.000000;769.000000;-15594.038086
280;-16047.000000;658.000000;-18265.919922
281;-13291.000000;544.000000;-20916.234375
282;-10516.000000;431.000000;-23541.851562
283;-7775.000000;318.000000;-26139.669922
284;-5011.000000;206.000000;-28706.623047
285;-2230.000000;91.000000;-31239.677734
286;535.000000;-21.000000;-33735.847656
287;3277.000000;-134.000000;-36192.179688
288;6061.000000;-248.000000;-38605.777344
289;8800.000000;-360.000000;-40973.785156
290;11527.000000;-472.000000;-43293.417969
291;14281.000000;-585.000000;-45561.925781
292;17011.000000;-696.000000;-47776.632812
293;19716.000000;-807.000000;-49934.929688
294;22423.000000;-917.000000;-52034.257812
295;25119.000000;-1027.000000;-54072.148438
296;27751.000000;-1134.000000;-56046.191406
297;30373.000000;-1242.000000;-57954.050781
298;32950.000000;-1347.000000;-59793.480469
299;35475.000000;-1451.000000;-61562.304688
300;37945.000000;-1551.000000;-63258.437500
301;40378.000000;-1653.000000;-64879.875000
302;42753.000000;-1750.000000;-66424.703125
303;45076.000000;-1846.000000;-67891.093750
304;47340.000000;-1939.000000;-69277.320312
305;49573.000000;-2031.000000;-70581.742188
306;51722.000000;-2118.000000;-71802.828125
307;53852.000000;-2206.000000;-72939.125000
308;55902.000000;-2289.000000;-73989.289062
309;57852.000000;-2369.000000;-74952.093750
310;59807.000000;-2450.000000;-75826.390625
311;61631.000000;-2525.000000;-76611.156250
312;63386.000000;-2596.000000;-77305.460938
313;65111.000000;-2667.000000;-77908.476562
314;66690.000000;-2732.000000;-78419.500000
315;68209.000000;-2793.000000;-78837.929688
316;69711.000000;-2855.000000;-79163.265625
317;71082.000000;-2911.000000;-79395.125000
318;72345.000000;-2963.000000;-79533.234375
319;73581.000000;-3014.000000;-79577.429688
320;74718.000000;-3061.000000;-79527.664062
321;75721.000000;-3101.000000;-79383.984375
322;76677.000000;-3140.000000;-79146.578125
323;77540.000000;-3176.000000;-78815.710938
324;78242.000000;-3204.000000;-78391.773438
325;78888.000000;-3231.000000;-77875.273438
326;79512.000000;-3256.000000;-77266.820312
327;79995.000000;-3276.000000;-76567.132812
328;80376.000000;-3291.000000;-75777.031250
329;80708.000000;-3305.000000;-74897.453125
330;80911.000000;-3313.000000;-73929.437500
331;80988.000000;-3316.000000;-72874.125000
332;81012.000000;-3317.000000;-71732.765625
333;80934.000000;-3315.000000;-70506.695312
334;80726.000000;-3307.000000;-69197.382812
335;80458.000000;-3296.000000;-67806.351562
336;80120.000000;-3282.000000;-66335.257812
337;79669.000000;-3263.000000;-64785.835938
338;79138.000000;-3241.000000;-63159.917969
339;78523.000000;-3216.000000;-61459.417969
340;77774.000000;-3185.000000;-59686.347656
341;76911.000000;-3150.000000;-57842.796875
342;75974.000000;-3112.000000;-55930.949219
