takt;q1;q2;q2p
0;279.000000;-11.000000;4100.115234
1;474.000000;-15.000000;8189.338867
2;510.000000;-17.000000;12256.808594
3;411.000000;-13.000000;16291.717773
4;125.000000;-1.000000;20283.349609
5;-379.000000;20.000000;24221.097656
6;-1043.000000;50.000000;28094.505859
7;-1926.000000;91.000000;31893.281250
8;-3084.000000;145.000000;35607.335938
9;-4477.000000;202.000000;39226.800781
10;-6043.000000;267.000000;42742.066406
11;-7865.000000;340.000000;46143.785156
12;-9911.000000;423.000000;49422.929688
13;-12080.000000;512.000000;52570.781250
14;-14448.000000;607.000000;55578.984375
15;-16912.000000;709.000000;58439.542969
16;-19434.000000;814.000000;61144.859375
17;-22065.000000;924.000000;63687.750000
18;-24773.000000;1036.000000;66061.453125
19;-27570.000000;1152.000000;68259.671875
20;-30401.000000;1269.000000;70276.562500
21;-33340.000000;1390.000000;72106.765625
22;-36318.000000;1511.000000;73745.421875
23;-39351.000000;1634.000000;75188.179688
24;-42402.000000;1760.000000;76431.203125
25;-45460.000000;1883.000000;77471.187500
26;-48495.000000;2004.000000;78305.382812
27;-51504.000000;2126.000000;78931.554688
28;-54480.000000;2248.000000;79348.054688
29;-57434.000000;2367.000000;79553.773438
30;-60302.000000;2471.000000;79548.164062
31;-62968.000000;2581.000000;79331.234375
32;-65576.000000;2689.000000;78903.570312
33;-67986.000000;2785.000000;78266.304688
34;-70268.000000;2877.000000;77421.125000
35;-72420.000000;2963.000000;76370.281250
36;-74397.000000;3044.000000;75116.562500
37;-76178.000000;3116.000000;73663.304688
38;-77737.000000;3180.000000;72014.359375
39;-79147.000000;3238.000000;70174.117188
40;-80367.000000;3288.000000;68147.453125
41;-81402.000000;3330.000000;65939.765625
42;-82247.000000;3365.000000;63556.906250
43;-82892.000000;3391.000000;61005.214844
44;-83331.000000;3410.000000;58291.464844
45;-83554.000000;3419.000000;55422.867188
46;-83585.000000;3420.000000;52407.039062
47;-83410.000000;3413.000000;49251.996094
48;-83030.000000;3398.000000;45966.117188
49;-82435.000000;3373.000000;42558.132812
50;-81673.000000;3342.000000;39037.093750
51;-80758.000000;3304.000000;35412.355469
52;-79673.000000;3261.000000;31693.544922
53;-78411.000000;3208.000000;27890.542969
54;-76975.000000;3150.000000;24013.451172
55;-75382.000000;3083.000000;20072.568359
56;-73600.000000;3011.000000;16078.364258
57;-71681.000000;2933.000000;12041.448242
58;-69591.000000;2846.000000;7972.544922
59;-67321.000000;2754.000000;3882.463135
60;-64894.000000;2654.000000;-217.932404
61;-62279.000000;2546.000000;-4317.749023
62;-59558.000000;2434.000000;-8406.095703
63;-56626.000000;2315.000000;-12472.112305
64;-53516.000000;2187.000000;-16504.996094
65;-50266.000000;2054.000000;-20494.037109
66;-46823.000000;1915.000000;-24428.634766
67;-43218.000000;1766.000000;-28298.341797
68;-39466.000000;1612.000000;-32092.873047
69;-35530.000000;1451.000000;-35802.152344
70;-31414.000000;1283.000000;-39416.324219
71;-27125.000000;1106.000000;-42925.789062
72;-22686.000000;925.000000;-46321.222656
73;-18069.000000;735.000000;-49593.593750
74;-13301.000000;540.000000;-52734.222656
75;-8368.000000;339.000000;-55734.769531
76;-3296.000000;131.000000;-58587.257812
77;1938.000000;-83.000000;-61284.113281
78;7353.000000;-304.000000;-63818.171875
79;12923.000000;-531.000000;-66182.703125
80;18654.000000;-766.000000;-68371.421875
81;24575.000000;-1007.000000;-70378.523438
82;30611.000000;-1256.000000;-72198.664062
83;36823.000000;-1511.000000;-73827.015625
84;43233.000000;-1772.000000;-75259.250000
85;49768.000000;-2039.000000;-76491.570312
86;56438.000000;-2313.000000;-77520.687500
87;63213.000000;-2586.000000;-78343.882812
88;69899.000000;-2853.000000;-78958.960938
89;76380.000000;-3108.000000;-79364.289062
90;82504.000000;-3336.000000;-79558.789062
91;88170.000000;-3553.000000;-79541.953125
92;93397.000000;-3732.000000;-79313.820312
93;98244.000000;-3882.000000;-78874.992188
94;102699.000000;-4004.000000;-78226.640625
95;106771.000000;-4093.000000;-77370.484375
96;110386.000000;-4155.000000;-76308.796875
97;113611.000000;-4182.000000;-75044.398438
98;116387.000000;-4179.000000;-73580.656250
99;118730.000000;-4148.000000;-71921.453125
100;120645.000000;-4085.000000;-70071.195312
101;122094.000000;-4000.000000;-68034.796875
102;123152.000000;-3898.000000;-65817.664062
103;123755.000000;-3783.000000;-63425.695312
104;123963.000000;-3661.000000;-60865.242188
105;123718.000000;-3531.000000;-58143.105469
106;123006.000000;-3391.000000;-55266.515625
107;121880.000000;-3252.000000;-52243.113281
108;120288.000000;-3111.000000;-49080.929688
109;118303.000000;-2968.000000;-45788.367188
110;115857.000000;-2829.000000;-42374.171875
111;112981.000000;-2687.000000;-38847.410156
112;109683.000000;-2542.000000;-35217.457031
113;106124.000000;-2400.000000;-31493.949219
114;102335.000000;-2247.000000;-27686.779297
115;98296.000000;-2077.000000;-23806.062500
116;94121.000000;-1910.000000;-19862.107422
117;89809.000000;-1734.000000;-15865.388672
118;85297.000000;-1547.000000;-11826.525391
119;80619.000000;-1358.000000;-7756.245605
120;75814.000000;-1157.000000;-3665.362061
121;70829.000000;-951.000000;435.258423
122;65648.000000;-739.000000;4534.722656
123;60319.000000;-520.000000;8622.140625
124;54845.000000;-298.000000;12686.654297
125;49190.000000;-67.000000;16717.466797
126;43409.000000;170.000000;20703.871094
127;37554.000000;408.000000;24635.277344
128;31564.000000;653.000000;28501.242188
129;25472.000000;903.000000;32291.494141
130;19361.000000;1151.000000;35995.964844
131;13308.000000;1397.000000;39604.816406
132;7323.000000;1640.000000;43108.460938
133;1501.000000;1874.000000;46497.593750
134;-4158.000000;2102.000000;49763.203125
135;-9622.000000;2324.000000;52896.625000
136;-14861.000000;2538.000000;55889.527344
137;-19884.000000;2742.000000;58733.968750
138;-24671.000000;2929.000000;61422.382812
139;-29209.000000;3111.000000;63947.632812
140;-33441.000000;3288.000000;66303.015625
141;-37456.000000;3450.000000;68482.257812
142;-41256.000000;3606.000000;70479.593750
143;-44837.000000;3756.000000;72289.703125
144;-48238.000000;3903.000000;73907.773438
145;-51554.000000;4038.000000;75329.531250
146;-54750.000000;4162.000000;76551.179688
147;-57817.000000;4285.000000;77569.468750
148;-60869.000000;4407.000000;78381.695312
149;-63787.000000;4523.000000;78985.703125
150;-66569.000000;4634.000000;79379.890625
151;-69198.000000;4740.000000;79563.203125
152;-71598.000000;4838.000000;79535.164062
153;-73840.000000;4929.000000;79295.835938
154;-75897.000000;5011.000000;78845.867188
155;-77828.000000;5088.000000;78186.437500
156;-79563.000000;5158.000000;77319.312500
157;-81065.000000;5220.000000;76246.789062
158;-82391.000000;5274.000000;74971.726562
159;-83537.000000;5322.000000;73497.492188
160;-84489.000000;5361.000000;71828.023438
161;-85236.000000;5390.000000;69967.734375
162;-85796.000000;5414.000000;67921.585938
163;-86140.000000;5428.000000;65695.007812
164;-86274.000000;5433.000000;63293.906250
165;-86239.000000;5432.000000;60724.667969
166;-86010.000000;5424.000000;57994.117188
167;-85564.000000;5405.000000;55109.507812
168;-84926.000000;5379.000000;52078.500000
169;-84137.000000;5347.000000;48909.144531
170;-83162.000000;5307.000000;45609.867188
171;-82008.000000;5259.000000;42189.425781
172;-80692.000000;5205.000000;38656.910156
173;-79185.000000;5143.000000;35021.703125
174;-77506.000000;5075.000000;31293.462891
175;-75666.000000;5000.000000;27482.091797
176;-73649.000000;4916.000000;23597.716797
177;-71468.000000;4828.000000;19650.652344
178;-69123.000000;4732.000000;15651.388672
179;-66588.000000;4628.000000;11610.546875
180;-63935.000000;4519.000000;7538.861328
181;-61087.000000;4404.000000;3447.149658
182;-58081.000000;4279.000000;-653.719543
183;-54912.000000;4150.000000;-4752.852051
184;-51584.000000;4015.000000;-8839.358398
185;-48100.000000;3871.000000;-12902.383789
186;-44422.000000;3723.000000;-16931.134766
187;-40594.000000;3565.000000;-20914.908203
188;-36628.000000;3403.000000;-24843.121094
189;-32476.000000;3233.000000;-28705.339844
190;-28154.000000;3054.000000;-32491.302734
191;-23673.000000;2870.000000;-36190.953125
192;-19034.000000;2681.000000;-39794.464844
193;-14210.000000;2482.000000;-43292.261719
194;-9255.000000;2280.000000;-46675.054688
195;-4128.000000;2070.000000;-49933.855469
196;1161.000000;1854.000000;-53060.011719
197;6598.000000;1632.000000;-56045.214844
198;12194.000000;1403.000000;-58881.531250
199;17923.000000;1169.000000;-61561.433594
200;23699.000000;934.000000;-64077.800781
201;29427.000000;702.000000;-66423.945312
202;35055.000000;474.000000;-68593.632812
203;40503.000000;252.000000;-70581.109375
204;45695.000000;47.000000;-72381.085938
205;50585.000000;-138.000000;-73988.781250
206;55123.000000;-321.000000;-75399.937500
207;59290.000000;-486.000000;-76610.789062
208;63032.000000;-633.000000;-77618.125000
209;66397.000000;-768.000000;-78419.265625
210;69408.000000;-887.000000;-79012.093750
211;72023.000000;-993.000000;-79395.031250
212;74332.000000;-1092.000000;-79567.054688
213;76350.000000;-1172.000000;-79527.710938
214;78095.000000;-1247.000000;-79277.101562
215;79567.000000;-1311.000000;-78815.898438
216;80826.000000;-1372.000000;-78145.320312
217;81899.000000;-1416.000000;-77267.156250
218;82770.000000;-1455.000000;-76183.726562
219;83508.000000;-1485.000000;-74897.921875
220;84154.000000;-1510.000000;-73413.148438
221;84640.000000;-1531.000000;-71733.359375
222;84980.000000;-1544.000000;-69863.007812
223;85203.000000;-1553.000000;-67807.070312
224;85243.000000;-1555.000000;-65571.007812
225;85102.000000;-1550.000000;-63160.753906
226;84834.000000;-1538.000000;-60582.714844
227;84405.000000;-1520.000000;-57843.742188
228;83752.000000;-1493.000000;-54951.105469
229;82945.000000;-1460.000000;-51912.496094
230;81945.000000;-1414.000000;-48735.980469
231;80746.000000;-1354.000000;-45430.000000
232;79262.000000;-1293.000000;-42003.335938
233;77576.000000;-1224.000000;-38465.089844
234;75659.000000;-1144.000000;-34824.664062
235;73463.000000;-1057.000000;-31091.726562
236;71177.000000;-961.000000;-27276.195312
237;68728.000000;-862.000000;-23388.205078
238;66123.000000;-754.000000;-19438.085938
239;63436.000000;-644.000000;-15436.328125
240;60635.000000;-526.000000;-11393.564453
241;57694.000000;-404.000000;-7320.534668
242;54623.000000;-278.000000;-3228.058105
243;51458.000000;-147.000000;872.993896
244;48148.000000;-11.000000;4971.726562
245;44742.000000;131.000000;9057.252930
246;41267.000000;274.000000;13118.717773
247;37675.000000;422.000000;17145.333984
248;33983.000000;575.000000;21126.402344
249;30181.000000;732.000000;25051.351562
250;26258.000000;895.000000;28909.750000
251;22180.000000;1061.000000;32691.353516
252;17997.000000;1232.000000;36386.109375
253;13666.000000;1411.000000;39984.210938
254;9243.000000;1591.000000;43476.093750
255;4782.000000;1771.000000;46852.480469
256;257.000000;1953.000000;50104.410156
257;-4292.000000;2137.000000;53223.234375
258;-8787.000000;2321.000000;56200.675781
259;-13269.000000;2504.000000;59028.816406
260;-17708.000000;2688.000000;61700.152344
261;-22047.000000;2864.000000;64207.585938
262;-26286.000000;3033.000000;66544.453125
263;-30413.000000;3199.000000;68704.539062
264;-34377.000000;3359.000000;70682.125000
265;-38179.000000;3518.000000;72471.937500
266;-41866.000000;3673.000000;74069.234375
267;-45451.000000;3818.000000;75469.765625
268;-48914.000000;3954.000000;76669.812500
269;-52263.000000;4091.000000;77666.187500
270;-55518.000000;4225.000000;78456.250000
271;-58658.000000;4348.000000;79037.890625
272;-61714.000000;4468.000000;79409.570312
273;-64672.000000;4579.000000;79570.296875
274;-67412.000000;4689.000000;79519.656250
275;-69950.000000;4791.000000;79257.765625
276;-72315.000000;4888.000000;78785.335938
277;-74429.000000;4973.000000;78103.609375
278;-76392.000000;5053.000000;77214.406250
279;-78228.000000;5130.000000;76120.078125
280;-79850.000000;5197.000000;74823.546875
281;-81288.000000;5255.000000;73328.250000
282;-82617.000000;5311.000000;71638.148438
283;-83758.000000;5356.000000;69757.750000
284;-84655.000000;5392.000000;67692.039062
285;-85379.000000;5421.000000;65446.511719
286;-85878.000000;5442.000000;63027.121094
287;-86123.000000;5451.000000;60440.304688
288;-86177.000000;5454.000000;57692.925781
289;-86064.000000;5450.000000;54792.289062
290;-85712.000000;5436.000000;51746.101562
291;-85140.000000;5412.000000;48562.449219
292;-84410.000000;5382.000000;45249.789062
293;-83526.000000;5347.000000;41816.925781
294;-82441.000000;5302.000000;38272.980469
295;-81190.000000;5250.000000;34627.359375
296;-79788.000000;5193.000000;30889.755859
297;-78175.000000;5127.000000;27070.091797
298;-76396.000000;5054.000000;23178.517578
299;-74478.000000;4976.000000;19225.369141
300;-72385.000000;4889.000000;15221.150391
301;-70107.000000;4797.000000;11176.497070
302;-67670.000000;4696.000000;7102.152832
303;-65064.000000;4591.000000;3008.942139
304;-62316.000000;4478.000000;-1092.261597
305;-59386.000000;4358.000000;-5190.563965
306;-56285.000000;4231.000000;-9275.077148
307;-53050.000000;4098.000000;-13334.952148
308;-49614.000000;3959.000000;-17359.402344
309;-46024.000000;3811.000000;-21337.738281
310;-42280.000000;3658.000000;-25259.390625
311;-38360.000000;3499.000000;-29113.943359
312;-34266.000000;3331.000000;-32891.156250
313;-30007.000000;3157.000000;-36580.992188
314;-25597.000000;2977.000000;-40173.652344
315;-20992.000000;2787.000000;-43659.593750
316;-16266.000000;2594.000000;-47029.550781
317;-11369.000000;2393.000000;-50274.578125
318;-6324.000000;2185.000000;-53386.054688
319;-1110.000000;1971.000000;-56355.707031
320;4266.000000;1751.000000;-59175.656250
