takt;q1;q2;q2p
0;253.000000;-11.000000;5464.937500
1;428.000000;-15.000000;10904.070312
2;477.000000;-17.000000;16291.718750
3;409.000000;-15.000000;21602.439453
4;176.000000;-5.000000;26811.158203
5;-244.000000;13.000000;31893.283203
6;-806.000000;36.000000;36824.816406
7;-1543.000000;66.000000;41582.468750
8;-2497.000000;105.000000;46143.781250
9;-3618.000000;151.000000;50487.214844
10;-4888.000000;203.000000;54592.261719
11;-6338.000000;263.000000;58439.539062
12;-7950.000000;328.000000;62010.878906
13;-9691.000000;399.000000;65289.414062
14;-11582.000000;477.000000;68259.671875
15;-13603.000000;559.000000;70907.625000
16;-15655.000000;643.000000;73220.773438
17;-17794.000000;730.000000;75188.179688
18;-19973.000000;819.000000;76800.578125
19;-22153.000000;907.000000;78050.335938
20;-24347.000000;997.000000;78931.562500
21;-26555.000000;1088.000000;79440.093750
22;-28768.000000;1179.000000;79573.523438
23;-30948.000000;1269.000000;79331.234375
24;-33131.000000;1357.000000;78714.359375
25;-35292.000000;1446.000000;77725.820312
26;-37411.000000;1531.000000;76370.273438
27;-39485.000000;1615.000000;74654.132812
28;-41498.000000;1699.000000;72585.492188
29;-43425.000000;1776.000000;70174.117188
30;-45216.000000;1849.000000;67431.398438
31;-46943.000000;1919.000000;64370.289062
32;-48512.000000;1983.000000;61005.238281
33;-49876.000000;2038.000000;57352.136719
34;-51105.000000;2089.000000;53428.234375
35;-52137.000000;2132.000000;49252.058594
36;-52957.000000;2165.000000;44843.324219
37;-53626.000000;2192.000000;40222.839844
38;-54100.000000;2212.000000;35412.433594
39;-54364.000000;2223.000000;30434.820312
40;-54457.000000;2226.000000;25313.500000
41;-54406.000000;2225.000000;20072.654297
42;-54154.000000;2214.000000;14737.031250
43;-53727.000000;2196.000000;9331.823242
44;-53144.000000;2173.000000;3882.552002
45;-52400.000000;2143.000000;-1585.051514
46;-51491.000000;2106.000000;-7045.170898
47;-50421.000000;2062.000000;-12472.024414
48;-49195.000000;2010.000000;-17839.988281
49;-47764.000000;1953.000000;-23123.714844
50;-46190.000000;1888.000000;-28298.257812
51;-44480.000000;1817.000000;-33339.183594
52;-42570.000000;1740.000000;-38222.687500
53;-40510.000000;1656.000000;-42925.714844
54;-38329.000000;1564.000000;-47426.054688
55;-35933.000000;1467.000000;-51702.460938
56;-33402.000000;1362.000000;-55734.742188
57;-30725.000000;1254.000000;-59503.855469
58;-27891.000000;1137.000000;-62992.007812
59;-24854.000000;1014.000000;-66182.726562
60;-21675.000000;883.000000;-69060.937500
61;-18347.000000;747.000000;-71613.070312
62;-14828.000000;603.000000;-73827.054688
63;-11149.000000;452.000000;-75692.453125
64;-7349.000000;297.000000;-77200.445312
65;-3391.000000;135.000000;-78343.914062
66;700.000000;-31.000000;-79117.460938
67;4844.000000;-199.000000;-79517.437500
68;9015.000000;-369.000000;-79541.945312
69;13148.000000;-538.000000;-79190.882812
70;17195.000000;-702.000000;-78465.890625
71;21108.000000;-859.000000;-77370.406250
72;24850.000000;-1012.000000;-75909.593750
73;28384.000000;-1156.000000;-74090.367188
74;31695.000000;-1288.000000;-71921.304688
75;34776.000000;-1403.000000;-69412.648438
76;37535.000000;-1511.000000;-66576.250000
77;40002.000000;-1614.000000;-63425.488281
78;42156.000000;-1700.000000;-59975.253906
79;43994.000000;-1780.000000;-56241.832031
80;45538.000000;-1841.000000;-52242.851562
81;46826.000000;-1894.000000;-47997.195312
82;47856.000000;-1938.000000;-43524.910156
83;48601.000000;-1970.000000;-38847.113281
84;49136.000000;-1995.000000;-33985.886719
85;49442.000000;-2015.000000;-28964.191406
86;49524.000000;-2022.000000;-23805.734375
