takt;q1;q2;q2p
0;258.000000;-11.000000;273.461578
1;442.000000;-15.000000;546.919922
2;500.000000;-18.000000;820.371826
3;490.000000;-18.000000;1093.813965
4;376.000000;-15.000000;1367.243164
5;166.000000;-6.000000;1640.656250
6;-24.000000;0.000000;1914.050049
7;-248.000000;9.000000;2187.421143
8;-516.000000;20.000000;2460.766357
9;-710.000000;28.000000;2734.082764
10;-842.000000;33.000000;3007.366943
11;-973.000000;39.000000;3280.615479
12;-1078.000000;44.000000;3553.825195
13;-1143.000000;46.000000;3826.993164
14;-1221.000000;49.000000;4100.115723
15;-1302.000000;53.000000;4373.189941
16;-1345.000000;54.000000;4646.212891
17;-1398.000000;56.000000;4919.180176
18;-1477.000000;60.000000;5192.089844
19;-1549.000000;63.000000;5464.937988
20;-1614.000000;66.000000;5737.721191
21;-1704.000000;69.000000;6010.437012
22;-1786.000000;73.000000;6283.082031
23;-1860.000000;76.000000;6555.652344
24;-1960.000000;80.000000;6828.145508
25;-2066.000000;84.000000;7100.558105
26;-2176.000000;89.000000;7372.886719
27;-2297.000000;94.000000;7645.128418
28;-2441.000000;100.000000;7917.279785
29;-2585.000000;106.000000;8189.337402
30;-2744.000000;112.000000;8461.298828
31;-2918.000000;119.000000;8733.160156
32;-3086.000000;126.000000;9004.917969
33;-3259.000000;133.000000;9276.569336
34;-3438.000000;140.000000;9548.112305
35;-3619.000000;147.000000;9819.541016
36;-3792.000000;155.000000;10090.854492
37;-3970.000000;162.000000;10362.049805
38;-4149.000000;170.000000;10633.122070
39;-4327.000000;177.000000;10904.069336
40;-4503.000000;184.000000;11174.887695
41;-4689.000000;192.000000;11445.573242
42;-4891.000000;200.000000;11716.125000
43;-5099.000000;209.000000;11986.537109
44;-5320.000000;217.000000;12256.808594
45;-5548.000000;227.000000;12526.934570
46;-5780.000000;236.000000;12796.913086
47;-6024.000000;246.000000;13066.741211
48;-6272.000000;256.000000;13336.414062
49;-6528.000000;266.000000;13605.929688
50;-6772.000000;277.000000;13875.284180
51;-7019.000000;286.000000;14144.475586
52;-7257.000000;296.000000;14413.500000
53;-7490.000000;306.000000;14682.353516
54;-7720.000000;315.000000;14951.034180
55;-7938.000000;324.000000;15219.538086
56;-8144.000000;332.000000;15487.861328
57;-8344.000000;341.000000;15756.002930
58;-8547.000000;350.000000;16023.958008
59;-8750.000000;358.000000;16291.724609
60;-8956.000000;366.000000;16559.296875
61;-9174.000000;376.000000;16826.675781
62;-9401.000000;385.000000;17093.855469
63;-9636.000000;394.000000;17360.832031
64;-9881.000000;404.000000;17627.605469
65;-10142.000000;415.000000;17894.169922
66;-10396.000000;425.000000;18160.521484
67;-10654.000000;436.000000;18426.660156
68;-10925.000000;447.000000;18692.582031
69;-11191.000000;458.000000;18958.281250
70;-11463.000000;469.000000;19223.757812
71;-11747.000000;481.000000;19489.007812
72;-12032.000000;492.000000;19754.025391
73;-12314.000000;504.000000;20018.810547
74;-12594.000000;515.000000;20283.359375
75;-12874.000000;527.000000;20547.667969
76;-13140.000000;538.000000;20811.734375
77;-13392.000000;548.000000;21075.554688
78;-13641.000000;558.000000;21339.126953
79;-13883.000000;568.000000;21602.445312
80;-14123.000000;578.000000;21865.509766
81;-14366.000000;588.000000;22128.316406
82;-14610.000000;598.000000;22390.861328
83;-14848.000000;608.000000;22653.140625
84;-15088.000000;617.000000;22915.154297
85;-15326.000000;627.000000;23176.896484
86;-15560.000000;637.000000;23438.365234
87;-15802.000000;647.000000;23699.556641
88;-16051.000000;657.000000;23960.468750
89;-16304.000000;667.000000;24221.097656
90;-16569.000000;678.000000;24481.441406
91;-16847.000000;689.000000;24741.494141
92;-17133.000000;701.000000;25001.255859
93;-17429.000000;713.000000;25260.722656
94;-17735.000000;725.000000;25519.890625
95;-18034.000000;737.000000;25778.757812
96;-18327.000000;750.000000;26037.320312
97;-18612.000000;761.000000;26295.576172
98;-18882.000000;772.000000;26553.519531
99;-19144.000000;783.000000;26811.150391
100;-19392.000000;793.000000;27068.464844
101;-19635.000000;803.000000;27325.458984
102;-19868.000000;813.000000;27582.130859
103;-20094.000000;823.000000;27838.478516
104;-20322.000000;832.000000;28094.496094
105;-20548.000000;841.000000;28350.181641
106;-20773.000000;850.000000;28605.531250
107;-21009.000000;860.000000;28860.544922
108;-21255.000000;870.000000;29115.216797
109;-21507.000000;880.000000;29369.544922
110;-21771.000000;891.000000;29623.527344
111;-22056.000000;903.000000;29877.158203
112;-22350.000000;914.000000;30130.437500
113;-22648.000000;927.000000;30383.361328
114;-22957.000000;939.000000;30635.925781
115;-23259.000000;952.000000;30888.128906
116;-23555.000000;964.000000;31139.966797
117;-23845.000000;975.000000;31391.435547
118;-24124.000000;987.000000;31642.535156
119;-24385.000000;998.000000;31893.261719
120;-24635.000000;1008.000000;32143.611328
121;-24874.000000;1018.000000;32393.580078
122;-25100.000000;1027.000000;32643.167969
123;-25317.000000;1036.000000;32892.367188
124;-25532.000000;1045.000000;33141.183594
125;-25750.000000;1054.000000;33389.605469
126;-25970.000000;1063.000000;33637.632812
127;-26199.000000;1072.000000;33885.261719
128;-26438.000000;1082.000000;34132.492188
129;-26680.000000;1092.000000;34379.320312
130;-26938.000000;1103.000000;34625.738281
131;-27204.000000;1114.000000;34871.750000
132;-27473.000000;1124.000000;35117.351562
133;-27748.000000;1136.000000;35362.539062
134;-28031.000000;1147.000000;35607.304688
135;-28326.000000;1160.000000;35851.652344
136;-28619.000000;1171.000000;36095.578125
137;-28908.000000;1183.000000;36339.074219
138;-29198.000000;1196.000000;36582.144531
139;-29468.000000;1207.000000;36824.781250
140;-29721.000000;1217.000000;37066.984375
141;-29965.000000;1227.000000;37308.746094
142;-30192.000000;1236.000000;37550.070312
143;-30407.000000;1245.000000;37790.949219
144;-30625.000000;1254.000000;38031.386719
145;-30840.000000;1263.000000;38271.371094
146;-31054.000000;1272.000000;38510.906250
147;-31278.000000;1281.000000;38749.988281
148;-31514.000000;1291.000000;38988.609375
149;-31752.000000;1300.000000;39226.773438
150;-32003.000000;1311.000000;39464.468750
151;-32261.000000;1321.000000;39701.703125
152;-32527.000000;1332.000000;39938.468750
153;-32787.000000;1342.000000;40174.761719
154;-33056.000000;1353.000000;40410.578125
155;-33336.000000;1365.000000;40645.917969
156;-33611.000000;1376.000000;40880.781250
157;-33887.000000;1387.000000;41115.156250
158;-34170.000000;1399.000000;41349.050781
159;-34443.000000;1410.000000;41582.453125
160;-34701.000000;1420.000000;41815.367188
161;-34962.000000;1431.000000;42047.785156
162;-35200.000000;1441.000000;42279.710938
163;-35412.000000;1450.000000;42511.132812
