takt;q1;q2;q2p
0;268.000000;-11.000000;4100.115234
1;454.000000;-15.000000;8189.338867
2;501.000000;-18.000000;12256.808594
3;447.000000;-17.000000;16291.717773
4;256.000000;-9.000000;20283.349609
5;-79.000000;5.000000;24221.097656
6;-464.000000;20.000000;28094.505859
7;-944.000000;40.000000;31893.281250
8;-1567.000000;66.000000;35607.335938
9;-2232.000000;93.000000;39226.800781
10;-2929.000000;121.000000;42742.066406
11;-3726.000000;154.000000;46143.785156
12;-4593.000000;189.000000;49422.929688
13;-5509.000000;226.000000;52570.781250
14;-6544.000000;269.000000;55578.984375
15;-7685.000000;316.000000;58439.542969
16;-8868.000000;364.000000;61144.859375
17;-10112.000000;415.000000;63687.750000
18;-11462.000000;470.000000;66061.453125
19;-12870.000000;528.000000;68259.671875
20;-14318.000000;587.000000;70276.562500
21;-15834.000000;649.000000;72106.765625
22;-17399.000000;713.000000;73745.421875
23;-18985.000000;779.000000;75188.179688
24;-20603.000000;845.000000;76431.203125
25;-22270.000000;912.000000;77471.187500
26;-23963.000000;982.000000;78305.382812
27;-25654.000000;1051.000000;78931.554688
28;-27360.000000;1120.000000;79348.054688
29;-29094.000000;1192.000000;79553.773438
30;-30823.000000;1262.000000;79548.164062
31;-32534.000000;1333.000000;79331.234375
32;-34236.000000;1401.000000;78903.570312
33;-35931.000000;1472.000000;78266.304688
34;-37570.000000;1539.000000;77421.125000
35;-39166.000000;1603.000000;76370.281250
36;-40741.000000;1669.000000;75116.562500
37;-42267.000000;1731.000000;73663.304688
38;-43684.000000;1788.000000;72014.359375
39;-45057.000000;1845.000000;70174.117188
40;-46378.000000;1899.000000;68147.453125
41;-47582.000000;1948.000000;65939.765625
42;-48708.000000;1994.000000;63556.906250
43;-49798.000000;2039.000000;61005.214844
44;-50752.000000;2078.000000;58291.464844
45;-51614.000000;2113.000000;55422.867188
46;-52448.000000;2148.000000;52407.039062
47;-53163.000000;2176.000000;49251.996094
48;-53736.000000;2200.000000;45966.117188
49;-54224.000000;2220.000000;42558.132812
50;-54602.000000;2235.000000;39037.093750
51;-54846.000000;2245.000000;35412.355469
52;-54995.000000;2251.000000;31693.544922
53;-55041.000000;2253.000000;27890.542969
54;-54950.000000;2250.000000;24013.451172
55;-54747.000000;2242.000000;20072.568359
56;-54474.000000;2231.000000;16078.364258
57;-54093.000000;2214.000000;12041.448242
58;-53596.000000;2194.000000;7972.544922
59;-52998.000000;2169.000000;3882.463135
60;-52273.000000;2139.000000;-217.932404
61;-51382.000000;2103.000000;-4317.749023
62;-50380.000000;2061.000000;-8406.095703
63;-49233.000000;2015.000000;-12472.112305
64;-47932.000000;1962.000000;-16504.996094
65;-46520.000000;1905.000000;-20494.037109
66;-44985.000000;1840.000000;-24428.634766
67;-43318.000000;1772.000000;-28298.341797
68;-41585.000000;1703.000000;-32092.873047
69;-39769.000000;1627.000000;-35802.152344
70;-37810.000000;1547.000000;-39416.324219
71;-35794.000000;1465.000000;-42925.789062
72;-33747.000000;1380.000000;-46321.222656
73;-31529.000000;1290.000000;-49593.593750
74;-29285.000000;1199.000000;-52734.222656
75;-27030.000000;1107.000000;-55734.769531
76;-24646.000000;1008.000000;-58587.257812
77;-22222.000000;909.000000;-61284.113281
78;-19783.000000;810.000000;-63818.171875
79;-17293.000000;708.000000;-66182.703125
80;-14747.000000;603.000000;-68371.421875
81;-12199.000000;499.000000;-70378.523438
82;-9663.000000;395.000000;-72198.664062
83;-7055.000000;288.000000;-73827.015625
84;-4469.000000;183.000000;-75259.250000
85;-1885.000000;77.000000;-76491.570312
86;710.000000;-29.000000;-77520.687500
87;3334.000000;-136.000000;-78343.882812
88;5904.000000;-242.000000;-78958.960938
89;8499.000000;-348.000000;-79364.289062
90;11081.000000;-454.000000;-79558.789062
91;13638.000000;-558.000000;-79541.953125
92;16119.000000;-659.000000;-79313.820312
93;18594.000000;-760.000000;-78874.992188
94;21007.000000;-858.000000;-78226.640625
95;23330.000000;-953.000000;-77370.484375
96;25618.000000;-1046.000000;-76308.796875
97;27807.000000;-1136.000000;-75044.398438
98;29927.000000;-1222.000000;-73580.656250
99;31950.000000;-1305.000000;-71921.453125
