takt;q1;q2;q2p
0;247.000000;-10.000000;2734.082764
1;411.000000;-14.000000;5464.937500
2;430.000000;-15.000000;8189.339355
3;343.000000;-12.000000;10904.070312
4;114.000000;-3.000000;13605.926758
5;-288.000000;14.000000;16291.716797
6;-768.000000;33.000000;18958.269531
7;-1364.000000;58.000000;21602.437500
8;-2128.000000;90.000000;24221.097656
9;-2998.000000;126.000000;26811.158203
10;-3935.000000;164.000000;29369.562500
11;-5057.000000;211.000000;31893.285156
12;-6328.000000;262.000000;34379.351562
13;-7688.000000;316.000000;36824.820312
14;-9169.000000;378.000000;39226.808594
15;-10830.000000;447.000000;41582.476562
16;-12560.000000;517.000000;43889.046875
17;-14345.000000;590.000000;46143.789062
18;-16289.000000;671.000000;48344.046875
19;-18268.000000;751.000000;50487.222656
20;-20250.000000;832.000000;52570.781250
21;-22337.000000;917.000000;54592.261719
22;-24453.000000;1004.000000;56549.285156
23;-26531.000000;1088.000000;58439.535156
24;-28671.000000;1176.000000;60260.781250
25;-30840.000000;1264.000000;62010.871094
26;-32963.000000;1351.000000;63687.738281
27;-35145.000000;1440.000000;65289.406250
28;-37320.000000;1529.000000;66813.976562
29;-39479.000000;1618.000000;68259.664062
30;-41684.000000;1708.000000;69624.742188
31;-43869.000000;1798.000000;70907.609375
32;-46052.000000;1889.000000;72106.757812
33;-48234.000000;1977.000000;73220.757812
34;-50376.000000;2065.000000;74248.296875
35;-52515.000000;2151.000000;75188.171875
36;-54588.000000;2234.000000;76039.257812
37;-56640.000000;2317.000000;76800.562500
38;-58642.000000;2399.000000;77471.187500
39;-60559.000000;2477.000000;78050.328125
40;-62463.000000;2555.000000;78537.312500
41;-64256.000000;2628.000000;78931.554688
42;-65937.000000;2697.000000;79232.601562
43;-67560.000000;2764.000000;79440.093750
44;-69045.000000;2825.000000;79553.773438
45;-70403.000000;2881.000000;79573.523438
46;-71683.000000;2933.000000;79499.312500
47;-72860.000000;2982.000000;79331.234375
48;-73903.000000;3024.000000;79069.476562
49;-74867.000000;3064.000000;78714.359375
50;-75752.000000;3100.000000;78266.289062
51;-76507.000000;3131.000000;77725.812500
52;-77185.000000;3159.000000;77093.546875
53;-77813.000000;3185.000000;76370.257812
54;-78345.000000;3207.000000;75556.789062
55;-78774.000000;3224.000000;74654.109375
56;-79144.000000;3239.000000;73663.273438
57;-79420.000000;3250.000000;72585.453125
58;-79583.000000;3257.000000;71421.929688
59;-79673.000000;3261.000000;70174.070312
60;-79669.000000;3261.000000;68843.351562
61;-79557.000000;3257.000000;67431.343750
62;-79371.000000;3249.000000;65939.710938
63;-79117.000000;3238.000000;64370.218750
64;-78769.000000;3224.000000;62724.722656
65;-78312.000000;3205.000000;61005.156250
66;-77765.000000;3183.000000;59213.558594
67;-77099.000000;3155.000000;57352.039062
68;-76297.000000;3122.000000;55422.800781
69;-75378.000000;3085.000000;53428.121094
70;-74354.000000;3043.000000;51370.351562
71;-73239.000000;2997.000000;49251.925781
72;-72025.000000;2947.000000;47075.343750
73;-70721.000000;2894.000000;44843.187500
74;-69319.000000;2837.000000;42558.078125
75;-67850.000000;2777.000000;40222.718750
76;-66318.000000;2714.000000;37839.863281
77;-64722.000000;2649.000000;35412.328125
78;-63046.000000;2579.000000;32942.980469
79;-61300.000000;2509.000000;30434.732422
80;-59494.000000;2435.000000;27890.548828
81;-57601.000000;2356.000000;25313.431641
82;-55680.000000;2279.000000;22706.425781
83;-53695.000000;2197.000000;20072.609375
84;-51595.000000;2111.000000;17415.089844
85;-49480.000000;2024.000000;14737.007812
86;-47307.000000;1935.000000;12041.524414
87;-45037.000000;1843.000000;9331.823242
88;-42753.000000;1748.000000;6611.102539
89;-40402.000000;1654.000000;3882.575684
90;-37995.000000;1555.000000;1149.464478
91;-35512.000000;1453.000000;-1585.004028
92;-33023.000000;1353.000000;-4317.601074
93;-30474.000000;1248.000000;-7045.099609
94;-27875.000000;1142.000000;-9764.280273
95;-25264.000000;1035.000000;-12471.930664
96;-22622.000000;927.000000;-15164.854492
97;-19944.000000;817.000000;-17839.873047
98;-17253.000000;707.000000;-20493.824219
99;-14543.000000;594.000000;-23123.578125
100;-11822.000000;484.000000;-25726.029297
101;-9084.000000;371.000000;-28298.103516
102;-6317.000000;259.000000;-30836.761719
103;-3611.000000;149.000000;-33339.011719
104;-859.000000;36.000000;-35801.890625
105;1841.000000;-75.000000;-38222.500000
106;4569.000000;-187.000000;-40597.976562
107;7300.000000;-301.000000;-42925.515625
108;10040.000000;-414.000000;-45202.367188
109;12758.000000;-525.000000;-47425.847656
110;15496.000000;-637.000000;-49593.324219
111;18209.000000;-749.000000;-51702.246094
112;20886.000000;-857.000000;-53750.117188
113;23558.000000;-967.000000;-55734.523438
114;26191.000000;-1074.000000;-57653.117188
115;28785.000000;-1180.000000;-59503.636719
116;31342.000000;-1285.000000;-61283.894531
117;33869.000000;-1388.000000;-62991.789062
118;36339.000000;-1489.000000;-64625.304688
119;38764.000000;-1589.000000;-66182.515625
120;41131.000000;-1685.000000;-67661.570312
121;43447.000000;-1781.000000;-69060.742188
122;45713.000000;-1873.000000;-70378.359375
123;47946.000000;-1965.000000;-71612.882812
124;50114.000000;-2054.000000;-72762.843750
125;52210.000000;-2140.000000;-73826.890625
126;54294.000000;-2224.000000;-74803.757812
127;56290.000000;-2306.000000;-75692.304688
128;58215.000000;-2385.000000;-76491.476562
129;60111.000000;-2463.000000;-77200.320312
130;61889.000000;-2536.000000;-77818.015625
131;63614.000000;-2606.000000;-78343.820312
132;65298.000000;-2674.000000;-78777.117188
133;66841.000000;-2738.000000;-79117.398438
134;68320.000000;-2798.000000;-79364.265625
135;69770.000000;-2857.000000;-79517.414062
136;71078.000000;-2911.000000;-79576.671875
137;72285.000000;-2960.000000;-79541.960938
138;73468.000000;-3009.000000;-79413.335938
139;74540.000000;-3052.000000;-79190.937500
140;75497.000000;-3091.000000;-78875.039062
141;76400.000000;-3128.000000;-78466.000000
142;77195.000000;-3161.000000;-77964.312500
143;77849.000000;-3188.000000;-77370.562500
144;78438.000000;-3212.000000;-76685.453125
145;78991.000000;-3234.000000;-75909.796875
146;79415.000000;-3252.000000;-75044.500000
147;79741.000000;-3265.000000;-74090.593750
148;80024.000000;-3276.000000;-73049.195312
149;80201.000000;-3284.000000;-71921.546875
150;80254.000000;-3286.000000;-70708.976562
151;80240.000000;-3286.000000;-69412.906250
152;80131.000000;-3282.000000;-68034.875000
153;79895.000000;-3272.000000;-66576.507812
154;79582.000000;-3259.000000;-65039.527344
155;79203.000000;-3243.000000;-63425.746094
156;78705.000000;-3223.000000;-61737.074219
157;78103.000000;-3198.000000;-59975.503906
158;77417.000000;-3170.000000;-58143.113281
159;76621.000000;-3138.000000;-56242.066406
160;75715.000000;-3100.000000;-54274.609375
161;74736.000000;-3060.000000;-52243.066406
162;73681.000000;-3017.000000;-50149.835938
163;72511.000000;-2969.000000;-47997.386719
164;71251.000000;-2918.000000;-45788.261719
165;69930.000000;-2864.000000;-43525.070312
166;68518.000000;-2806.000000;-41210.484375
167;67018.000000;-2745.000000;-38847.234375
168;65447.000000;-2681.000000;-36438.117188
169;63797.000000;-2614.000000;-33985.972656
170;62056.000000;-2543.000000;-31493.699219
171;60252.000000;-2469.000000;-28964.236328
172;58397.000000;-2393.000000;-26400.572266
173;56473.000000;-2314.000000;-23805.734375
174;54473.000000;-2231.000000;-21182.787109
175;52439.000000;-2149.000000;-18534.828125
176;50372.000000;-2064.000000;-15864.982422
177;48229.000000;-1976.000000;-13176.403320
178;46070.000000;-1888.000000;-10472.265625
179;43855.000000;-1796.000000;-7755.761719
180;41583.000000;-1703.000000;-5030.100586
181;39294.000000;-1608.000000;-2298.499268
182;36924.000000;-1511.000000;435.815735
183;34526.000000;-1413.000000;3169.616211
184;32090.000000;-1313.000000;5899.673828
185;29598.000000;-1210.000000;8622.765625
186;27052.000000;-1106.000000;11335.674805
187;24469.000000;-998.000000;14035.200195
188;21857.000000;-892.000000;16718.152344
189;19208.000000;-783.000000;19381.363281
190;16518.000000;-674.000000;22021.687500
191;13828.000000;-561.000000;24636.009766
192;11090.000000;-449.000000;27221.242188
193;8327.000000;-334.000000;29774.332031
194;5551.000000;-215.000000;32292.263672
195;2741.000000;-95.000000;34772.062500
196;-55.000000;22.000000;37210.804688
197;-2907.000000;134.000000;39605.609375
198;-5702.000000;249.000000;41953.648438
199;-8565.000000;365.000000;44252.144531
200;-11376.000000;482.000000;46498.390625
201;-14205.000000;596.000000;48689.730469
202;-17039.000000;709.000000;50823.578125
203;-19867.000000;819.000000;52897.414062
204;-22660.000000;934.000000;54908.785156
205;-25394.000000;1045.000000;56855.324219
206;-28145.000000;1158.000000;58734.726562
207;-30775.000000;1264.000000;60544.777344
208;-33397.000000;1371.000000;62283.332031
209;-35985.000000;1477.000000;63948.347656
210;-38490.000000;1578.000000;65537.851562
211;-40988.000000;1680.000000;67049.960938
212;-43417.000000;1779.000000;68482.906250
213;-45788.000000;1877.000000;69834.984375
214;-48102.000000;1970.000000;71104.601562
215;-50358.000000;2063.000000;72290.257812
216;-52557.000000;2152.000000;73390.554688
217;-54667.000000;2238.000000;74404.195312
218;-56748.000000;2322.000000;75329.976562
219;-58751.000000;2404.000000;76166.804688
220;-60642.000000;2481.000000;76913.703125
221;-62487.000000;2557.000000;77569.773438
222;-64209.000000;2627.000000;78134.250000
223;-65796.000000;2691.000000;78606.468750
224;-67324.000000;2755.000000;78985.875000
225;-68737.000000;2812.000000;79272.007812
226;-69998.000000;2864.000000;79464.531250
227;-71203.000000;2914.000000;79563.234375
228;-72322.000000;2960.000000;79567.976562
229;-73331.000000;3001.000000;79478.773438
230;-74270.000000;3039.000000;79295.718750
231;-75156.000000;3076.000000;79019.031250
232;-75934.000000;3108.000000;78649.046875
233;-76626.000000;3136.000000;78186.179688
234;-77291.000000;3164.000000;77631.000000
235;-77874.000000;3188.000000;76984.148438
236;-78371.000000;3208.000000;76246.398438
237;-78821.000000;3226.000000;75418.617188
238;-79197.000000;3241.000000;74501.773438
239;-79468.000000;3252.000000;73496.968750
240;-79669.000000;3260.000000;72405.375000
241;-79795.000000;3266.000000;71228.281250
242;-79805.000000;3267.000000;69967.085938
243;-79733.000000;3264.000000;68623.265625
244;-79599.000000;3259.000000;67198.421875
245;-79381.000000;3249.000000;65694.226562
246;-79068.000000;3236.000000;64112.464844
247;-78672.000000;3220.000000;62454.996094
248;-78173.000000;3199.000000;60723.781250
249;-77556.000000;3174.000000;58920.859375
250;-76835.000000;3144.000000;57048.367188
251;-75989.000000;3110.000000;55108.515625
252;-75017.000000;3071.000000;53103.585938
253;-73949.000000;3027.000000;51035.957031
254;-72807.000000;2980.000000;48908.058594
255;-71572.000000;2929.000000;46722.414062
256;-70248.000000;2875.000000;44481.597656
257;-68843.000000;2818.000000;42188.257812
258;-67374.000000;2758.000000;39845.105469
259;-65844.000000;2695.000000;37454.898438
260;-64243.000000;2629.000000;35020.468750
261;-62577.000000;2560.000000;32544.685547
262;-60834.000000;2490.000000;30030.472656
263;-59019.000000;2415.000000;27480.800781
264;-57151.000000;2338.000000;24898.679688
265;-55233.000000;2260.000000;22287.158203
266;-53221.000000;2177.000000;19649.320312
267;-51126.000000;2092.000000;16988.279297
268;-49037.000000;2006.000000;14307.179688
269;-46835.000000;1916.000000;11609.185547
270;-44553.000000;1823.000000;8897.483398
271;-42273.000000;1729.000000;6175.275391
272;-39904.000000;1633.000000;3445.775391
273;-37485.000000;1533.000000;712.206543
274;-35018.000000;1434.000000;-2022.203247
275;-32536.000000;1332.000000;-4754.225098
276;-29971.000000;1227.000000;-7480.633301
277;-27380.000000;1122.000000;-10198.208008
278;-24780.000000;1015.000000;-12903.741211
279;-22124.000000;907.000000;-15594.038086
280;-19450.000000;796.000000;-18265.919922
281;-16773.000000;688.000000;-20916.234375
282;-14077.000000;576.000000;-23541.851562
283;-11327.000000;464.000000;-26139.669922
