takt;q1;q2;q2p
0;290.000000;-12.000000;273.461578
1;492.000000;-16.000000;546.919922
2;550.000000;-20.000000;820.371826
3;517.000000;-20.000000;1093.813965
4;374.000000;-15.000000;1367.243164
5;128.000000;-5.000000;1640.656250
6;-99.000000;3.000000;1914.050049
7;-348.000000;13.000000;2187.421143
8;-643.000000;25.000000;2460.766357
9;-878.000000;35.000000;2734.082764
10;-1037.000000;40.000000;3007.366943
11;-1183.000000;47.000000;3280.615479
12;-1303.000000;52.000000;3553.825195
13;-1380.000000;55.000000;3826.993164
14;-1472.000000;58.000000;4100.115723
15;-1584.000000;63.000000;4373.189941
16;-1659.000000;67.000000;4646.212891
17;-1743.000000;70.000000;4919.180176
18;-1857.000000;75.000000;5192.089844
19;-1976.000000;80.000000;5464.937988
20;-2090.000000;84.000000;5737.721191
21;-2232.000000;90.000000;6010.437012
22;-2383.000000;96.000000;6283.082031
23;-2520.000000;102.000000;6555.652344
24;-2679.000000;109.000000;6828.145508
25;-2852.000000;116.000000;7100.558105
26;-3025.000000;123.000000;7372.886719
27;-3202.000000;130.000000;7645.128418
28;-3401.000000;139.000000;7917.279785
29;-3602.000000;147.000000;8189.337402
30;-3800.000000;155.000000;8461.298828
31;-4016.000000;164.000000;8733.160156
32;-4240.000000;173.000000;9004.917969
33;-4455.000000;182.000000;9276.569336
34;-4679.000000;191.000000;9548.112305
35;-4903.000000;200.000000;9819.541016
36;-5112.000000;209.000000;10090.854492
37;-5323.000000;218.000000;10362.049805
38;-5541.000000;227.000000;10633.122070
39;-5755.000000;236.000000;10904.069336
40;-5968.000000;244.000000;11174.887695
41;-6196.000000;253.000000;11445.573242
42;-6436.000000;263.000000;11716.125000
43;-6686.000000;273.000000;11986.537109
44;-6953.000000;284.000000;12256.808594
45;-7241.000000;296.000000;12526.934570
46;-7533.000000;308.000000;12796.913086
47;-7840.000000;320.000000;13066.741211
48;-8159.000000;333.000000;13336.414062
49;-8479.000000;346.000000;13605.929688
50;-8785.000000;358.000000;13875.284180
51;-9089.000000;371.000000;14144.475586
52;-9363.000000;382.000000;14413.500000
53;-9615.000000;392.000000;14682.353516
54;-9850.000000;402.000000;14951.034180
55;-10059.000000;411.000000;15219.538086
56;-10252.000000;419.000000;15487.861328
57;-10449.000000;427.000000;15756.002930
58;-10651.000000;435.000000;16023.958008
59;-10857.000000;444.000000;16291.724609
60;-11082.000000;453.000000;16559.296875
61;-11320.000000;463.000000;16826.675781
62;-11579.000000;473.000000;17093.855469
63;-11855.000000;484.000000;17360.832031
64;-12146.000000;496.000000;17627.605469
65;-12441.000000;508.000000;17894.169922
66;-12741.000000;521.000000;18160.521484
67;-13047.000000;533.000000;18426.660156
68;-13361.000000;546.000000;18692.582031
69;-13679.000000;560.000000;18958.281250
70;-13992.000000;572.000000;19223.757812
71;-14292.000000;585.000000;19489.007812
72;-14578.000000;596.000000;19754.025391
73;-14853.000000;608.000000;20018.810547
74;-15104.000000;618.000000;20283.359375
75;-15333.000000;628.000000;20547.667969
76;-15555.000000;637.000000;20811.734375
77;-15772.000000;646.000000;21075.554688
78;-15986.000000;655.000000;21339.126953
79;-16208.000000;664.000000;21602.445312
80;-16442.000000;673.000000;21865.509766
81;-16690.000000;683.000000;22128.316406
82;-16961.000000;694.000000;22390.861328
83;-17247.000000;706.000000;22653.140625
84;-17530.000000;717.000000;22915.154297
85;-17821.000000;729.000000;23176.896484
86;-18115.000000;741.000000;23438.365234
87;-18415.000000;754.000000;23699.556641
88;-18716.000000;766.000000;23960.468750
89;-19024.000000;779.000000;24221.097656
90;-19330.000000;791.000000;24481.441406
91;-19629.000000;803.000000;24741.494141
92;-19922.000000;815.000000;25001.255859
93;-20196.000000;826.000000;25260.722656
94;-20438.000000;836.000000;25519.890625
95;-20668.000000;846.000000;25778.757812
96;-20880.000000;855.000000;26037.320312
97;-21076.000000;863.000000;26295.576172
98;-21281.000000;871.000000;26553.519531
99;-21495.000000;880.000000;26811.150391
100;-21724.000000;890.000000;27068.464844
101;-21984.000000;900.000000;27325.458984
102;-22252.000000;911.000000;27582.130859
103;-22528.000000;922.000000;27838.478516
104;-22805.000000;934.000000;28094.496094
105;-23088.000000;945.000000;28350.181641
106;-23379.000000;957.000000;28605.531250
107;-23666.000000;969.000000;28860.544922
108;-23962.000000;981.000000;29115.216797
109;-24262.000000;993.000000;29369.544922
110;-24556.000000;1006.000000;29623.527344
111;-24850.000000;1017.000000;29877.158203
112;-25141.000000;1029.000000;30130.437500
113;-25410.000000;1040.000000;30383.361328
114;-25669.000000;1051.000000;30635.925781
115;-25917.000000;1061.000000;30888.128906
116;-26144.000000;1070.000000;31139.966797
117;-26363.000000;1079.000000;31391.435547
118;-26589.000000;1089.000000;31642.535156
119;-26810.000000;1098.000000;31893.261719
120;-27038.000000;1107.000000;32143.611328
121;-27282.000000;1117.000000;32393.580078
122;-27533.000000;1127.000000;32643.167969
123;-27787.000000;1138.000000;32892.367188
124;-28041.000000;1148.000000;33141.183594
125;-28308.000000;1159.000000;33389.605469
126;-28567.000000;1170.000000;33637.632812
127;-28830.000000;1180.000000;33885.261719
128;-29103.000000;1192.000000;34132.492188
129;-29365.000000;1203.000000;34379.320312
130;-29626.000000;1213.000000;34625.738281
131;-29896.000000;1224.000000;34871.750000
132;-30166.000000;1235.000000;35117.351562
133;-30428.000000;1246.000000;35362.539062
134;-30689.000000;1257.000000;35607.304688
135;-30944.000000;1267.000000;35851.652344
136;-31187.000000;1277.000000;36095.578125
137;-31422.000000;1287.000000;36339.074219
138;-31668.000000;1297.000000;36582.144531
139;-31910.000000;1307.000000;36824.781250
140;-32147.000000;1316.000000;37066.984375
141;-32403.000000;1327.000000;37308.746094
142;-32655.000000;1337.000000;37550.070312
143;-32905.000000;1347.000000;37790.949219
144;-33161.000000;1358.000000;38031.386719
145;-33416.000000;1368.000000;38271.371094
146;-33653.000000;1378.000000;38510.906250
147;-33898.000000;1388.000000;38749.988281
148;-34138.000000;1398.000000;38988.609375
149;-34365.000000;1408.000000;39226.773438
150;-34601.000000;1418.000000;39464.468750
151;-34840.000000;1427.000000;39701.703125
152;-35085.000000;1437.000000;39938.468750
153;-35334.000000;1448.000000;40174.761719
154;-35594.000000;1458.000000;40410.578125
155;-35848.000000;1469.000000;40645.917969
156;-36100.000000;1479.000000;40880.781250
157;-36347.000000;1489.000000;41115.156250
158;-36595.000000;1499.000000;41349.050781
159;-36838.000000;1509.000000;41582.453125
160;-37087.000000;1519.000000;41815.367188
161;-37337.000000;1529.000000;42047.785156
162;-37589.000000;1539.000000;42279.710938
163;-37835.000000;1550.000000;42511.132812
164;-38081.000000;1559.000000;42742.054688
165;-38320.000000;1569.000000;42972.472656
166;-38550.000000;1579.000000;43202.378906
167;-38776.000000;1588.000000;43431.777344
168;-38995.000000;1597.000000;43660.664062
169;-39205.000000;1606.000000;43889.035156
170;-39417.000000;1615.000000;44116.886719
171;-39636.000000;1624.000000;44344.218750
172;-39860.000000;1633.000000;44571.027344
173;-40100.000000;1643.000000;44797.308594
174;-40340.000000;1653.000000;45023.062500
175;-40576.000000;1662.000000;45248.281250
176;-40821.000000;1672.000000;45472.968750
177;-41069.000000;1683.000000;45697.117188
178;-41314.000000;1692.000000;45920.726562
179;-41565.000000;1703.000000;46143.792969
180;-41821.000000;1713.000000;46366.316406
181;-42071.000000;1723.000000;46588.289062
182;-42324.000000;1733.000000;46809.714844
183;-42585.000000;1744.000000;47030.585938
184;-42831.000000;1754.000000;47250.902344
185;-43060.000000;1763.000000;47470.664062
186;-43284.000000;1773.000000;47689.859375
187;-43491.000000;1781.000000;47908.496094
188;-43684.000000;1789.000000;48126.562500
189;-43876.000000;1797.000000;48344.066406
190;-44074.000000;1806.000000;48560.996094
191;-44273.000000;1814.000000;48777.351562
192;-44474.000000;1822.000000;48993.132812
193;-44689.000000;1831.000000;49208.332031
194;-44908.000000;1840.000000;49422.953125
195;-45133.000000;1849.000000;49636.992188
196;-45365.000000;1858.000000;49850.441406
197;-45603.000000;1868.000000;50063.304688
198;-45828.000000;1877.000000;50275.574219
199;-46055.000000;1886.000000;50487.250000
200;-46291.000000;1896.000000;50698.332031
201;-46520.000000;1906.000000;50908.812500
202;-46755.000000;1915.000000;51118.695312
203;-47004.000000;1925.000000;51327.972656
204;-47247.000000;1935.000000;51536.644531
205;-47495.000000;1945.000000;51744.707031
206;-47745.000000;1955.000000;51952.160156
207;-47991.000000;1965.000000;52158.996094
208;-48210.000000;1974.000000;52365.218750
209;-48421.000000;1983.000000;52570.820312
210;-48618.000000;1991.000000;52775.804688
211;-48799.000000;1998.000000;52980.164062
212;-48976.000000;2006.000000;53183.898438
213;-49160.000000;2014.000000;53387.003906
214;-49343.000000;2021.000000;53589.480469
215;-49536.000000;2029.000000;53791.324219
216;-49748.000000;2038.000000;53992.531250
217;-49964.000000;2046.000000;54193.101562
218;-50189.000000;2055.000000;54393.031250
219;-50418.000000;2064.000000;54592.316406
220;-50640.000000;2073.000000;54790.960938
221;-50853.000000;2082.000000;54988.957031
222;-51072.000000;2091.000000;55186.300781
223;-51294.000000;2100.000000;55382.996094
224;-51505.000000;2109.000000;55579.039062
225;-51718.000000;2118.000000;55774.421875
226;-51935.000000;2126.000000;55969.148438
227;-52151.000000;2135.000000;56163.214844
228;-52369.000000;2144.000000;56356.613281
229;-52594.000000;2153.000000;56549.351562
230;-52810.000000;2162.000000;56741.417969
231;-53024.000000;2171.000000;56932.816406
232;-53234.000000;2179.000000;57123.542969
233;-53438.000000;2188.000000;57313.593750
234;-53638.000000;2196.000000;57502.968750
235;-53829.000000;2204.000000;57691.664062
236;-54018.000000;2211.000000;57879.675781
237;-54201.000000;2219.000000;58067.007812
238;-54375.000000;2226.000000;58253.652344
239;-54555.000000;2234.000000;58439.609375
240;-54740.000000;2241.000000;58624.875000
241;-54928.000000;2248.000000;58809.449219
242;-55126.000000;2256.000000;58993.332031
243;-55330.000000;2265.000000;59176.515625
244;-55529.000000;2273.000000;59359.000000
245;-55725.000000;2281.000000;59540.781250
246;-55917.000000;2288.000000;59721.863281
247;-56101.000000;2296.000000;59902.238281
248;-56286.000000;2304.000000;60081.906250
249;-56471.000000;2311.000000;60260.863281
250;-56659.000000;2319.000000;60439.109375
251;-56851.000000;2327.000000;60616.644531
252;-57050.000000;2335.000000;60793.460938
253;-57254.000000;2343.000000;60969.558594
254;-57461.000000;2352.000000;61144.937500
255;-57669.000000;2360.000000;61319.593750
256;-57880.000000;2369.000000;61493.527344
257;-58090.000000;2377.000000;61666.734375
258;-58294.000000;2386.000000;61839.214844
259;-58494.000000;2394.000000;62010.960938
260;-58689.000000;2402.000000;62181.976562
261;-58873.000000;2410.000000;62352.257812
262;-59054.000000;2417.000000;62521.804688
263;-59233.000000;2424.000000;62690.609375
264;-59404.000000;2432.000000;62858.679688
265;-59571.000000;2439.000000;63026.003906
266;-59739.000000;2445.000000;63192.582031
267;-59905.000000;2452.000000;63358.414062
268;-60070.000000;2459.000000;63523.500000
269;-60240.000000;2465.000000;63687.835938
270;-60412.000000;2472.000000;63851.421875
271;-60581.000000;2479.000000;64014.250000
272;-60749.000000;2486.000000;64176.324219
273;-60918.000000;2493.000000;64337.636719
274;-61084.000000;2500.000000;64498.195312
275;-61243.000000;2506.000000;64657.988281
276;-61408.000000;2513.000000;64817.019531
277;-61568.000000;2520.000000;64975.281250
278;-61732.000000;2526.000000;65132.781250
279;-61902.000000;2534.000000;65289.507812
280;-62073.000000;2541.000000;65445.468750
281;-62246.000000;2548.000000;65600.648438
282;-62423.000000;2555.000000;65755.062500
283;-62606.000000;2563.000000;65908.695312
284;-62786.000000;2570.000000;66061.546875
285;-62960.000000;2577.000000;66213.625000
286;-63141.000000;2585.000000;66364.921875
287;-63322.000000;2592.000000;66515.429688
288;-63501.000000;2599.000000;66665.148438
289;-63684.000000;2607.000000;66814.085938
290;-63867.000000;2615.000000;66962.234375
291;-64050.000000;2622.000000;67109.593750
292;-64234.000000;2629.000000;67256.156250
293;-64419.000000;2637.000000;67401.929688
294;-64599.000000;2644.000000;67546.898438
295;-64767.000000;2651.000000;67691.078125
296;-64935.000000;2658.000000;67834.453125
297;-65096.000000;2664.000000;67977.031250
298;-65245.000000;2671.000000;68118.804688
299;-65394.000000;2676.000000;68259.773438
300;-65529.000000;2682.000000;68399.937500
301;-65657.000000;2687.000000;68539.289062
302;-65785.000000;2692.000000;68677.835938
303;-65908.000000;2698.000000;68815.570312
304;-66038.000000;2703.000000;68952.492188
305;-66171.000000;2708.000000;69088.601562
306;-66313.000000;2714.000000;69223.890625
307;-66456.000000;2720.000000;69358.367188
308;-66604.000000;2726.000000;69492.023438
309;-66752.000000;2732.000000;69624.859375
310;-66902.000000;2738.000000;69756.867188
311;-67046.000000;2744.000000;69888.054688
312;-67192.000000;2750.000000;70018.421875
313;-67333.000000;2756.000000;70147.960938
314;-67472.000000;2761.000000;70276.664062
315;-67611.000000;2767.000000;70404.546875
316;-67752.000000;2773.000000;70531.593750
317;-67895.000000;2778.000000;70657.804688
318;-68033.000000;2784.000000;70783.187500
319;-68182.000000;2791.000000;70907.726562
320;-68329.000000;2797.000000;71031.429688
321;-68477.000000;2803.000000;71154.296875
322;-68627.000000;2809.000000;71276.328125
323;-68779.000000;2815.000000;71397.515625
324;-68926.000000;2821.000000;71517.851562
325;-69079.000000;2827.000000;71637.351562
326;-69233.000000;2834.000000;71756.007812
327;-69385.000000;2839.000000;71873.812500
328;-69532.000000;2845.000000;71990.765625
329;-69683.000000;2852.000000;72106.867188
330;-69824.000000;2857.000000;72222.125000
331;-69958.000000;2863.000000;72336.523438
332;-70094.000000;2868.000000;72450.070312
333;-70218.000000;2874.000000;72562.765625
334;-70329.000000;2878.000000;72674.593750
335;-70436.000000;2882.000000;72785.570312
336;-70537.000000;2887.000000;72895.687500
337;-70629.000000;2891.000000;73004.945312
338;-70718.000000;2894.000000;73113.335938
339;-70811.000000;2898.000000;73220.867188
340;-70906.000000;2902.000000;73327.531250
341;-71006.000000;2906.000000;73433.335938
342;-71117.000000;2911.000000;73538.265625
343;-71235.000000;2915.000000;73642.328125
344;-71358.000000;2921.000000;73745.523438
345;-71493.000000;2926.000000;73847.851562
346;-71624.000000;2931.000000;73949.296875
347;-71757.000000;2937.000000;74049.875000
348;-71896.000000;2943.000000;74149.578125
349;-72023.000000;2948.000000;74248.406250
350;-72145.000000;2953.000000;74346.359375
351;-72267.000000;2958.000000;74443.429688
352;-72383.000000;2962.000000;74539.625000
353;-72492.000000;2967.000000;74634.937500
354;-72602.000000;2971.000000;74729.375000
355;-72707.000000;2976.000000;74822.921875
356;-72809.000000;2980.000000;74915.585938
357;-72911.000000;2984.000000;75007.367188
358;-73013.000000;2988.000000;75098.265625
359;-73110.000000;2992.000000;75188.273438
360;-73211.000000;2997.000000;75277.398438
361;-73309.000000;3001.000000;75365.632812
362;-73409.000000;3005.000000;75452.968750
363;-73512.000000;3009.000000;75539.421875
364;-73619.000000;3014.000000;75624.984375
365;-73731.000000;3018.000000;75709.648438
366;-73853.000000;3023.000000;75793.421875
367;-73979.000000;3028.000000;75876.296875
368;-74107.000000;3033.000000;75958.273438
369;-74242.000000;3039.000000;76039.359375
370;-74374.000000;3044.000000;76119.546875
371;-74502.000000;3049.000000;76198.835938
372;-74630.000000;3054.000000;76277.218750
373;-74748.000000;3059.000000;76354.703125
374;-74855.000000;3063.000000;76431.289062
375;-74957.000000;3068.000000;76506.976562
376;-75048.000000;3071.000000;76581.750000
377;-75127.000000;3074.000000;76655.625000
378;-75203.000000;3078.000000;76728.593750
379;-75267.000000;3080.000000;76800.656250
380;-75327.000000;3083.000000;76871.812500
381;-75388.000000;3085.000000;76942.062500
382;-75440.000000;3087.000000;77011.398438
383;-75494.000000;3090.000000;77079.828125
384;-75549.000000;3092.000000;77147.351562
385;-75609.000000;3094.000000;77213.960938
386;-75672.000000;3097.000000;77279.656250
387;-75739.000000;3100.000000;77344.445312
388;-75812.000000;3103.000000;77408.312500
389;-75890.000000;3106.000000;77471.273438
390;-75966.000000;3109.000000;77533.312500
391;-76052.000000;3113.000000;77594.437500
392;-76140.000000;3116.000000;77654.648438
393;-76228.000000;3120.000000;77713.937500
394;-76319.000000;3123.000000;77772.312500
395;-76410.000000;3127.000000;77829.773438
396;-76496.000000;3131.000000;77886.312500
397;-76575.000000;3134.000000;77941.929688
398;-76652.000000;3137.000000;77996.625000
399;-76723.000000;3140.000000;78050.406250
400;-76793.000000;3143.000000;78103.257812
401;-76855.000000;3146.000000;78155.187500
402;-76917.000000;3148.000000;78206.203125
403;-76977.000000;3151.000000;78256.289062
404;-77037.000000;3153.000000;78305.445312
405;-77098.000000;3156.000000;78353.687500
406;-77156.000000;3158.000000;78401.000000
407;-77218.000000;3161.000000;78447.382812
408;-77279.000000;3163.000000;78492.843750
409;-77339.000000;3166.000000;78537.375000
410;-77403.000000;3168.000000;78580.976562
411;-77463.000000;3171.000000;78623.656250
412;-77527.000000;3173.000000;78665.406250
413;-77593.000000;3176.000000;78706.226562
414;-77651.000000;3178.000000;78746.117188
415;-77713.000000;3181.000000;78785.078125
416;-77770.000000;3183.000000;78823.109375
417;-77827.000000;3186.000000;78860.203125
418;-77884.000000;3188.000000;78896.375000
419;-77934.000000;3190.000000;78931.609375
420;-77985.000000;3192.000000;78965.914062
421;-78035.000000;3194.000000;78999.281250
422;-78087.000000;3196.000000;79031.726562
423;-78134.000000;3198.000000;79063.226562
424;-78189.000000;3200.000000;79093.796875
425;-78236.000000;3202.000000;79123.437500
426;-78282.000000;3204.000000;79152.140625
427;-78330.000000;3206.000000;79179.906250
428;-78381.000000;3208.000000;79206.742188
429;-78427.000000;3210.000000;79232.640625
430;-78478.000000;3213.000000;79257.601562
431;-78526.000000;3215.000000;79281.632812
432;-78574.000000;3216.000000;79304.718750
433;-78623.000000;3218.000000;79326.875000
434;-78674.000000;3220.000000;79348.093750
435;-78720.000000;3222.000000;79368.367188
436;-78766.000000;3224.000000;79387.710938
437;-78815.000000;3226.000000;79406.117188
438;-78857.000000;3228.000000;79423.585938
439;-78900.000000;3230.000000;79440.117188
440;-78937.000000;3231.000000;79455.703125
441;-78971.000000;3232.000000;79470.359375
442;-79004.000000;3234.000000;79484.070312
443;-79035.000000;3235.000000;79496.851562
444;-79064.000000;3236.000000;79508.687500
445;-79094.000000;3237.000000;79519.585938
446;-79121.000000;3239.000000;79529.546875
447;-79152.000000;3240.000000;79538.562500
448;-79184.000000;3241.000000;79546.648438
449;-79207.000000;3242.000000;79553.789062
450;-79230.000000;3243.000000;79559.984375
451;-79252.000000;3244.000000;79565.250000
452;-79268.000000;3245.000000;79569.570312
453;-79289.000000;3246.000000;79572.953125
454;-79305.000000;3246.000000;79575.398438
