takt;q1;q2;q2p
0;246.000000;-10.000000;273.461578
1;410.000000;-14.000000;546.919922
2;448.000000;-16.000000;820.371826
3;411.000000;-16.000000;1093.813965
4;271.000000;-11.000000;1367.243164
5;39.000000;-1.000000;1640.656250
6;-181.000000;7.000000;1914.050049
7;-429.000000;16.000000;2187.421143
8;-721.000000;28.000000;2460.766357
9;-958.000000;38.000000;2734.082764
10;-1136.000000;45.000000;3007.366943
11;-1303.000000;51.000000;3280.615479
12;-1438.000000;57.000000;3553.825195
13;-1529.000000;60.000000;3826.993164
14;-1619.000000;64.000000;4100.115723
15;-1711.000000;68.000000;4373.189941
16;-1768.000000;71.000000;4646.212891
17;-1836.000000;74.000000;4919.180176
18;-1926.000000;78.000000;5192.089844
19;-2021.000000;81.000000;5464.937988
20;-2121.000000;85.000000;5737.721191
21;-2253.000000;91.000000;6010.437012
22;-2401.000000;97.000000;6283.082031
23;-2553.000000;103.000000;6555.652344
24;-2738.000000;111.000000;6828.145508
25;-2944.000000;120.000000;7100.558105
26;-3162.000000;129.000000;7372.886719
27;-3400.000000;138.000000;7645.128418
28;-3654.000000;149.000000;7917.279785
29;-3919.000000;159.000000;8189.337402
30;-4185.000000;170.000000;8461.298828
31;-4465.000000;182.000000;8733.160156
32;-4750.000000;193.000000;9004.917969
33;-5026.000000;205.000000;9276.569336
34;-5297.000000;216.000000;9548.112305
35;-5559.000000;227.000000;9819.541016
36;-5811.000000;237.000000;10090.854492
37;-6052.000000;247.000000;10362.049805
38;-6293.000000;256.000000;10633.122070
39;-6521.000000;266.000000;10904.069336
40;-6731.000000;274.000000;11174.887695
41;-6945.000000;283.000000;11445.573242
42;-7161.000000;292.000000;11716.125000
43;-7377.000000;301.000000;11986.537109
44;-7605.000000;310.000000;12256.808594
45;-7839.000000;320.000000;12526.934570
46;-8080.000000;330.000000;12796.913086
47;-8335.000000;340.000000;13066.741211
48;-8607.000000;351.000000;13336.414062
49;-8886.000000;362.000000;13605.929688
50;-9170.000000;374.000000;13875.284180
51;-9464.000000;386.000000;14144.475586
52;-9763.000000;398.000000;14413.500000
53;-10064.000000;411.000000;14682.353516
54;-10364.000000;423.000000;14951.034180
55;-10664.000000;435.000000;15219.538086
56;-10956.000000;447.000000;15487.861328
57;-11242.000000;458.000000;15756.002930
58;-11520.000000;470.000000;16023.958008
59;-11781.000000;480.000000;16291.724609
60;-12034.000000;491.000000;16559.296875
61;-12281.000000;501.000000;16826.675781
62;-12522.000000;511.000000;17093.855469
63;-12762.000000;521.000000;17360.832031
64;-13008.000000;531.000000;17627.605469
65;-13252.000000;541.000000;17894.169922
66;-13502.000000;551.000000;18160.521484
67;-13757.000000;562.000000;18426.660156
68;-14015.000000;572.000000;18692.582031
69;-14273.000000;583.000000;18958.281250
70;-14544.000000;594.000000;19223.757812
71;-14821.000000;605.000000;19489.007812
72;-15106.000000;617.000000;19754.025391
73;-15400.000000;629.000000;20018.810547
74;-15702.000000;641.000000;20283.359375
75;-16005.000000;653.000000;20547.667969
76;-16317.000000;666.000000;20811.734375
77;-16622.000000;678.000000;21075.554688
78;-16917.000000;690.000000;21339.126953
79;-17207.000000;702.000000;21602.445312
80;-17479.000000;713.000000;21865.509766
81;-17737.000000;724.000000;22128.316406
82;-17987.000000;734.000000;22390.861328
83;-18226.000000;744.000000;22653.140625
84;-18454.000000;754.000000;22915.154297
85;-18680.000000;763.000000;23176.896484
86;-18905.000000;772.000000;23438.365234
87;-19125.000000;782.000000;23699.556641
88;-19349.000000;791.000000;23960.468750
89;-19583.000000;801.000000;24221.097656
90;-19832.000000;811.000000;24481.441406
91;-20100.000000;822.000000;24741.494141
92;-20372.000000;833.000000;25001.255859
93;-20666.000000;845.000000;25260.722656
94;-20973.000000;857.000000;25519.890625
95;-21288.000000;870.000000;25778.757812
96;-21603.000000;883.000000;26037.320312
97;-21912.000000;895.000000;26295.576172
98;-22206.000000;907.000000;26553.519531
99;-22489.000000;919.000000;26811.150391
100;-22760.000000;930.000000;27068.464844
101;-23025.000000;941.000000;27325.458984
102;-23272.000000;951.000000;27582.130859
103;-23511.000000;960.000000;27838.478516
104;-23740.000000;970.000000;28094.496094
105;-23964.000000;979.000000;28350.181641
106;-24183.000000;988.000000;28605.531250
107;-24403.000000;997.000000;28860.544922
108;-24626.000000;1007.000000;29115.216797
109;-24853.000000;1016.000000;29369.544922
110;-25093.000000;1026.000000;29623.527344
111;-25343.000000;1036.000000;29877.158203
112;-25605.000000;1047.000000;30130.437500
113;-25882.000000;1058.000000;30383.361328
114;-26180.000000;1070.000000;30635.925781
115;-26487.000000;1083.000000;30888.128906
116;-26790.000000;1095.000000;31139.966797
117;-27098.000000;1108.000000;31391.435547
118;-27392.000000;1120.000000;31642.535156
119;-27672.000000;1132.000000;31893.261719
120;-27947.000000;1143.000000;32143.611328
121;-28206.000000;1153.000000;32393.580078
122;-28446.000000;1163.000000;32643.167969
123;-28680.000000;1173.000000;32892.367188
124;-28903.000000;1182.000000;33141.183594
125;-29114.000000;1191.000000;33389.605469
126;-29325.000000;1199.000000;33637.632812
127;-29535.000000;1208.000000;33885.261719
128;-29748.000000;1217.000000;34132.492188
129;-29967.000000;1226.000000;34379.320312
130;-30200.000000;1236.000000;34625.738281
131;-30438.000000;1245.000000;34871.750000
132;-30695.000000;1256.000000;35117.351562
133;-30965.000000;1267.000000;35362.539062
134;-31251.000000;1278.000000;35607.304688
135;-31544.000000;1290.000000;35851.652344
136;-31845.000000;1302.000000;36095.578125
137;-32150.000000;1315.000000;36339.074219
138;-32452.000000;1327.000000;36582.144531
139;-32744.000000;1339.000000;36824.781250
140;-33023.000000;1350.000000;37066.984375
141;-33289.000000;1361.000000;37308.746094
142;-33534.000000;1371.000000;37550.070312
143;-33768.000000;1381.000000;37790.949219
144;-33991.000000;1390.000000;38031.386719
145;-34198.000000;1399.000000;38271.371094
146;-34397.000000;1407.000000;38510.906250
147;-34598.000000;1415.000000;38749.988281
148;-34797.000000;1423.000000;38988.609375
149;-35001.000000;1432.000000;39226.773438
150;-35217.000000;1441.000000;39464.468750
151;-35439.000000;1450.000000;39701.703125
152;-35673.000000;1460.000000;39938.468750
153;-35922.000000;1470.000000;40174.761719
154;-36178.000000;1480.000000;40410.578125
155;-36440.000000;1491.000000;40645.917969
156;-36710.000000;1502.000000;40880.781250
157;-36983.000000;1513.000000;41115.156250
158;-37259.000000;1525.000000;41349.050781
159;-37542.000000;1536.000000;41582.453125
160;-37827.000000;1547.000000;41815.367188
161;-38110.000000;1559.000000;42047.785156
162;-38376.000000;1570.000000;42279.710938
163;-38640.000000;1581.000000;42511.132812
164;-38895.000000;1591.000000;42742.054688
165;-39125.000000;1600.000000;42972.472656
166;-39344.000000;1609.000000;43202.378906
167;-39553.000000;1618.000000;43431.777344
168;-39752.000000;1626.000000;43660.664062
169;-39951.000000;1634.000000;43889.035156
170;-40153.000000;1643.000000;44116.886719
171;-40356.000000;1651.000000;44344.218750
172;-40562.000000;1660.000000;44571.027344
173;-40774.000000;1668.000000;44797.308594
174;-40995.000000;1677.000000;45023.062500
175;-41216.000000;1686.000000;45248.281250
176;-41442.000000;1695.000000;45472.968750
177;-41676.000000;1705.000000;45697.117188
178;-41916.000000;1715.000000;45920.726562
179;-42159.000000;1725.000000;46143.792969
180;-42415.000000;1735.000000;46366.316406
181;-42678.000000;1746.000000;46588.289062
182;-42944.000000;1756.000000;46809.714844
183;-43217.000000;1768.000000;47030.585938
184;-43493.000000;1778.000000;47250.902344
185;-43755.000000;1790.000000;47470.664062
186;-44011.000000;1800.000000;47689.859375
187;-44245.000000;1810.000000;47908.496094
188;-44460.000000;1818.000000;48126.562500
189;-44664.000000;1827.000000;48344.066406
190;-44856.000000;1835.000000;48560.996094
191;-45042.000000;1843.000000;48777.351562
192;-45225.000000;1851.000000;48993.132812
193;-45411.000000;1858.000000;49208.332031
194;-45602.000000;1866.000000;49422.953125
195;-45800.000000;1874.000000;49636.992188
196;-46004.000000;1883.000000;49850.441406
197;-46210.000000;1891.000000;50063.304688
198;-46421.000000;1900.000000;50275.574219
199;-46640.000000;1909.000000;50487.250000
200;-46865.000000;1918.000000;50698.332031
201;-47101.000000;1927.000000;50908.812500
202;-47337.000000;1937.000000;51118.695312
203;-47583.000000;1947.000000;51327.972656
204;-47839.000000;1957.000000;51536.644531
205;-48106.000000;1968.000000;51744.707031
206;-48373.000000;1979.000000;51952.160156
207;-48640.000000;1990.000000;52158.996094
208;-48902.000000;2000.000000;52365.218750
209;-49151.000000;2011.000000;52570.820312
210;-49391.000000;2021.000000;52775.804688
211;-49614.000000;2030.000000;52980.164062
212;-49817.000000;2038.000000;53183.898438
213;-50011.000000;2046.000000;53387.003906
214;-50184.000000;2053.000000;53589.480469
215;-50346.000000;2060.000000;53791.324219
216;-50511.000000;2067.000000;53992.531250
217;-50661.000000;2073.000000;54193.101562
218;-50821.000000;2080.000000;54393.031250
219;-50992.000000;2087.000000;54592.316406
220;-51163.000000;2094.000000;54790.960938
221;-51348.000000;2101.000000;54988.957031
222;-51553.000000;2110.000000;55186.300781
223;-51766.000000;2118.000000;55382.996094
224;-51992.000000;2127.000000;55579.039062
225;-52228.000000;2137.000000;55774.421875
226;-52459.000000;2146.000000;55969.148438
227;-52692.000000;2156.000000;56163.214844
228;-52923.000000;2165.000000;56356.613281
229;-53146.000000;2174.000000;56549.351562
230;-53369.000000;2184.000000;56741.417969
231;-53588.000000;2193.000000;56932.816406
232;-53804.000000;2201.000000;57123.542969
233;-54017.000000;2210.000000;57313.593750
234;-54230.000000;2219.000000;57502.968750
235;-54440.000000;2228.000000;57691.664062
236;-54642.000000;2236.000000;57879.675781
237;-54838.000000;2244.000000;58067.007812
238;-55020.000000;2252.000000;58253.652344
239;-55195.000000;2259.000000;58439.609375
240;-55362.000000;2266.000000;58624.875000
241;-55531.000000;2273.000000;58809.449219
242;-55697.000000;2280.000000;58993.332031
243;-55863.000000;2287.000000;59176.515625
244;-56037.000000;2294.000000;59359.000000
245;-56211.000000;2301.000000;59540.781250
246;-56395.000000;2309.000000;59721.863281
