takt;q1;q2;q2p
0;237.000000;-10.000000;1367.243286
1;390.000000;-14.000000;2734.082764
2;410.000000;-15.000000;4100.115723
3;340.000000;-13.000000;5464.937500
4;150.000000;-5.000000;6828.145996
5;-159.000000;7.000000;8189.338379
6;-492.000000;20.000000;9548.113281
7;-893.000000;37.000000;10904.070312
8;-1378.000000;57.000000;12256.807617
9;-1855.000000;76.000000;13605.926758
10;-2338.000000;96.000000;14951.029297
11;-2881.000000;119.000000;16291.718750
12;-3454.000000;142.000000;17627.597656
13;-4054.000000;166.000000;18958.273438
14;-4735.000000;194.000000;20283.351562
15;-5466.000000;225.000000;21602.441406
16;-6197.000000;254.000000;22915.154297
17;-6986.000000;287.000000;24221.103516
18;-7812.000000;320.000000;25519.898438
19;-8654.000000;354.000000;26811.162109
20;-9535.000000;390.000000;28094.507812
21;-10477.000000;429.000000;29369.562500
22;-11416.000000;468.000000;30635.943359
23;-12389.000000;508.000000;31893.283203
24;-13397.000000;549.000000;33141.207031
25;-14406.000000;590.000000;34379.343750
26;-15455.000000;633.000000;35607.335938
27;-16550.000000;678.000000;36824.812500
28;-17648.000000;723.000000;38031.417969
29;-18755.000000;767.000000;39226.796875
30;-19895.000000;815.000000;40410.593750
31;-21035.000000;862.000000;41582.464844
32;-22200.000000;910.000000;42742.054688
33;-23365.000000;957.000000;43889.031250
34;-24530.000000;1005.000000;45023.046875
35;-25678.000000;1052.000000;46143.773438
36;-26856.000000;1101.000000;47250.878906
37;-28062.000000;1150.000000;48344.035156
38;-29228.000000;1197.000000;49422.917969
39;-30385.000000;1245.000000;50487.210938
40;-31553.000000;1294.000000;51536.601562
41;-32718.000000;1341.000000;52570.773438
42;-33893.000000;1389.000000;53589.429688
43;-35076.000000;1437.000000;54592.261719
44;-36227.000000;1485.000000;55578.980469
45;-37375.000000;1532.000000;56549.289062
46;-38535.000000;1580.000000;57502.902344
47;-39707.000000;1627.000000;58439.542969
48;-40840.000000;1674.000000;59358.929688
49;-41975.000000;1721.000000;60260.792969
50;-43099.000000;1768.000000;61144.863281
51;-44224.000000;1813.000000;62010.886719
52;-45336.000000;1859.000000;62858.597656
53;-46440.000000;1905.000000;63687.757812
54;-47505.000000;1947.000000;64498.113281
55;-48552.000000;1991.000000;65289.425781
56;-49612.000000;2034.000000;66061.468750
57;-50644.000000;2076.000000;66814.000000
58;-51651.000000;2117.000000;67546.812500
59;-52637.000000;2158.000000;68259.687500
60;-53599.000000;2197.000000;68952.406250
61;-54550.000000;2236.000000;69624.765625
62;-55514.000000;2275.000000;70276.578125
63;-56452.000000;2314.000000;70907.640625
64;-57369.000000;2351.000000;71517.765625
65;-58275.000000;2388.000000;72106.781250
66;-59164.000000;2425.000000;72674.507812
67;-60048.000000;2461.000000;73220.781250
68;-60931.000000;2497.000000;73745.437500
69;-61780.000000;2531.000000;74248.328125
70;-62601.000000;2565.000000;74729.289062
71;-63409.000000;2598.000000;75188.195312
72;-64192.000000;2630.000000;75624.906250
73;-64963.000000;2661.000000;76039.281250
74;-65727.000000;2693.000000;76431.218750
75;-66470.000000;2723.000000;76800.585938
76;-67180.000000;2752.000000;77147.281250
77;-67891.000000;2781.000000;77471.203125
78;-68565.000000;2808.000000;77772.250000
79;-69206.000000;2835.000000;78050.335938
80;-69834.000000;2861.000000;78305.382812
81;-70431.000000;2885.000000;78537.320312
82;-70996.000000;2909.000000;78746.062500
83;-71560.000000;2932.000000;78931.562500
84;-72111.000000;2954.000000;79093.757812
85;-72630.000000;2975.000000;79232.601562
86;-73139.000000;2996.000000;79348.062500
87;-73623.000000;3016.000000;79440.093750
88;-74084.000000;3035.000000;79508.671875
89;-74509.000000;3052.000000;79553.773438
90;-74913.000000;3068.000000;79575.398438
91;-75292.000000;3084.000000;79573.523438
92;-75643.000000;3099.000000;79548.164062
93;-75984.000000;3113.000000;79499.312500
94;-76308.000000;3126.000000;79427.000000
95;-76614.000000;3139.000000;79331.234375
96;-76901.000000;3150.000000;79212.054688
97;-77172.000000;3161.000000;79069.484375
98;-77418.000000;3171.000000;78903.570312
99;-77640.000000;3180.000000;78714.367188
100;-77842.000000;3188.000000;78501.921875
101;-78011.000000;3195.000000;78266.304688
102;-78149.000000;3201.000000;78007.578125
103;-78261.000000;3206.000000;77725.828125
104;-78345.000000;3209.000000;77421.132812
105;-78403.000000;3212.000000;77093.578125
106;-78434.000000;3213.000000;76743.265625
107;-78446.000000;3214.000000;76370.289062
108;-78433.000000;3214.000000;75974.773438
109;-78406.000000;3213.000000;75556.828125
110;-78365.000000;3211.000000;75116.578125
111;-78303.000000;3208.000000;74654.156250
112;-78222.000000;3205.000000;74169.687500
113;-78128.000000;3201.000000;73663.328125
114;-78009.000000;3196.000000;73135.218750
115;-77865.000000;3190.000000;72585.523438
116;-77700.000000;3183.000000;72014.398438
117;-77504.000000;3176.000000;71422.007812
118;-77280.000000;3166.000000;70808.539062
119;-77032.000000;3156.000000;70174.164062
120;-76764.000000;3145.000000;69519.070312
121;-76467.000000;3133.000000;68843.453125
122;-76140.000000;3119.000000;68147.515625
123;-75791.000000;3105.000000;67431.460938
124;-75405.000000;3089.000000;66695.492188
125;-74988.000000;3072.000000;65939.835938
126;-74543.000000;3053.000000;65164.718750
127;-74069.000000;3035.000000;64370.359375
128;-73575.000000;3014.000000;63557.000000
129;-73071.000000;2994.000000;62724.875000
130;-72551.000000;2973.000000;61874.230469
131;-72026.000000;2952.000000;61005.324219
132;-71495.000000;2929.000000;60118.406250
133;-70940.000000;2907.000000;59213.738281
134;-70382.000000;2883.000000;58291.593750
135;-69790.000000;2859.000000;57352.238281
136;-69156.000000;2833.000000;56395.949219
137;-68499.000000;2806.000000;55423.015625
138;-67811.000000;2779.000000;54433.714844
139;-67115.000000;2750.000000;53428.347656
140;-66411.000000;2722.000000;52407.207031
141;-65699.000000;2692.000000;51370.597656
142;-64974.000000;2662.000000;50318.820312
143;-64217.000000;2631.000000;49252.187500
144;-63431.000000;2599.000000;48171.015625
145;-62620.000000;2566.000000;47075.613281
146;-61788.000000;2532.000000;45966.312500
147;-60937.000000;2498.000000;44843.441406
148;-60089.000000;2463.000000;43707.332031
149;-59226.000000;2427.000000;42558.316406
150;-58324.000000;2390.000000;41396.742188
151;-57403.000000;2353.000000;40222.941406
152;-56480.000000;2316.000000;39037.269531
153;-55539.000000;2277.000000;37840.070312
154;-54590.000000;2238.000000;36631.703125
155;-53631.000000;2199.000000;35412.519531
156;-52632.000000;2158.000000;34182.882812
157;-51602.000000;2116.000000;32943.152344
158;-50587.000000;2074.000000;31693.697266
159;-49577.000000;2033.000000;30434.886719
160;-48537.000000;1990.000000;29167.089844
161;-47485.000000;1947.000000;27890.681641
162;-46403.000000;1903.000000;26606.041016
163;-45301.000000;1857.000000;25313.544922
164;-44215.000000;1813.000000;24013.576172
165;-43116.000000;1768.000000;22706.517578
166;-41993.000000;1722.000000;21392.755859
167;-40825.000000;1674.000000;20072.677734
168;-39672.000000;1626.000000;18746.673828
169;-38499.000000;1578.000000;17415.136719
170;-37327.000000;1530.000000;16078.457031
171;-36141.000000;1481.000000;14737.031250
172;-34930.000000;1431.000000;13391.254883
173;-33703.000000;1381.000000;12041.524414
174;-32503.000000;1333.000000;10688.239258
175;-31293.000000;1282.000000;9331.799805
176;-30041.000000;1230.000000;7972.604004
177;-28781.000000;1179.000000;6611.055176
178;-27529.000000;1129.000000;5247.554199
179;-26269.000000;1077.000000;3882.504639
180;-24997.000000;1023.000000;2516.308594
181;-23710.000000;971.000000;1149.369507
182;-22418.000000;919.000000;-217.908691
183;-21109.000000;865.000000;-1585.122559
