takt;q1;q2;q2p
0;253.000000;-10.000000;2734.082764
1;426.000000;-13.000000;5464.937500
2;449.000000;-15.000000;8189.339355
3;379.000000;-13.000000;10904.070312
4;176.000000;-5.000000;13605.926758
5;-153.000000;8.000000;16291.716797
6;-495.000000;22.000000;18958.269531
7;-931.000000;40.000000;21602.437500
8;-1485.000000;62.000000;24221.097656
9;-2067.000000;86.000000;26811.158203
10;-2671.000000;111.000000;29369.562500
11;-3383.000000;141.000000;31893.285156
12;-4168.000000;174.000000;34379.351562
13;-4988.000000;207.000000;36824.820312
14;-5909.000000;244.000000;39226.808594
15;-6906.000000;285.000000;41582.476562
16;-7914.000000;327.000000;43889.046875
17;-9037.000000;372.000000;46143.789062
18;-10264.000000;422.000000;48344.046875
19;-11485.000000;472.000000;50487.222656
20;-12757.000000;524.000000;52570.781250
21;-14117.000000;580.000000;54592.261719
22;-15521.000000;638.000000;56549.285156
23;-16954.000000;697.000000;58439.535156
24;-18450.000000;757.000000;60260.781250
25;-19989.000000;821.000000;62010.871094
26;-21516.000000;884.000000;63687.738281
27;-23076.000000;947.000000;65289.406250
28;-24725.000000;1017.000000;66813.976562
29;-26354.000000;1082.000000;68259.664062
30;-27964.000000;1149.000000;69624.742188
31;-29655.000000;1219.000000;70907.609375
32;-31339.000000;1286.000000;72106.757812
33;-32995.000000;1355.000000;73220.757812
34;-34684.000000;1424.000000;74248.296875
35;-36383.000000;1492.000000;75188.171875
36;-38032.000000;1560.000000;76039.257812
37;-39673.000000;1629.000000;76800.562500
38;-41322.000000;1694.000000;77471.187500
39;-42935.000000;1760.000000;78050.328125
40;-44505.000000;1825.000000;78537.312500
41;-46076.000000;1889.000000;78931.554688
42;-47605.000000;1950.000000;79232.601562
43;-49105.000000;2012.000000;79440.093750
44;-50571.000000;2072.000000;79553.773438
45;-52011.000000;2131.000000;79573.523438
46;-53410.000000;2188.000000;79499.312500
47;-54763.000000;2245.000000;79331.234375
48;-56083.000000;2298.000000;79069.476562
49;-57349.000000;2349.000000;78714.359375
50;-58561.000000;2399.000000;78266.289062
51;-59731.000000;2447.000000;77725.812500
52;-60843.000000;2492.000000;77093.546875
53;-61886.000000;2535.000000;76370.257812
54;-62860.000000;2575.000000;75556.789062
55;-63764.000000;2612.000000;74654.109375
56;-64610.000000;2647.000000;73663.273438
57;-65403.000000;2679.000000;72585.453125
58;-66127.000000;2708.000000;71421.929688
59;-66775.000000;2735.000000;70174.070312
60;-67347.000000;2758.000000;68843.351562
61;-67832.000000;2778.000000;67431.343750
62;-68247.000000;2796.000000;65939.710938
63;-68583.000000;2809.000000;64370.218750
64;-68850.000000;2820.000000;62724.722656
65;-69045.000000;2828.000000;61005.156250
66;-69181.000000;2834.000000;59213.558594
67;-69258.000000;2837.000000;57352.039062
68;-69261.000000;2838.000000;55422.800781
69;-69196.000000;2835.000000;53428.121094
70;-69066.000000;2830.000000;51370.351562
71;-68852.000000;2821.000000;49251.925781
72;-68557.000000;2809.000000;47075.343750
73;-68180.000000;2793.000000;44843.187500
74;-67715.000000;2774.000000;42558.078125
75;-67168.000000;2751.000000;40222.718750
76;-66556.000000;2726.000000;37839.863281
77;-65860.000000;2697.000000;35412.328125
78;-65076.000000;2666.000000;32942.980469
79;-64217.000000;2631.000000;30434.732422
80;-63276.000000;2592.000000;27890.548828
