takt;q1;q2;q2p
0;274.000000;-12.000000;4100.115234
1;442.000000;-14.000000;8189.338867
2;397.000000;-13.000000;12256.808594
3;201.000000;-5.000000;16291.717773
4;-194.000000;11.000000;20283.349609
5;-844.000000;38.000000;24221.097656
6;-1621.000000;75.000000;28094.505859
7;-2612.000000;120.000000;31893.281250
8;-3922.000000;177.000000;35607.335938
9;-5437.000000;238.000000;39226.800781
10;-7102.000000;308.000000;42742.066406
11;-9039.000000;385.000000;46143.785156
12;-11174.000000;471.000000;49422.929688
13;-13373.000000;559.000000;52570.781250
14;-15788.000000;655.000000;55578.984375
15;-18315.000000;760.000000;58439.542969
16;-20839.000000;866.000000;61144.859375
17;-23470.000000;980.000000;63687.750000
18;-26226.000000;1094.000000;66061.453125
19;-29017.000000;1210.000000;68259.671875
20;-31859.000000;1327.000000;70276.562500
21;-34823.000000;1449.000000;72106.765625
22;-37798.000000;1572.000000;73745.421875
23;-40780.000000;1690.000000;75188.179688
24;-43824.000000;1817.000000;76431.203125
25;-46865.000000;1933.000000;77471.187500
26;-49805.000000;2055.000000;78305.382812
27;-52830.000000;2174.000000;78931.554688
28;-55749.000000;2286.000000;79348.054688
29;-58457.000000;2397.000000;79553.773438
30;-61112.000000;2503.000000;79548.164062
31;-63578.000000;2605.000000;79331.234375
32;-65933.000000;2702.000000;78903.570312
33;-68170.000000;2791.000000;78266.304688
34;-70293.000000;2878.000000;77421.125000
35;-72231.000000;2955.000000;76370.281250
36;-73971.000000;3027.000000;75116.562500
37;-75536.000000;3090.000000;73663.304688
38;-76931.000000;3147.000000;72014.359375
39;-78127.000000;3196.000000;70174.117188
40;-79096.000000;3235.000000;68147.453125
41;-79888.000000;3268.000000;65939.765625
42;-80466.000000;3292.000000;63556.906250
43;-80842.000000;3307.000000;61005.214844
44;-81029.000000;3315.000000;58291.464844
45;-81038.000000;3316.000000;55422.867188
46;-80842.000000;3308.000000;52407.039062
47;-80439.000000;3292.000000;49251.996094
48;-79880.000000;3269.000000;45966.117188
49;-79125.000000;3238.000000;42558.132812
50;-78163.000000;3198.000000;39037.093750
51;-77045.000000;3152.000000;35412.355469
52;-75784.000000;3102.000000;31693.544922
53;-74331.000000;3042.000000;27890.542969
54;-72691.000000;2973.000000;24013.451172
55;-70938.000000;2903.000000;20072.568359
56;-68999.000000;2823.000000;16078.364258
57;-66883.000000;2733.000000;12041.448242
58;-64599.000000;2641.000000;7972.544922
59;-62197.000000;2543.000000;3882.463135
60;-59554.000000;2434.000000;-217.932404
61;-56809.000000;2322.000000;-4317.749023
62;-53894.000000;2204.000000;-8406.095703
63;-50796.000000;2075.000000;-12472.112305
64;-47526.000000;1942.000000;-16504.996094
65;-44079.000000;1801.000000;-20494.037109
66;-40503.000000;1654.000000;-24428.634766
67;-36710.000000;1500.000000;-28298.341797
68;-32760.000000;1337.000000;-32092.873047
69;-28667.000000;1169.000000;-35802.152344
70;-24375.000000;994.000000;-39416.324219
71;-19922.000000;810.000000;-42925.789062
72;-15329.000000;621.000000;-46321.222656
73;-10574.000000;428.000000;-49593.593750
74;-5634.000000;225.000000;-52734.222656
75;-539.000000;16.000000;-55734.769531
76;4654.000000;-196.000000;-58587.257812
77;10068.000000;-417.000000;-61284.113281
78;15618.000000;-644.000000;-63818.171875
79;21340.000000;-879.000000;-66182.703125
80;27225.000000;-1119.000000;-68371.421875
81;33276.000000;-1368.000000;-70378.523438
82;39463.000000;-1622.000000;-72198.664062
83;45820.000000;-1882.000000;-73827.015625
84;52176.000000;-2134.000000;-75259.250000
85;58283.000000;-2379.000000;-76491.570312
86;64135.000000;-2590.000000;-77520.687500
87;69474.000000;-2799.000000;-78343.882812
88;74434.000000;-2972.000000;-78958.960938
89;78987.000000;-3114.000000;-79364.289062
90;83151.000000;-3230.000000;-79558.789062
91;87034.000000;-3319.000000;-79541.953125
92;90393.000000;-3379.000000;-79313.820312
93;93443.000000;-3417.000000;-78874.992188
94;96040.000000;-3434.000000;-78226.640625
95;98214.000000;-3434.000000;-77370.484375
96;100001.000000;-3424.000000;-76308.796875
97;101271.000000;-3406.000000;-75044.398438
98;102174.000000;-3384.000000;-73580.656250
99;102553.000000;-3361.000000;-71921.453125
100;102524.000000;-3339.000000;-70071.195312
101;102112.000000;-3315.000000;-68034.796875
102;101406.000000;-3287.000000;-65817.664062
103;100429.000000;-3245.000000;-63425.695312
104;99154.000000;-3192.000000;-60865.242188
105;97641.000000;-3130.000000;-58143.105469
106;95823.000000;-3057.000000;-55266.515625
107;93762.000000;-2972.000000;-52243.113281
108;91528.000000;-2881.000000;-49080.929688
109;89163.000000;-2784.000000;-45788.367188
110;86630.000000;-2679.000000;-42374.171875
111;83993.000000;-2571.000000;-38847.410156
112;81258.000000;-2456.000000;-35217.457031
113;78404.000000;-2339.000000;-31493.949219
114;75453.000000;-2217.000000;-27686.779297
115;72365.000000;-2088.000000;-23806.062500
116;69149.000000;-1957.000000;-19862.107422
117;65831.000000;-1821.000000;-15865.388672
118;62382.000000;-1674.000000;-11826.525391
119;58894.000000;-1533.000000;-7756.245605
120;55307.000000;-1384.000000;-3665.362061
121;51604.000000;-1229.000000;435.258423
122;47827.000000;-1074.000000;4534.722656
123;43975.000000;-917.000000;8622.140625
124;39999.000000;-752.000000;12686.654297
125;35924.000000;-583.000000;16717.466797
126;31814.000000;-416.000000;20703.871094
127;27610.000000;-244.000000;24635.277344
128;23338.000000;-71.000000;28501.242188
129;19053.000000;104.000000;32291.494141
130;14696.000000;283.000000;35995.964844
131;10331.000000;463.000000;39604.816406
132;5995.000000;637.000000;43108.460938
133;1673.000000;811.000000;46497.593750
134;-2646.000000;987.000000;49763.203125
135;-6881.000000;1160.000000;52896.625000
136;-11064.000000;1331.000000;55889.527344
137;-15219.000000;1504.000000;58733.968750
138;-19277.000000;1670.000000;61422.382812
139;-23243.000000;1831.000000;63947.632812
140;-27108.000000;1986.000000;66303.015625
141;-30888.000000;2140.000000;68482.257812
142;-34615.000000;2293.000000;70479.593750
143;-38272.000000;2446.000000;72289.703125
144;-41816.000000;2590.000000;73907.773438
145;-45264.000000;2727.000000;75329.531250
146;-48636.000000;2863.000000;76551.179688
147;-51872.000000;2994.000000;77569.468750
148;-54980.000000;3121.000000;78381.695312
149;-58074.000000;3241.000000;78985.703125
150;-60953.000000;3349.000000;79379.890625
151;-63675.000000;3459.000000;79563.203125
152;-66225.000000;3561.000000;79535.164062
153;-68546.000000;3656.000000;79295.835938
154;-70728.000000;3744.000000;78845.867188
155;-72764.000000;3828.000000;78186.437500
156;-74619.000000;3904.000000;77319.312500
157;-76267.000000;3972.000000;76246.789062
158;-77772.000000;4034.000000;74971.726562
159;-79135.000000;4088.000000;73497.492188
160;-80322.000000;4135.000000;71828.023438
161;-81289.000000;4174.000000;69967.734375
162;-82063.000000;4207.000000;67921.585938
163;-82616.000000;4229.000000;65695.007812
164;-82944.000000;4242.000000;63293.906250
165;-83124.000000;4250.000000;60724.667969
166;-83093.000000;4251.000000;57994.117188
167;-82843.000000;4240.000000;55109.507812
168;-82423.000000;4222.000000;52078.500000
169;-81871.000000;4200.000000;48909.144531
170;-81122.000000;4169.000000;45609.867188
171;-80163.000000;4129.000000;42189.425781
172;-79068.000000;4085.000000;38656.910156
173;-77817.000000;4035.000000;35021.703125
174;-76369.000000;3974.000000;31293.462891
175;-74748.000000;3907.000000;27482.091797
176;-72974.000000;3837.000000;23597.716797
177;-71043.000000;3757.000000;19650.652344
178;-68895.000000;3669.000000;15651.388672
179;-66619.000000;3576.000000;11610.546875
180;-64224.000000;3479.000000;7538.861328
181;-61572.000000;3371.000000;3447.149658
182;-58767.000000;3255.000000;-653.719543
183;-55857.000000;3136.000000;-4752.852051
184;-52756.000000;3009.000000;-8839.358398
185;-49438.000000;2873.000000;-12902.383789
186;-46021.000000;2730.000000;-16931.134766
187;-42438.000000;2584.000000;-20914.908203
188;-38625.000000;2430.000000;-24843.121094
189;-34702.000000;2269.000000;-28705.339844
190;-30655.000000;2102.000000;-32491.302734
191;-26415.000000;1929.000000;-36190.953125
192;-21974.000000;1748.000000;-39794.464844
193;-17412.000000;1560.000000;-43292.261719
194;-12685.000000;1366.000000;-46675.054688
195;-7766.000000;1166.000000;-49933.855469
196;-2684.000000;956.000000;-53060.011719
197;2520.000000;743.000000;-56045.214844
198;7916.000000;523.000000;-58881.531250
199;13486.000000;294.000000;-61561.433594
200;19188.000000;60.000000;-64077.800781
201;25013.000000;-178.000000;-66423.945312
202;31071.000000;-426.000000;-68593.632812
203;37277.000000;-681.000000;-70581.109375
204;43511.000000;-933.000000;-72381.085938
205;49708.000000;-1179.000000;-73988.781250
206;55682.000000;-1421.000000;-75399.937500
207;61299.000000;-1624.000000;-76610.789062
208;66439.000000;-1822.000000;-77618.125000
209;71228.000000;-1989.000000;-78419.265625
210;75607.000000;-2125.000000;-79012.093750
211;79640.000000;-2232.000000;-79395.031250
212;83321.000000;-2318.000000;-79567.054688
213;86571.000000;-2380.000000;-79527.710938
214;89486.000000;-2421.000000;-79277.101562
215;91954.000000;-2448.000000;-78815.898438
216;94039.000000;-2462.000000;-78145.320312
217;95689.000000;-2467.000000;-77267.156250
218;96870.000000;-2471.000000;-76183.726562
219;97658.000000;-2472.000000;-74897.921875
220;97952.000000;-2473.000000;-73413.148438
221;97943.000000;-2471.000000;-71733.359375
222;97722.000000;-2468.000000;-69863.007812
223;97195.000000;-2455.000000;-67807.070312
224;96489.000000;-2423.000000;-65571.007812
225;95633.000000;-2381.000000;-63160.753906
226;94443.000000;-2325.000000;-60582.714844
227;92977.000000;-2267.000000;-57843.742188
228;91400.000000;-2202.000000;-54951.105469
229;89561.000000;-2127.000000;-51912.496094
230;87443.000000;-2044.000000;-48735.980469
231;85272.000000;-1955.000000;-45430.000000
232;82944.000000;-1864.000000;-42003.335938
233;80400.000000;-1763.000000;-38465.089844
234;77894.000000;-1656.000000;-34824.664062
235;75284.000000;-1542.000000;-31091.726562
236;72518.000000;-1428.000000;-27276.195312
237;69686.000000;-1306.000000;-23388.205078
238;66784.000000;-1189.000000;-19438.085938
239;63668.000000;-1056.000000;-15436.328125
240;60472.000000;-927.000000;-11393.564453
241;57201.000000;-793.000000;-7320.534668
242;53746.000000;-647.000000;-3228.058105
243;50257.000000;-505.000000;872.993896
244;46686.000000;-357.000000;4971.726562
245;42962.000000;-203.000000;9057.252930
246;39203.000000;-48.000000;13118.717773
247;35369.000000;110.000000;17145.333984
248;31370.000000;274.000000;21126.402344
249;27274.000000;440.000000;25051.351562
250;23138.000000;611.000000;28909.750000
251;18883.000000;787.000000;32691.353516
252;14597.000000;958.000000;36386.109375
253;10306.000000;1134.000000;39984.210938
254;5963.000000;1314.000000;43476.093750
255;1610.000000;1492.000000;46852.480469
256;-2682.000000;1665.000000;50104.410156
257;-6963.000000;1840.000000;53223.234375
258;-11183.000000;2007.000000;56200.675781
259;-15319.000000;2174.000000;59028.816406
260;-19363.000000;2342.000000;61700.152344
261;-23409.000000;2511.000000;64207.585938
262;-27355.000000;2673.000000;66544.453125
263;-31158.000000;2825.000000;68704.539062
264;-34899.000000;2973.000000;70682.125000
265;-38538.000000;3125.000000;72471.937500
266;-42044.000000;3273.000000;74069.234375
267;-45461.000000;3410.000000;75469.765625
268;-48792.000000;3543.000000;76669.812500
269;-52018.000000;3676.000000;77666.187500
270;-55150.000000;3797.000000;78456.250000
271;-58179.000000;3914.000000;79037.890625
272;-61124.000000;4031.000000;79409.570312
273;-63829.000000;4137.000000;79570.296875
274;-66356.000000;4240.000000;79519.656250
275;-68732.000000;4337.000000;79257.765625
276;-70854.000000;4422.000000;78785.335938
277;-72879.000000;4503.000000;78103.609375
278;-74764.000000;4581.000000;77214.406250
279;-76410.000000;4650.000000;76120.078125
280;-77912.000000;4709.000000;74823.546875
281;-79276.000000;4765.000000;73328.250000
282;-80394.000000;4810.000000;71638.148438
283;-81301.000000;4847.000000;69757.750000
284;-82035.000000;4876.000000;67692.039062
285;-82541.000000;4898.000000;65446.511719
286;-82807.000000;4908.000000;63027.121094
287;-82915.000000;4913.000000;60440.304688
288;-82855.000000;4912.000000;57692.925781
289;-82564.000000;4900.000000;54792.289062
290;-82094.000000;4880.000000;51746.101562
291;-81478.000000;4856.000000;48562.449219
292;-80661.000000;4822.000000;45249.789062
293;-79635.000000;4779.000000;41816.925781
294;-78469.000000;4731.000000;38272.980469
295;-77154.000000;4678.000000;34627.359375
296;-75633.000000;4615.000000;30889.755859
297;-73927.000000;4545.000000;27070.091797
298;-72092.000000;4472.000000;23178.517578
299;-70090.000000;4390.000000;19225.369141
300;-67872.000000;4299.000000;15221.150391
301;-65549.000000;4204.000000;11176.497070
302;-63067.000000;4102.000000;7102.152832
303;-60356.000000;3992.000000;3008.942139
304;-57516.000000;3874.000000;-1092.261597
305;-54538.000000;3754.000000;-5190.563965
306;-51368.000000;3625.000000;-9275.077148
307;-48012.000000;3487.000000;-13334.952148
308;-44529.000000;3343.000000;-17359.402344
309;-40873.000000;3195.000000;-21337.738281
310;-37026.000000;3037.000000;-25259.390625
311;-33031.000000;2873.000000;-29113.943359
312;-28917.000000;2703.000000;-32891.156250
313;-24611.000000;2526.000000;-36580.992188
314;-20101.000000;2341.000000;-40173.652344
315;-15466.000000;2152.000000;-43659.593750
316;-10690.000000;1957.000000;-47029.550781
317;-5729.000000;1755.000000;-50274.578125
318;-625.000000;1546.000000;-53386.054688
319;4614.000000;1331.000000;-56355.707031
320;10058.000000;1107.000000;-59175.656250
321;15663.000000;876.000000;-61838.406250
322;21411.000000;640.000000;-64336.882812
323;27315.000000;398.000000;-66664.453125
324;33427.000000;148.000000;-68814.929688
325;39541.000000;-96.000000;-70782.593750
326;45526.000000;-335.000000;-72562.234375
327;51354.000000;-565.000000;-74149.117188
328;56786.000000;-768.000000;-75539.015625
329;61736.000000;-961.000000;-76728.257812
330;66402.000000;-1129.000000;-77713.664062
331;70579.000000;-1266.000000;-78492.632812
332;74421.000000;-1375.000000;-79063.085938
333;77915.000000;-1468.000000;-79423.507812
334;80950.000000;-1543.000000;-79572.945312
335;83684.000000;-1602.000000;-79510.992188
336;85942.000000;-1651.000000;-79237.828125
337;87841.000000;-1691.000000;-78754.171875
338;89293.000000;-1725.000000;-78061.304688
339;90291.000000;-1758.000000;-77161.070312
340;91013.000000;-1790.000000;-76055.859375
341;91416.000000;-1819.000000;-74748.609375
342;91604.000000;-1826.000000;-73242.789062
343;91610.000000;-1826.000000;-71542.398438
344;91472.000000;-1822.000000;-69651.960938
345;91105.000000;-1806.000000;-67576.500000
346;90526.000000;-1784.000000;-65321.515625
347;89817.000000;-1753.000000;-62893.011719
348;88922.000000;-1718.000000;-60297.433594
349;87768.000000;-1669.000000;-57541.671875
350;86458.000000;-1614.000000;-54633.058594
351;84979.000000;-1551.000000;-51579.312500
352;83257.000000;-1479.000000;-48388.542969
353;81282.000000;-1403.000000;-45069.234375
354;79224.000000;-1319.000000;-41630.203125
355;76989.000000;-1228.000000;-38080.578125
356;74562.000000;-1129.000000;-34429.792969
357;72166.000000;-1029.000000;-30687.548828
358;69695.000000;-930.000000;-26863.781250
359;67122.000000;-818.000000;-22968.652344
360;64539.000000;-701.000000;-19012.507812
361;61759.000000;-584.000000;-15005.857422
362;58824.000000;-462.000000;-10959.343750
363;55777.000000;-336.000000;-6883.716797
364;52520.000000;-201.000000;-2789.803467
365;49218.000000;-66.000000;1311.520996
366;45830.000000;74.000000;5409.361328
367;42267.000000;221.000000;9492.832031
368;38684.000000;372.000000;13551.084961
369;35012.000000;523.000000;17573.339844
370;31181.000000;681.000000;21548.912109
371;27220.000000;843.000000;25467.238281
372;23209.000000;1009.000000;29317.914062
373;19083.000000;1178.000000;33090.707031
374;14830.000000;1350.000000;36775.593750
375;10545.000000;1525.000000;40362.789062
376;6195.000000;1704.000000;43842.761719
377;1809.000000;1883.000000;47206.265625
378;-2557.000000;2058.000000;50444.367188
379;-6869.000000;2231.000000;53548.464844
380;-11129.000000;2400.000000;56510.312500
381;-15318.000000;2574.000000;59322.042969
382;-19449.000000;2747.000000;61976.187500
383;-23510.000000;2915.000000;64465.691406
384;-27468.000000;3075.000000;66783.945312
385;-31303.000000;3226.000000;68924.789062
386;-35012.000000;3377.000000;70882.539062
387;-38643.000000;3531.000000;72651.984375
388;-42168.000000;3677.000000;74228.437500
389;-45585.000000;3813.000000;75607.703125
390;-48925.000000;3946.000000;76786.117188
391;-52171.000000;4079.000000;77760.554688
392;-55298.000000;4202.000000;78528.414062
393;-58353.000000;4320.000000;79087.671875
394;-61300.000000;4435.000000;79436.835938
395;-64036.000000;4543.000000;79574.976562
396;-66564.000000;4646.000000;79501.734375
397;-68925.000000;4743.000000;79217.289062
398;-71046.000000;4828.000000;78722.414062
399;-73028.000000;4907.000000;78018.406250
400;-74884.000000;4985.000000;77107.148438
401;-76526.000000;5052.000000;75991.054688
402;-77979.000000;5111.000000;74673.101562
403;-79332.000000;5167.000000;73156.773438
404;-80457.000000;5213.000000;71446.109375
405;-81357.000000;5249.000000;69545.648438
406;-82075.000000;5277.000000;67460.437500
407;-82558.000000;5298.000000;65196.027344
408;-82780.000000;5307.000000;62758.421875
409;-82816.000000;5308.000000;60154.101562
410;-82690.000000;5304.000000;57389.984375
411;-82334.000000;5290.000000;54473.410156
412;-81763.000000;5266.000000;51412.128906
