takt;q1;q2;q2p
0;268.000000;-11.000000;5464.937500
1;438.000000;-14.000000;10904.070312
2;429.000000;-14.000000;16291.718750
3;294.000000;-10.000000;21602.439453
4;-17.000000;4.000000;26811.158203
5;-540.000000;26.000000;31893.283203
6;-1172.000000;51.000000;36824.816406
7;-1966.000000;84.000000;41582.468750
8;-2988.000000;126.000000;46143.781250
9;-4125.000000;172.000000;50487.214844
10;-5361.000000;223.000000;54592.261719
11;-6765.000000;281.000000;58439.539062
12;-8315.000000;343.000000;62010.878906
13;-9946.000000;411.000000;65289.414062
14;-11738.000000;485.000000;68259.671875
15;-13657.000000;562.000000;70907.625000
16;-15615.000000;642.000000;73220.773438
17;-17672.000000;725.000000;75188.179688
18;-19795.000000;813.000000;76800.578125
19;-21921.000000;901.000000;78050.335938
20;-24069.000000;988.000000;78931.562500
21;-26236.000000;1077.000000;79440.093750
22;-28415.000000;1165.000000;79573.523438
23;-30563.000000;1254.000000;79331.234375
24;-32736.000000;1344.000000;78714.359375
25;-34884.000000;1432.000000;77725.820312
26;-36946.000000;1517.000000;76370.273438
27;-39012.000000;1599.000000;74654.132812
28;-40971.000000;1678.000000;72585.492188
29;-42847.000000;1754.000000;70174.117188
30;-44666.000000;1829.000000;67431.398438
31;-46352.000000;1898.000000;64370.289062
32;-47886.000000;1960.000000;61005.238281
33;-49285.000000;2018.000000;57352.136719
34;-50499.000000;2069.000000;53428.234375
35;-51543.000000;2111.000000;49252.058594
36;-52447.000000;2147.000000;44843.324219
37;-53179.000000;2178.000000;40222.839844
38;-53721.000000;2200.000000;35412.433594
39;-54075.000000;2214.000000;30434.820312
40;-54257.000000;2221.000000;25313.500000
41;-54253.000000;2222.000000;20072.654297
42;-54083.000000;2214.000000;14737.031250
43;-53750.000000;2201.000000;9331.823242
44;-53257.000000;2181.000000;3882.552002
45;-52584.000000;2153.000000;-1585.051514
46;-51733.000000;2119.000000;-7045.170898
47;-50716.000000;2077.000000;-12472.024414
48;-49528.000000;2028.000000;-17839.988281
49;-48182.000000;1972.000000;-23123.714844
50;-46647.000000;1910.000000;-28298.257812
51;-44938.000000;1840.000000;-33339.183594
52;-43078.000000;1764.000000;-38222.687500
53;-41039.000000;1679.000000;-42925.714844
54;-38843.000000;1588.000000;-47426.054688
55;-36487.000000;1492.000000;-51702.460938
56;-33982.000000;1388.000000;-55734.742188
57;-31270.000000;1277.000000;-59503.855469
58;-28430.000000;1161.000000;-62992.007812
59;-25410.000000;1037.000000;-66182.726562
60;-22230.000000;908.000000;-69060.937500
61;-18917.000000;772.000000;-71613.070312
62;-15402.000000;627.000000;-73827.054688
63;-11730.000000;478.000000;-75692.453125
64;-7901.000000;320.000000;-77200.445312
65;-3898.000000;157.000000;-78343.914062
66;207.000000;-11.000000;-79117.460938
67;4415.000000;-182.000000;-79517.437500
68;8607.000000;-352.000000;-79541.945312
69;12725.000000;-520.000000;-79190.882812
70;16741.000000;-685.000000;-78465.890625
71;20613.000000;-840.000000;-77370.406250
72;24270.000000;-991.000000;-75909.593750
73;27690.000000;-1131.000000;-74090.367188
74;30918.000000;-1256.000000;-71921.304688
75;33858.000000;-1366.000000;-69412.648438
76;36515.000000;-1477.000000;-66576.250000
77;38937.000000;-1576.000000;-63425.488281
78;41114.000000;-1663.000000;-59975.253906
79;43011.000000;-1743.000000;-56241.832031
80;44719.000000;-1812.000000;-52242.851562
81;46191.000000;-1873.000000;-47997.195312
82;47375.000000;-1923.000000;-43524.910156
83;48350.000000;-1966.000000;-38847.113281
84;49129.000000;-2003.000000;-33985.886719
85;49636.000000;-2027.000000;-28964.191406
86;49915.000000;-2038.000000;-23805.734375
87;50014.000000;-2043.000000;-18534.875000
88;49872.000000;-2038.000000;-13176.497070
89;49504.000000;-2023.000000;-7755.903320
90;48979.000000;-2001.000000;-2298.688965
91;48260.000000;-1972.000000;3169.379150
92;47313.000000;-1933.000000;8622.482422
93;46187.000000;-1887.000000;14034.873047
94;44892.000000;-1834.000000;19380.994141
95;43367.000000;-1769.000000;24635.603516
96;41613.000000;-1694.000000;29773.892578
97;39691.000000;-1613.000000;34771.593750
98;37563.000000;-1525.000000;39605.117188
99;35255.000000;-1430.000000;44251.632812
100;32864.000000;-1330.000000;48689.207031
101;30364.000000;-1224.000000;52896.882812
102;27721.000000;-1117.000000;56854.792969
103;25016.000000;-1003.000000;60544.253906
104;22192.000000;-888.000000;63947.835938
105;19218.000000;-763.000000;67049.476562
106;16208.000000;-639.000000;69834.531250
107;13047.000000;-507.000000;72289.843750
108;9833.000000;-376.000000;74403.828125
109;6617.000000;-245.000000;76166.492188
110;3313.000000;-107.000000;77569.523438
111;15.000000;28.000000;78606.289062
112;-3293.000000;160.000000;79271.898438
113;-6646.000000;299.000000;79563.203125
114;-9986.000000;438.000000;79478.843750
115;-13290.000000;566.000000;79019.195312
116;-16555.000000;700.000000;78186.445312
117;-19800.000000;836.000000;76984.523438
118;-22984.000000;955.000000;75419.101562
119;-26060.000000;1073.000000;73497.570312
120;-29073.000000;1197.000000;71229.000000
121;-31910.000000;1310.000000;68624.109375
122;-34581.000000;1419.000000;65695.195312
123;-37016.000000;1516.000000;62456.082031
124;-39293.000000;1611.000000;58922.074219
125;-41357.000000;1693.000000;55109.847656
126;-43221.000000;1767.000000;51037.410156
