takt;q1;q2;q2p
0;258.000000;-11.000000;6828.145996
1;424.000000;-14.000000;13605.926758
2;421.000000;-14.000000;20283.349609
3;283.000000;-9.000000;26811.160156
4;-34.000000;4.000000;33141.207031
5;-567.000000;27.000000;39226.800781
6;-1245.000000;58.000000;45023.054688
7;-2129.000000;101.000000;50487.214844
8;-3292.000000;153.000000;55578.976562
9;-4648.000000;207.000000;60260.781250
10;-6145.000000;268.000000;64498.097656
11;-7855.000000;334.000000;68259.671875
12;-9816.000000;408.000000;71517.750000
13;-11870.000000;489.000000;74248.312500
14;-14096.000000;580.000000;76431.203125
15;-16430.000000;673.000000;78050.335938
16;-18674.000000;766.000000;79093.757812
17;-20986.000000;860.000000;79553.773438
18;-23303.000000;956.000000;79427.000000
19;-25591.000000;1051.000000;78714.359375
20;-27897.000000;1144.000000;77421.117188
21;-30158.000000;1237.000000;75556.804688
22;-32367.000000;1325.000000;73135.179688
23;-34538.000000;1413.000000;70174.109375
24;-36670.000000;1499.000000;66695.421875
25;-38684.000000;1580.000000;62724.785156
26;-40568.000000;1658.000000;58291.484375
27;-42329.000000;1731.000000;53428.218750
28;-43876.000000;1793.000000;48170.863281
29;-45254.000000;1848.000000;42558.195312
30;-46489.000000;1899.000000;36631.613281
31;-47511.000000;1940.000000;30434.833984
32;-48337.000000;1973.000000;24013.564453
33;-48994.000000;2000.000000;17415.167969
34;-49444.000000;2019.000000;10688.316406
35;-49692.000000;2028.000000;3882.625977
36;-49757.000000;2031.000000;-2951.702637
37;-49636.000000;2027.000000;-9764.274414
38;-49305.000000;2014.000000;-16504.822266
39;-48798.000000;1994.000000;-23123.630859
40;-48137.000000;1967.000000;-29571.875000
41;-47299.000000;1933.000000;-35801.992188
42;-46310.000000;1891.000000;-41768.031250
43;-45140.000000;1843.000000;-47425.984375
44;-43796.000000;1790.000000;-52734.117188
45;-42287.000000;1727.000000;-57653.277344
46;-40607.000000;1659.000000;-62147.175781
47;-38744.000000;1583.000000;-66182.671875
48;-36721.000000;1499.000000;-69730.000000
49;-34518.000000;1410.000000;-72762.984375
50;-32125.000000;1312.000000;-75259.265625
51;-29581.000000;1207.000000;-77200.421875
52;-26885.000000;1098.000000;-78572.140625
53;-24000.000000;979.000000;-79364.296875
54;-20984.000000;855.000000;-79571.054688
55;-17794.000000;722.000000;-79190.890625
56;-14426.000000;587.000000;-78226.601562
57;-10932.000000;443.000000;-76685.296875
58;-7243.000000;290.000000;-74578.359375
59;-3380.000000;135.000000;-71921.320312
60;615.000000;-29.000000;-68733.781250
61;4776.000000;-201.000000;-65039.257812
62;9098.000000;-377.000000;-60864.992188
63;13603.000000;-562.000000;-56241.777344
64;18291.000000;-755.000000;-51203.718750
65;23154.000000;-953.000000;-45787.972656
66;28095.000000;-1153.000000;-40034.492188
67;33038.000000;-1346.000000;-33985.710938
68;37729.000000;-1527.000000;-27686.246094
69;42009.000000;-1678.000000;-21182.564453
70;45834.000000;-1817.000000;-14522.638672
71;49181.000000;-1919.000000;-7755.590820
72;52158.000000;-1989.000000;-931.337036
73;54722.000000;-2033.000000;5899.756836
74;56929.000000;-2045.000000;12687.333984
75;58694.000000;-2026.000000;19381.328125
76;60047.000000;-1980.000000;25932.365234
77;60983.000000;-1899.000000;32292.123047
78;61482.000000;-1799.000000;38413.691406
79;61587.000000;-1686.000000;44251.917969
80;61231.000000;-1562.000000;49763.742188
81;60449.000000;-1430.000000;54908.503906
82;59198.000000;-1290.000000;59648.257812
83;57508.000000;-1152.000000;63948.042969
84;55388.000000;-1011.000000;67776.140625
85;52812.000000;-869.000000;71104.320312
86;49851.000000;-730.000000;73908.031250
87;46462.000000;-588.000000;76166.593750
88;42852.000000;-440.000000;77863.343750
89;39066.000000;-287.000000;78985.765625
90;35084.000000;-127.000000;79525.585938
91;31005.000000;43.000000;79478.820312
92;26777.000000;213.000000;78845.820312
93;22387.000000;392.000000;77631.242188
94;17961.000000;573.000000;75844.054688
95;13509.000000;752.000000;73497.437500
96;9008.000000;933.000000;70608.695312
