takt;q1;q2;q2p
0;251.000000;-11.000000;273.461578
1;417.000000;-14.000000;546.919922
2;437.000000;-16.000000;820.371826
3;381.000000;-14.000000;1093.813965
4;210.000000;-8.000000;1367.243164
5;-62.000000;3.000000;1640.656250
6;-303.000000;12.000000;1914.050049
7;-573.000000;23.000000;2187.421143
8;-897.000000;37.000000;2460.766357
9;-1159.000000;47.000000;2734.082764
10;-1346.000000;54.000000;3007.366943
11;-1543.000000;63.000000;3280.615479
12;-1722.000000;71.000000;3553.825195
13;-1860.000000;75.000000;3826.993164
14;-2025.000000;82.000000;4100.115723
15;-2216.000000;91.000000;4373.189941
16;-2369.000000;97.000000;4646.212891
17;-2532.000000;103.000000;4919.180176
18;-2734.000000;112.000000;5192.089844
19;-2929.000000;120.000000;5464.937988
20;-3119.000000;127.000000;5737.721191
21;-3347.000000;136.000000;6010.437012
22;-3578.000000;146.000000;6283.082031
23;-3798.000000;155.000000;6555.652344
24;-4050.000000;165.000000;6828.145508
25;-4315.000000;176.000000;7100.558105
26;-4573.000000;187.000000;7372.886719
27;-4843.000000;198.000000;7645.128418
28;-5138.000000;210.000000;7917.279785
29;-5430.000000;222.000000;8189.337402
30;-5725.000000;234.000000;8461.298828
31;-6045.000000;247.000000;8733.160156
32;-6364.000000;260.000000;9004.917969
33;-6671.000000;272.000000;9276.569336
34;-6987.000000;285.000000;9548.112305
35;-7305.000000;298.000000;9819.541016
36;-7598.000000;310.000000;10090.854492
37;-7882.000000;322.000000;10362.049805
38;-8164.000000;333.000000;10633.122070
39;-8418.000000;344.000000;10904.069336
40;-8671.000000;354.000000;11174.887695
41;-8930.000000;365.000000;11445.573242
42;-9189.000000;376.000000;11716.125000
43;-9439.000000;386.000000;11986.537109
44;-9696.000000;396.000000;12256.808594
45;-9961.000000;407.000000;12526.934570
46;-10214.000000;418.000000;12796.913086
47;-10477.000000;428.000000;13066.741211
48;-10753.000000;440.000000;13336.414062
49;-11029.000000;451.000000;13605.929688
50;-11313.000000;463.000000;13875.284180
51;-11616.000000;475.000000;14144.475586
52;-11922.000000;488.000000;14413.500000
53;-12222.000000;500.000000;14682.353516
54;-12521.000000;512.000000;14951.034180
55;-12814.000000;524.000000;15219.538086
56;-13091.000000;535.000000;15487.861328
57;-13361.000000;546.000000;15756.002930
58;-13624.000000;557.000000;16023.958008
59;-13882.000000;568.000000;16291.724609
60;-14132.000000;578.000000;16559.296875
61;-14391.000000;589.000000;16826.675781
62;-14652.000000;600.000000;17093.855469
63;-14908.000000;610.000000;17360.832031
64;-15170.000000;621.000000;17627.605469
65;-15423.000000;631.000000;17894.169922
66;-15674.000000;642.000000;18160.521484
67;-15927.000000;652.000000;18426.660156
68;-16190.000000;663.000000;18692.582031
69;-16458.000000;674.000000;18958.281250
70;-16726.000000;685.000000;19223.757812
71;-17005.000000;696.000000;19489.007812
72;-17291.000000;708.000000;19754.025391
73;-17578.000000;719.000000;20018.810547
74;-17863.000000;731.000000;20283.359375
75;-18149.000000;743.000000;20547.667969
76;-18420.000000;754.000000;20811.734375
77;-18689.000000;765.000000;21075.554688
78;-18963.000000;776.000000;21339.126953
79;-19226.000000;787.000000;21602.445312
80;-19487.000000;797.000000;21865.509766
81;-19754.000000;808.000000;22128.316406
82;-20011.000000;819.000000;22390.861328
83;-20263.000000;829.000000;22653.140625
84;-20512.000000;840.000000;22915.154297
85;-20759.000000;850.000000;23176.896484
86;-20990.000000;859.000000;23438.365234
87;-21227.000000;869.000000;23699.556641
