takt;q1;q2;q2p
0;261.000000;-11.000000;2734.082764
1;430.000000;-14.000000;5464.937500
2;426.000000;-14.000000;8189.339355
3;280.000000;-8.000000;10904.070312
4;-54.000000;6.000000;13605.926758
5;-620.000000;30.000000;16291.716797
6;-1339.000000;66.000000;18958.269531
7;-2257.000000;112.000000;21602.437500
8;-3480.000000;162.000000;24221.097656
9;-4889.000000;220.000000;26811.158203
10;-6479.000000;283.000000;29369.562500
11;-8288.000000;353.000000;31893.285156
12;-10297.000000;428.000000;34379.351562
13;-12414.000000;515.000000;36824.820312
14;-14696.000000;605.000000;39226.808594
15;-17029.000000;701.000000;41582.476562
16;-19328.000000;796.000000;43889.046875
17;-21672.000000;892.000000;46143.789062
18;-24018.000000;989.000000;48344.046875
19;-26393.000000;1085.000000;50487.222656
20;-28799.000000;1184.000000;52570.781250
21;-31222.000000;1283.000000;54592.261719
22;-33650.000000;1382.000000;56549.285156
23;-36090.000000;1483.000000;58439.535156
24;-38557.000000;1582.000000;60260.781250
25;-40994.000000;1683.000000;62010.871094
26;-43431.000000;1780.000000;63687.738281
27;-45831.000000;1879.000000;65289.406250
28;-48199.000000;1974.000000;66813.976562
29;-50545.000000;2070.000000;68259.664062
30;-52857.000000;2164.000000;69624.742188
31;-55106.000000;2257.000000;70907.609375
32;-57289.000000;2347.000000;72106.757812
33;-59413.000000;2434.000000;73220.757812
34;-61443.000000;2516.000000;74248.296875
35;-63409.000000;2595.000000;75188.171875
36;-65278.000000;2670.000000;76039.257812
37;-67021.000000;2742.000000;76800.562500
38;-68658.000000;2810.000000;77471.187500
39;-70159.000000;2871.000000;78050.328125
40;-71519.000000;2927.000000;78537.312500
41;-72738.000000;2977.000000;78931.554688
42;-73836.000000;3022.000000;79232.601562
43;-74816.000000;3062.000000;79440.093750
44;-75682.000000;3098.000000;79553.773438
45;-76475.000000;3131.000000;79573.523438
46;-77183.000000;3160.000000;79499.312500
47;-77803.000000;3186.000000;79331.234375
48;-78363.000000;3209.000000;79069.476562
49;-78865.000000;3230.000000;78714.359375
50;-79290.000000;3246.000000;78266.289062
51;-79660.000000;3261.000000;77725.812500
52;-79961.000000;3273.000000;77093.546875
53;-80170.000000;3282.000000;76370.257812
54;-80291.000000;3287.000000;75556.789062
55;-80337.000000;3289.000000;74654.109375
56;-80290.000000;3288.000000;73663.273438
57;-80152.000000;3282.000000;72585.453125
58;-79927.000000;3272.000000;71421.929688
59;-79600.000000;3259.000000;70174.070312
60;-79168.000000;3241.000000;68843.351562
61;-78628.000000;3219.000000;67431.343750
62;-77968.000000;3191.000000;65939.710938
63;-77176.000000;3159.000000;64370.218750
64;-76258.000000;3122.000000;62724.722656
65;-75245.000000;3081.000000;61005.156250
66;-74125.000000;3035.000000;59213.558594
67;-72906.000000;2985.000000;57352.039062
68;-71604.000000;2932.000000;55422.800781
69;-70230.000000;2876.000000;53428.121094
70;-68789.000000;2816.000000;51370.351562
71;-67277.000000;2754.000000;49251.925781
72;-65721.000000;2690.000000;47075.343750
73;-64103.000000;2623.000000;44843.187500
74;-62415.000000;2555.000000;42558.078125
75;-60661.000000;2483.000000;40222.718750
76;-58856.000000;2408.000000;37839.863281
77;-56968.000000;2331.000000;35412.328125
78;-54994.000000;2250.000000;32942.980469
79;-52983.000000;2168.000000;30434.732422
80;-50884.000000;2082.000000;27890.548828
81;-48698.000000;1993.000000;25313.431641
82;-46489.000000;1903.000000;22706.425781
83;-44206.000000;1809.000000;20072.609375
84;-41845.000000;1712.000000;17415.089844
85;-39442.000000;1615.000000;14737.007812
86;-36993.000000;1514.000000;12041.524414
87;-34483.000000;1413.000000;9331.823242
88;-31929.000000;1308.000000;6611.102539
89;-29371.000000;1203.000000;3882.575684
90;-26754.000000;1096.000000;1149.464478
91;-24106.000000;988.000000;-1585.004028
92;-21460.000000;880.000000;-4317.601074
93;-18801.000000;772.000000;-7045.099609
94;-16083.000000;659.000000;-9764.280273
95;-13396.000000;549.000000;-12471.930664
96;-10691.000000;437.000000;-15164.854492
97;-7949.000000;324.000000;-17839.873047
98;-5204.000000;212.000000;-20493.824219
99;-2453.000000;100.000000;-23123.578125
100;291.000000;-11.000000;-25726.029297
101;3057.000000;-124.000000;-28298.103516
102;5785.000000;-235.000000;-30836.761719
103;8534.000000;-349.000000;-33339.011719
104;11285.000000;-461.000000;-35801.890625
105;14028.000000;-574.000000;-38222.500000
106;16759.000000;-687.000000;-40597.976562
107;19499.000000;-800.000000;-42925.515625
108;22206.000000;-909.000000;-45202.367188
109;24858.000000;-1019.000000;-47425.847656
110;27489.000000;-1126.000000;-49593.324219
111;30093.000000;-1233.000000;-51702.246094
112;32624.000000;-1336.000000;-53750.117188
113;35126.000000;-1440.000000;-55734.523438
114;37572.000000;-1538.000000;-57653.117188
115;39980.000000;-1637.000000;-59503.636719
116;42305.000000;-1732.000000;-61283.894531
117;44615.000000;-1827.000000;-62991.789062
118;46866.000000;-1918.000000;-64625.304688
119;49061.000000;-2008.000000;-66182.515625
120;51229.000000;-2097.000000;-67661.570312
121;53334.000000;-2182.000000;-69060.742188
122;55397.000000;-2267.000000;-70378.359375
123;57391.000000;-2349.000000;-71612.882812
124;59329.000000;-2427.000000;-72762.843750
125;61187.000000;-2504.000000;-73826.890625
126;62977.000000;-2577.000000;-74803.757812
127;64698.000000;-2646.000000;-75692.304688
128;66328.000000;-2713.000000;-76491.476562
129;67872.000000;-2776.000000;-77200.320312
130;69340.000000;-2835.000000;-77818.015625
131;70720.000000;-2892.000000;-78343.820312
132;71996.000000;-2944.000000;-78777.117188
133;73206.000000;-2994.000000;-79117.398438
134;74315.000000;-3039.000000;-79364.265625
135;75324.000000;-3080.000000;-79517.414062
136;76251.000000;-3118.000000;-79576.671875
137;77097.000000;-3152.000000;-79541.960938
138;77831.000000;-3182.000000;-79413.335938
139;78487.000000;-3209.000000;-79190.937500
140;79062.000000;-3233.000000;-78875.039062
141;79530.000000;-3253.000000;-78466.000000
142;79910.000000;-3268.000000;-77964.312500
143;80201.000000;-3280.000000;-77370.562500
144;80392.000000;-3288.000000;-76685.453125
145;80490.000000;-3292.000000;-75909.796875
146;80500.000000;-3293.000000;-75044.500000
147;80423.000000;-3290.000000;-74090.593750
148;80255.000000;-3283.000000;-73049.195312
149;80021.000000;-3273.000000;-71921.546875
150;79696.000000;-3260.000000;-70708.976562
151;79278.000000;-3242.000000;-69412.906250
152;78754.000000;-3221.000000;-68034.875000
153;78132.000000;-3195.000000;-66576.507812
154;77407.000000;-3165.000000;-65039.527344
155;76575.000000;-3131.000000;-63425.746094
156;75640.000000;-3093.000000;-61737.074219
157;74606.000000;-3051.000000;-59975.503906
158;73480.000000;-3005.000000;-58143.113281
159;72248.000000;-2955.000000;-56242.066406
160;70947.000000;-2902.000000;-54274.609375
161;69560.000000;-2845.000000;-52243.066406
162;68090.000000;-2785.000000;-50149.835938
163;66544.000000;-2722.000000;-47997.386719
164;64933.000000;-2656.000000;-45788.261719
165;63229.000000;-2587.000000;-43525.070312
166;61451.000000;-2515.000000;-41210.484375
167;59630.000000;-2440.000000;-38847.234375
168;57716.000000;-2362.000000;-36438.117188
169;55742.000000;-2281.000000;-33985.972656
170;53741.000000;-2199.000000;-31493.699219
171;51658.000000;-2114.000000;-28964.236328
172;49558.000000;-2028.000000;-26400.572266
173;47420.000000;-1941.000000;-23805.734375
174;45214.000000;-1850.000000;-21182.787109
175;42973.000000;-1757.000000;-18534.828125
176;40684.000000;-1663.000000;-15864.982422
177;38350.000000;-1566.000000;-13176.403320
178;35956.000000;-1470.000000;-10472.265625
179;33517.000000;-1370.000000;-7755.761719
180;31025.000000;-1267.000000;-5030.100586
