takt;q1;q2;q2p
0;288.000000;-11.000000;273.448639
1;487.000000;-13.000000;546.816589
2;451.000000;7.000000;820.023132
3;35.000000;28.000000;1092.987427
4;-816.000000;64.000000;1365.629150
5;-1996.000000;111.000000;1637.867676
6;-3468.000000;165.000000;1909.622681
7;-5145.000000;231.000000;2180.813965
8;-7021.000000;293.000000;2451.361328
9;-8971.000000;369.000000;2721.185303
10;-10843.000000;441.000000;2990.205811
11;-12590.000000;511.000000;3258.343750
12;-14163.000000;576.000000;3525.519531
13;-15601.000000;635.000000;3791.654541
14;-16894.000000;687.000000;4056.670410
15;-17992.000000;733.000000;4320.488281
16;-18888.000000;770.000000;4583.031250
17;-19625.000000;802.000000;4844.220703
18;-20229.000000;827.000000;5103.979980
19;-20748.000000;848.000000;5362.232422
20;-21179.000000;867.000000;5618.901855
21;-21540.000000;882.000000;5873.912109
22;-21851.000000;895.000000;6127.188965
23;-22121.000000;906.000000;6378.656738
24;-22373.000000;917.000000;6628.241211
25;-22635.000000;928.000000;6875.869141
26;-22903.000000;939.000000;7121.466797
27;-23188.000000;951.000000;7364.962402
28;-23477.000000;963.000000;7606.283691
29;-23767.000000;975.000000;7845.359375
30;-24064.000000;987.000000;8082.119141
31;-24352.000000;999.000000;8316.493164
32;-24644.000000;1011.000000;8548.411133
33;-24929.000000;1022.000000;8777.805664
34;-25177.000000;1032.000000;9004.609375
35;-25398.000000;1041.000000;9228.754883
36;-25574.000000;1048.000000;9450.175781
37;-25719.000000;1053.000000;9668.806641
38;-25831.000000;1058.000000;9884.583984
39;-25908.000000;1061.000000;10097.442383
40;-25957.000000;1064.000000;10307.320312
41;-25980.000000;1065.000000;10514.155273
42;-25980.000000;1065.000000;10717.885742
43;-25980.000000;1065.000000;10918.453125
44;-25969.000000;1065.000000;11115.795898
45;-25960.000000;1065.000000;11309.858398
46;-25946.000000;1064.000000;11500.581055
47;-25926.000000;1063.000000;11687.908203
48;-25900.000000;1062.000000;11871.786133
49;-25867.000000;1061.000000;12052.158203
50;-25837.000000;1059.000000;12228.972656
51;-25806.000000;1058.000000;12402.176758
52;-25765.000000;1056.000000;12571.719727
53;-25720.000000;1054.000000;12737.551758
54;-25663.000000;1052.000000;12899.622070
55;-25601.000000;1050.000000;13057.884766
56;-25532.000000;1047.000000;13212.292969
57;-25446.000000;1044.000000;13362.800781
58;-25350.000000;1040.000000;13509.363281
59;-25240.000000;1035.000000;13651.937500
60;-25123.000000;1030.000000;13790.481445
61;-24992.000000;1025.000000;13924.954102
62;-24859.000000;1020.000000;14055.315430
63;-24726.000000;1015.000000;14181.528320
64;-24584.000000;1009.000000;14303.553711
65;-24442.000000;1003.000000;14421.356445
66;-24302.000000;997.000000;14534.902344
67;-24157.000000;991.000000;14644.157227
68;-24012.000000;986.000000;14749.087891
69;-23857.000000;979.000000;14849.665039
70;-23701.000000;973.000000;14945.858398
71;-23536.000000;966.000000;15037.639648
72;-23364.000000;959.000000;15124.980469
73;-23194.000000;952.000000;15207.856445
74;-23026.000000;945.000000;15286.243164
75;-22863.000000;938.000000;15360.117188
76;-22714.000000;932.000000;15429.456055
77;-22562.000000;925.000000;15494.240234
78;-22411.000000;919.000000;15554.450195
79;-22247.000000;912.000000;15610.067383
80;-22071.000000;905.000000;15661.077148
81;-21884.000000;897.000000;15707.463867
82;-21683.000000;889.000000;15749.212891
83;-21475.000000;880.000000;15786.312500
84;-21262.000000;871.000000;15818.750977
85;-21041.000000;862.000000;15846.520508
86;-20809.000000;852.000000;15869.612305
87;-20555.000000;842.000000;15888.017578
88;-20284.000000;831.000000;15901.733398
89;-19992.000000;819.000000;15910.754883
90;-19676.000000;807.000000;15915.079102
91;-19342.000000;793.000000;15914.705078
92;-19000.000000;779.000000;15909.632812
93;-18646.000000;765.000000;15899.863281
94;-18290.000000;750.000000;15885.400391
95;-17929.000000;736.000000;15866.247070
96;-17568.000000;721.000000;15842.410156
97;-17222.000000;706.000000;15813.896484
98;-16878.000000;692.000000;15780.713867
99;-16549.000000;678.000000;15742.873047
100;-16239.000000;666.000000;15700.384766
101;-15948.000000;654.000000;15653.260742
102;-15663.000000;642.000000;15601.516602
103;-15367.000000;629.000000;15545.166016
104;-15061.000000;617.000000;15484.226562
105;-14743.000000;604.000000;15418.714844
106;-14408.000000;590.000000;15348.652344
107;-14055.000000;576.000000;15274.058594
108;-13683.000000;561.000000;15194.955078
109;-13296.000000;545.000000;15111.366211
110;-12895.000000;528.000000;15023.316406
111;-12483.000000;511.000000;14930.831055
112;-12074.000000;494.000000;14833.938477
113;-11649.000000;477.000000;14732.666016
114;-11221.000000;460.000000;14627.043945
115;-10796.000000;443.000000;14517.104492
116;-10375.000000;426.000000;14402.878906
117;-9974.000000;410.000000;14284.402344
118;-9575.000000;394.000000;14161.707031
119;-9179.000000;377.000000;14034.832031
120;-8789.000000;361.000000;13903.813477
121;-8391.000000;345.000000;13768.690430
122;-8001.000000;328.000000;13629.502930
123;-7612.000000;312.000000;13486.291016
124;-7218.000000;295.000000;13339.098633
125;-6813.000000;278.000000;13187.967773
126;-6383.000000;261.000000;13032.943359
127;-5945.000000;243.000000;12874.072266
128;-5508.000000;225.000000;12711.399414
129;-5062.000000;207.000000;12544.974609
130;-4627.000000;190.000000;12374.846680
131;-4192.000000;172.000000;12201.064453
132;-3760.000000;154.000000;12023.680664
133;-3339.000000;137.000000;11842.748047
134;-2918.000000;119.000000;11658.318359
135;-2498.000000;102.000000;11470.447266
136;-2080.000000;85.000000;11279.190430
137;-1644.000000;67.000000;11084.602539
138;-1197.000000;49.000000;10886.743164
139;-731.000000;30.000000;10685.669922
140;-257.000000;11.000000;10481.441406
141;216.000000;-8.000000;10274.119141
142;686.000000;-27.000000;10063.763672
143;1141.000000;-46.000000;9850.437500
144;1570.000000;-63.000000;9634.203125
145;1983.000000;-81.000000;9415.122070
146;2376.000000;-97.000000;9193.262695
147;2762.000000;-113.000000;8968.688477
148;3150.000000;-129.000000;8741.465820
149;3548.000000;-146.000000;8511.664062
150;3961.000000;-163.000000;8279.348633
151;4396.000000;-180.000000;8044.588379
152;4855.000000;-199.000000;7807.454102
