takt;q1;q2;q2p
0;294.000000;-12.000000;273.448639
1;509.000000;-14.000000;546.816589
2;498.000000;-13.000000;820.023132
3;295.000000;-5.000000;1092.987427
4;-153.000000;20.000000;1365.629150
5;-796.000000;44.000000;1637.867676
6;-1640.000000;71.000000;1909.622681
7;-2677.000000;115.000000;2180.813965
8;-3744.000000;154.000000;2451.361328
9;-4775.000000;193.000000;2721.185303
10;-5709.000000;232.000000;2990.205811
11;-6511.000000;265.000000;3258.343750
12;-7246.000000;295.000000;3525.519531
13;-7899.000000;322.000000;3791.654541
14;-8474.000000;345.000000;4056.670410
15;-8992.000000;367.000000;4320.488281
16;-9417.000000;385.000000;4583.031250
17;-9797.000000;400.000000;4844.220703
18;-10147.000000;415.000000;5103.979980
19;-10454.000000;428.000000;5362.232422
20;-10754.000000;440.000000;5618.901855
21;-11028.000000;452.000000;5873.912109
22;-11302.000000;463.000000;6127.188965
23;-11599.000000;476.000000;6378.656738
24;-11895.000000;488.000000;6628.241211
25;-12198.000000;500.000000;6875.869141
26;-12507.000000;513.000000;7121.466797
27;-12811.000000;526.000000;7364.962402
28;-13130.000000;538.000000;7606.283691
29;-13447.000000;551.000000;7845.359375
30;-13757.000000;563.000000;8082.119141
31;-14058.000000;575.000000;8316.493164
32;-14332.000000;587.000000;8548.411133
33;-14586.000000;597.000000;8777.805664
34;-14818.000000;607.000000;9004.609375
35;-15024.000000;615.000000;9228.754883
36;-15217.000000;623.000000;9450.175781
37;-15389.000000;630.000000;9668.806641
38;-15541.000000;636.000000;9884.583984
39;-15683.000000;642.000000;10097.442383
40;-15804.000000;647.000000;10307.320312
41;-15921.000000;652.000000;10514.155273
42;-16034.000000;657.000000;10717.885742
43;-16141.000000;661.000000;10918.453125
44;-16250.000000;666.000000;11115.795898
45;-16359.000000;670.000000;11309.858398
46;-16466.000000;675.000000;11500.581055
47;-16580.000000;680.000000;11687.908203
48;-16699.000000;684.000000;11871.786133
49;-16826.000000;690.000000;12052.158203
50;-16966.000000;696.000000;12228.972656
51;-17107.000000;701.000000;12402.176758
52;-17259.000000;707.000000;12571.719727
53;-17403.000000;713.000000;12737.551758
54;-17544.000000;719.000000;12899.622070
55;-17679.000000;724.000000;13057.884766
56;-17795.000000;729.000000;13212.292969
57;-17897.000000;733.000000;13362.800781
58;-17981.000000;736.000000;13509.363281
59;-18042.000000;739.000000;13651.937500
60;-18092.000000;741.000000;13790.481445
61;-18128.000000;743.000000;13924.954102
62;-18155.000000;744.000000;14055.315430
63;-18171.000000;744.000000;14181.528320
64;-18177.000000;745.000000;14303.553711
65;-18183.000000;745.000000;14421.356445
66;-18188.000000;745.000000;14534.902344
67;-18191.000000;745.000000;14644.157227
68;-18199.000000;746.000000;14749.087891
69;-18201.000000;746.000000;14849.665039
70;-18206.000000;746.000000;14945.858398
71;-18212.000000;746.000000;15037.639648
72;-18218.000000;746.000000;15124.980469
73;-18222.000000;747.000000;15207.856445
74;-18213.000000;747.000000;15286.243164
75;-18201.000000;747.000000;15360.117188
76;-18184.000000;746.000000;15429.456055
77;-18163.000000;745.000000;15494.240234
78;-18131.000000;744.000000;15554.450195
79;-18098.000000;742.000000;15610.067383
80;-18061.000000;741.000000;15661.077148
81;-18017.000000;739.000000;15707.463867
82;-17971.000000;737.000000;15749.212891
83;-17911.000000;735.000000;15786.312500
84;-17841.000000;732.000000;15818.750977
85;-17767.000000;729.000000;15846.520508
86;-17685.000000;725.000000;15869.612305
87;-17594.000000;722.000000;15888.017578
88;-17499.000000;718.000000;15901.733398
89;-17396.000000;714.000000;15910.754883
90;-17292.000000;709.000000;15915.079102
