takt;q1;q2;q2p
0;234.000000;-10.000000;273.448639
1;389.000000;-11.000000;546.816589
2;351.000000;-11.000000;820.023132
3;137.000000;-3.000000;1092.987427
4;-278.000000;14.000000;1365.629150
5;-775.000000;34.000000;1637.867676
6;-1361.000000;56.000000;1909.622681
7;-2016.000000;82.000000;2180.813965
8;-2661.000000;108.000000;2451.361328
9;-3306.000000;134.000000;2721.185303
10;-3899.000000;159.000000;2990.205811
11;-4449.000000;181.000000;3258.343750
12;-4986.000000;203.000000;3525.519531
13;-5474.000000;223.000000;3791.654541
14;-5931.000000;241.000000;4056.670410
15;-6351.000000;259.000000;4320.488281
16;-6708.000000;273.000000;4583.031250
17;-7060.000000;288.000000;4844.220703
18;-7375.000000;301.000000;5103.979980
19;-7658.000000;313.000000;5362.232422
20;-7932.000000;324.000000;5618.901855
21;-8174.000000;335.000000;5873.912109
22;-8430.000000;346.000000;6127.188965
23;-8695.000000;356.000000;6378.656738
24;-8959.000000;367.000000;6628.241211
25;-9250.000000;379.000000;6875.869141
26;-9539.000000;391.000000;7121.466797
27;-9836.000000;403.000000;7364.962402
28;-10150.000000;416.000000;7606.283691
29;-10454.000000;428.000000;7845.359375
30;-10760.000000;441.000000;8082.119141
31;-11052.000000;453.000000;8316.493164
32;-11309.000000;463.000000;8548.411133
33;-11562.000000;473.000000;8777.805664
34;-11787.000000;483.000000;9004.609375
35;-11999.000000;491.000000;9228.754883
36;-12202.000000;500.000000;9450.175781
37;-12377.000000;507.000000;9668.806641
38;-12552.000000;514.000000;9884.583984
39;-12718.000000;521.000000;10097.442383
40;-12874.000000;528.000000;10307.320312
41;-13041.000000;535.000000;10514.155273
42;-13189.000000;541.000000;10717.885742
43;-13345.000000;547.000000;10918.453125
44;-13503.000000;554.000000;11115.795898
45;-13658.000000;560.000000;11309.858398
46;-13826.000000;567.000000;11500.581055
47;-13993.000000;574.000000;11687.908203
48;-14165.000000;581.000000;11871.786133
49;-14352.000000;588.000000;12052.158203
