takt;q1;q2;q2p
0;258.000000;-11.000000;1.120046
1;509.000000;-19.000000;2.239761
2;752.000000;-10.000000;3.358815
3;855.000000;-14.000000;4.476877
4;894.000000;-14.000000;5.593617
5;838.000000;-11.000000;6.708706
6;693.000000;-6.000000;7.821815
7;496.000000;0.000000;8.932614
8;212.000000;11.000000;10.040776
9;-68.000000;22.000000;11.145975
10;-393.000000;33.000000;12.247883
11;-726.000000;47.000000;13.346176
12;-1038.000000;59.000000;14.440528
13;-1371.000000;68.000000;15.530618
14;-1679.000000;74.000000;16.616121
15;-1968.000000;77.000000;17.696720
16;-2198.000000;87.000000;18.772095
17;-2345.000000;94.000000;19.841928
18;-2429.000000;98.000000;20.905901
19;-2451.000000;99.000000;21.963703
20;-2410.000000;98.000000;23.015022
21;-2315.000000;94.000000;24.059546
22;-2195.000000;89.000000;25.096966
23;-2045.000000;83.000000;26.126978
24;-1877.000000;78.000000;27.149275
25;-1712.000000;71.000000;28.163559
26;-1535.000000;64.000000;29.169529
27;-1365.000000;59.000000;30.166885
28;-1195.000000;56.000000;31.155338
29;-1029.000000;58.000000;32.134594
30;-926.000000;56.000000;33.104359
31;-832.000000;54.000000;34.064354
32;-787.000000;52.000000;35.014294
33;-770.000000;51.000000;35.953896
34;-808.000000;53.000000;36.882881
35;-898.000000;56.000000;37.800980
36;-1009.000000;60.000000;38.707920
37;-1148.000000;65.000000;39.603432
38;-1302.000000;71.000000;40.487255
39;-1465.000000;77.000000;41.359123
40;-1639.000000;84.000000;42.218784
41;-1803.000000;90.000000;43.065979
42;-1966.000000;95.000000;43.900459
43;-2128.000000;97.000000;44.721981
44;-2277.000000;96.000000;45.530300
45;-2387.000000;97.000000;46.325176
46;-2500.000000;102.000000;47.106380
47;-2565.000000;104.000000;47.873672
48;-2612.000000;106.000000;48.626835
49;-2623.000000;106.000000;49.365639
50;-2577.000000;105.000000;50.089874
51;-2531.000000;103.000000;50.799316
52;-2449.000000;101.000000;51.493763
53;-2353.000000;96.000000;52.173012
54;-2267.000000;94.000000;52.836853
55;-2164.000000;90.000000;53.485096
56;-2091.000000;88.000000;54.117554
57;-2015.000000;87.000000;54.734032
58;-1928.000000;88.000000;55.334351
59;-1854.000000;93.000000;55.918335
60;-1799.000000;92.000000;56.485809
61;-1742.000000;88.000000;57.036610
62;-1697.000000;88.000000;57.570572
63;-1672.000000;87.000000;58.087540
64;-1678.000000;87.000000;58.587357
65;-1723.000000;88.000000;59.069878
66;-1773.000000;90.000000;59.534958
67;-1851.000000;93.000000;59.982468
68;-1924.000000;96.000000;60.412266
69;-2007.000000;99.000000;60.824230
70;-2099.000000;102.000000;61.218235
71;-2180.000000;106.000000;61.594170
72;-2265.000000;107.000000;61.951923
73;-2341.000000;108.000000;62.291382
74;-2420.000000;108.000000;62.612453
75;-2494.000000;106.000000;62.915039
76;-2559.000000;105.000000;63.199051
77;-2616.000000;106.000000;63.464405
78;-2662.000000;109.000000;63.711025
79;-2706.000000;110.000000;63.938839
80;-2736.000000;111.000000;64.147774
81;-2753.000000;112.000000;64.337769
82;-2750.000000;112.000000;64.508774
83;-2739.000000;112.000000;64.660736
84;-2711.000000;111.000000;64.793602
85;-2669.000000;109.000000;64.907349
86;-2627.000000;108.000000;65.001930
87;-2571.000000;106.000000;65.077324
88;-2524.000000;104.000000;65.133499
89;-2475.000000;103.000000;65.170456
90;-2429.000000;103.000000;65.188164
91;-2383.000000;103.000000;65.186630
92;-2337.000000;105.000000;65.165855
93;-2294.000000;106.000000;65.125839
94;-2253.000000;106.000000;65.066597
95;-2213.000000;105.000000;64.988152
96;-2177.000000;104.000000;64.890511
97;-2148.000000;103.000000;64.773720
98;-2121.000000;103.000000;64.637802
99;-2101.000000;104.000000;64.482811
100;-2081.000000;103.000000;64.308777
101;-2078.000000;102.000000;64.115761
102;-2075.000000;102.000000;63.903812
103;-2075.000000;102.000000;63.673000
104;-2090.000000;102.000000;63.423389
105;-2105.000000;103.000000;63.155056
106;-2125.000000;103.000000;62.868080
107;-2149.000000;104.000000;62.562542
108;-2167.000000;104.000000;62.238537
109;-2189.000000;104.000000;61.896156
110;-2214.000000;104.000000;61.535503
111;-2235.000000;104.000000;61.156685
112;-2258.000000;103.000000;60.759811
113;-2279.000000;102.000000;60.345001
114;-2300.000000;101.000000;59.912373
115;-2321.000000;101.000000;59.462059
116;-2337.000000;102.000000;58.994194
117;-2355.000000;102.000000;58.508911
118;-2370.000000;102.000000;58.006355
119;-2381.000000;100.000000;57.486671
120;-2397.000000;99.000000;56.950020
121;-2400.000000;98.000000;56.396557
122;-2403.000000;99.000000;55.826443
123;-2403.000000;99.000000;55.239849
124;-2398.000000;99.000000;54.636948
125;-2387.000000;98.000000;54.017918
126;-2369.000000;98.000000;53.382938
127;-2353.000000;97.000000;52.732201
128;-2331.000000;96.000000;52.065895
129;-2308.000000;95.000000;51.384216
130;-2278.000000;94.000000;50.687370
131;-2252.000000;93.000000;49.975563
132;-2226.000000;92.000000;49.248997
133;-2197.000000;90.000000;48.507896
134;-2168.000000;89.000000;47.752472
135;-2143.000000;88.000000;46.982952
136;-2127.000000;88.000000;46.199562
137;-2110.000000;87.000000;45.402534
138;-2095.000000;87.000000;44.592102
139;-2077.000000;86.000000;43.768505
140;-2069.000000;85.000000;42.931984
141;-2059.000000;85.000000;42.082794
142;-2052.000000;85.000000;41.221176
143;-2043.000000;84.000000;40.347393
144;-2037.000000;84.000000;39.461697
145;-2030.000000;83.000000;38.564342
146;-2021.000000;83.000000;37.655602
147;-2008.000000;83.000000;36.735748
148;-1986.000000;82.000000;35.805046
149;-1959.000000;81.000000;34.863773
150;-1928.000000;79.000000;33.912209
151;-1887.000000;78.000000;32.950634
152;-1845.000000;76.000000;31.979332
153;-1800.000000;74.000000;30.998587
154;-1749.000000;72.000000;30.008692
155;-1700.000000;70.000000;29.009937
156;-1649.000000;68.000000;28.002617
157;-1601.000000;66.000000;26.987030
158;-1552.000000;64.000000;25.963478
159;-1507.000000;63.000000;24.932259
160;-1462.000000;61.000000;23.893681
161;-1427.000000;61.000000;22.848047
162;-1387.000000;60.000000;21.795668
163;-1354.000000;60.000000;20.736856
164;-1324.000000;61.000000;19.671921
165;-1294.000000;61.000000;18.601179
166;-1269.000000;61.000000;17.524944
167;-1246.000000;59.000000;16.443537
168;-1228.000000;57.000000;15.357275
169;-1212.000000;54.000000;14.266479
170;-1194.000000;52.000000;13.171472
171;-1181.000000;51.000000;12.072576
172;-1171.000000;51.000000;10.970116
173;-1162.000000;51.000000;9.864417
174;-1158.000000;51.000000;8.755806
175;-1154.000000;51.000000;7.644610
176;-1153.000000;50.000000;6.531157
177;-1155.000000;49.000000;5.415776
178;-1151.000000;47.000000;4.298797
179;-1150.000000;47.000000;3.180548
180;-1146.000000;47.000000;2.061360
181;-1134.000000;47.000000;0.941564
182;-1124.000000;46.000000;-0.178511
183;-1094.000000;45.000000;-1.298532
184;-1061.000000;44.000000;-2.418171
185;-1020.000000;42.000000;-3.537095
186;-962.000000;40.000000;-4.654975
187;-907.000000;38.000000;-5.771481
188;-843.000000;35.000000;-6.886283
189;-779.000000;32.000000;-7.999053
190;-716.000000;30.000000;-9.109460
191;-648.000000;27.000000;-10.217178
192;-586.000000;24.000000;-11.321880
193;-527.000000;23.000000;-12.423240
194;-467.000000;22.000000;-13.520931
195;-419.000000;22.000000;-14.614632
196;-365.000000;22.000000;-15.704018
197;-320.000000;23.000000;-16.788767
198;-278.000000;24.000000;-17.868559
199;-241.000000;23.000000;-18.943077
200;-208.000000;21.000000;-20.012003
201;-177.000000;18.000000;-21.075020
202;-152.000000;16.000000;-22.131817
203;-135.000000;15.000000;-23.182077
204;-122.000000;14.000000;-24.225496
205;-114.000000;14.000000;-25.261763
206;-112.000000;15.000000;-26.290571
