takt;q1;q2;q2p
0;268.000000;-10.000000;1.120046
1;533.000000;-20.000000;2.239761
2;800.000000;-14.000000;3.358815
3;942.000000;-14.000000;4.476877
4;1026.000000;-15.000000;5.593617
5;1022.000000;-15.000000;6.708706
6;909.000000;-12.000000;7.821815
7;739.000000;-7.000000;8.932614
8;479.000000;4.000000;10.040776
9;217.000000;14.000000;11.145975
10;-79.000000;24.000000;12.247883
11;-415.000000;38.000000;13.346176
12;-713.000000;51.000000;14.440528
13;-1033.000000;61.000000;15.530618
14;-1336.000000;68.000000;16.616121
15;-1647.000000;72.000000;17.696720
16;-1918.000000;77.000000;18.772095
17;-2107.000000;84.000000;19.841928
18;-2231.000000;90.000000;20.905901
19;-2291.000000;94.000000;21.963703
20;-2292.000000;94.000000;23.015022
21;-2233.000000;93.000000;24.059546
22;-2113.000000;87.000000;25.096966
23;-1978.000000;81.000000;26.126978
24;-1823.000000;76.000000;27.149275
25;-1651.000000;69.000000;28.163559
26;-1484.000000;63.000000;29.169529
27;-1286.000000;57.000000;30.166885
28;-1091.000000;52.000000;31.155338
29;-912.000000;50.000000;32.134594
30;-722.000000;52.000000;33.104359
31;-627.000000;48.000000;34.064354
32;-538.000000;46.000000;35.014294
33;-518.000000;45.000000;35.953896
34;-520.000000;45.000000;36.882881
35;-583.000000;47.000000;37.800980
36;-701.000000;52.000000;38.707920
37;-823.000000;57.000000;39.603432
38;-1001.000000;63.000000;40.487255
39;-1168.000000;70.000000;41.359123
40;-1348.000000;77.000000;42.218784
41;-1532.000000;85.000000;43.065979
42;-1708.000000;91.000000;43.900459
43;-1895.000000;94.000000;44.721981
44;-2055.000000;95.000000;45.530300
45;-2219.000000;91.000000;46.325176
46;-2317.000000;97.000000;47.106380
47;-2427.000000;99.000000;47.873672
48;-2482.000000;101.000000;48.626835
49;-2507.000000;103.000000;49.365639
50;-2490.000000;102.000000;50.089874
51;-2435.000000;101.000000;50.799316
52;-2379.000000;98.000000;51.493763
53;-2294.000000;95.000000;52.173012
54;-2205.000000;92.000000;52.836853
55;-2117.000000;89.000000;53.485096
56;-2021.000000;85.000000;54.117554
57;-1938.000000;82.000000;54.734032
58;-1856.000000;82.000000;55.334351
59;-1772.000000;85.000000;55.918335
60;-1691.000000;90.000000;56.485809
61;-1629.000000;91.000000;57.036610
62;-1568.000000;85.000000;57.570572
63;-1514.000000;84.000000;58.087540
64;-1477.000000;84.000000;58.587357
65;-1461.000000;84.000000;59.069878
66;-1491.000000;84.000000;59.534958
67;-1536.000000;86.000000;59.982468
68;-1593.000000;88.000000;60.412266
69;-1681.000000;92.000000;60.824230
70;-1763.000000;95.000000;61.218235
71;-1857.000000;99.000000;61.594170
72;-1945.000000;102.000000;61.951923
73;-2029.000000;106.000000;62.291382
74;-2118.000000;108.000000;62.612453
75;-2196.000000;109.000000;62.915039
76;-2275.000000;108.000000;63.199051
77;-2344.000000;104.000000;63.464405
78;-2409.000000;102.000000;63.711025
79;-2467.000000;102.000000;63.938839
80;-2516.000000;105.000000;64.147774
81;-2561.000000;108.000000;64.337769
82;-2604.000000;109.000000;64.508774
83;-2635.000000;108.000000;64.660736
84;-2651.000000;109.000000;64.793602
85;-2657.000000;109.000000;64.907349
86;-2651.000000;109.000000;65.001930
87;-2639.000000;109.000000;65.077324
88;-2608.000000;108.000000;65.133499
89;-2578.000000;107.000000;65.170456
90;-2538.000000;106.000000;65.188164
91;-2500.000000;104.000000;65.186630
92;-2465.000000;103.000000;65.165855
93;-2421.000000;103.000000;65.125839
94;-2388.000000;103.000000;65.066597
95;-2348.000000;103.000000;64.988152
96;-2314.000000;105.000000;64.890511
97;-2285.000000;105.000000;64.773720
98;-2248.000000;105.000000;64.637802
99;-2219.000000;104.000000;64.482811
100;-2188.000000;103.000000;64.308777
101;-2158.000000;103.000000;64.115761
102;-2128.000000;103.000000;63.903812
103;-2098.000000;105.000000;63.673000
104;-2072.000000;105.000000;63.423389
105;-2040.000000;105.000000;63.155056
106;-2015.000000;104.000000;62.868080
107;-1998.000000;104.000000;62.562542
108;-1980.000000;103.000000;62.238537
109;-1966.000000;103.000000;61.896156
110;-1953.000000;103.000000;61.535503
111;-1942.000000;103.000000;61.156685
112;-1939.000000;103.000000;60.759811
113;-1933.000000;103.000000;60.345001
114;-1930.000000;103.000000;59.912373
115;-1932.000000;103.000000;59.462059
116;-1933.000000;103.000000;58.994194
117;-1939.000000;103.000000;58.508911
118;-1943.000000;103.000000;58.006355
119;-1949.000000;103.000000;57.486671
120;-1957.000000;102.000000;56.950020
121;-1963.000000;101.000000;56.396557
122;-1972.000000;101.000000;55.826443
123;-1980.000000;100.000000;55.239849
124;-1987.000000;100.000000;54.636948
125;-1996.000000;99.000000;54.017918
126;-2004.000000;99.000000;53.382938
127;-2013.000000;98.000000;52.732201
128;-2023.000000;98.000000;52.065895
129;-2032.000000;97.000000;51.384216
130;-2042.000000;97.000000;50.687370
131;-2053.000000;97.000000;49.975563
132;-2065.000000;96.000000;49.248997
133;-2077.000000;95.000000;48.507896
134;-2086.000000;94.000000;47.752472
135;-2096.000000;93.000000;46.982952
136;-2105.000000;92.000000;46.199562
137;-2113.000000;91.000000;45.402534
138;-2121.000000;90.000000;44.592102
139;-2129.000000;90.000000;43.768505
140;-2136.000000;90.000000;42.931984
141;-2144.000000;90.000000;42.082794
142;-2149.000000;90.000000;41.221176
143;-2151.000000;89.000000;40.347393
144;-2147.000000;89.000000;39.461697
145;-2141.000000;89.000000;38.564342
146;-2124.000000;88.000000;37.655602
147;-2105.000000;87.000000;36.735748
148;-2070.000000;86.000000;35.805046
149;-2025.000000;84.000000;34.863773
150;-1981.000000;83.000000;33.912209
151;-1922.000000;80.000000;32.950634
152;-1880.000000;78.000000;31.979332
153;-1824.000000;77.000000;30.998587
154;-1777.000000;75.000000;30.008692
155;-1728.000000;72.000000;29.009937
156;-1678.000000;71.000000;28.002617
157;-1634.000000;70.000000;26.987030
158;-1588.000000;69.000000;25.963478
159;-1544.000000;69.000000;24.932259
160;-1505.000000;70.000000;23.893681
161;-1466.000000;70.000000;22.848047
