takt;q1;q2;q2p
0;286.000000;-12.000000;273.448639
1;492.000000;-15.000000;546.816589
2;517.000000;-18.000000;820.023132
3;392.000000;-15.000000;1092.987427
4;113.000000;-4.000000;1365.629150
5;-207.000000;9.000000;1637.867676
6;-577.000000;23.000000;1909.622681
7;-997.000000;40.000000;2180.813965
8;-1395.000000;56.000000;2451.361328
9;-1782.000000;71.000000;2721.185303
10;-2120.000000;85.000000;2990.205811
11;-2400.000000;97.000000;3258.343750
12;-2676.000000;108.000000;3525.519531
13;-2917.000000;118.000000;3791.654541
14;-3151.000000;128.000000;4056.670410
15;-3377.000000;137.000000;4320.488281
16;-3569.000000;145.000000;4583.031250
17;-3771.000000;154.000000;4844.220703
18;-3969.000000;162.000000;5103.979980
19;-4170.000000;170.000000;5362.232422
20;-4392.000000;180.000000;5618.901855
21;-4603.000000;188.000000;5873.912109
22;-4824.000000;197.000000;6127.188965
23;-5054.000000;207.000000;6378.656738
24;-5276.000000;216.000000;6628.241211
25;-5523.000000;226.000000;6875.869141
26;-5764.000000;237.000000;7121.466797
27;-6007.000000;247.000000;7364.962402
28;-6269.000000;258.000000;7606.283691
29;-6530.000000;268.000000;7845.359375
30;-6810.000000;280.000000;8082.119141
31;-7105.000000;292.000000;8316.493164
32;-7400.000000;304.000000;8548.411133
33;-7703.000000;316.000000;8777.805664
34;-7999.000000;328.000000;9004.609375
35;-8282.000000;340.000000;9228.754883
36;-8560.000000;351.000000;9450.175781
37;-8809.000000;361.000000;9668.806641
38;-9046.000000;370.000000;9884.583984
39;-9269.000000;380.000000;10097.442383
40;-9481.000000;388.000000;10307.320312
41;-9702.000000;397.000000;10514.155273
42;-9915.000000;406.000000;10717.885742
43;-10115.000000;414.000000;10918.453125
44;-10314.000000;423.000000;11115.795898
45;-10495.000000;430.000000;11309.858398
46;-10674.000000;438.000000;11500.581055
47;-10852.000000;445.000000;11687.908203
48;-11015.000000;452.000000;11871.786133
49;-11186.000000;459.000000;12052.158203
50;-11359.000000;466.000000;12228.972656
51;-11543.000000;474.000000;12402.176758
52;-11742.000000;482.000000;12571.719727
53;-11942.000000;490.000000;12737.551758
54;-12152.000000;498.000000;12899.622070
55;-12363.000000;507.000000;13057.884766
56;-12568.000000;516.000000;13212.292969
57;-12774.000000;524.000000;13362.800781
58;-12971.000000;532.000000;13509.363281
59;-13167.000000;540.000000;13651.937500
60;-13358.000000;548.000000;13790.481445
61;-13536.000000;555.000000;13924.954102
62;-13704.000000;562.000000;14055.315430
63;-13863.000000;568.000000;14181.528320
64;-14009.000000;574.000000;14303.553711
65;-14150.000000;580.000000;14421.356445
66;-14275.000000;585.000000;14534.902344
67;-14393.000000;590.000000;14644.157227
68;-14507.000000;595.000000;14749.087891
69;-14615.000000;599.000000;14849.665039
70;-14715.000000;603.000000;14945.858398
71;-14806.000000;607.000000;15037.639648
72;-14886.000000;610.000000;15124.980469
73;-14963.000000;614.000000;15207.856445
74;-15033.000000;616.000000;15286.243164
75;-15094.000000;619.000000;15360.117188
76;-15156.000000;621.000000;15429.456055
77;-15213.000000;624.000000;15494.240234
78;-15274.000000;627.000000;15554.450195
79;-15339.000000;629.000000;15610.067383
80;-15403.000000;632.000000;15661.077148
81;-15475.000000;635.000000;15707.463867
82;-15544.000000;637.000000;15749.212891
83;-15612.000000;640.000000;15786.312500
84;-15673.000000;643.000000;15818.750977
85;-15726.000000;645.000000;15846.520508
86;-15771.000000;647.000000;15869.612305
