takt;q1;q2;q2p
0;280.000000;-12.000000;273.448639
1;481.000000;-15.000000;546.816589
2;500.000000;-17.000000;820.023132
3;364.000000;-14.000000;1092.987427
4;76.000000;-3.000000;1365.629150
5;-243.000000;10.000000;1637.867676
6;-601.000000;24.000000;1909.622681
7;-993.000000;39.000000;2180.813965
8;-1355.000000;54.000000;2451.361328
9;-1707.000000;68.000000;2721.185303
10;-2018.000000;81.000000;2990.205811
11;-2278.000000;92.000000;3258.343750
12;-2552.000000;103.000000;3525.519531
13;-2809.000000;113.000000;3791.654541
14;-3066.000000;124.000000;4056.670410
15;-3333.000000;135.000000;4320.488281
16;-3554.000000;144.000000;4583.031250
17;-3774.000000;153.000000;4844.220703
18;-3977.000000;162.000000;5103.979980
19;-4155.000000;169.000000;5362.232422
20;-4346.000000;177.000000;5618.901855
21;-4520.000000;184.000000;5873.912109
22;-4694.000000;192.000000;6127.188965
23;-4896.000000;200.000000;6378.656738
24;-5091.000000;208.000000;6628.241211
25;-5320.000000;218.000000;6875.869141
26;-5560.000000;227.000000;7121.466797
27;-5803.000000;238.000000;7364.962402
28;-6074.000000;249.000000;7606.283691
29;-6342.000000;259.000000;7845.359375
30;-6618.000000;270.000000;8082.119141
31;-6908.000000;282.000000;8316.493164
32;-7194.000000;294.000000;8548.411133
33;-7495.000000;306.000000;8777.805664
34;-7795.000000;318.000000;9004.609375
35;-8085.000000;330.000000;9228.754883
36;-8384.000000;342.000000;9450.175781
37;-8660.000000;354.000000;9668.806641
38;-8920.000000;364.000000;9884.583984
39;-9157.000000;374.000000;10097.442383
40;-9360.000000;382.000000;10307.320312
41;-9554.000000;390.000000;10514.155273
42;-9734.000000;398.000000;10717.885742
43;-9902.000000;405.000000;10918.453125
44;-10078.000000;412.000000;11115.795898
45;-10249.000000;419.000000;11309.858398
46;-10433.000000;426.000000;11500.581055
47;-10629.000000;435.000000;11687.908203
48;-10826.000000;443.000000;11871.786133
49;-11034.000000;451.000000;12052.158203
50;-11239.000000;459.000000;12228.972656
51;-11439.000000;468.000000;12402.176758
52;-11643.000000;476.000000;12571.719727
53;-11840.000000;484.000000;12737.551758
54;-12037.000000;493.000000;12899.622070
55;-12231.000000;501.000000;13057.884766
56;-12415.000000;508.000000;13212.292969
57;-12604.000000;516.000000;13362.800781
58;-12792.000000;523.000000;13509.363281
59;-12979.000000;531.000000;13651.937500
60;-13169.000000;539.000000;13790.481445
61;-13352.000000;546.000000;13924.954102
62;-13535.000000;554.000000;14055.315430
63;-13708.000000;561.000000;14181.528320
64;-13866.000000;567.000000;14303.553711
65;-14020.000000;574.000000;14421.356445
66;-14150.000000;579.000000;14534.902344
67;-14271.000000;584.000000;14644.157227
68;-14380.000000;589.000000;14749.087891
69;-14474.000000;593.000000;14849.665039
70;-14562.000000;596.000000;14945.858398
71;-14643.000000;600.000000;15037.639648
72;-14718.000000;603.000000;15124.980469
73;-14793.000000;606.000000;15207.856445
74;-14871.000000;609.000000;15286.243164
75;-14952.000000;613.000000;15360.117188
76;-15039.000000;616.000000;15429.456055
77;-15127.000000;620.000000;15494.240234
78;-15217.000000;623.000000;15554.450195
79;-15302.000000;627.000000;15610.067383
80;-15385.000000;630.000000;15661.077148
81;-15469.000000;634.000000;15707.463867
82;-15547.000000;637.000000;15749.212891
83;-15619.000000;640.000000;15786.312500
84;-15680.000000;642.000000;15818.750977
85;-15737.000000;645.000000;15846.520508
86;-15788.000000;647.000000;15869.612305
87;-15840.000000;649.000000;15888.017578
