takt;q1;q2;q2p
0;298.000000;-12.000000;273.448639
1;505.000000;-16.000000;546.816589
2;524.000000;-18.000000;820.023132
3;408.000000;-15.000000;1092.987427
4;151.000000;-6.000000;1365.629150
5;-128.000000;6.000000;1637.867676
6;-441.000000;17.000000;1909.622681
7;-781.000000;31.000000;2180.813965
8;-1081.000000;43.000000;2451.361328
9;-1367.000000;55.000000;2721.185303
10;-1603.000000;66.000000;2990.205811
11;-1795.000000;74.000000;3258.343750
12;-2006.000000;82.000000;3525.519531
13;-2200.000000;90.000000;3791.654541
14;-2405.000000;99.000000;4056.670410
15;-2621.000000;108.000000;4320.488281
16;-2805.000000;115.000000;4583.031250
17;-3010.000000;124.000000;4844.220703
18;-3217.000000;132.000000;5103.979980
19;-3423.000000;140.000000;5362.232422
20;-3655.000000;150.000000;5618.901855
21;-3870.000000;159.000000;5873.912109
22;-4094.000000;168.000000;6127.188965
23;-4338.000000;178.000000;6378.656738
24;-4570.000000;187.000000;6628.241211
25;-4827.000000;198.000000;6875.869141
26;-5079.000000;208.000000;7121.466797
27;-5324.000000;218.000000;7364.962402
28;-5577.000000;229.000000;7606.283691
29;-5811.000000;239.000000;7845.359375
30;-6047.000000;248.000000;8082.119141
31;-6283.000000;258.000000;8316.493164
32;-6518.000000;268.000000;8548.411133
33;-6775.000000;278.000000;8777.805664
34;-7042.000000;289.000000;9004.609375
35;-7303.000000;300.000000;9228.754883
36;-7582.000000;312.000000;9450.175781
37;-7856.000000;323.000000;9668.806641
38;-8130.000000;334.000000;9884.583984
39;-8403.000000;345.000000;10097.442383
40;-8660.000000;355.000000;10307.320312
41;-8911.000000;366.000000;10514.155273
42;-9153.000000;376.000000;10717.885742
43;-9382.000000;385.000000;10918.453125
44;-9619.000000;394.000000;11115.795898
45;-9838.000000;403.000000;11309.858398
46;-10046.000000;412.000000;11500.581055
47;-10249.000000;420.000000;11687.908203
48;-10431.000000;427.000000;11871.786133
49;-10616.000000;435.000000;12052.158203
50;-10786.000000;443.000000;12228.972656
51;-10947.000000;449.000000;12402.176758
52;-11110.000000;456.000000;12571.719727
53;-11266.000000;463.000000;12737.551758
54;-11431.000000;470.000000;12899.622070
55;-11596.000000;477.000000;13057.884766
56;-11764.000000;484.000000;13212.292969
57;-11949.000000;491.000000;13362.800781
58;-12139.000000;499.000000;13509.363281
59;-12337.000000;507.000000;13651.937500
60;-12541.000000;516.000000;13790.481445
61;-12744.000000;524.000000;13924.954102
62;-12956.000000;532.000000;14055.315430
63;-13177.000000;541.000000;14181.528320
64;-13400.000000;550.000000;14303.553711
65;-13621.000000;559.000000;14421.356445
66;-13828.000000;567.000000;14534.902344
67;-14009.000000;575.000000;14644.157227
68;-14172.000000;581.000000;14749.087891
69;-14312.000000;587.000000;14849.665039
70;-14430.000000;591.000000;14945.858398
71;-14527.000000;596.000000;15037.639648
72;-14601.000000;599.000000;15124.980469
73;-14667.000000;602.000000;15207.856445
74;-14725.000000;604.000000;15286.243164
75;-14772.000000;606.000000;15360.117188
76;-14823.000000;608.000000;15429.456055
77;-14873.000000;611.000000;15494.240234
78;-14929.000000;613.000000;15554.450195
79;-14990.000000;615.000000;15610.067383
80;-15058.000000;618.000000;15661.077148
81;-15128.000000;621.000000;15707.463867
82;-15200.000000;624.000000;15749.212891
83;-15277.000000;627.000000;15786.312500
84;-15355.000000;630.000000;15818.750977
85;-15438.000000;633.000000;15846.520508
86;-15512.000000;637.000000;15869.612305
87;-15591.000000;640.000000;15888.017578
88;-15663.000000;643.000000;15901.733398
89;-15721.000000;645.000000;15910.754883
90;-15772.000000;647.000000;15915.079102
91;-15818.000000;649.000000;15914.705078
92;-15860.000000;651.000000;15909.632812
93;-15891.000000;652.000000;15899.863281
94;-15914.000000;653.000000;15885.400391
95;-15935.000000;654.000000;15866.247070
96;-15946.000000;654.000000;15842.410156
97;-15955.000000;655.000000;15813.896484
98;-15960.000000;655.000000;15780.713867
99;-15961.000000;655.000000;15742.873047
100;-15963.000000;655.000000;15700.384766
101;-15964.000000;655.000000;15653.260742
102;-15961.000000;655.000000;15601.516602
103;-15962.000000;655.000000;15545.166016
104;-15958.000000;655.000000;15484.226562
105;-15954.000000;655.000000;15418.714844
106;-15949.000000;655.000000;15348.652344
107;-15937.000000;654.000000;15274.058594
108;-15919.000000;653.000000;15194.955078
109;-15885.000000;652.000000;15111.366211
110;-15848.000000;650.000000;15023.316406
111;-15790.000000;648.000000;14930.831055
112;-15721.000000;645.000000;14833.938477
113;-15642.000000;642.000000;14732.666016
114;-15542.000000;637.000000;14627.043945
115;-15445.000000;634.000000;14517.104492
116;-15342.000000;629.000000;14402.878906
117;-15238.000000;625.000000;14284.402344
118;-15136.000000;621.000000;14161.707031
119;-15030.000000;616.000000;14034.832031
120;-14925.000000;612.000000;13903.813477
121;-14815.000000;607.000000;13768.690430
122;-14694.000000;602.000000;13629.502930
123;-14572.000000;598.000000;13486.291016
124;-14443.000000;592.000000;13339.098633
125;-14303.000000;587.000000;13187.967773
126;-14161.000000;581.000000;13032.943359
127;-14007.000000;575.000000;12874.072266
128;-13854.000000;569.000000;12711.399414
129;-13687.000000;562.000000;12544.974609
130;-13514.000000;555.000000;12374.846680
131;-13342.000000;548.000000;12201.064453
132;-13165.000000;541.000000;12023.680664
133;-12996.000000;534.000000;11842.748047
134;-12830.000000;527.000000;11658.318359
135;-12656.000000;520.000000;11470.447266
136;-12475.000000;513.000000;11279.190430
137;-12288.000000;505.000000;11084.602539
138;-12096.000000;498.000000;10886.743164
139;-11902.000000;490.000000;10685.669922
140;-11705.000000;482.000000;10481.441406
141;-11516.000000;474.000000;10274.119141
142;-11342.000000;467.000000;10063.763672
143;-11187.000000;460.000000;9850.437500
144;-11055.000000;454.000000;9634.203125
145;-10929.000000;449.000000;9415.122070
146;-10801.000000;443.000000;9193.262695
147;-10674.000000;438.000000;8968.688477
148;-10537.000000;432.000000;8741.465820
149;-10379.000000;425.000000;8511.664062
150;-10204.000000;418.000000;8279.348633
151;-10011.000000;410.000000;8044.588379
152;-9812.000000;402.000000;7807.454102
153;-9606.000000;394.000000;7568.014648
154;-9395.000000;385.000000;7326.340820
155;-9179.000000;376.000000;7082.503906
156;-8955.000000;367.000000;6836.576660
157;-8715.000000;357.000000;6588.630371
158;-8459.000000;347.000000;6338.739746
159;-8186.000000;336.000000;6086.977051
160;-7903.000000;325.000000;5833.417969
161;-7615.000000;313.000000;5578.136230
162;-7313.000000;300.000000;5321.208008
163;-6997.000000;288.000000;5062.708984
164;-6676.000000;275.000000;4802.715332
165;-6360.000000;262.000000;4541.303223
166;-6062.000000;250.000000;4278.550781
167;-5784.000000;238.000000;4014.535400
168;-5530.000000;228.000000;3749.334717
169;-5294.000000;218.000000;3483.027344
170;-5079.000000;209.000000;3215.691406
171;-4879.000000;200.000000;2947.406250
172;-4697.000000;193.000000;2678.250977
173;-4513.000000;185.000000;2408.304932
174;-4319.000000;177.000000;2137.647949
175;-4108.000000;168.000000;1866.359863
176;-3878.000000;159.000000;1594.520752
177;-3632.000000;149.000000;1322.211060
178;-3356.000000;138.000000;1049.510864
179;-3059.000000;126.000000;776.500916
180;-2749.000000;114.000000;503.261688
181;-2433.000000;101.000000;229.873917
182;-2111.000000;88.000000;-43.581738
183;-1786.000000;74.000000;-317.024536
184;-1456.000000;61.000000;-590.373718
185;-1123.000000;47.000000;-863.548645
186;-805.000000;34.000000;-1136.468628
187;-503.000000;21.000000;-1409.052979
188;-221.000000;9.000000;-1681.221558
189;54.000000;-2.000000;-1952.893677
190;307.000000;-12.000000;-2223.989258
191;532.000000;-22.000000;-2494.428223
192;744.000000;-31.000000;-2764.130859
193;952.000000;-39.000000;-3033.017578
194;1167.000000;-49.000000;-3301.008545
195;1394.000000;-58.000000;-3568.025391
196;1627.000000;-67.000000;-3833.988525
197;1877.000000;-77.000000;-4098.819824
198;2141.000000;-88.000000;-4362.441406
199;2422.000000;-99.000000;-4624.774902
200;2714.000000;-111.000000;-4885.743164
201;3006.000000;-123.000000;-5145.268555
202;3306.000000;-135.000000;-5403.275391
203;3606.000000;-148.000000;-5659.687012
204;3902.000000;-160.000000;-5914.427734
205;4201.000000;-173.000000;-6167.422363
206;4493.000000;-185.000000;-6418.596191
207;4780.000000;-196.000000;-6667.875488
208;5070.000000;-208.000000;-6915.185547
209;5350.000000;-220.000000;-7160.454590
210;5622.000000;-230.000000;-7403.609863
211;5875.000000;-241.000000;-7644.579102
212;6111.000000;-250.000000;-7883.291504
213;6338.000000;-260.000000;-8119.676758
214;6557.000000;-269.000000;-8353.665039
215;6774.000000;-277.000000;-8585.186523
216;6994.000000;-286.000000;-8814.173828
217;7210.000000;-295.000000;-9040.559570
218;7431.000000;-304.000000;-9264.275391
219;7658.000000;-313.000000;-9485.256836
220;7894.000000;-323.000000;-9703.437500
