takt;q1;q2;q2p
0;281.000000;-11.000000;1092.987427
1;484.000000;-13.000000;2180.814209
2;453.000000;-9.000000;3258.343750
3;223.000000;16.000000;4320.487793
4;-337.000000;42.000000;5362.231934
5;-1145.000000;78.000000;6378.656738
6;-2199.000000;117.000000;7364.962891
7;-3522.000000;165.000000;8316.494141
8;-5006.000000;213.000000;9228.755859
9;-6631.000000;272.000000;10097.443359
10;-8224.000000;334.000000;10918.453125
11;-9714.000000;393.000000;11687.908203
12;-11071.000000;449.000000;12402.175781
13;-12286.000000;499.000000;13057.882812
14;-13378.000000;541.000000;13651.934570
15;-14369.000000;583.000000;14181.525391
16;-15199.000000;618.000000;14644.154297
17;-15885.000000;646.000000;15037.636719
18;-16457.000000;670.000000;15360.115234
19;-16923.000000;690.000000;15610.066406
20;-17316.000000;707.000000;15786.311523
21;-17618.000000;719.000000;15888.017578
22;-17840.000000;728.000000;15914.705078
23;-18002.000000;735.000000;15866.247070
24;-18101.000000;738.000000;15742.872070
25;-18156.000000;740.000000;15545.164062
26;-18154.000000;741.000000;15274.054688
27;-18071.000000;738.000000;14930.826172
28;-17920.000000;731.000000;14517.097656
29;-17683.000000;721.000000;14034.823242
30;-17363.000000;708.000000;13486.280273
31;-16952.000000;690.000000;12874.057617
32;-16431.000000;669.000000;12201.047852
33;-15822.000000;644.000000;11470.427734
34;-15114.000000;616.000000;10685.647461
35;-14317.000000;583.000000;9850.411133
36;-13445.000000;548.000000;8968.665039
37;-12500.000000;509.000000;8044.567871
38;-11484.000000;467.000000;7082.486816
39;-10379.000000;423.000000;6086.963867
40;-9205.000000;376.000000;5062.699707
41;-7991.000000;326.000000;4014.531006
42;-6764.000000;275.000000;2947.406250
43;-5483.000000;223.000000;1866.364624
44;-4160.000000;171.000000;776.510376
45;-2818.000000;117.000000;-317.010284
46;-1488.000000;61.000000;-1409.034180
47;-165.000000;7.000000;-2494.404785
48;1181.000000;-47.000000;-3567.997559
49;2515.000000;-102.000000;-4624.743164
50;3801.000000;-154.000000;-5659.651367
51;5044.000000;-205.000000;-6667.836426
52;6291.000000;-256.000000;-7644.537598
53;7507.000000;-306.000000;-8585.142578
54;8671.000000;-354.000000;-9485.210938
55;9772.000000;-399.000000;-10340.492188
56;10837.000000;-443.000000;-11146.948242
57;11887.000000;-486.000000;-11900.771484
58;12884.000000;-527.000000;-12598.401367
59;13808.000000;-564.000000;-13236.544922
60;14664.000000;-599.000000;-13812.188477
61;15460.000000;-632.000000;-14322.613281
62;16217.000000;-662.000000;-14765.411133
63;16912.000000;-690.000000;-15138.490234
64;17526.000000;-715.000000;-15440.088867
65;18048.000000;-737.000000;-15668.782227
66;18467.000000;-753.000000;-15823.492188
67;18787.000000;-767.000000;-15903.487305
68;19020.000000;-776.000000;-15908.389648
69;19155.000000;-782.000000;-15838.175781
70;19205.000000;-785.000000;-15693.178711
71;19152.000000;-783.000000;-15474.081055
72;19021.000000;-778.000000;-15181.918945
73;18824.000000;-769.000000;-14818.073242
74;18549.000000;-758.000000;-14384.260742
75;18196.000000;-743.000000;-13882.530273
76;17747.000000;-724.000000;-13315.249023
77;17214.000000;-703.000000;-12685.097656
78;16603.000000;-678.000000;-11995.050781
79;15898.000000;-649.000000;-11248.366211
80;15100.000000;-617.000000;-10448.570312
81;14206.000000;-581.000000;-9599.439453
82;13227.000000;-541.000000;-8704.982422
83;12207.000000;-500.000000;-7769.422363
84;11132.000000;-456.000000;-6797.177734
85;10012.000000;-409.000000;-5792.838379
86;8834.000000;-361.000000;-4761.146973
87;7620.000000;-311.000000;-3706.974854
88;6388.000000;-261.000000;-2635.299316
89;5138.000000;-209.000000;-1551.180664
90;3865.000000;-157.000000;-459.737793
91;2555.000000;-104.000000;633.875854
92;1232.000000;-50.000000;1724.496460
93;-87.000000;4.000000;2806.974609
94;-1403.000000;58.000000;3876.198975
95;-2723.000000;111.000000;4927.121094
96;-4044.000000;165.000000;5954.778320
97;-5336.000000;217.000000;6954.318848
98;-6596.000000;269.000000;7921.023438
99;-7831.000000;320.000000;8850.326172
100;-9027.000000;367.000000;9737.840820
101;-10182.000000;415.000000;10579.375977
102;-11266.000000;459.000000;11370.958984
103;-12293.000000;501.000000;12108.850586
104;-13271.000000;540.000000;12789.567383
105;-14205.000000;578.000000;13409.895508
106;-15070.000000;614.000000;13966.906250
107;-15858.000000;646.000000;14457.968750
108;-16554.000000;674.000000;14880.764648
109;-17180.000000;700.000000;15233.297852
110;-17731.000000;723.000000;15513.904297
111;-18207.000000;742.000000;15721.257812
112;-18609.000000;759.000000;15854.378906
113;-18916.000000;772.000000;15912.641602
114;-19131.000000;781.000000;15895.768555
115;-19249.000000;785.000000;15803.839844
116;-19272.000000;787.000000;15637.290039
117;-19211.000000;785.000000;15396.904297
118;-19064.000000;779.000000;15083.820312
119;-18831.000000;769.000000;14699.513672
120;-18518.000000;756.000000;14245.799805
121;-18122.000000;739.000000;13724.821289
122;-17655.000000;720.000000;13139.038086
123;-17096.000000;696.000000;12491.216797
124;-16436.000000;668.000000;11784.414062
125;-15684.000000;638.000000;11021.969727
126;-14839.000000;604.000000;10207.482422
127;-13931.000000;568.000000;9344.797852
128;-12969.000000;529.000000;8437.990234
129;-11941.000000;486.000000;7491.339844
130;-10835.000000;441.000000;6509.317871
131;-9663.000000;395.000000;5496.561035
132;-8457.000000;346.000000;4457.850586
133;-7228.000000;295.000000;3398.091553
134;-5987.000000;244.000000;2322.287598
135;-4687.000000;192.000000;1235.518555
136;-3361.000000;139.000000;142.915619
137;-2032.000000;84.000000;-950.362122
138;-724.000000;30.000000;-2039.152466
139;597.000000;-24.000000;-3118.314453
140;1932.000000;-78.000000;-4182.752930
141;3248.000000;-133.000000;-5227.440918
142;4519.000000;-185.000000;-6247.446777
143;5781.000000;-236.000000;-7237.954102
144;7024.000000;-287.000000;-8194.286133
145;8232.000000;-336.000000;-9111.933594
146;9383.000000;-383.000000;-9986.557617
147;10482.000000;-428.000000;-10814.026367
148;11546.000000;-472.000000;-11590.433594
149;12573.000000;-514.000000;-12312.112305
150;13515.000000;-552.000000;-12975.656250
151;14393.000000;-587.000000;-13577.931641
152;15203.000000;-620.000000;-14116.094727
153;15968.000000;-651.000000;-14587.604492
154;16680.000000;-680.000000;-14990.234375
155;17319.000000;-707.000000;-15322.083008
156;17865.000000;-729.000000;-15581.583008
157;18316.000000;-748.000000;-15767.510742
158;18667.000000;-762.000000;-15878.987305
159;18929.000000;-773.000000;-15915.486328
160;19102.000000;-780.000000;-15876.835938
161;19180.000000;-784.000000;-15763.217773
162;19174.000000;-784.000000;-15575.168945
163;19080.000000;-780.000000;-15313.576172
164;18921.000000;-774.000000;-14979.676758
165;18693.000000;-764.000000;-14575.045898
166;18379.000000;-751.000000;-14101.594727
167;17976.000000;-734.000000;-13561.558594
168;17478.000000;-714.000000;-12957.487305
169;16896.000000;-690.000000;-12292.233398
170;16230.000000;-663.000000;-11568.937500
171;15464.000000;-631.000000;-10791.015625
172;14608.000000;-596.000000;-9962.140625
173;13662.000000;-558.000000;-9086.225586
174;12653.000000;-517.000000;-8167.408203
175;11600.000000;-475.000000;-7210.025879
176;10499.000000;-429.000000;-6218.598633
177;9340.000000;-382.000000;-5197.808594
178;8136.000000;-332.000000;-4152.475586
179;6900.000000;-282.000000;-3087.535400
180;5650.000000;-231.000000;-2008.016602
181;4392.000000;-179.000000;-919.016113
182;3096.000000;-126.000000;174.323685
183;1775.000000;-72.000000;1266.840332
184;450.000000;-19.000000;2353.375244
185;-866.000000;36.000000;3428.798096
186;-2176.000000;89.000000;4488.030762
187;-3502.000000;143.000000;5526.071777
188;-4802.000000;196.000000;6538.019531
189;-6066.000000;247.000000;7519.096191
190;-7307.000000;298.000000;8464.669922
191;-8520.000000;347.000000;9370.273438
192;-9705.000000;395.000000;10231.633789
193;-10823.000000;441.000000;11044.681641
194;-11872.000000;483.000000;11805.579102
195;-12883.000000;525.000000;12510.732422
196;-13844.000000;563.000000;13156.813477
197;-14740.000000;600.000000;13740.769531
198;-15561.000000;633.000000;14259.844727
199;-16290.000000;664.000000;14711.587891
200;-16945.000000;690.000000;15093.865234
201;-17524.000000;715.000000;15404.873047
202;-18019.000000;734.000000;15643.141602
203;-18448.000000;752.000000;15807.545898
204;-18785.000000;766.000000;15897.310547
205;-19031.000000;777.000000;15912.010742
206;-19187.000000;783.000000;15851.578125
207;-19247.000000;785.000000;15716.296875
208;-19225.000000;786.000000;15506.806641
209;-19120.000000;781.000000;15224.096680
210;-18925.000000;773.000000;14869.500977
211;-18655.000000;762.000000;14444.694336
212;-18296.000000;747.000000;13951.682617
213;-17863.000000;728.000000;13392.793945
214;-17352.000000;707.000000;12770.666992
215;-16732.000000;681.000000;12088.239258
216;-16019.000000;651.000000;11348.733398
217;-15211.000000;619.000000;10555.641602
218;-14332.000000;584.000000;9712.707031
219;-13392.000000;546.000000;8823.912109
220;-12393.000000;505.000000;7893.451660
221;-11319.000000;461.000000;6925.719727
222;-10167.000000;415.000000;5925.286133
223;-8963.000000;367.000000;4896.874512
224;-7740.000000;317.000000;3845.340820
225;-6510.000000;265.000000;2775.650146
226;-5232.000000;213.000000;1692.853394
227;-3909.000000;161.000000;602.063354
228;-2584.000000;107.000000;-491.569580
229;-1276.000000;52.000000;-1582.881348
230;31.000000;-2.000000;-2666.719238
231;1362.000000;-55.000000;-3737.965088
232;2691.000000;-109.000000;-4791.561523
233;3971.000000;-162.000000;-5822.532715
234;5230.000000;-214.000000;-6826.010742
235;6489.000000;-265.000000;-7797.258301
236;7712.000000;-314.000000;-8731.688477
237;8890.000000;-363.000000;-9624.889648
238;10008.000000;-408.000000;-10472.643555
239;11095.000000;-453.000000;-11270.947266
240;12148.000000;-496.000000;-12016.032227
241;13132.000000;-536.000000;-12704.379883
242;14046.000000;-573.000000;-13332.740234
243;14894.000000;-608.000000;-13898.145508
244;15679.000000;-640.000000;-14397.925781
245;16419.000000;-670.000000;-14829.722656
246;17085.000000;-697.000000;-15191.497070
247;17662.000000;-721.000000;-15481.539062
248;18145.000000;-741.000000;-15698.480469
249;18524.000000;-756.000000;-15841.296875
250;18819.000000;-769.000000;-15909.314453
251;19026.000000;-778.000000;-15902.209961
252;19140.000000;-782.000000;-15820.019531
253;19176.000000;-784.000000;-15663.129883
254;19114.000000;-782.000000;-15432.281250
255;18987.000000;-776.000000;-15128.564453
256;18789.000000;-768.000000;-14753.414062
257;18509.000000;-756.000000;-14308.600586
258;18148.000000;-741.000000;-13796.224609
259;17692.000000;-722.000000;-13218.706055
260;17148.000000;-700.000000;-12578.770508
261;16529.000000;-675.000000;-11879.441406
262;15811.000000;-645.000000;-11124.019531
263;14997.000000;-612.000000;-10316.071289
264;14091.000000;-576.000000;-9459.414062
265;13104.000000;-536.000000;-8558.089844
266;12070.000000;-494.000000;-7616.356934
267;10978.000000;-449.000000;-6638.661133
268;9840.000000;-402.000000;-5629.618652
269;8654.000000;-353.000000;-4593.994141
270;7421.000000;-303.000000;-3536.677490
271;6182.000000;-253.000000;-2462.661621
272;4927.000000;-201.000000;-1377.017456
273;3641.000000;-148.000000;-284.871216
274;2331.000000;-95.000000;808.620056
275;1006.000000;-41.000000;1898.293213
276;-317.000000;13.000000;2979.002930
277;-1626.000000;67.000000;4045.646484
