takt;q1;q2;q2p
0;289.000000;-11.000000;1365.629150
1;493.000000;-13.000000;2721.185303
2;472.000000;-2.000000;4056.669922
3;147.000000;23.000000;5362.231934
4;-588.000000;52.000000;6628.241211
5;-1588.000000;92.000000;7845.360352
6;-2900.000000;141.000000;9004.611328
7;-4424.000000;204.000000;10097.443359
8;-6145.000000;262.000000;11115.794922
9;-8009.000000;330.000000;12052.156250
10;-9821.000000;401.000000;12899.620117
11;-11520.000000;469.000000;13651.934570
12;-13054.000000;532.000000;14303.550781
13;-14412.000000;588.000000;14849.662109
14;-15620.000000;636.000000;15286.241211
15;-16628.000000;678.000000;15610.067383
16;-17441.000000;712.000000;15818.751953
17;-18078.000000;739.000000;15910.754883
18;-18553.000000;758.000000;15885.399414
19;-18903.000000;772.000000;15742.871094
20;-19098.000000;780.000000;15484.222656
21;-19122.000000;782.000000;15111.361328
22;-19007.000000;778.000000;14627.036133
23;-18742.000000;766.000000;14034.821289
24;-18343.000000;750.000000;13339.083984
25;-17817.000000;728.000000;12544.957031
26;-17137.000000;700.000000;11658.296875
27;-16308.000000;666.000000;10685.643555
28;-15348.000000;627.000000;9634.172852
29;-14281.000000;583.000000;8511.638672
30;-13126.000000;536.000000;7326.322754
31;-11864.000000;485.000000;6086.966797
32;-10494.000000;429.000000;4802.712891
33;-9064.000000;371.000000;3483.033691
34;-7580.000000;310.000000;2137.663086
35;-6041.000000;247.000000;776.525208
36;-4443.000000;181.000000;-590.340515
37;-2786.000000;114.000000;-1952.854858
38;-1124.000000;47.000000;-3300.964600
39;564.000000;-22.000000;-4624.726074
40;2257.000000;-91.000000;-5914.375000
41;3917.000000;-158.000000;-7160.398438
42;5572.000000;-227.000000;-8353.606445
43;7191.000000;-293.000000;-9485.197266
44;8731.000000;-355.000000;-10546.823242
45;10218.000000;-417.000000;-11530.655273
46;11636.000000;-475.000000;-12429.435547
47;12987.000000;-529.000000;-13236.535156
48;14241.000000;-581.000000;-13946.000000
49;15361.000000;-627.000000;-14552.596680
50;16382.000000;-669.000000;-15051.852539
51;17309.000000;-706.000000;-15440.083984
52;18103.000000;-738.000000;-15714.427734
53;18762.000000;-764.000000;-15872.859375
54;19256.000000;-784.000000;-15914.210938
55;19598.000000;-799.000000;-15838.177734
56;19820.000000;-808.000000;-15645.319336
57;19896.000000;-811.000000;-15337.059570
58;19840.000000;-809.000000;-14915.671875
59;19648.000000;-801.000000;-14384.264648
60;19318.000000;-788.000000;-13746.756836
61;18883.000000;-769.000000;-13007.851562
62;18315.000000;-746.000000;-12172.998047
63;17611.000000;-717.000000;-11248.355469
64;16769.000000;-683.000000;-10240.744141
65;15781.000000;-643.000000;-9157.594727
66;14653.000000;-597.000000;-8006.898438
67;13388.000000;-546.000000;-6797.142090
68;12010.000000;-490.000000;-5537.249512
69;10554.000000;-431.000000;-4236.513184
70;9020.000000;-368.000000;-2904.527588
71;7400.000000;-303.000000;-1551.118164
72;5743.000000;-236.000000;-186.267395
73;4053.000000;-166.000000;1179.951416
74;2334.000000;-95.000000;2537.466797
75;615.000000;-25.000000;3876.265625
76;-1090.000000;45.000000;5186.472656
77;-2785.000000;114.000000;6458.424316
78;-4446.000000;182.000000;7682.738281
79;-6084.000000;249.000000;8850.383789
80;-7647.000000;313.000000;9952.748047
81;-9175.000000;376.000000;10981.701172
82;-10657.000000;436.000000;11929.651367
83;-12032.000000;492.000000;12789.608398
84;-13339.000000;546.000000;13555.228516
85;-14566.000000;597.000000;14220.864258
86;-15693.000000;642.000000;14781.606445
87;-16694.000000;682.000000;15233.318359
88;-17548.000000;718.000000;15572.667969
89;-18278.000000;748.000000;15797.153320
90;-18914.000000;774.000000;15905.117188
91;-19422.000000;794.000000;15895.764648
92;-19811.000000;810.000000;15769.164062
93;-20042.000000;819.000000;15526.249023
94;-20115.000000;823.000000;15168.810547
95;-20050.000000;820.000000;14699.487305
96;-19856.000000;812.000000;14121.739258
97;-19531.000000;798.000000;13439.828125
98;-19082.000000;780.000000;12658.784180
99;-18495.000000;756.000000;11784.368164
100;-17763.000000;726.000000;10823.030273
101;-16905.000000;691.000000;9781.860352
102;-15887.000000;649.000000;8668.540039
103;-14747.000000;602.000000;7491.279297
104;-13494.000000;550.000000;6258.762695
105;-12087.000000;493.000000;4980.080566
106;-10549.000000;430.000000;3664.665527
107;-8896.000000;362.000000;2322.219482
108;-7176.000000;293.000000;962.644836
