takt;q1;q2;q2p
0;239.000000;-10.000000;1637.867798
1;388.000000;-10.000000;3258.343506
2;286.000000;1.000000;4844.220215
3;-163.000000;23.000000;6378.656738
4;-1033.000000;59.000000;7845.360352
5;-2230.000000;109.000000;9228.756836
6;-3730.000000;165.000000;10514.155273
7;-5494.000000;234.000000;11687.907227
8;-7456.000000;306.000000;12737.547852
9;-9486.000000;387.000000;13651.933594
10;-11443.000000;466.000000;14421.352539
11;-13218.000000;537.000000;15037.635742
12;-14786.000000;601.000000;15494.238281
13;-16222.000000;661.000000;15786.311523
14;-17503.000000;713.000000;15910.754883
15;-18628.000000;759.000000;15866.246094
16;-19554.000000;798.000000;15653.258789
17;-20278.000000;828.000000;15274.052734
18;-20837.000000;851.000000;14732.657227
19;-21209.000000;866.000000;14034.819336
20;-21397.000000;873.000000;13187.950195
21;-21393.000000;874.000000;12201.042969
22;-21194.000000;866.000000;11084.575195
23;-20808.000000;850.000000;9850.405273
24;-20247.000000;827.000000;8511.635742
25;-19494.000000;796.000000;7082.483887
26;-18558.000000;758.000000;5578.125488
27;-17436.000000;711.000000;4014.534424
28;-16148.000000;658.000000;2408.314209
29;-14681.000000;598.000000;776.521057
30;-13039.000000;530.000000;-863.517822
31;-11216.000000;456.000000;-2494.387207
32;-9242.000000;375.000000;-4098.769531
33;-7098.000000;287.000000;-5659.628418
34;-4789.000000;192.000000;-7160.389160
35;-2319.000000;91.000000;-8585.116211
36;355.000000;-20.000000;-9918.679688
37;3148.000000;-134.000000;-11146.922852
38;6149.000000;-255.000000;-12256.799805
39;9223.000000;-380.000000;-13236.524414
40;12355.000000;-504.000000;-14075.694336
41;15432.000000;-625.000000;-14765.398438
42;18323.000000;-745.000000;-15298.311523
43;20980.000000;-840.000000;-15668.776367
44;23191.000000;-927.000000;-15872.858398
45;24960.000000;-998.000000;-15908.390625
46;26267.000000;-1051.000000;-15774.995117
47;27065.000000;-1083.000000;-15474.089844
48;27423.000000;-1100.000000;-15008.868164
49;27341.000000;-1100.000000;-14384.272461
50;26870.000000;-1083.000000;-13606.932617
51;26102.000000;-1053.000000;-12685.105469
52;25023.000000;-1012.000000;-11628.577148
53;23721.000000;-960.000000;-10448.568359
54;22173.000000;-900.000000;-9157.609375
55;20418.000000;-832.000000;-7769.407715
56;18478.000000;-753.000000;-6298.705078
57;16426.000000;-671.000000;-4761.117676
58;14357.000000;-588.000000;-3172.973145
59;12289.000000;-504.000000;-1551.135864
60;10216.000000;-418.000000;87.172638
61;8106.000000;-332.000000;1724.555420
62;5963.000000;-242.000000;3343.625732
63;3810.000000;-155.000000;4927.190918
64;1653.000000;-67.000000;6458.435059
65;-525.000000;21.000000;7921.099121
66;-2667.000000;109.000000;9299.651367
67;-4793.000000;197.000000;10579.452148
68;-6908.000000;284.000000;11746.913086
69;-8914.000000;366.000000;12789.636719
70;-10896.000000;445.000000;13696.549805
71;-12747.000000;518.000000;14458.023438
72;-14454.000000;587.000000;15065.970703
73;-16057.000000;654.000000;15513.934570
74;-17470.000000;712.000000;15797.161133
75;-18715.000000;762.000000;15912.643555
76;-19761.000000;806.000000;15859.155273
77;-20619.000000;841.000000;15637.263672
78;-21321.000000;871.000000;15249.326172
79;-21845.000000;892.000000;14699.460938
80;-22185.000000;906.000000;13993.506836
81;-22360.000000;913.000000;13138.960938
82;-22338.000000;913.000000;12144.896484
83;-22137.000000;904.000000;11021.870117
84;-21771.000000;889.000000;9781.806641
85;-21234.000000;867.000000;8437.873047
86;-20528.000000;838.000000;7004.340820
87;-19632.000000;802.000000;5496.431641
88;-18536.000000;756.000000;3930.158203
89;-17265.000000;704.000000;2322.151611
90;-15830.000000;645.000000;689.486755
91;-14217.000000;579.000000;-950.499390
92;-12432.000000;505.000000;-2580.392578
93;-10468.000000;425.000000;-4182.885254
94;-8351.000000;338.000000;-5740.961914
95;-6066.000000;244.000000;-7238.076660
96;-3610.000000;144.000000;-8658.333008
97;-988.000000;36.000000;-9986.649414
98;1782.000000;-77.000000;-11208.920898
99;4730.000000;-198.000000;-12312.169922
100;7826.000000;-325.000000;-13284.678711
101;11029.000000;-451.000000;-14116.123047
102;14226.000000;-579.000000;-14797.672852
103;17310.000000;-703.000000;-15322.091797
104;20166.000000;-815.000000;-15683.810547
105;22718.000000;-908.000000;-15878.988281
106;24758.000000;-987.000000;-15905.551758
107;26305.000000;-1052.000000;-15763.220703
108;27332.000000;-1095.000000;-15453.505859
109;27830.000000;-1114.000000;-14979.694336
110;27880.000000;-1118.000000;-14346.819336
111;27498.000000;-1107.000000;-13561.600586
112;26745.000000;-1078.000000;-12632.375977
113;25686.000000;-1037.000000;-11569.011719
114;24342.000000;-983.000000;-10382.800781
115;22769.000000;-922.000000;-9086.338867
116;20966.000000;-853.000000;-7693.392090
117;18969.000000;-771.000000;-6218.751465
118;16844.000000;-687.000000;-4678.076172
119;14704.000000;-602.000000;-3087.726318
120;12579.000000;-516.000000;-1464.588745
121;10455.000000;-426.000000;174.100769
122;8326.000000;-339.000000;1810.941528
123;6152.000000;-249.000000;3428.552490
