takt;q1;q2;q2p
0;276.000000;-11.000000;820.023071
1;476.000000;-14.000000;1637.867798
2;454.000000;-11.000000;2451.361816
3;219.000000;12.000000;3258.343506
4;-355.000000;33.000000;4056.669678
5;-1155.000000;65.000000;4844.219727
6;-2200.000000;104.000000;5618.901367
7;-3494.000000;148.000000;6378.656250
8;-4864.000000;201.000000;7121.467285
9;-6285.000000;258.000000;7845.360352
10;-7633.000000;312.000000;8548.413086
11;-8871.000000;361.000000;9228.756836
12;-10035.000000;410.000000;9884.585938
13;-11063.000000;451.000000;10514.156250
14;-11979.000000;489.000000;11115.796875
15;-12825.000000;524.000000;11687.908203
16;-13572.000000;555.000000;12228.972656
17;-14274.000000;584.000000;12737.549805
18;-14927.000000;611.000000;13212.291016
19;-15482.000000;633.000000;13651.934570
20;-15999.000000;655.000000;14055.312500
21;-16446.000000;674.000000;14421.352539
22;-16850.000000;690.000000;14749.083984
23;-17244.000000;707.000000;15037.635742
24;-17593.000000;721.000000;15286.240234
25;-17932.000000;734.000000;15494.237305
26;-18228.000000;747.000000;15661.076172
27;-18469.000000;757.000000;15786.311523
28;-18678.000000;765.000000;15869.611328
29;-18829.000000;771.000000;15910.754883
30;-18931.000000;775.000000;15909.632812
31;-18982.000000;777.000000;15866.247070
32;-18963.000000;777.000000;15780.713867
33;-18888.000000;774.000000;15653.260742
34;-18753.000000;769.000000;15484.224609
35;-18549.000000;760.000000;15274.056641
36;-18296.000000;750.000000;15023.313477
37;-17972.000000;737.000000;14732.661133
38;-17579.000000;721.000000;14402.872070
39;-17120.000000;702.000000;14034.823242
40;-16578.000000;680.000000;13629.490234
41;-15994.000000;656.000000;13187.952148
42;-15375.000000;630.000000;12711.380859
43;-14718.000000;603.000000;12201.042969
44;-14032.000000;575.000000;11658.292969
45;-13305.000000;545.000000;11084.573242
46;-12543.000000;514.000000;10481.408203
47;-11750.000000;482.000000;9850.399414
48;-10916.000000;447.000000;9193.223633
49;-10058.000000;412.000000;8511.626953
50;-9191.000000;377.000000;7807.418945
51;-8311.000000;340.000000;7082.471191
52;-7429.000000;304.000000;6338.708984
53;-6530.000000;268.000000;5578.108887
54;-5601.000000;229.000000;4802.690430
55;-4658.000000;190.000000;4014.513672
56;-3689.000000;151.000000;3215.672852
57;-2724.000000;111.000000;2408.289551
58;-1754.000000;72.000000;1594.509033
59;-756.000000;31.000000;776.492615
60;242.000000;-11.000000;-43.586483
61;1256.000000;-52.000000;-863.549805
62;2268.000000;-92.000000;-1681.219116
63;3259.000000;-133.000000;-2494.422363
64;4245.000000;-173.000000;-3300.999268
65;5225.000000;-214.000000;-4098.807617
66;6196.000000;-254.000000;-4885.727051
67;7146.000000;-292.000000;-5659.667969
68;8058.000000;-329.000000;-6418.574707
69;8939.000000;-365.000000;-7160.430176
70;9788.000000;-400.000000;-7883.264648
