takt;q1;q2;q2p
0;258.000000;-11.000000;273.448639
1;435.000000;-14.000000;546.816589
2;457.000000;-15.000000;820.023132
3;357.000000;-14.000000;1092.987427
4;148.000000;-6.000000;1365.629150
5;-77.000000;4.000000;1637.867676
6;-337.000000;13.000000;1909.622681
7;-627.000000;25.000000;2180.813965
8;-870.000000;34.000000;2451.361328
9;-1109.000000;44.000000;2721.185303
10;-1298.000000;52.000000;2990.205811
11;-1449.000000;58.000000;3258.343750
12;-1618.000000;66.000000;3525.519531
13;-1756.000000;71.000000;3791.654541
14;-1907.000000;77.000000;4056.670410
15;-2069.000000;84.000000;4320.488281
16;-2217.000000;90.000000;4583.031250
17;-2397.000000;98.000000;4844.220703
18;-2587.000000;106.000000;5103.979980
19;-2783.000000;113.000000;5362.232422
20;-3014.000000;123.000000;5618.901855
21;-3229.000000;131.000000;5873.912109
22;-3456.000000;141.000000;6127.188965
23;-3697.000000;151.000000;6378.656738
24;-3925.000000;159.000000;6628.241211
25;-4165.000000;170.000000;6875.869141
26;-4399.000000;179.000000;7121.466797
27;-4630.000000;189.000000;7364.962402
28;-4878.000000;199.000000;7606.283691
29;-5124.000000;209.000000;7845.359375
30;-5375.000000;219.000000;8082.119141
31;-5638.000000;230.000000;8316.493164
32;-5885.000000;240.000000;8548.411133
33;-6150.000000;251.000000;8777.805664
34;-6405.000000;261.000000;9004.609375
35;-6647.000000;271.000000;9228.754883
36;-6891.000000;281.000000;9450.175781
37;-7123.000000;290.000000;9668.806641
38;-7354.000000;300.000000;9884.583984
39;-7592.000000;310.000000;10097.442383
40;-7834.000000;320.000000;10307.320312
41;-8089.000000;330.000000;10514.155273
42;-8358.000000;341.000000;10717.885742
43;-8634.000000;352.000000;10918.453125
44;-8916.000000;363.000000;11115.795898
45;-9188.000000;374.000000;11309.858398
46;-9452.000000;385.000000;11500.581055
47;-9702.000000;395.000000;11687.908203
48;-9930.000000;404.000000;11871.786133
49;-10147.000000;414.000000;12052.158203
50;-10349.000000;422.000000;12228.972656
51;-10535.000000;429.000000;12402.176758
52;-10718.000000;437.000000;12571.719727
53;-10891.000000;444.000000;12737.551758
54;-11060.000000;451.000000;12899.622070
55;-11232.000000;459.000000;13057.884766
56;-11390.000000;465.000000;13212.292969
57;-11555.000000;472.000000;13362.800781
58;-11724.000000;479.000000;13509.363281
59;-11886.000000;486.000000;13651.937500
60;-12057.000000;493.000000;13790.481445
61;-12227.000000;499.000000;13924.954102
62;-12398.000000;506.000000;14055.315430
63;-12580.000000;514.000000;14181.528320
64;-12761.000000;521.000000;14303.553711
65;-12950.000000;529.000000;14421.356445
66;-13137.000000;536.000000;14534.902344
67;-13324.000000;544.000000;14644.157227
68;-13515.000000;552.000000;14749.087891
69;-13696.000000;559.000000;14849.665039
70;-13872.000000;566.000000;14945.858398
71;-14042.000000;573.000000;15037.639648
72;-14192.000000;579.000000;15124.980469
73;-14334.000000;585.000000;15207.856445
74;-14455.000000;590.000000;15286.243164
75;-14562.000000;594.000000;15360.117188
76;-14661.000000;599.000000;15429.456055
77;-14746.000000;602.000000;15494.240234
78;-14829.000000;605.000000;15554.450195
79;-14905.000000;609.000000;15610.067383
80;-14976.000000;612.000000;15661.077148
81;-15052.000000;615.000000;15707.463867
82;-15126.000000;618.000000;15749.212891
83;-15191.000000;620.000000;15786.312500
84;-15262.000000;623.000000;15818.750977
85;-15327.000000;626.000000;15846.520508
86;-15390.000000;629.000000;15869.612305
87;-15454.000000;631.000000;15888.017578
88;-15510.000000;633.000000;15901.733398
89;-15568.000000;636.000000;15910.754883
90;-15625.000000;638.000000;15915.079102
91;-15674.000000;640.000000;15914.705078
92;-15727.000000;642.000000;15909.632812
93;-15766.000000;644.000000;15899.863281
94;-15805.000000;645.000000;15885.400391
95;-15837.000000;647.000000;15866.247070
96;-15859.000000;648.000000;15842.410156
97;-15878.000000;648.000000;15813.896484
98;-15893.000000;649.000000;15780.713867
99;-15905.000000;649.000000;15742.873047
100;-15915.000000;650.000000;15700.384766
101;-15917.000000;650.000000;15653.260742
102;-15918.000000;650.000000;15601.516602
103;-15917.000000;650.000000;15545.166016
104;-15914.000000;650.000000;15484.226562
105;-15906.000000;650.000000;15418.714844
106;-15892.000000;650.000000;15348.652344
107;-15874.000000;649.000000;15274.058594
108;-15854.000000;648.000000;15194.955078
109;-15829.000000;647.000000;15111.366211
110;-15797.000000;646.000000;15023.316406
111;-15760.000000;644.000000;14930.831055
112;-15718.000000;642.000000;14833.938477
113;-15669.000000;640.000000;14732.666016
114;-15617.000000;638.000000;14627.043945
115;-15551.000000;635.000000;14517.104492
116;-15475.000000;632.000000;14402.878906
117;-15392.000000;629.000000;14284.402344
118;-15304.000000;625.000000;14161.707031
119;-15207.000000;621.000000;14034.832031
120;-15103.000000;617.000000;13903.813477
121;-14998.000000;613.000000;13768.690430
122;-14888.000000;609.000000;13629.502930
123;-14779.000000;604.000000;13486.291016
124;-14664.000000;599.000000;13339.098633
125;-14547.000000;595.000000;13187.967773
126;-14430.000000;590.000000;13032.943359
127;-14304.000000;585.000000;12874.072266
128;-14174.000000;580.000000;12711.399414
129;-14040.000000;574.000000;12544.974609
130;-13898.000000;569.000000;12374.846680
131;-13756.000000;563.000000;12201.064453
132;-13611.000000;557.000000;12023.680664
133;-13459.000000;550.000000;11842.748047
134;-13307.000000;544.000000;11658.318359
135;-13152.000000;538.000000;11470.447266
136;-12997.000000;532.000000;11279.190430
137;-12839.000000;525.000000;11084.602539
138;-12674.000000;518.000000;10886.743164
139;-12515.000000;512.000000;10685.669922
140;-12358.000000;505.000000;10481.441406
141;-12206.000000;499.000000;10274.119141
142;-12055.000000;493.000000;10063.763672
143;-11903.000000;486.000000;9850.437500
144;-11751.000000;480.000000;9634.203125
145;-11594.000000;474.000000;9415.122070
146;-11435.000000;467.000000;9193.262695
147;-11267.000000;460.000000;8968.688477
148;-11090.000000;453.000000;8741.465820
149;-10904.000000;445.000000;8511.664062
150;-10707.000000;437.000000;8279.348633
151;-10498.000000;428.000000;8044.588379
152;-10281.000000;419.000000;7807.454102
153;-10055.000000;410.000000;7568.014648
154;-9822.000000;401.000000;7326.340820
155;-9579.000000;391.000000;7082.503906
156;-9336.000000;381.000000;6836.576660
157;-9089.000000;371.000000;6588.630371
158;-8844.000000;361.000000;6338.739746
159;-8596.000000;351.000000;6086.977051
160;-8348.000000;341.000000;5833.417969
161;-8096.000000;331.000000;5578.136230
162;-7844.000000;321.000000;5321.208008
163;-7591.000000;310.000000;5062.708984
164;-7340.000000;300.000000;4802.715332
165;-7088.000000;290.000000;4541.303223
166;-6840.000000;279.000000;4278.550781
167;-6589.000000;269.000000;4014.535400
168;-6346.000000;259.000000;3749.334717
169;-6108.000000;250.000000;3483.027344
170;-5871.000000;240.000000;3215.691406
171;-5639.000000;230.000000;2947.406250
172;-5409.000000;221.000000;2678.250977
173;-5178.000000;211.000000;2408.304932
174;-4950.000000;202.000000;2137.647949
175;-4717.000000;192.000000;1866.359863
176;-4472.000000;182.000000;1594.520752
177;-4226.000000;172.000000;1322.211060
178;-3967.000000;162.000000;1049.510864
179;-3703.000000;151.000000;776.500916
180;-3434.000000;140.000000;503.261688
181;-3152.000000;129.000000;229.873917
182;-2867.000000;117.000000;-43.581738
183;-2575.000000;105.000000;-317.024536
184;-2283.000000;93.000000;-590.373718
185;-1992.000000;81.000000;-863.548645
186;-1695.000000;69.000000;-1136.468628
187;-1400.000000;57.000000;-1409.052979
