takt;q1;q2;q2p
0;230.000000;-9.000000;273.448639
1;395.000000;-13.000000;546.816589
2;411.000000;-14.000000;820.023132
3;320.000000;-12.000000;1092.987427
4;124.000000;-5.000000;1365.629150
5;-101.000000;4.000000;1637.867676
6;-349.000000;13.000000;1909.622681
7;-620.000000;24.000000;2180.813965
8;-842.000000;33.000000;2451.361328
9;-1047.000000;41.000000;2721.185303
10;-1214.000000;49.000000;2990.205811
11;-1347.000000;54.000000;3258.343750
12;-1503.000000;61.000000;3525.519531
13;-1647.000000;66.000000;3791.654541
14;-1798.000000;73.000000;4056.670410
15;-1963.000000;80.000000;4320.488281
16;-2106.000000;86.000000;4583.031250
17;-2273.000000;92.000000;4844.220703
18;-2438.000000;100.000000;5103.979980
19;-2603.000000;106.000000;5362.232422
20;-2793.000000;114.000000;5618.901855
21;-2987.000000;122.000000;5873.912109
22;-3197.000000;131.000000;6127.188965
23;-3436.000000;141.000000;6378.656738
24;-3690.000000;151.000000;6628.241211
25;-3958.000000;161.000000;6875.869141
26;-4234.000000;172.000000;7121.466797
27;-4514.000000;183.000000;7364.962402
28;-4811.000000;195.000000;7606.283691
29;-5110.000000;207.000000;7845.359375
30;-5406.000000;219.000000;8082.119141
31;-5707.000000;231.000000;8316.493164
32;-5985.000000;242.000000;8548.411133
33;-6247.000000;253.000000;8777.805664
34;-6493.000000;264.000000;9004.609375
35;-6715.000000;273.000000;9228.754883
36;-6939.000000;283.000000;9450.175781
37;-7145.000000;291.000000;9668.806641
38;-7345.000000;299.000000;9884.583984
39;-7549.000000;308.000000;10097.442383
40;-7750.000000;316.000000;10307.320312
41;-7966.000000;325.000000;10514.155273
42;-8182.000000;334.000000;10717.885742
43;-8397.000000;343.000000;10918.453125
44;-8621.000000;352.000000;11115.795898
45;-8851.000000;361.000000;11309.858398
46;-9092.000000;371.000000;11500.581055
47;-9340.000000;381.000000;11687.908203
48;-9588.000000;391.000000;11871.786133
49;-9841.000000;401.000000;12052.158203
50;-10105.000000;412.000000;12228.972656
51;-10371.000000;422.000000;12402.176758
52;-10640.000000;433.000000;12571.719727
53;-10902.000000;444.000000;12737.551758
54;-11147.000000;454.000000;12899.622070
55;-11373.000000;463.000000;13057.884766
56;-11566.000000;471.000000;13212.292969
57;-11738.000000;478.000000;13362.800781
58;-11899.000000;485.000000;13509.363281
59;-12045.000000;491.000000;13651.937500
60;-12189.000000;497.000000;13790.481445
61;-12325.000000;503.000000;13924.954102
62;-12458.000000;509.000000;14055.315430
63;-12594.000000;514.000000;14181.528320
64;-12730.000000;520.000000;14303.553711
65;-12875.000000;525.000000;14421.356445
66;-13020.000000;532.000000;14534.902344
67;-13167.000000;538.000000;14644.157227
68;-13313.000000;544.000000;14749.087891
69;-13459.000000;550.000000;14849.665039
70;-13602.000000;556.000000;14945.858398
71;-13746.000000;561.000000;15037.639648
72;-13887.000000;567.000000;15124.980469
73;-14023.000000;573.000000;15207.856445
74;-14162.000000;578.000000;15286.243164
75;-14297.000000;584.000000;15360.117188
76;-14427.000000;589.000000;15429.456055
77;-14554.000000;594.000000;15494.240234
78;-14676.000000;599.000000;15554.450195
79;-14797.000000;604.000000;15610.067383
80;-14913.000000;609.000000;15661.077148
81;-15025.000000;614.000000;15707.463867
82;-15132.000000;618.000000;15749.212891
83;-15230.000000;622.000000;15786.312500
84;-15326.000000;626.000000;15818.750977
85;-15413.000000;629.000000;15846.520508
86;-15495.000000;633.000000;15869.612305
87;-15572.000000;636.000000;15888.017578
88;-15634.000000;638.000000;15901.733398
89;-15696.000000;641.000000;15910.754883
90;-15750.000000;643.000000;15915.079102
91;-15795.000000;645.000000;15914.705078
92;-15836.000000;647.000000;15909.632812
93;-15867.000000;648.000000;15899.863281
