takt;q1;q2;q2p
0;231.000000;-10.000000;273.448639
1;388.000000;-12.000000;546.816589
2;405.000000;-14.000000;820.023132
3;309.000000;-12.000000;1092.987427
4;109.000000;-5.000000;1365.629150
5;-111.000000;5.000000;1637.867676
6;-356.000000;14.000000;1909.622681
7;-623.000000;24.000000;2180.813965
8;-852.000000;33.000000;2451.361328
9;-1067.000000;43.000000;2721.185303
10;-1231.000000;50.000000;2990.205811
11;-1354.000000;55.000000;3258.343750
12;-1490.000000;61.000000;3525.519531
13;-1610.000000;65.000000;3791.654541
14;-1740.000000;71.000000;4056.670410
15;-1887.000000;77.000000;4320.488281
16;-2016.000000;83.000000;4583.031250
17;-2178.000000;89.000000;4844.220703
18;-2351.000000;97.000000;5103.979980
19;-2538.000000;104.000000;5362.232422
20;-2751.000000;113.000000;5618.901855
21;-2961.000000;122.000000;5873.912109
22;-3189.000000;131.000000;6127.188965
23;-3432.000000;141.000000;6378.656738
24;-3680.000000;151.000000;6628.241211
25;-3949.000000;162.000000;6875.869141
26;-4224.000000;173.000000;7121.466797
27;-4505.000000;184.000000;7364.962402
28;-4790.000000;196.000000;7606.283691
29;-5059.000000;207.000000;7845.359375
30;-5327.000000;218.000000;8082.119141
31;-5593.000000;229.000000;8316.493164
32;-5842.000000;239.000000;8548.411133
33;-6097.000000;249.000000;8777.805664
34;-6336.000000;259.000000;9004.609375
35;-6569.000000;269.000000;9228.754883
36;-6806.000000;278.000000;9450.175781
37;-7030.000000;288.000000;9668.806641
38;-7257.000000;297.000000;9884.583984
39;-7493.000000;307.000000;10097.442383
40;-7719.000000;316.000000;10307.320312
41;-7958.000000;326.000000;10514.155273
42;-8201.000000;336.000000;10717.885742
43;-8447.000000;345.000000;10918.453125
44;-8706.000000;356.000000;11115.795898
45;-8956.000000;366.000000;11309.858398
46;-9216.000000;377.000000;11500.581055
47;-9478.000000;388.000000;11687.908203
48;-9726.000000;398.000000;11871.786133
49;-9970.000000;408.000000;12052.158203
50;-10197.000000;417.000000;12228.972656
51;-10404.000000;425.000000;12402.176758
52;-10603.000000;434.000000;12571.719727
53;-10788.000000;441.000000;12737.551758
54;-10968.000000;449.000000;12899.622070
55;-11147.000000;457.000000;13057.884766
56;-11319.000000;463.000000;13212.292969
57;-11495.000000;471.000000;13362.800781
58;-11667.000000;478.000000;13509.363281
59;-11840.000000;485.000000;13651.937500
60;-12017.000000;492.000000;13790.481445
61;-12190.000000;499.000000;13924.954102
62;-12363.000000;506.000000;14055.315430
63;-12543.000000;514.000000;14181.528320
64;-12717.000000;521.000000;14303.553711
65;-12890.000000;528.000000;14421.356445
66;-13051.000000;535.000000;14534.902344
67;-13209.000000;541.000000;14644.157227
68;-13364.000000;547.000000;14749.087891
69;-13515.000000;554.000000;14849.665039
70;-13662.000000;560.000000;14945.858398
71;-13813.000000;566.000000;15037.639648
72;-13957.000000;572.000000;15124.980469
73;-14104.000000;577.000000;15207.856445
74;-14243.000000;583.000000;15286.243164
75;-14383.000000;589.000000;15360.117188
76;-14519.000000;594.000000;15429.456055
77;-14643.000000;599.000000;15494.240234
78;-14765.000000;604.000000;15554.450195
79;-14879.000000;609.000000;15610.067383
80;-14987.000000;614.000000;15661.077148
81;-15087.000000;618.000000;15707.463867
82;-15177.000000;621.000000;15749.212891
83;-15260.000000;625.000000;15786.312500
84;-15340.000000;628.000000;15818.750977
85;-15412.000000;631.000000;15846.520508
86;-15474.000000;634.000000;15869.612305
87;-15529.000000;636.000000;15888.017578
88;-15579.000000;638.000000;15901.733398
89;-15623.000000;640.000000;15910.754883
90;-15663.000000;641.000000;15915.079102
91;-15703.000000;643.000000;15914.705078
92;-15737.000000;645.000000;15909.632812
93;-15771.000000;646.000000;15899.863281
94;-15800.000000;647.000000;15885.400391
95;-15825.000000;648.000000;15866.247070
96;-15847.000000;649.000000;15842.410156
97;-15871.000000;650.000000;15813.896484
98;-15892.000000;651.000000;15780.713867
99;-15908.000000;652.000000;15742.873047
100;-15917.000000;652.000000;15700.384766
101;-15926.000000;652.000000;15653.260742
102;-15930.000000;653.000000;15601.516602
103;-15931.000000;653.000000;15545.166016
104;-15928.000000;653.000000;15484.226562
105;-15920.000000;653.000000;15418.714844
106;-15910.000000;652.000000;15348.652344
107;-15893.000000;652.000000;15274.058594
108;-15866.000000;651.000000;15194.955078
109;-15838.000000;650.000000;15111.366211
110;-15802.000000;648.000000;15023.316406
111;-15756.000000;646.000000;14930.831055
112;-15710.000000;644.000000;14833.938477
113;-15654.000000;642.000000;14732.666016
114;-15600.000000;639.000000;14627.043945
115;-15536.000000;637.000000;14517.104492
116;-15468.000000;634.000000;14402.878906
117;-15399.000000;631.000000;14284.402344
118;-15320.000000;628.000000;14161.707031
119;-15236.000000;624.000000;14034.832031
120;-15149.000000;621.000000;13903.813477
121;-15054.000000;617.000000;13768.690430
122;-14952.000000;613.000000;13629.502930
123;-14840.000000;608.000000;13486.291016
124;-14723.000000;603.000000;13339.098633
125;-14602.000000;598.000000;13187.967773
126;-14472.000000;593.000000;13032.943359
127;-14340.000000;587.000000;12874.072266
128;-14208.000000;582.000000;12711.399414
129;-14071.000000;577.000000;12544.974609
130;-13936.000000;571.000000;12374.846680
131;-13801.000000;566.000000;12201.064453
132;-13660.000000;560.000000;12023.680664
133;-13522.000000;554.000000;11842.748047
134;-13380.000000;548.000000;11658.318359
135;-13234.000000;543.000000;11470.447266
136;-13091.000000;537.000000;11279.190430
137;-12942.000000;531.000000;11084.602539
138;-12798.000000;525.000000;10886.743164
139;-12651.000000;519.000000;10685.669922
140;-12509.000000;513.000000;10481.441406
141;-12362.000000;507.000000;10274.119141
142;-12213.000000;501.000000;10063.763672
143;-12054.000000;495.000000;9850.437500
144;-11894.000000;488.000000;9634.203125
145;-11723.000000;481.000000;9415.122070
146;-11543.000000;473.000000;9193.262695
147;-11363.000000;466.000000;8968.688477
148;-11175.000000;458.000000;8741.465820
149;-10985.000000;450.000000;8511.664062
150;-10788.000000;442.000000;8279.348633
151;-10583.000000;434.000000;8044.588379
152;-10375.000000;425.000000;7807.454102
153;-10160.000000;416.000000;7568.014648
154;-9942.000000;407.000000;7326.340820
155;-9719.000000;398.000000;7082.503906
156;-9489.000000;388.000000;6836.576660
157;-9248.000000;379.000000;6588.630371
158;-9002.000000;368.000000;6338.739746
159;-8742.000000;358.000000;6086.977051
160;-8481.000000;347.000000;5833.417969
161;-8213.000000;336.000000;5578.136230
162;-7945.000000;326.000000;5321.208008
163;-7680.000000;315.000000;5062.708984
164;-7416.000000;305.000000;4802.715332
165;-7160.000000;294.000000;4541.303223
166;-6917.000000;284.000000;4278.550781
167;-6688.000000;275.000000;4014.535400
168;-6468.000000;266.000000;3749.334717
169;-6252.000000;257.000000;3483.027344
170;-6040.000000;248.000000;3215.691406
171;-5828.000000;239.000000;2947.406250
172;-5618.000000;230.000000;2678.250977
173;-5402.000000;221.000000;2408.304932
174;-5176.000000;212.000000;2137.647949
175;-4938.000000;202.000000;1866.359863
176;-4692.000000;192.000000;1594.520752
177;-4430.000000;181.000000;1322.211060
178;-4157.000000;170.000000;1049.510864
179;-3875.000000;159.000000;776.500916
180;-3578.000000;147.000000;503.261688
181;-3265.000000;134.000000;229.873917
182;-2949.000000;121.000000;-43.581738
183;-2628.000000;108.000000;-317.024536
184;-2306.000000;95.000000;-590.373718
185;-1987.000000;82.000000;-863.548645
186;-1673.000000;70.000000;-1136.468628
187;-1389.000000;58.000000;-1409.052979
188;-1125.000000;47.000000;-1681.221558
189;-881.000000;36.000000;-1952.893677
190;-649.000000;27.000000;-2223.989258
191;-422.000000;17.000000;-2494.428223
192;-204.000000;8.000000;-2764.130859
193;16.000000;-1.000000;-3033.017578
194;247.000000;-11.000000;-3301.008545
195;482.000000;-21.000000;-3568.025391
196;734.000000;-31.000000;-3833.988525
197;998.000000;-42.000000;-4098.819824
198;1276.000000;-53.000000;-4362.441406
199;1569.000000;-65.000000;-4624.774902
200;1874.000000;-77.000000;-4885.743164
201;2189.000000;-90.000000;-5145.268555
202;2516.000000;-103.000000;-5403.275391
203;2843.000000;-116.000000;-5659.687012
204;3168.000000;-129.000000;-5914.427734
205;3486.000000;-142.000000;-6167.422363
206;3789.000000;-155.000000;-6418.596191
207;4075.000000;-166.000000;-6667.875488
208;4330.000000;-177.000000;-6915.185547
209;4564.000000;-187.000000;-7160.454590
210;4781.000000;-196.000000;-7403.609863
211;4989.000000;-205.000000;-7644.579102
212;5191.000000;-213.000000;-7883.291504
213;5386.000000;-221.000000;-8119.676758
214;5585.000000;-230.000000;-8353.665039
215;5795.000000;-239.000000;-8585.186523
216;6018.000000;-248.000000;-8814.173828
217;6257.000000;-257.000000;-9040.559570
218;6502.000000;-268.000000;-9264.275391
219;6766.000000;-278.000000;-9485.256836
220;7035.000000;-289.000000;-9703.437500
221;7312.000000;-300.000000;-9918.753906
222;7597.000000;-312.000000;-10131.142578
223;7886.000000;-324.000000;-10340.539062
224;8180.000000;-336.000000;-10546.883789
225;8469.000000;-347.000000;-10750.114258
226;8751.000000;-359.000000;-10950.171875
227;9019.000000;-370.000000;-11146.996094
228;9269.000000;-381.000000;-11340.529297
229;9497.000000;-390.000000;-11530.714844
230;9699.000000;-398.000000;-11717.496094
231;9883.000000;-406.000000;-11900.818359
232;10053.000000;-413.000000;-12080.626953
233;10208.000000;-420.000000;-12256.869141
234;10368.000000;-427.000000;-12429.493164
235;10527.000000;-433.000000;-12598.447266
236;10694.000000;-440.000000;-12763.682617
237;10877.000000;-448.000000;-12925.149414
238;11064.000000;-455.000000;-13082.800781
239;11261.000000;-463.000000;-13236.589844
240;11464.000000;-471.000000;-13386.470703
241;11670.000000;-480.000000;-13532.399414
242;11880.000000;-488.000000;-13674.333008
243;12085.000000;-496.000000;-13812.230469
244;12287.000000;-505.000000;-13946.049805
245;12489.000000;-513.000000;-14075.751953
246;12682.000000;-520.000000;-14201.298828
247;12872.000000;-528.000000;-14322.653320
248;13055.000000;-536.000000;-14439.779297
249;13224.000000;-543.000000;-14552.641602
250;13388.000000;-549.000000;-14661.208008
251;13546.000000;-556.000000;-14765.446289
