takt;q1;q2;q2p
0;272.000000;-11.000000;-43.713947
1;543.000000;-21.000000;-43.489929
2;805.000000;-26.000000;-43.265907
3;989.000000;-29.000000;-43.041889
4;1107.000000;-32.000000;-42.817867
5;1138.000000;-34.000000;-42.593849
6;1119.000000;-34.000000;-42.369831
7;1043.000000;-30.000000;-42.145809
8;896.000000;-26.000000;-41.921791
9;735.000000;-20.000000;-41.697773
10;526.000000;-14.000000;-41.473751
11;328.000000;-5.000000;-41.249733
12;118.000000;2.000000;-41.025715
13;-98.000000;10.000000;-40.801697
14;-285.000000;15.000000;-40.577682
15;-484.000000;18.000000;-40.353664
16;-624.000000;24.000000;-40.129646
17;-724.000000;28.000000;-39.905632
18;-762.000000;31.000000;-39.681614
19;-750.000000;30.000000;-39.457600
20;-712.000000;29.000000;-39.233585
21;-615.000000;25.000000;-39.009571
22;-498.000000;20.000000;-38.785561
23;-350.000000;14.000000;-38.561546
24;-207.000000;9.000000;-38.337536
25;-65.000000;3.000000;-38.113522
26;96.000000;-3.000000;-37.889511
27;257.000000;-8.000000;-37.665501
28;404.000000;-10.000000;-37.441494
29;524.000000;-11.000000;-37.217484
30;603.000000;-14.000000;-36.993477
31;644.000000;-16.000000;-36.769470
32;630.000000;-16.000000;-36.545464
33;590.000000;-14.000000;-36.321457
34;523.000000;-12.000000;-36.097454
35;431.000000;-8.000000;-35.873451
36;326.000000;-5.000000;-35.649448
37;198.000000;0.000000;-35.425446
38;70.000000;5.000000;-35.201447
39;-62.000000;9.000000;-34.977448
40;-200.000000;13.000000;-34.753448
41;-327.000000;15.000000;-34.529449
42;-435.000000;17.000000;-34.305454
43;-530.000000;21.000000;-34.081459
44;-599.000000;23.000000;-33.857464
45;-631.000000;25.000000;-33.633469
46;-635.000000;25.000000;-33.409477
47;-597.000000;25.000000;-33.185486
48;-530.000000;22.000000;-32.961498
49;-449.000000;19.000000;-32.737511
50;-347.000000;14.000000;-32.513523
51;-244.000000;11.000000;-32.289539
52;-126.000000;6.000000;-32.065556
53;-6.000000;1.000000;-31.841572
54;98.000000;-2.000000;-31.617590
55;212.000000;-2.000000;-31.393610
56;292.000000;-2.000000;-31.169632
57;356.000000;-4.000000;-30.945656
58;379.000000;-5.000000;-30.721680
