takt;q1;q2;q2p
0;279.000000;-12.000000;-41.697773
1;558.000000;-23.000000;-39.457600
2;825.000000;-23.000000;-37.217484
3;1009.000000;-15.000000;-34.977444
4;1066.000000;-20.000000;-32.737511
5;1005.000000;-18.000000;-30.497713
6;845.000000;-12.000000;-28.258072
7;644.000000;-4.000000;-26.018616
8;405.000000;5.000000;-23.779369
9;155.000000;14.000000;-21.540363
10;-88.000000;24.000000;-19.301619
11;-323.000000;33.000000;-17.063168
12;-531.000000;38.000000;-14.825032
13;-730.000000;41.000000;-12.587241
14;-914.000000;40.000000;-10.349820
15;-1036.000000;40.000000;-8.112796
16;-1110.000000;47.000000;-5.876194
17;-1176.000000;48.000000;-3.640043
18;-1193.000000;48.000000;-1.404369
19;-1186.000000;48.000000;0.830802
20;-1152.000000;47.000000;3.065444
21;-1108.000000;45.000000;5.299531
22;-1062.000000;43.000000;7.533038
23;-1010.000000;43.000000;9.765936
24;-952.000000;46.000000;11.998199
25;-897.000000;51.000000;14.229803
26;-849.000000;57.000000;16.460720
27;-852.000000;55.000000;18.690924
28;-859.000000;54.000000;20.920387
29;-888.000000;57.000000;23.149084
30;-945.000000;59.000000;25.376989
31;-1022.000000;62.000000;27.604076
32;-1125.000000;66.000000;29.830318
33;-1224.000000;70.000000;32.055691
34;-1323.000000;74.000000;34.280163
35;-1416.000000;78.000000;36.503712
36;-1505.000000;82.000000;38.726315
37;-1579.000000;84.000000;40.947941
38;-1648.000000;88.000000;43.168568
39;-1704.000000;90.000000;45.388165
40;-1745.000000;91.000000;47.606709
41;-1775.000000;93.000000;49.824169
42;-1796.000000;94.000000;52.040524
43;-1807.000000;94.000000;54.255745
44;-1818.000000;95.000000;56.469807
45;-1834.000000;95.000000;58.682682
46;-1870.000000;97.000000;60.894348
47;-1929.000000;99.000000;63.104774
48;-1993.000000;102.000000;65.313934
49;-2067.000000;105.000000;67.521805
50;-2146.000000;108.000000;69.728363
51;-2220.000000;111.000000;71.933571
52;-2292.000000;114.000000;74.137421
53;-2363.000000;117.000000;76.339867
54;-2431.000000;120.000000;78.540901
55;-2497.000000;123.000000;80.740486
56;-2559.000000;125.000000;82.938599
57;-2620.000000;128.000000;85.135208
58;-2676.000000;130.000000;87.330299
59;-2733.000000;132.000000;89.523834
60;-2780.000000;135.000000;91.715797
61;-2831.000000;137.000000;93.906158
62;-2877.000000;139.000000;96.094894
63;-2922.000000;140.000000;98.281975
64;-2962.000000;142.000000;100.467369
65;-3005.000000;144.000000;102.651062
66;-3047.000000;146.000000;104.833031
67;-3094.000000;148.000000;107.013237
68;-3143.000000;150.000000;109.191658
69;-3192.000000;152.000000;111.368279
70;-3251.000000;154.000000;113.543053
71;-3315.000000;157.000000;115.715981
72;-3378.000000;160.000000;117.887016
73;-3445.000000;162.000000;120.056129
74;-3508.000000;165.000000;122.223312
75;-3564.000000;167.000000;124.388527
76;-3622.000000;170.000000;126.551758
77;-3673.000000;172.000000;128.712967
78;-3724.000000;174.000000;130.872147
79;-3767.000000;176.000000;133.029266
80;-3810.000000;177.000000;135.184280
81;-3849.000000;179.000000;137.337189
82;-3891.000000;181.000000;139.487961
83;-3935.000000;183.000000;141.636566
84;-3979.000000;185.000000;143.782974
85;-4028.000000;187.000000;145.927170
86;-4074.000000;189.000000;148.069122
87;-4128.000000;191.000000;150.208801
88;-4178.000000;193.000000;152.346191
89;-4232.000000;195.000000;154.481262
90;-4289.000000;197.000000;156.613998
91;-4352.000000;200.000000;158.744354
92;-4419.000000;202.000000;160.872330
93;-4483.000000;205.000000;162.997879
94;-4547.000000;207.000000;165.120987
95;-4607.000000;210.000000;167.241623
96;-4663.000000;212.000000;169.359756
97;-4719.000000;214.000000;171.475388
98;-4764.000000;216.000000;173.588470
99;-4811.000000;218.000000;175.698975
100;-4853.000000;220.000000;177.806900
101;-4897.000000;222.000000;179.912201
102;-4944.000000;224.000000;182.014847
103;-4990.000000;225.000000;184.114838
104;-5040.000000;227.000000;186.212143
105;-5089.000000;230.000000;188.306717
106;-5141.000000;232.000000;190.398544
107;-5189.000000;234.000000;192.487610
108;-5240.000000;236.000000;194.573883
109;-5288.000000;238.000000;196.657349
110;-5338.000000;239.000000;198.737961
111;-5389.000000;242.000000;200.815720
112;-5440.000000;244.000000;202.890579
113;-5492.000000;246.000000;204.962524
114;-5546.000000;248.000000;207.031540
115;-5597.000000;250.000000;209.097580
116;-5650.000000;252.000000;211.160629
117;-5706.000000;254.000000;213.220673
118;-5757.000000;257.000000;215.277679
119;-5813.000000;259.000000;217.331635
120;-5867.000000;261.000000;219.382492
121;-5925.000000;263.000000;221.430237
122;-5978.000000;266.000000;223.474854
123;-6039.000000;268.000000;225.516312
124;-6096.000000;270.000000;227.554596
125;-6152.000000;273.000000;229.589661
126;-6209.000000;275.000000;231.621506
127;-6253.000000;277.000000;233.650085
128;-6292.000000;278.000000;235.675400
129;-6324.000000;280.000000;237.697403
130;-6346.000000;280.000000;239.716095
131;-6370.000000;282.000000;241.731415
132;-6399.000000;283.000000;243.743378
133;-6433.000000;284.000000;245.751938
134;-6474.000000;286.000000;247.757080
135;-6526.000000;288.000000;249.758774
136;-6578.000000;290.000000;251.757004
137;-6640.000000;293.000000;253.751740
138;-6701.000000;295.000000;255.742950
139;-6762.000000;298.000000;257.730621
140;-6826.000000;300.000000;259.714752
141;-6876.000000;302.000000;261.695282
142;-6924.000000;304.000000;263.672211
143;-6959.000000;306.000000;265.645508
144;-6991.000000;307.000000;267.615143
