takt;q1;q2;q2p
0;249.000000;-9.000000;-41.697773
1;501.000000;-18.000000;-39.457600
2;682.000000;-25.000000;-37.217484
3;804.000000;-25.000000;-34.977444
4;868.000000;-17.000000;-32.737511
5;827.000000;-16.000000;-30.497713
6;766.000000;-12.000000;-28.258072
7;678.000000;-9.000000;-26.018616
8;557.000000;-5.000000;-23.779369
9;419.000000;1.000000;-21.540363
10;267.000000;8.000000;-19.301619
11;118.000000;14.000000;-17.063168
12;-31.000000;20.000000;-14.825032
13;-160.000000;26.000000;-12.587241
14;-271.000000;30.000000;-10.349820
15;-360.000000;34.000000;-8.112796
16;-431.000000;36.000000;-5.876194
17;-478.000000;39.000000;-3.640043
18;-510.000000;40.000000;-1.404369
19;-527.000000;41.000000;0.830802
20;-534.000000;41.000000;3.065444
21;-537.000000;41.000000;5.299531
22;-536.000000;41.000000;7.533038
23;-548.000000;42.000000;9.765936
24;-583.000000;44.000000;11.998199
25;-647.000000;46.000000;14.229803
26;-732.000000;50.000000;16.460720
27;-834.000000;53.000000;18.690924
28;-948.000000;58.000000;20.920387
29;-1075.000000;63.000000;23.149084
30;-1211.000000;68.000000;25.376989
31;-1354.000000;74.000000;27.604076
32;-1484.000000;79.000000;29.830318
33;-1597.000000;83.000000;32.055691
34;-1691.000000;83.000000;34.280163
35;-1767.000000;82.000000;36.503712
36;-1820.000000;79.000000;38.726315
37;-1849.000000;78.000000;40.947941
38;-1845.000000;79.000000;43.168568
39;-1822.000000;84.000000;45.388165
40;-1796.000000;90.000000;47.606709
41;-1800.000000;93.000000;49.824169
42;-1815.000000;93.000000;52.040524
43;-1808.000000;93.000000;54.255745
44;-1813.000000;93.000000;56.469807
45;-1839.000000;94.000000;58.682682
46;-1880.000000;96.000000;60.894348
47;-1931.000000;98.000000;63.104774
48;-1989.000000;100.000000;65.313934
49;-2064.000000;104.000000;67.521805
50;-2147.000000;107.000000;69.728363
51;-2229.000000;110.000000;71.933571
52;-2310.000000;113.000000;74.137421
53;-2388.000000;116.000000;76.339867
54;-2460.000000;119.000000;78.540901
55;-2529.000000;122.000000;80.740486
56;-2594.000000;124.000000;82.938599
57;-2656.000000;127.000000;85.135208
58;-2712.000000;129.000000;87.330299
59;-2768.000000;132.000000;89.523834
60;-2818.000000;134.000000;91.715797
61;-2870.000000;136.000000;93.906158
62;-2918.000000;138.000000;96.094894
63;-2968.000000;139.000000;98.281975
64;-3019.000000;142.000000;100.467369
65;-3073.000000;144.000000;102.651062
66;-3129.000000;146.000000;104.833031
67;-3186.000000;148.000000;107.013237
68;-3243.000000;151.000000;109.191658
69;-3295.000000;153.000000;111.368279
70;-3346.000000;155.000000;113.543053
71;-3381.000000;156.000000;115.715981
72;-3408.000000;157.000000;117.887016
73;-3435.000000;159.000000;120.056129
74;-3461.000000;160.000000;122.223312
75;-3493.000000;161.000000;124.388527
76;-3534.000000;163.000000;126.551758
77;-3579.000000;165.000000;128.712967
78;-3636.000000;167.000000;130.872147
79;-3693.000000;169.000000;133.029266
80;-3756.000000;172.000000;135.184280
81;-3818.000000;174.000000;137.337189
82;-3878.000000;177.000000;139.487961
83;-3940.000000;179.000000;141.636566
84;-4002.000000;182.000000;143.782974
85;-4069.000000;185.000000;145.927170
86;-4137.000000;188.000000;148.069122
87;-4205.000000;190.000000;150.208801
88;-4277.000000;193.000000;152.346191
89;-4352.000000;196.000000;154.481262
90;-4428.000000;200.000000;156.613998
91;-4504.000000;203.000000;158.744354
92;-4581.000000;206.000000;160.872330
93;-4662.000000;209.000000;162.997879
94;-4742.000000;212.000000;165.120987
95;-4819.000000;216.000000;167.241623
96;-4895.000000;219.000000;169.359756
97;-4970.000000;222.000000;171.475388
98;-5029.000000;225.000000;173.588470
99;-5063.000000;226.000000;175.698975
100;-5067.000000;226.000000;177.806900
101;-5053.000000;226.000000;179.912201
102;-5043.000000;226.000000;182.014847
103;-5045.000000;226.000000;184.114838
104;-5055.000000;226.000000;186.212143
105;-5082.000000;227.000000;188.306717
106;-5118.000000;229.000000;190.398544
107;-5162.000000;231.000000;192.487610
108;-5213.000000;233.000000;194.573883
109;-5269.000000;235.000000;196.657349
110;-5331.000000;238.000000;198.737961
111;-5399.000000;241.000000;200.815720
112;-5471.000000;243.000000;202.890579
113;-5548.000000;246.000000;204.962524
114;-5631.000000;250.000000;207.031540
115;-5715.000000;253.000000;209.097580
116;-5805.000000;256.000000;211.160629
117;-5904.000000;260.000000;213.220673
118;-6005.000000;264.000000;215.277679
119;-6108.000000;268.000000;217.331635
120;-6209.000000;271.000000;219.382492
121;-6314.000000;273.000000;221.430237
122;-6424.000000;273.000000;223.474854
123;-6537.000000;271.000000;225.516312
124;-6610.000000;270.000000;227.554596
125;-6645.000000;275.000000;229.589661
126;-6666.000000;277.000000;231.621506
127;-6667.000000;279.000000;233.650085
128;-6661.000000;279.000000;235.675400
129;-6654.000000;277.000000;237.697403
130;-6646.000000;276.000000;239.716095
131;-6642.000000;277.000000;241.731415
132;-6642.000000;281.000000;243.743378
133;-6640.000000;285.000000;245.751938
134;-6640.000000;290.000000;247.757080
135;-6665.000000;291.000000;249.758774
136;-6671.000000;291.000000;251.757004
137;-6674.000000;291.000000;253.751740
138;-6681.000000;292.000000;255.742950
139;-6691.000000;292.000000;257.730621
140;-6714.000000;293.000000;259.714752
141;-6755.000000;295.000000;261.695282
142;-6816.000000;298.000000;263.672211
143;-6894.000000;301.000000;265.645508
144;-6975.000000;304.000000;267.615143
145;-7056.000000;307.000000;269.581116
146;-7135.000000;310.000000;271.543365
147;-7206.000000;313.000000;273.501923
148;-7276.000000;316.000000;275.456726
149;-7342.000000;318.000000;277.407745
150;-7397.000000;320.000000;279.354980
151;-7452.000000;323.000000;281.298401
152;-7502.000000;325.000000;283.237946
153;-7549.000000;326.000000;285.173676
154;-7591.000000;328.000000;287.105499
155;-7640.000000;330.000000;289.033386
156;-7685.000000;332.000000;290.957367
157;-7741.000000;334.000000;292.877411
158;-7798.000000;337.000000;294.793457
159;-7858.000000;339.000000;296.705505
160;-7914.000000;341.000000;298.613525
161;-7969.000000;343.000000;300.517487
162;-8015.000000;345.000000;302.417419
163;-8060.000000;347.000000;304.313232
164;-8097.000000;349.000000;306.204926
165;-8131.000000;350.000000;308.092499
166;-8164.000000;351.000000;309.975922
167;-8194.000000;353.000000;311.855164
168;-8226.000000;354.000000;313.730194
169;-8263.000000;355.000000;315.601013
170;-8299.000000;357.000000;317.467590
171;-8342.000000;359.000000;319.329865
172;-8381.000000;360.000000;321.187897
173;-8420.000000;362.000000;323.041595
174;-8459.000000;364.000000;324.890930
175;-8492.000000;365.000000;326.735962
176;-8527.000000;366.000000;328.576569
177;-8564.000000;368.000000;330.412811
178;-8603.000000;369.000000;332.244629
179;-8650.000000;371.000000;334.071991
180;-8695.000000;373.000000;335.894897
181;-8747.000000;375.000000;337.713318
182;-8795.000000;377.000000;339.527222
183;-8851.000000;380.000000;341.336609
184;-8900.000000;382.000000;343.141449
185;-8949.000000;384.000000;344.941711
186;-8992.000000;386.000000;346.737366
