takt;q1;q2;q2p
0;272.000000;-12.000000;-43.713947
1;544.000000;-22.000000;-43.489929
2;806.000000;-24.000000;-43.265907
3;1034.000000;-17.000000;-43.041889
4;1090.000000;-23.000000;-42.817867
5;1111.000000;-22.000000;-42.593849
6;1051.000000;-20.000000;-42.369831
7;895.000000;-15.000000;-42.145809
8;708.000000;-8.000000;-41.921791
9;542.000000;-1.000000;-41.697773
10;384.000000;5.000000;-41.473751
11;226.000000;8.000000;-41.249733
12;88.000000;9.000000;-41.025715
13;-37.000000;6.000000;-40.801697
14;-121.000000;3.000000;-40.577682
15;-133.000000;7.000000;-40.353664
16;-150.000000;9.000000;-40.129646
17;-180.000000;9.000000;-39.905632
18;-171.000000;6.000000;-39.681614
19;-127.000000;5.000000;-39.457600
20;-73.000000;3.000000;-39.233585
21;-27.000000;1.000000;-39.009571
22;39.000000;0.000000;-38.785561
23;102.000000;0.000000;-38.561546
24;168.000000;3.000000;-38.337536
25;235.000000;5.000000;-38.113522
26;303.000000;6.000000;-37.889511
27;368.000000;5.000000;-37.665501
28;439.000000;3.000000;-37.441494
29;506.000000;2.000000;-37.217484
30;544.000000;0.000000;-36.993477
31;564.000000;-1.000000;-36.769470
32;563.000000;-1.000000;-36.545464
33;539.000000;-1.000000;-36.321457
34;511.000000;1.000000;-36.097454
35;458.000000;2.000000;-35.873451
36;398.000000;5.000000;-35.649448
37;341.000000;7.000000;-35.425446
38;288.000000;9.000000;-35.201447
39;250.000000;10.000000;-34.977448
40;223.000000;11.000000;-34.753448
41;204.000000;10.000000;-34.529449
42;195.000000;7.000000;-34.305454
43;199.000000;6.000000;-34.081459
44;213.000000;6.000000;-33.857464
45;233.000000;8.000000;-33.633469
46;257.000000;10.000000;-33.409477
47;277.000000;10.000000;-33.185486
48;300.000000;9.000000;-32.961498
49;324.000000;8.000000;-32.737511
50;348.000000;7.000000;-32.513523
51;360.000000;7.000000;-32.289539
52;369.000000;7.000000;-32.065556
53;365.000000;7.000000;-31.841572
54;356.000000;7.000000;-31.617590
55;344.000000;7.000000;-31.393610
56;324.000000;8.000000;-31.169632
57;303.000000;9.000000;-30.945656
58;282.000000;9.000000;-30.721680
59;265.000000;10.000000;-30.497705
60;253.000000;11.000000;-30.273735
61;248.000000;11.000000;-30.049765
62;244.000000;11.000000;-29.825794
63;246.000000;11.000000;-29.601828
64;252.000000;11.000000;-29.377863
65;257.000000;11.000000;-29.153898
66;265.000000;11.000000;-28.929937
67;272.000000;11.000000;-28.705976
68;277.000000;11.000000;-28.482018
69;280.000000;11.000000;-28.258060
70;282.000000;11.000000;-28.034107
71;277.000000;11.000000;-27.810154
72;272.000000;11.000000;-27.586203
