takt;q1;q2;q2p
0;266.000000;-11.000000;0.224020
1;526.000000;-19.000000;0.448037
2;730.000000;-17.000000;0.672049
3;832.000000;-22.000000;0.896052
4;820.000000;-22.000000;1.120046
5;728.000000;-20.000000;1.344026
6;572.000000;-12.000000;1.567990
7;333.000000;-4.000000;1.791935
8;30.000000;8.000000;2.015860
9;-264.000000;18.000000;2.239761
10;-568.000000;31.000000;2.463635
11;-877.000000;43.000000;2.687480
12;-1184.000000;53.000000;2.911294
13;-1487.000000;59.000000;3.135073
14;-1705.000000;68.000000;3.358815
15;-1856.000000;74.000000;3.582517
16;-1915.000000;77.000000;3.806177
17;-1946.000000;79.000000;4.029793
18;-1904.000000;77.000000;4.253360
19;-1810.000000;73.000000;4.476877
20;-1667.000000;67.000000;4.700341
21;-1505.000000;62.000000;4.923750
22;-1341.000000;56.000000;5.147100
23;-1169.000000;48.000000;5.370390
24;-978.000000;41.000000;5.593617
25;-795.000000;34.000000;5.816777
26;-607.000000;30.000000;6.039869
27;-453.000000;30.000000;6.262889
28;-342.000000;24.000000;6.485836
29;-286.000000;22.000000;6.708705
30;-282.000000;22.000000;6.931496
31;-282.000000;22.000000;7.154204
32;-352.000000;24.000000;7.376829
33;-439.000000;27.000000;7.599366
34;-565.000000;32.000000;7.821813
35;-700.000000;37.000000;8.044168
36;-829.000000;42.000000;8.266428
37;-989.000000;48.000000;8.488591
38;-1129.000000;53.000000;8.710653
39;-1286.000000;57.000000;8.932613
40;-1426.000000;58.000000;9.154468
41;-1521.000000;62.000000;9.376214
42;-1617.000000;65.000000;9.597849
43;-1660.000000;67.000000;9.819371
44;-1675.000000;68.000000;10.040777
45;-1648.000000;67.000000;10.262065
46;-1585.000000;66.000000;10.483232
47;-1516.000000;62.000000;10.704274
48;-1414.000000;58.000000;10.925190
49;-1297.000000;53.000000;11.145977
50;-1188.000000;50.000000;11.366633
51;-1070.000000;46.000000;11.587154
52;-951.000000;43.000000;11.807539
53;-834.000000;43.000000;12.027783
54;-755.000000;40.000000;12.247887
55;-694.000000;38.000000;12.467845
56;-672.000000;38.000000;12.687656
57;-674.000000;37.000000;12.907318
58;-713.000000;39.000000;13.126826
59;-764.000000;40.000000;13.346181
60;-830.000000;43.000000;13.565376
61;-918.000000;45.000000;13.784412
62;-1003.000000;49.000000;14.003286
63;-1103.000000;53.000000;14.221994
64;-1188.000000;56.000000;14.440534
65;-1279.000000;59.000000;14.658903
66;-1370.000000;61.000000;14.877100
67;-1443.000000;61.000000;15.095120
68;-1510.000000;60.000000;15.312963
69;-1557.000000;65.000000;15.530624
70;-1598.000000;66.000000;15.748102
71;-1619.000000;66.000000;15.965395
72;-1631.000000;66.000000;16.182499
73;-1607.000000;66.000000;16.399410
74;-1568.000000;64.000000;16.616127
75;-1516.000000;63.000000;16.832649
76;-1443.000000;59.000000;17.048973
77;-1372.000000;57.000000;17.265095
78;-1285.000000;54.000000;17.481012
79;-1196.000000;52.000000;17.696724
80;-1119.000000;51.000000;17.912226
81;-1043.000000;51.000000;18.127516
82;-1000.000000;50.000000;18.342594
83;-965.000000;49.000000;18.557453
84;-949.000000;48.000000;18.772095
85;-960.000000;48.000000;18.986513
86;-999.000000;49.000000;19.200708
87;-1061.000000;52.000000;19.414677
88;-1115.000000;54.000000;19.628416
89;-1180.000000;56.000000;19.841923
90;-1247.000000;59.000000;20.055197
91;-1316.000000;61.000000;20.268232
92;-1387.000000;64.000000;20.481030
93;-1449.000000;65.000000;20.693584
94;-1506.000000;66.000000;20.905895
95;-1566.000000;65.000000;21.117958
96;-1595.000000;65.000000;21.329773
97;-1636.000000;67.000000;21.541336
98;-1660.000000;67.000000;21.752644
99;-1672.000000;68.000000;21.963696
100;-1677.000000;68.000000;22.174486
101;-1658.000000;68.000000;22.385017
102;-1642.000000;68.000000;22.595282
103;-1607.000000;67.000000;22.805281
104;-1563.000000;64.000000;23.015011
105;-1518.000000;63.000000;23.224468
106;-1462.000000;62.000000;23.433651
107;-1417.000000;61.000000;23.642559
108;-1368.000000;61.000000;23.851187
109;-1312.000000;61.000000;24.059532
110;-1283.000000;61.000000;24.267593
111;-1236.000000;59.000000;24.475368
112;-1216.000000;59.000000;24.682856
113;-1197.000000;58.000000;24.890049
114;-1190.000000;58.000000;25.096951
115;-1216.000000;58.000000;25.303555
116;-1243.000000;59.000000;25.509861
117;-1292.000000;61.000000;25.715864
118;-1349.000000;63.000000;25.921566
119;-1398.000000;64.000000;26.126961
120;-1466.000000;66.000000;26.332047
121;-1503.000000;69.000000;26.536821
122;-1552.000000;71.000000;26.741283
123;-1596.000000;71.000000;26.945429
124;-1627.000000;71.000000;27.149256
125;-1672.000000;70.000000;27.352764
126;-1684.000000;69.000000;27.555948
127;-1701.000000;71.000000;27.758806
128;-1718.000000;71.000000;27.961336
129;-1720.000000;71.000000;28.163538
130;-1722.000000;71.000000;28.365406
131;-1709.000000;71.000000;28.566938
132;-1697.000000;70.000000;28.768135
133;-1685.000000;70.000000;28.968990
134;-1654.000000;69.000000;29.169504
135;-1632.000000;68.000000;29.369675
136;-1605.000000;68.000000;29.569496
137;-1572.000000;68.000000;29.768970
138;-1551.000000;68.000000;29.968092
139;-1515.000000;68.000000;30.166861
140;-1492.000000;69.000000;30.365273
141;-1473.000000;69.000000;30.563326
142;-1445.000000;67.000000;30.761019
143;-1433.000000;67.000000;30.958347
144;-1412.000000;67.000000;31.155310
145;-1407.000000;66.000000;31.351908
146;-1410.000000;66.000000;31.548136
147;-1420.000000;66.000000;31.743990
148;-1447.000000;67.000000;31.939468
149;-1476.000000;68.000000;32.134571
150;-1511.000000;69.000000;32.329296
151;-1549.000000;71.000000;32.523636
152;-1576.000000;72.000000;32.717594
153;-1607.000000;73.000000;32.911163
154;-1633.000000;74.000000;33.104347
155;-1661.000000;75.000000;33.297138
156;-1683.000000;75.000000;33.489536
157;-1696.000000;75.000000;33.681538
158;-1711.000000;75.000000;33.873142
159;-1720.000000;75.000000;34.064346
160;-1724.000000;74.000000;34.255150
161;-1730.000000;74.000000;34.445545
162;-1728.000000;74.000000;34.635536
163;-1725.000000;74.000000;34.825119
164;-1723.000000;75.000000;35.014290
165;-1712.000000;76.000000;35.203049
166;-1702.000000;76.000000;35.391392
167;-1686.000000;77.000000;35.579315
168;-1670.000000;77.000000;35.766819
169;-1654.000000;75.000000;35.953899
170;-1629.000000;74.000000;36.140556
171;-1613.000000;74.000000;36.326786
172;-1600.000000;74.000000;36.512585
173;-1586.000000;74.000000;36.697956
174;-1582.000000;73.000000;36.882893
175;-1579.000000;73.000000;37.067390
176;-1588.000000;73.000000;37.251453
177;-1605.000000;74.000000;37.435078
178;-1625.000000;74.000000;37.618259
179;-1656.000000;75.000000;37.800995
180;-1679.000000;76.000000;37.983288
181;-1703.000000;77.000000;38.165127
182;-1727.000000;78.000000;38.346519
183;-1747.000000;79.000000;38.527458
184;-1765.000000;79.000000;38.707939
185;-1777.000000;80.000000;38.887966
186;-1784.000000;80.000000;39.067535
187;-1793.000000;80.000000;39.246639
188;-1794.000000;80.000000;39.425282
189;-1792.000000;81.000000;39.603458
190;-1790.000000;81.000000;39.781166
191;-1782.000000;80.000000;39.958405
192;-1774.000000;79.000000;40.135174
193;-1764.000000;79.000000;40.311466
194;-1746.000000;79.000000;40.487282
195;-1733.000000;79.000000;40.662621
196;-1720.000000;79.000000;40.837482
197;-1709.000000;78.000000;41.011856
198;-1700.000000;78.000000;41.185749
199;-1689.000000;78.000000;41.359158
200;-1686.000000;78.000000;41.532074
201;-1685.000000;77.000000;41.704502
202;-1690.000000;77.000000;41.876434
203;-1704.000000;77.000000;42.047874
204;-1722.000000;78.000000;42.218819
205;-1747.000000;79.000000;42.389263
206;-1775.000000;80.000000;42.559208
207;-1801.000000;81.000000;42.728649
208;-1827.000000;82.000000;42.897587
209;-1856.000000;83.000000;43.066017
210;-1877.000000;84.000000;43.233940
211;-1898.000000;85.000000;43.401352
212;-1914.000000;86.000000;43.568249
213;-1926.000000;86.000000;43.734634
214;-1936.000000;87.000000;43.900501
215;-1940.000000;87.000000;44.065853
216;-1944.000000;87.000000;44.230682
217;-1941.000000;87.000000;44.394989
218;-1934.000000;86.000000;44.558769
219;-1927.000000;86.000000;44.722027
220;-1914.000000;86.000000;44.884754
221;-1902.000000;86.000000;45.046951
222;-1889.000000;86.000000;45.208618
223;-1874.000000;85.000000;45.369751
224;-1862.000000;84.000000;45.530350
225;-1846.000000;84.000000;45.690407
226;-1835.000000;84.000000;45.849926
227;-1828.000000;83.000000;46.008904
228;-1825.000000;83.000000;46.167339
229;-1826.000000;83.000000;46.325230
230;-1832.000000;83.000000;46.482571
231;-1845.000000;83.000000;46.639362
232;-1864.000000;84.000000;46.795605
233;-1881.000000;84.000000;46.951298
234;-1902.000000;85.000000;47.106430
235;-1924.000000;86.000000;47.261009
236;-1945.000000;87.000000;47.415031
237;-1968.000000;88.000000;47.568493
238;-1983.000000;88.000000;47.721394
239;-1998.000000;89.000000;47.873730
240;-2010.000000;90.000000;48.025497
241;-2017.000000;90.000000;48.176701
242;-2021.000000;90.000000;48.327335
243;-2021.000000;90.000000;48.477402
244;-2016.000000;90.000000;48.626892
245;-2010.000000;90.000000;48.775810
246;-1998.000000;90.000000;48.924149
247;-1984.000000;89.000000;49.071915
248;-1971.000000;89.000000;49.219097
249;-1955.000000;89.000000;49.365700
250;-1940.000000;88.000000;49.511719
251;-1927.000000;88.000000;49.657154
252;-1919.000000;87.000000;49.802002
253;-1914.000000;87.000000;49.946262
254;-1912.000000;87.000000;50.089935
255;-1914.000000;87.000000;50.233013
256;-1919.000000;87.000000;50.375500
257;-1928.000000;87.000000;50.517387
258;-1944.000000;87.000000;50.658684
259;-1963.000000;88.000000;50.799381
260;-1981.000000;89.000000;50.939476
261;-2002.000000;89.000000;51.078972
262;-2020.000000;90.000000;51.217861
263;-2040.000000;91.000000;51.356148
264;-2060.000000;92.000000;51.493828
265;-2073.000000;92.000000;51.630901
266;-2085.000000;93.000000;51.767365
267;-2092.000000;93.000000;51.903214
268;-2097.000000;93.000000;52.038452
269;-2099.000000;93.000000;52.173077
270;-2095.000000;93.000000;52.307083
271;-2090.000000;93.000000;52.440472
272;-2080.000000;93.000000;52.573242
273;-2068.000000;93.000000;52.705395
274;-2055.000000;92.000000;52.836922
275;-2037.000000;92.000000;52.967823
276;-2023.000000;91.000000;53.098103
277;-2013.000000;91.000000;53.227753
278;-2004.000000;91.000000;53.356773
279;-1999.000000;90.000000;53.485165
280;-1999.000000;90.000000;53.612926
281;-2005.000000;90.000000;53.740055
282;-2016.000000;90.000000;53.866547
283;-2031.000000;91.000000;53.992401
284;-2055.000000;92.000000;54.117622
285;-2075.000000;92.000000;54.242203
286;-2096.000000;93.000000;54.366142
287;-2117.000000;94.000000;54.489437
288;-2136.000000;95.000000;54.612091
289;-2157.000000;95.000000;54.734100
290;-2171.000000;96.000000;54.855465
291;-2181.000000;97.000000;54.976177
292;-2190.000000;97.000000;55.096245
293;-2193.000000;97.000000;55.215660
294;-2193.000000;97.000000;55.334423
295;-2190.000000;97.000000;55.452530
296;-2182.000000;97.000000;55.569984
297;-2173.000000;97.000000;55.686783
298;-2162.000000;97.000000;55.802925
299;-2145.000000;96.000000;55.918407
300;-2130.000000;96.000000;56.033226
301;-2117.000000;95.000000;56.147388
302;-2107.000000;95.000000;56.260883
303;-2098.000000;94.000000;56.373714
304;-2093.000000;94.000000;56.485882
305;-2092.000000;94.000000;56.597382
306;-2094.000000;94.000000;56.708214
307;-2101.000000;94.000000;56.818375
308;-2110.000000;94.000000;56.927864
309;-2123.000000;94.000000;57.036682
310;-2140.000000;95.000000;57.144829
311;-2160.000000;96.000000;57.252296
312;-2176.000000;96.000000;57.359089
313;-2193.000000;97.000000;57.465206
314;-2209.000000;98.000000;57.570644
315;-2222.000000;98.000000;57.675404
316;-2235.000000;99.000000;57.779480
317;-2245.000000;99.000000;57.882874
318;-2253.000000;100.000000;57.985584
319;-2256.000000;100.000000;58.087608
320;-2253.000000;100.000000;58.188950
321;-2248.000000;100.000000;58.289604
322;-2235.000000;100.000000;58.389568
323;-2222.000000;99.000000;58.488842
324;-2209.000000;99.000000;58.587425
325;-2193.000000;98.000000;58.685318
326;-2179.000000;98.000000;58.782520
327;-2168.000000;97.000000;58.879025
328;-2158.000000;97.000000;58.974834
329;-2151.000000;96.000000;59.069946
330;-2147.000000;96.000000;59.164364
331;-2149.000000;96.000000;59.258080
332;-2156.000000;96.000000;59.351097
333;-2165.000000;96.000000;59.443417
334;-2176.000000;96.000000;59.535030
335;-2191.000000;97.000000;59.625942
336;-2208.000000;98.000000;59.716148
337;-2224.000000;98.000000;59.805653
338;-2240.000000;99.000000;59.894447
339;-2259.000000;100.000000;59.982536
340;-2271.000000;100.000000;60.069916
341;-2280.000000;100.000000;60.156586
342;-2289.000000;101.000000;60.242546
343;-2293.000000;101.000000;60.327797
344;-2295.000000;101.000000;60.412334
345;-2294.000000;101.000000;60.496159
346;-2289.000000;101.000000;60.579266
347;-2282.000000;101.000000;60.661659
348;-2273.000000;101.000000;60.743336
349;-2261.000000;101.000000;60.824295
350;-2247.000000;100.000000;60.904537
351;-2232.000000;100.000000;60.984058
352;-2219.000000;99.000000;61.062862
353;-2211.000000;99.000000;61.140942
354;-2205.000000;99.000000;61.218304
355;-2203.000000;98.000000;61.294937
356;-2206.000000;98.000000;61.370850
357;-2214.000000;98.000000;61.446037
358;-2225.000000;98.000000;61.520500
359;-2243.000000;99.000000;61.594234
360;-2263.000000;100.000000;61.667244
361;-2280.000000;101.000000;61.739525
362;-2298.000000;101.000000;61.811073
363;-2315.000000;102.000000;61.881893
364;-2330.000000;103.000000;61.951984
365;-2345.000000;103.000000;62.021343
366;-2358.000000;104.000000;62.089970
367;-2366.000000;104.000000;62.157860
368;-2371.000000;104.000000;62.225021
369;-2372.000000;104.000000;62.291443
370;-2371.000000;104.000000;62.357132
371;-2367.000000;104.000000;62.422085
372;-2359.000000;104.000000;62.486298
373;-2349.000000;104.000000;62.549774
374;-2335.000000;104.000000;62.612514
375;-2322.000000;103.000000;62.674511
376;-2311.000000;103.000000;62.735771
377;-2299.000000;102.000000;62.796288
378;-2289.000000;102.000000;62.856064
379;-2282.000000;102.000000;62.915100
380;-2277.000000;102.000000;62.973389
381;-2276.000000;101.000000;63.030937
