takt;q1;q2;q2p
0;257.000000;-10.000000;0.224020
1;513.000000;-20.000000;0.448037
2;769.000000;-31.000000;0.672049
3;1017.000000;-41.000000;0.896052
4;1266.000000;-49.000000;1.120046
5;1507.000000;-53.000000;1.344026
6;1741.000000;-55.000000;1.567990
7;1938.000000;-57.000000;1.791935
8;2117.000000;-66.000000;2.015860
9;2248.000000;-71.000000;2.239761
10;2331.000000;-74.000000;2.463635
11;2380.000000;-76.000000;2.687480
12;2351.000000;-76.000000;2.911294
13;2306.000000;-74.000000;3.135073
14;2226.000000;-72.000000;3.358815
15;2131.000000;-68.000000;3.582517
16;2038.000000;-64.000000;3.806177
17;1920.000000;-60.000000;4.029793
18;1805.000000;-55.000000;4.253360
19;1689.000000;-51.000000;4.476877
20;1567.000000;-49.000000;4.700341
21;1449.000000;-49.000000;4.923750
22;1325.000000;-50.000000;5.147100
23;1228.000000;-52.000000;5.370390
24;1148.000000;-47.000000;5.593617
25;1110.000000;-46.000000;5.816777
26;1099.000000;-46.000000;6.039869
27;1105.000000;-46.000000;6.262889
28;1165.000000;-48.000000;6.485836
29;1234.000000;-50.000000;6.708705
30;1329.000000;-53.000000;6.931496
31;1432.000000;-58.000000;7.154204
32;1537.000000;-62.000000;7.376829
33;1641.000000;-65.000000;7.599366
34;1741.000000;-67.000000;7.821813
35;1835.000000;-69.000000;8.044168
36;1933.000000;-69.000000;8.266428
37;2018.000000;-66.000000;8.488591
38;2080.000000;-64.000000;8.710653
39;2141.000000;-68.000000;8.932613
40;2189.000000;-69.000000;9.154468
41;2215.000000;-70.000000;9.376214
42;2224.000000;-71.000000;9.597849
43;2190.000000;-70.000000;9.819371
44;2149.000000;-68.000000;10.040777
45;2089.000000;-66.000000;10.262065
46;2005.000000;-63.000000;10.483232
47;1927.000000;-60.000000;10.704274
48;1824.000000;-56.000000;10.925190
49;1736.000000;-52.000000;11.145977
50;1645.000000;-50.000000;11.366633
51;1542.000000;-49.000000;11.587154
52;1454.000000;-50.000000;11.807539
53;1370.000000;-53.000000;12.027783
54;1308.000000;-54.000000;12.247887
55;1261.000000;-49.000000;12.467845
56;1202.000000;-48.000000;12.687656
57;1165.000000;-48.000000;12.907318
58;1135.000000;-48.000000;13.126826
59;1139.000000;-47.000000;13.346181
60;1167.000000;-47.000000;13.565376
61;1190.000000;-48.000000;13.784412
62;1244.000000;-51.000000;14.003286
63;1301.000000;-53.000000;14.221994
64;1363.000000;-55.000000;14.440534
65;1432.000000;-58.000000;14.658903
66;1489.000000;-60.000000;14.877100
67;1555.000000;-61.000000;15.095120
68;1618.000000;-61.000000;15.312963
69;1671.000000;-58.000000;15.530624
70;1728.000000;-55.000000;15.748102
71;1764.000000;-53.000000;15.965395
72;1799.000000;-54.000000;16.182499
73;1834.000000;-56.000000;16.399410
74;1854.000000;-57.000000;16.616127
75;1886.000000;-57.000000;16.832649
76;1885.000000;-57.000000;17.048973
77;1886.000000;-57.000000;17.265095
78;1871.000000;-57.000000;17.481012
79;1844.000000;-56.000000;17.696724
80;1813.000000;-55.000000;17.912226
81;1773.000000;-53.000000;18.127516
82;1723.000000;-51.000000;18.342594
83;1673.000000;-49.000000;18.557453
84;1619.000000;-47.000000;18.772095
85;1569.000000;-46.000000;18.986513
86;1517.000000;-45.000000;19.200708
87;1463.000000;-45.000000;19.414677
88;1414.000000;-47.000000;19.628416
89;1379.000000;-48.000000;19.841923
90;1338.000000;-48.000000;20.055197
91;1306.000000;-48.000000;20.268232
92;1270.000000;-48.000000;20.481030
93;1237.000000;-46.000000;20.693584
94;1215.000000;-45.000000;20.905895
95;1191.000000;-45.000000;21.117958
96;1172.000000;-46.000000;21.329773
97;1159.000000;-48.000000;21.541336
98;1155.000000;-46.000000;21.752644
99;1158.000000;-45.000000;21.963696
100;1165.000000;-45.000000;22.174486
101;1167.000000;-46.000000;22.385017
102;1181.000000;-48.000000;22.595282
103;1198.000000;-48.000000;22.805281
104;1216.000000;-48.000000;23.015011
105;1238.000000;-46.000000;23.224468
106;1255.000000;-45.000000;23.433651
107;1278.000000;-45.000000;23.642559
108;1299.000000;-45.000000;23.851187
109;1318.000000;-46.000000;24.059532
110;1340.000000;-46.000000;24.267593
111;1356.000000;-46.000000;24.475368
112;1377.000000;-46.000000;24.682856
113;1395.000000;-44.000000;24.890049
114;1410.000000;-43.000000;25.096951
115;1428.000000;-42.000000;25.303555
116;1439.000000;-42.000000;25.509861
117;1455.000000;-42.000000;25.715864
118;1472.000000;-43.000000;25.921566
119;1482.000000;-44.000000;26.126961
120;1496.000000;-44.000000;26.332047
121;1502.000000;-43.000000;26.536821
122;1504.000000;-42.000000;26.741283
123;1507.000000;-42.000000;26.945429
124;1504.000000;-42.000000;27.149256
125;1505.000000;-42.000000;27.352764
126;1501.000000;-42.000000;27.555948
127;1493.000000;-42.000000;27.758806
128;1487.000000;-42.000000;27.961336
129;1477.000000;-41.000000;28.163538
130;1467.000000;-41.000000;28.365406
131;1454.000000;-40.000000;28.566938
132;1440.000000;-40.000000;28.768135
133;1430.000000;-40.000000;28.968990
134;1420.000000;-39.000000;29.169504
135;1411.000000;-39.000000;29.369675
136;1400.000000;-39.000000;29.569496
137;1389.000000;-39.000000;29.768970
138;1379.000000;-39.000000;29.968092
139;1368.000000;-39.000000;30.166861
140;1358.000000;-38.000000;30.365273
141;1347.000000;-38.000000;30.563326
142;1335.000000;-37.000000;30.761019
143;1326.000000;-37.000000;30.958347
144;1316.000000;-37.000000;31.155310
145;1307.000000;-37.000000;31.351908
146;1300.000000;-37.000000;31.548136
147;1292.000000;-37.000000;31.743990
148;1287.000000;-37.000000;31.939468
149;1281.000000;-36.000000;32.134571
150;1279.000000;-35.000000;32.329296
151;1278.000000;-35.000000;32.523636
152;1276.000000;-35.000000;32.717594
153;1277.000000;-35.000000;32.911163
154;1279.000000;-36.000000;33.104347
155;1282.000000;-36.000000;33.297138
156;1287.000000;-36.000000;33.489536
157;1290.000000;-35.000000;33.681538
158;1295.000000;-34.000000;33.873142
159;1297.000000;-34.000000;34.064346
160;1301.000000;-34.000000;34.255150
161;1304.000000;-34.000000;34.445545
162;1305.000000;-34.000000;34.635536
163;1304.000000;-34.000000;34.825119
164;1302.000000;-34.000000;35.014290
165;1299.000000;-34.000000;35.203049
166;1294.000000;-34.000000;35.391392
167;1289.000000;-34.000000;35.579315
168;1283.000000;-33.000000;35.766819
169;1277.000000;-33.000000;35.953899
170;1272.000000;-33.000000;36.140556
171;1266.000000;-33.000000;36.326786
172;1260.000000;-32.000000;36.512585
173;1255.000000;-32.000000;36.697956
174;1250.000000;-32.000000;36.882893
