takt;q1;q2;q2p
0;260.000000;-11.000000;-40.133213
1;519.000000;-21.000000;-37.893044
2;775.000000;-25.000000;-35.652927
3;1015.000000;-20.000000;-33.412888
4;1162.000000;-28.000000;-31.172956
5;1233.000000;-29.000000;-28.933155
6;1210.000000;-30.000000;-26.693514
7;1133.000000;-26.000000;-24.454058
8;997.000000;-23.000000;-22.214813
9;793.000000;-14.000000;-19.975805
10;586.000000;-6.000000;-17.737062
11;342.000000;4.000000;-15.498610
12;101.000000;14.000000;-13.260475
13;-140.000000;23.000000;-11.022684
14;-395.000000;32.000000;-8.785263
15;-632.000000;40.000000;-6.548239
16;-867.000000;44.000000;-4.311638
17;-1097.000000;44.000000;-2.075486
18;-1270.000000;52.000000;0.160187
19;-1411.000000;56.000000;2.395359
20;-1490.000000;60.000000;4.630001
21;-1533.000000;61.000000;6.864089
22;-1538.000000;62.000000;9.097594
23;-1494.000000;61.000000;11.330493
24;-1432.000000;59.000000;13.562757
25;-1339.000000;55.000000;15.794360
26;-1236.000000;51.000000;18.025276
27;-1136.000000;47.000000;20.255480
28;-1025.000000;44.000000;22.484943
29;-915.000000;42.000000;24.713640
30;-815.000000;41.000000;26.941547
31;-711.000000;44.000000;29.168634
32;-651.000000;47.000000;31.394876
33;-598.000000;44.000000;33.620247
34;-586.000000;44.000000;35.844719
35;-624.000000;45.000000;38.068272
36;-684.000000;48.000000;40.290871
37;-799.000000;52.000000;42.512501
38;-924.000000;57.000000;44.733124
39;-1073.000000;62.000000;46.952724
40;-1242.000000;69.000000;49.171265
41;-1417.000000;76.000000;51.388725
42;-1595.000000;82.000000;53.605080
43;-1768.000000;90.000000;55.820301
44;-1940.000000;96.000000;58.034363
45;-2106.000000;100.000000;60.247238
46;-2272.000000;101.000000;62.458904
47;-2424.000000;99.000000;64.669327
48;-2525.000000;105.000000;66.878494
49;-2637.000000;109.000000;69.086365
50;-2707.000000;111.000000;71.292915
51;-2769.000000;113.000000;73.498131
52;-2802.000000;115.000000;75.701973
53;-2785.000000;115.000000;77.904427
54;-2774.000000;114.000000;80.105453
55;-2733.000000;113.000000;82.305038
56;-2683.000000;111.000000;84.503151
57;-2639.000000;109.000000;86.699768
58;-2569.000000;109.000000;88.894852
59;-2518.000000;109.000000;91.088394
60;-2463.000000;110.000000;93.280357
61;-2399.000000;116.000000;95.470718
62;-2386.000000;116.000000;97.659447
63;-2361.000000;116.000000;99.846527
64;-2380.000000;116.000000;102.031929
65;-2433.000000;118.000000;104.215622
66;-2494.000000;120.000000;106.397583
67;-2606.000000;125.000000;108.577789
68;-2710.000000;129.000000;110.756218
69;-2831.000000;134.000000;112.932831
70;-2963.000000;139.000000;115.107613
71;-3082.000000;144.000000;117.280533
72;-3212.000000;149.000000;119.451569
73;-3333.000000;154.000000;121.620689
74;-3441.000000;158.000000;123.787865
75;-3554.000000;162.000000;125.953087
76;-3649.000000;165.000000;128.116318
77;-3735.000000;168.000000;130.277527
78;-3828.000000;168.000000;132.436707
79;-3894.000000;168.000000;134.593826
80;-3964.000000;167.000000;136.748840
81;-4030.000000;167.000000;138.901749
82;-4074.000000;168.000000;141.052521
83;-4129.000000;171.000000;143.201126
84;-4165.000000;175.000000;145.347534
85;-4197.000000;179.000000;147.491730
86;-4231.000000;183.000000;149.633682
87;-4243.000000;184.000000;151.773361
88;-4261.000000;185.000000;153.910751
89;-4272.000000;184.000000;156.045822
90;-4270.000000;183.000000;158.178558
91;-4280.000000;183.000000;160.308914
92;-4273.000000;187.000000;162.436890
93;-4271.000000;191.000000;164.562439
94;-4285.000000;194.000000;166.685532
95;-4289.000000;194.000000;168.806183
96;-4305.000000;195.000000;170.924316
97;-4330.000000;196.000000;173.039948
98;-4354.000000;197.000000;175.153030
99;-4416.000000;199.000000;177.263535
100;-4464.000000;201.000000;179.371460
101;-4533.000000;204.000000;181.476761
102;-4617.000000;207.000000;183.579407
103;-4687.000000;210.000000;185.679398
104;-4775.000000;213.000000;187.776688
105;-4859.000000;217.000000;189.871277
106;-4938.000000;220.000000;191.963104
107;-5027.000000;224.000000;194.052170
108;-5104.000000;226.000000;196.138443
109;-5177.000000;229.000000;198.221909
110;-5256.000000;233.000000;200.302521
111;-5323.000000;235.000000;202.380280
112;-5392.000000;237.000000;204.455139
113;-5457.000000;240.000000;206.527084
114;-5510.000000;243.000000;208.596085
115;-5566.000000;245.000000;210.662140
116;-5616.000000;246.000000;212.725189
117;-5651.000000;247.000000;214.785233
118;-5692.000000;248.000000;216.842239
119;-5717.000000;248.000000;218.896179
120;-5740.000000;249.000000;220.947052
121;-5758.000000;250.000000;222.994797
122;-5762.000000;252.000000;225.039413
123;-5781.000000;254.000000;227.080872
124;-5792.000000;255.000000;229.119156
125;-5810.000000;255.000000;231.154221
126;-5839.000000;257.000000;233.186066
127;-5868.000000;258.000000;235.214645
128;-5923.000000;260.000000;237.239960
129;-5980.000000;262.000000;239.261963
130;-6043.000000;265.000000;241.280640
131;-6122.000000;268.000000;243.295975
132;-6196.000000;271.000000;245.307938
133;-6272.000000;274.000000;247.316498
134;-6356.000000;277.000000;249.321640
135;-6431.000000;280.000000;251.323334
136;-6511.000000;283.000000;253.321564
137;-6584.000000;286.000000;255.316299
138;-6650.000000;289.000000;257.307526
139;-6719.000000;292.000000;259.295197
140;-6775.000000;294.000000;261.279297
141;-6829.000000;296.000000;263.259857
142;-6875.000000;298.000000;265.236755
143;-6912.000000;299.000000;267.210052
144;-6942.000000;300.000000;269.179688
145;-6966.000000;302.000000;271.145660
146;-6977.000000;302.000000;273.107941
147;-6989.000000;302.000000;275.066467
148;-6996.000000;303.000000;277.021271
149;-7008.000000;304.000000;278.972290
150;-7030.000000;305.000000;280.919525
151;-7055.000000;306.000000;282.862946
152;-7093.000000;307.000000;284.802521
153;-7140.000000;309.000000;286.738220
154;-7194.000000;311.000000;288.670044
155;-7256.000000;314.000000;290.597961
156;-7325.000000;317.000000;292.521942
157;-7394.000000;319.000000;294.441956
158;-7465.000000;322.000000;296.358002
159;-7537.000000;325.000000;298.270050
160;-7611.000000;328.000000;300.178070
161;-7681.000000;331.000000;302.082062
162;-7752.000000;334.000000;303.981964
163;-7824.000000;337.000000;305.877777
164;-7886.000000;339.000000;307.769501
165;-7947.000000;342.000000;309.657074
166;-8009.000000;344.000000;311.540497
167;-8059.000000;346.000000;313.419739
168;-8108.000000;348.000000;315.294769
169;-8150.000000;350.000000;317.165558
170;-8188.000000;351.000000;319.032135
171;-8223.000000;353.000000;320.894440
172;-8250.000000;354.000000;322.752441
173;-8274.000000;355.000000;324.606140
174;-8301.000000;356.000000;326.455505
175;-8324.000000;357.000000;328.300507
176;-8348.000000;358.000000;330.141144
177;-8379.000000;360.000000;331.977356
178;-8414.000000;361.000000;333.809174
179;-8449.000000;363.000000;335.636536
180;-8495.000000;365.000000;337.459442
181;-8541.000000;366.000000;339.277863
182;-8598.000000;369.000000;341.091766
183;-8654.000000;371.000000;342.901154
184;-8715.000000;374.000000;344.705994
185;-8777.000000;376.000000;346.506256
186;-8840.000000;379.000000;348.301910
187;-8904.000000;381.000000;350.092987
188;-8967.000000;384.000000;351.879395
189;-9030.000000;387.000000;353.661163
190;-9087.000000;389.000000;355.438263
191;-9144.000000;391.000000;357.210632
192;-9198.000000;393.000000;358.978333
193;-9247.000000;395.000000;360.741241
194;-9293.000000;397.000000;362.499420
195;-9335.000000;399.000000;364.252808
196;-9374.000000;401.000000;366.001404
197;-9411.000000;402.000000;367.745178
198;-9441.000000;403.000000;369.484100
199;-9468.000000;405.000000;371.218140
200;-9496.000000;406.000000;372.947327
201;-9521.000000;407.000000;374.671600
202;-9544.000000;408.000000;376.390930
203;-9570.000000;409.000000;378.105347
204;-9599.000000;410.000000;379.814789
205;-9627.000000;411.000000;381.519226
206;-9657.000000;413.000000;383.218658
207;-9692.000000;414.000000;384.913086
208;-9729.000000;416.000000;386.602448
209;-9769.000000;417.000000;388.286774
210;-9811.000000;419.000000;389.965973
211;-9853.000000;421.000000;391.640106
212;-9898.000000;423.000000;393.309082
213;-9943.000000;424.000000;394.972931
214;-9993.000000;426.000000;396.631622
215;-10042.000000;428.000000;398.285095
216;-10095.000000;430.000000;399.933411
217;-10149.000000;433.000000;401.576477
218;-10203.000000;435.000000;403.214294
219;-10254.000000;437.000000;404.846863
220;-10305.000000;439.000000;406.474121
221;-10352.000000;441.000000;408.096130
222;-10400.000000;443.000000;409.712769
223;-10440.000000;444.000000;411.324097
224;-10479.000000;446.000000;412.930054
225;-10518.000000;447.000000;414.530670
226;-10550.000000;449.000000;416.125854
227;-10585.000000;450.000000;417.715637
