takt;q1;q2;q2p
0;251.000000;-10.000000;-32.737511
1;465.000000;-8.000000;-21.540361
2;460.000000;5.000000;-10.349822
3;230.000000;17.000000;0.830798
4;-216.000000;34.000000;11.998202
5;-846.000000;55.000000;23.149094
6;-1555.000000;84.000000;34.280178
7;-2425.000000;119.000000;45.388172
8;-3362.000000;155.000000;56.469795
9;-4318.000000;190.000000;67.521782
10;-5304.000000;231.000000;78.540863
11;-6245.000000;269.000000;89.523788
12;-7192.000000;293.000000;100.467308
13;-8052.000000;327.000000;111.368202
14;-8720.000000;352.000000;122.223244
15;-9264.000000;374.000000;133.029236
16;-9641.000000;390.000000;143.782974
17;-9893.000000;400.000000;154.481308
18;-10048.000000;407.000000;165.121048
19;-10077.000000;408.000000;175.699066
20;-10036.000000;407.000000;186.212250
21;-9949.000000;404.000000;196.657486
22;-9823.000000;400.000000;207.031693
23;-9706.000000;396.000000;217.331802
24;-9581.000000;390.000000;227.554794
25;-9455.000000;386.000000;237.697617
26;-9356.000000;385.000000;247.757309
27;-9255.000000;395.000000;257.730896
28;-9245.000000;394.000000;267.615417
29;-9291.000000;398.000000;277.407959
30;-9392.000000;403.000000;287.105621
31;-9566.000000;409.000000;296.705566
32;-9786.000000;417.000000;306.204956
33;-10090.000000;430.000000;315.600983
34;-10440.000000;445.000000;324.890839
35;-10822.000000;459.000000;334.071838
36;-11232.000000;475.000000;343.141205
37;-11644.000000;491.000000;352.096344
38;-12071.000000;508.000000;360.934570
39;-12497.000000;524.000000;369.653259
40;-12936.000000;540.000000;378.249878
41;-13375.000000;551.000000;386.721832
42;-13799.000000;560.000000;395.066650
43;-14161.000000;575.000000;403.281860
44;-14450.000000;587.000000;411.365051
45;-14657.000000;595.000000;419.313812
46;-14792.000000;601.000000;427.125824
47;-14870.000000;605.000000;434.798767
48;-14886.000000;606.000000;442.330383
49;-14864.000000;606.000000;449.718445
50;-14801.000000;603.000000;456.960754
51;-14731.000000;601.000000;464.055206
52;-14652.000000;597.000000;470.999664
53;-14582.000000;595.000000;477.792145
54;-14507.000000;595.000000;484.430573
55;-14435.000000;598.000000;490.912994
56;-14388.000000;606.000000;497.237549
57;-14379.000000;604.000000;503.402344
58;-14405.000000;606.000000;509.405548
59;-14477.000000;609.000000;515.245361
60;-14556.000000;612.000000;520.920166
61;-14684.000000;616.000000;526.428162
62;-14838.000000;623.000000;531.767761
63;-14992.000000;629.000000;536.937439
64;-15179.000000;636.000000;541.935608
65;-15344.000000;643.000000;546.760803
66;-15523.000000;650.000000;551.411621
67;-15710.000000;657.000000;555.886719
68;-15878.000000;663.000000;560.184692
69;-16060.000000;668.000000;564.304321
70;-16228.000000;669.000000;568.244385
