takt;q1;q2;q2p
0;263.000000;-11.000000;-32.737511
1;530.000000;-14.000000;-21.540361
2;656.000000;-2.000000;-10.349822
3;646.000000;0.000000;0.830798
4;471.000000;7.000000;11.998202
5;100.000000;19.000000;23.149094
6;-371.000000;38.000000;34.280178
7;-991.000000;62.000000;45.388172
8;-1693.000000;89.000000;56.469795
9;-2435.000000;117.000000;67.521782
10;-3249.000000;150.000000;78.540863
11;-4023.000000;181.000000;89.523788
12;-4828.000000;208.000000;100.467308
13;-5615.000000;232.000000;111.368202
14;-6325.000000;256.000000;122.223244
15;-6959.000000;280.000000;133.029236
16;-7434.000000;299.000000;143.782974
17;-7785.000000;312.000000;154.481308
18;-8042.000000;323.000000;165.121048
19;-8175.000000;331.000000;175.699066
20;-8240.000000;336.000000;186.212250
21;-8210.000000;336.000000;196.657486
22;-8161.000000;330.000000;207.031693
23;-8073.000000;332.000000;217.331802
24;-7970.000000;325.000000;227.554794
25;-7878.000000;321.000000;237.697617
26;-7767.000000;320.000000;247.757309
27;-7630.000000;327.000000;257.730896
28;-7570.000000;330.000000;267.615417
29;-7562.000000;330.000000;277.407959
30;-7657.000000;334.000000;287.105621
31;-7817.000000;340.000000;296.705566
32;-8037.000000;350.000000;306.204956
33;-8322.000000;361.000000;315.600983
34;-8652.000000;374.000000;324.890839
35;-9044.000000;388.000000;334.071838
36;-9458.000000;404.000000;343.141205
37;-9910.000000;422.000000;352.096344
38;-10355.000000;440.000000;360.934570
39;-10810.000000;457.000000;369.653259
40;-11276.000000;475.000000;378.249878
41;-11736.000000;489.000000;386.721832
42;-12208.000000;498.000000;395.066650
43;-12603.000000;514.000000;403.281860
44;-12920.000000;526.000000;411.365051
45;-13167.000000;536.000000;419.313812
46;-13346.000000;543.000000;427.125824
47;-13461.000000;547.000000;434.798767
48;-13513.000000;550.000000;442.330383
49;-13519.000000;552.000000;449.718445
50;-13467.000000;550.000000;456.960754
51;-13418.000000;548.000000;464.055206
52;-13352.000000;545.000000;470.999664
53;-13268.000000;543.000000;477.792145
54;-13196.000000;542.000000;484.430573
55;-13108.000000;547.000000;490.912994
56;-13070.000000;554.000000;497.237549
57;-13049.000000;553.000000;503.402344
58;-13096.000000;555.000000;509.405548
59;-13186.000000;558.000000;515.245361
